"erwst","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Full-time","1985","Employed","Rural Area","1016","0.721675075945679","0.697917028973118","0.745433122918241"
"Full-time","1985","Employed","Urban Area","4161","0.737969324408666","0.726334071331154","0.749604577486177"
"Full-time","1985","Not Employed","Rural Area","17","","",""
"Full-time","1985","Not Employed","Urban Area","62","0.0107542570127131","0.00724364260571764","0.0142648714197086"
"Non-working","1985","Employed","Rural Area","115","0.0877184083317627","0.0727224694783534","0.102714347185172"
"Non-working","1985","Employed","Urban Area","393","0.0736362426628773","0.0667256197014602","0.0805468656242944"
"Non-working","1985","Not Employed","Rural Area","876","0.965067683408438","0.953183865095945","0.976951501720931"
"Non-working","1985","Not Employed","Urban Area","3174","0.969988955974858","0.964181782805877","0.975796129143839"
"Other","1985","Employed","Rural Area","91","0.0735714668675865","0.0597318361341269","0.087411097601046"
"Other","1985","Employed","Urban Area","355","0.0716090377685639","0.0647867508223229","0.0784313247148049"
"Other","1985","Not Employed","Rural Area","16","","",""
"Other","1985","Not Employed","Urban Area","56","0.0134422531597498","0.00952268590480833","0.0173618204146914"
"Part-time","1985","Employed","Rural Area","145","0.117035048854971","0.0999941092789029","0.13407598843104"
"Part-time","1985","Employed","Urban Area","578","0.116785395159893","0.108287565933843","0.125283224385944"
"Part-time","1985","Not Employed","Rural Area","8","","",""
"Part-time","1985","Not Employed","Urban Area","24","","",""
"Full-time","1986","Employed","Rural Area","971","0.696233517056323","0.671890368277866","0.72057666583478"
"Full-time","1986","Employed","Urban Area","3986","0.731678814033928","0.719780252385748","0.743577375682108"
"Full-time","1986","Not Employed","Rural Area","14","","",""
"Full-time","1986","Not Employed","Urban Area","59","0.014599198383655","0.0103979581309264","0.0188004386363837"
"Non-working","1986","Employed","Rural Area","135","0.101226682872395","0.0852604686617878","0.117192897083003"
"Non-working","1986","Employed","Urban Area","408","0.0795085597930909","0.0722437614576296","0.0867733581285522"
"Non-working","1986","Not Employed","Rural Area","781","0.968976869770466","0.95706622144959","0.980887518091341"
"Non-working","1986","Not Employed","Urban Area","3014","0.970042970698998","0.964071910965851","0.976014030432145"
"Other","1986","Employed","Rural Area","139","0.10542056357931","0.0891650204057565","0.121676106752863"
"Other","1986","Employed","Urban Area","435","0.0857922659238592","0.0782716526416439","0.0933128792060746"
"Other","1986","Not Employed","Rural Area","14","","",""
"Other","1986","Not Employed","Urban Area","45","0.0111721890767518","0.00749059390314566","0.014853784250358"
"Part-time","1986","Employed","Rural Area","126","0.0971192364919719","0.0814446102678964","0.112793862716048"
"Part-time","1986","Employed","Urban Area","498","0.103020360249122","0.0948571765939198","0.111183543904323"
"Part-time","1986","Not Employed","Rural Area","5","","",""
"Part-time","1986","Not Employed","Urban Area","13","","",""
"Full-time","1987","Employed","Rural Area","971","0.692584042948445","0.668326872780722","0.716841213116168"
"Full-time","1987","Employed","Urban Area","3942","0.72510665693096","0.713112964278634","0.737100349583286"
"Full-time","1987","Not Employed","Rural Area","11","","",""
"Full-time","1987","Not Employed","Urban Area","33","0.00855829774891724","0.00527790576905234","0.0118386897287821"
"Non-working","1987","Employed","Rural Area","116","0.0835123697908581","0.0689685193955399","0.0980562201861762"
"Non-working","1987","Employed","Urban Area","407","0.0802688084912944","0.0729696343714089","0.08756798261118"
"Non-working","1987","Not Employed","Rural Area","740","0.975278024638133","0.964296230836981","0.986259818439284"
"Non-working","1987","Not Employed","Urban Area","2950","0.980433480655261","0.975501012280388","0.985365949030134"
"Other","1987","Employed","Rural Area","141","0.094725972953309","0.0793314846347085","0.110120461271909"
"Other","1987","Employed","Urban Area","467","0.0886619881712993","0.0810257699053427","0.096298206437256"
"Other","1987","Not Employed","Rural Area","12","","",""
"Other","1987","Not Employed","Urban Area","31","0.00678729118386931","0.00386335540848068","0.00971122695925795"
"Part-time","1987","Employed","Rural Area","162","0.129177614307388","0.111545714349781","0.146809514264995"
"Part-time","1987","Employed","Urban Area","507","0.105962546406446","0.0976941001561899","0.114230992656703"
"Part-time","1987","Not Employed","Rural Area","5","","",""
"Part-time","1987","Not Employed","Urban Area","15","","",""
"Full-time","1988","Employed","Rural Area","901","0.668888098210225","0.64350028727125","0.694275909149201"
"Full-time","1988","Employed","Urban Area","3718","0.724324582201035","0.712096593141869","0.736552571260202"
"Full-time","1988","Not Employed","Rural Area","12","","",""
"Full-time","1988","Not Employed","Urban Area","38","0.00913994231298841","0.00565647184614741","0.0126234127798294"
"Non-working","1988","Employed","Rural Area","147","0.121459322719672","0.103837229664993","0.13908141577435"
"Non-working","1988","Employed","Urban Area","429","0.0819574231662556","0.0744513124205501","0.0894635339119611"
"Non-working","1988","Not Employed","Rural Area","676","0.969617664640508","0.956930012454827","0.982305316826189"
"Non-working","1988","Not Employed","Urban Area","2781","0.977075763159651","0.971597463197893","0.98255406312141"
"Other","1988","Employed","Rural Area","138","0.100058594047418","0.0838705103743099","0.116246677720526"
"Other","1988","Employed","Urban Area","458","0.0822024068974999","0.0746860891273474","0.0897187246676525"
"Other","1988","Not Employed","Rural Area","9","","",""
"Other","1988","Not Employed","Urban Area","33","0.00825722227674384","0.00494476141527505","0.0115696831382126"
"Part-time","1988","Employed","Rural Area","134","0.109593985022685","0.0927420984447247","0.126445871600645"
"Part-time","1988","Employed","Urban Area","525","0.111515587735209","0.102902039229385","0.120129136241033"
"Part-time","1988","Not Employed","Rural Area","6","","",""
"Part-time","1988","Not Employed","Urban Area","15","","",""
"Full-time","1989","Employed","Rural Area","886","0.697190684968586","0.671729428028885","0.722651941908287"
"Full-time","1989","Employed","Urban Area","3693","0.729278842402799","0.716986139104317","0.741571545701281"
"Full-time","1989","Not Employed","Rural Area","10","","",""
"Full-time","1989","Not Employed","Urban Area","43","0.0108924394429985","0.00702496146635067","0.0147599174196463"
"Non-working","1989","Employed","Rural Area","113","0.098459501952891","0.0819497376323913","0.114969266273391"
"Non-working","1989","Employed","Urban Area","403","0.0778315268395603","0.0704197488248471","0.0852433048542736"
"Non-working","1989","Not Employed","Rural Area","651","0.969215659096517","0.956155796869235","0.982275521323798"
"Non-working","1989","Not Employed","Urban Area","2662","0.972629661026993","0.966550308129856","0.978709013924131"
"Other","1989","Employed","Rural Area","106","0.0750417022311613","0.06044240834642","0.0896409961159027"
"Other","1989","Employed","Urban Area","418","0.0819773407354112","0.0743878417598175","0.0895668397110048"
"Other","1989","Not Employed","Rural Area","9","","",""
"Other","1989","Not Employed","Urban Area","41","0.0111142966484742","0.00720806897290428","0.0150205243240441"
"Part-time","1989","Employed","Rural Area","146","0.129308110847362","0.110714464387232","0.147901757307492"
"Part-time","1989","Employed","Urban Area","505","0.110912290022229","0.102224653691452","0.119599926353006"
"Part-time","1989","Not Employed","Rural Area","2","","",""
"Part-time","1989","Not Employed","Urban Area","21","","",""
"Full-time","1990","Employed","Rural Area","892","0.702612191174261","0.677281977273546","0.727942405074977"
"Full-time","1990","Employed","Urban Area","3597","0.722524043348508","0.710013958968189","0.735034127728828"
"Full-time","1990","Not Employed","Rural Area","6","","",""
"Full-time","1990","Not Employed","Urban Area","28","","",""
"Non-working","1990","Employed","Rural Area","97","0.0791248884790664","0.0641667909913728","0.0940829859667599"
"Non-working","1990","Employed","Urban Area","407","0.0819224355414052","0.0742600760558388","0.0895847950269716"
"Non-working","1990","Not Employed","Rural Area","650","0.970010256612102","0.957066518657275","0.982953994566929"
"Non-working","1990","Not Employed","Urban Area","2594","0.980791014476932","0.975592452110613","0.985989576843252"
"Other","1990","Employed","Rural Area","107","0.0838737348491728","0.0685130671323099","0.0992344025660357"
"Other","1990","Employed","Urban Area","385","0.0756306028529248","0.0682431798211189","0.0830180258847308"
"Other","1990","Not Employed","Rural Area","4","","",""
"Other","1990","Not Employed","Urban Area","27","","",""
"Part-time","1990","Employed","Rural Area","155","0.134389185497499","0.115489136333375","0.153289234661623"
"Part-time","1990","Employed","Urban Area","532","0.119922918257162","0.110846116329754","0.128999720184569"
"Part-time","1990","Not Employed","Rural Area","7","","",""
"Part-time","1990","Not Employed","Urban Area","29","","",""
"Full-time","1991","Employed","Rural Area","886","0.678746344106287","0.653165145043316","0.704327543169257"
"Full-time","1991","Employed","Urban Area","3555","0.713936555329515","0.701304937470793","0.726568173188237"
"Full-time","1991","Not Employed","Rural Area","10","","",""
"Full-time","1991","Not Employed","Urban Area","50","0.0125409818898154","0.00826104439264592","0.0168209193869848"
"Non-working","1991","Employed","Rural Area","103","0.0825629583033651","0.0674856482974966","0.0976402683092337"
"Non-working","1991","Employed","Urban Area","375","0.0758471621544035","0.0684470286353307","0.0832472956734763"
"Non-working","1991","Not Employed","Rural Area","646","0.972400694138686","0.960014577531008","0.984786810746364"
"Non-working","1991","Not Employed","Urban Area","2483","0.971983847148099","0.965637177561349","0.97833051673485"
"Other","1991","Employed","Rural Area","127","0.0981586992603445","0.081859263757977","0.114458134762712"
"Other","1991","Employed","Urban Area","427","0.0845459718018422","0.0767698560425713","0.0923220875611131"
"Other","1991","Not Employed","Rural Area","13","","",""
"Other","1991","Not Employed","Urban Area","41","0.0105624764286434","0.00663069668490552","0.0144942561723814"
"Part-time","1991","Employed","Rural Area","164","0.140531998330004","0.121492935226063","0.159571061433945"
"Part-time","1991","Employed","Urban Area","560","0.125670310714239","0.116405171607255","0.134935449821224"
"Part-time","1991","Not Employed","Rural Area","3","","",""
"Part-time","1991","Not Employed","Urban Area","23","","",""
"Full-time","1992","Employed","Rural Area","2149","0.669599749677144","0.653031545413985","0.686167953940303"
"Full-time","1992","Employed","Urban Area","4258","0.71653818265563","0.705064638801716","0.728011726509545"
"Full-time","1992","Not Employed","Rural Area","22","","",""
"Full-time","1992","Not Employed","Urban Area","27","","",""
"Non-working","1992","Employed","Rural Area","474","0.149924847943404","0.137349700540948","0.162499995345861"
"Non-working","1992","Employed","Urban Area","615","0.0988921933837302","0.0912924310965746","0.106491955670886"
"Non-working","1992","Not Employed","Rural Area","1298","0.975325612226619","0.967035031428576","0.983616193024661"
"Non-working","1992","Not Employed","Urban Area","2821","0.981134390393165","0.976186165201627","0.986082615584702"
"Other","1992","Employed","Rural Area","201","0.0731399127392339","0.0639685911021936","0.0823112343762741"
"Other","1992","Employed","Urban Area","414","0.0659364062643499","0.0596183791328241","0.0722544333958756"
"Other","1992","Not Employed","Rural Area","20","","",""
"Other","1992","Not Employed","Urban Area","33","0.00777522787954393","0.00458066544094291","0.010969790318145"
"Part-time","1992","Employed","Rural Area","272","0.107335489640218","0.0964320525955465","0.118238926684889"
"Part-time","1992","Employed","Urban Area","640","0.11863321769629","0.110401089563374","0.126865345829205"
"Part-time","1992","Not Employed","Rural Area","5","","",""
"Part-time","1992","Not Employed","Urban Area","23","","",""
"Full-time","1993","Employed","Rural Area","2051","0.688898459233319","0.672066720792104","0.705730197674533"
"Full-time","1993","Employed","Urban Area","4151","0.709294445076841","0.697635331672588","0.720953558481094"
"Full-time","1993","Not Employed","Rural Area","27","","",""
"Full-time","1993","Not Employed","Urban Area","49","0.0101071880654571","0.00649830554322071","0.0137160705876934"
"Non-working","1993","Employed","Rural Area","368","0.123874369651458","0.111896648243274","0.135852091059643"
"Non-working","1993","Employed","Urban Area","638","0.104164487720977","0.0963211744709448","0.11200780097101"
"Non-working","1993","Not Employed","Rural Area","1423","0.964947184412916","0.955621386119445","0.974272982706388"
"Non-working","1993","Not Employed","Urban Area","2831","0.969906139175503","0.96374207297215","0.976070205378856"
"Other","1993","Employed","Rural Area","223","0.0784025451861668","0.0686293628788902","0.0881757274934434"
"Other","1993","Employed","Urban Area","417","0.0705106894831694","0.0639375134591075","0.0770838655072313"
"Other","1993","Not Employed","Rural Area","35","0.0146649326397493","0.00856949632420152","0.0207603689552971"
"Other","1993","Not Employed","Urban Area","45","0.0132356048192408","0.00911233155979515","0.0173588780786865"
"Part-time","1993","Employed","Rural Area","264","0.108824625929056","0.0975020441509485","0.120147207707163"
"Part-time","1993","Employed","Urban Area","621","0.116030377719012","0.107807381220449","0.124253374217576"
"Part-time","1993","Not Employed","Rural Area","9","","",""
"Part-time","1993","Not Employed","Urban Area","26","","",""
"Full-time","1994","Employed","Rural Area","1974","0.676435030611204","0.659124991415977","0.693745069806431"
"Full-time","1994","Employed","Urban Area","3962","0.713657456673289","0.701763439215676","0.725551474130901"
"Full-time","1994","Not Employed","Rural Area","19","","",""
"Full-time","1994","Not Employed","Urban Area","45","0.0122907494817313","0.00839834891401143","0.0161831500494511"
"Non-working","1994","Employed","Rural Area","331","0.125034283322773","0.112796173939868","0.137272392705678"
"Non-working","1994","Employed","Urban Area","603","0.102708727543057","0.0947212228782728","0.110696232207842"
"Non-working","1994","Not Employed","Rural Area","1458","0.975092366606207","0.967234494254004","0.982950238958411"
"Non-working","1994","Not Employed","Urban Area","2970","0.974171294471977","0.968567492653046","0.979775096290908"
"Other","1994","Employed","Rural Area","235","0.0871329790678755","0.0766978146110039","0.097568143524747"
"Other","1994","Employed","Urban Area","390","0.0670391596968126","0.0604589957061143","0.0736193236875108"
"Other","1994","Not Employed","Rural Area","27","","",""
"Other","1994","Not Employed","Urban Area","44","0.00924434791174266","0.00586342550659914","0.0126252703168862"
"Part-time","1994","Employed","Rural Area","266","0.111397706998147","0.099756551291576","0.123038862704718"
"Part-time","1994","Employed","Urban Area","594","0.116594656086841","0.108150425919317","0.125038886254366"
"Part-time","1994","Not Employed","Rural Area","7","","",""
"Part-time","1994","Not Employed","Urban Area","19","","",""
"Full-time","1995","Employed","Rural Area","2050","0.687537592246556","0.670659593302565","0.704415591190547"
"Full-time","1995","Employed","Urban Area","4019","0.710321780199098","0.698477050433923","0.722166509964274"
"Full-time","1995","Not Employed","Rural Area","32","0.0170722177647381","0.0106868203487139","0.0234576151807624"
"Full-time","1995","Not Employed","Urban Area","56","0.0109904959433676","0.00740995957426328","0.0145710323124719"
"Non-working","1995","Employed","Rural Area","295","0.105435713397836","0.0942523228446176","0.116619103951055"
"Non-working","1995","Employed","Urban Area","540","0.0957774264724965","0.0880930448657034","0.10346180807929"
"Non-working","1995","Not Employed","Rural Area","1510","0.964581997902349","0.955471045833288","0.973692949971411"
"Non-working","1995","Not Employed","Urban Area","3139","0.972452428968462","0.966831410007903","0.97807344792902"
"Other","1995","Employed","Rural Area","255","0.0872689924745498","0.0769917825690112","0.0975462023800883"
"Other","1995","Employed","Urban Area","426","0.0722071319407961","0.0654485554676919","0.0789657084139003"
"Other","1995","Not Employed","Rural Area","28","","",""
"Other","1995","Not Employed","Urban Area","41","0.0117602609819373","0.00805789924960901","0.0154626227142655"
"Part-time","1995","Employed","Rural Area","297","0.119757701881058","0.107934729174133","0.131580674587983"
"Part-time","1995","Employed","Urban Area","649","0.121693661387609","0.113156830914887","0.130230491860331"
"Part-time","1995","Not Employed","Rural Area","11","","",""
"Part-time","1995","Not Employed","Urban Area","21","","",""
"Full-time","1996","Employed","Rural Area","1996","0.676363884934418","0.659321023947506","0.693406745921331"
"Full-time","1996","Employed","Urban Area","3861","0.694111920167376","0.681999085706864","0.706224754627889"
"Full-time","1996","Not Employed","Rural Area","19","","",""
"Full-time","1996","Not Employed","Urban Area","40","0.00880512299640628","0.00553229516197782","0.0120779508308347"
"Non-working","1996","Employed","Rural Area","359","0.121124175458992","0.10923907155051","0.133009279367475"
"Non-working","1996","Employed","Urban Area","571","0.0988126698639954","0.0909681998074053","0.106657139920585"
"Non-working","1996","Not Employed","Rural Area","1482","0.969928178516771","0.961395636476341","0.978460720557201"
"Non-working","1996","Not Employed","Urban Area","3030","0.974976387249036","0.969504363464555","0.980448411033517"
"Other","1996","Employed","Rural Area","228","0.0717314977065149","0.0623317637127738","0.0811312317002561"
"Other","1996","Employed","Urban Area","420","0.0745423276270103","0.0676378709490093","0.0814467843050113"
"Other","1996","Not Employed","Rural Area","26","","",""
"Other","1996","Not Employed","Urban Area","36","0.00849079720141909","0.00527640747722409","0.0117051869256141"
"Part-time","1996","Employed","Rural Area","312","0.130780441900074","0.118498700406827","0.143062183393322"
"Part-time","1996","Employed","Urban Area","707","0.132533082341618","0.123619785629287","0.141446379053949"
"Part-time","1996","Not Employed","Rural Area","12","","",""
"Part-time","1996","Not Employed","Urban Area","24","","",""
"Full-time","1997","Employed","Rural Area","1972","0.683839856642611","0.666589465876746","0.701090247408477"
"Full-time","1997","Employed","Urban Area","3727","0.693656166860808","0.681329184175996","0.705983149545621"
"Full-time","1997","Not Employed","Rural Area","18","","",""
"Full-time","1997","Not Employed","Urban Area","28","","",""
"Non-working","1997","Employed","Rural Area","321","0.125645249741005","0.113348649721474","0.137941849760535"
"Non-working","1997","Employed","Urban Area","543","0.0977631060507655","0.0898211427538637","0.105705069347667"
"Non-working","1997","Not Employed","Rural Area","1523","0.980554476268186","0.973734961133387","0.987373991402985"
"Non-working","1997","Not Employed","Urban Area","3097","0.979252259381021","0.974295012590757","0.984209506171284"
"Other","1997","Employed","Rural Area","213","0.0711826949744866","0.0616433064984975","0.0807220834504757"
"Other","1997","Employed","Urban Area","419","0.0712735261623151","0.0643935311322229","0.0781535211924074"
"Other","1997","Not Employed","Rural Area","25","","",""
"Other","1997","Not Employed","Urban Area","34","0.00656248452074002","0.00375438646810345","0.0093705825733766"
"Part-time","1997","Employed","Rural Area","285","0.119332198641898","0.107305316557372","0.131359080726423"
"Part-time","1997","Employed","Urban Area","683","0.137307200926111","0.128103662445308","0.146510739406914"
"Part-time","1997","Not Employed","Rural Area","9","","",""
"Part-time","1997","Not Employed","Urban Area","17","","",""
"Full-time","1998","Employed","Rural Area","2107","0.677023624552192","0.660474367831737","0.693572881272646"
"Full-time","1998","Employed","Urban Area","4081","0.698356703537852","0.686566134008959","0.710147273066744"
"Full-time","1998","Not Employed","Rural Area","19","","",""
