"erwst","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","in school","1","","","","1"
"Full-time","1984","inadequately","544","0.437532688124469","0.407073740401676","0.467991635847262","1"
"Full-time","1984","general elemantary","1061","0.207466828674402","0.193971247085691","0.220962410263112","1"
"Full-time","1984","middle vocational","2972","0.475849513764149","0.46291282419254","0.488786203335758","1"
"Full-time","1984","vocational + Abi","189","0.541262507524376","0.485971196874672","0.596553818174079","1"
"Full-time","1984","higher vocational","386","0.553588605264805","0.515662579988654","0.591514630540956","1"
"Full-time","1984","higher education","537","0.647601485895023","0.614352190228027","0.680850781562019","1"
"Non-working","1984","general elemantary","1824","0.625037322683282","0.608925096759769","0.641149548606795","5"
"Non-working","1984","middle vocational","2136","0.422550950029425","0.409755465904239","0.435346434154611","5"
"Non-working","1984","inadequately","421","0.491216308785487","0.460521567405359","0.521911050165615","5"
"Non-working","1984","vocational + Abi","99","0.378781855247547","0.324956433231995","0.4326072772631","5"
"Non-working","1984","higher vocational","205","0.352113085537858","0.315674055338864","0.388552115736851","5"
"Non-working","1984","in school","184","0.982945434617734","0.96438824006594","1.00150262916953","5"
"Non-working","1984","higher education","170","0.24426109054095","0.214357417573887","0.274164763508014","5"
"Other","1984","general elemantary","403","0.114654982626921","0.104051188512626","0.125258776741217","6"
"Other","1984","middle vocational","286","0.0453761428193147","0.0399848828354319","0.0507674028031975","6"
"Other","1984","vocational + Abi","9","","","","6"
"Other","1984","higher vocational","25","","","","6"
"Other","1984","higher education","28","","","","6"
"Other","1984","inadequately","26","","","","6"
"Other","1984","in school","1","","","","6"
"Part-time","1984","general elemantary","180","0.0528408660153954","0.0453951754090085","0.0602865566217823","2"
"Part-time","1984","inadequately","28","","","","2"
"Part-time","1984","in school","1","","","","2"
"Part-time","1984","middle vocational","331","0.0562233933871113","0.0502564285758708","0.0621903581983518","2"
"Part-time","1984","vocational + Abi","15","","","","2"
"Part-time","1984","higher vocational","44","0.0610163843924332","0.0427552242492311","0.0792775445356352","2"
"Part-time","1984","higher education","58","0.0741566477830211","0.0559195679852222","0.09239372758082","2"
"Full-time","1985","in school","","","","","1"
"Full-time","1985","inadequately","429","0.388339258735919","0.355555767759249","0.421122749712588","1"
"Full-time","1985","general elemantary","1028","0.235917405774449","0.220920785608102","0.250914025940796","1"
"Full-time","1985","middle vocational","2712","0.475749499329767","0.462172976621909","0.489326022037624","1"
"Full-time","1985","vocational + Abi","161","0.503977525313213","0.445414252736308","0.562540797890117","1"
"Full-time","1985","higher vocational","355","0.54415976591929","0.504988118908701","0.583331412929879","1"
"Full-time","1985","higher education","521","0.660801876800067","0.627098311680614","0.69450544191952","1"
"Non-working","1985","vocational + Abi","90","0.400549908714089","0.343154928668324","0.457944888759855","5"
"Non-working","1985","higher vocational","192","0.347084128329696","0.309643055784968","0.384525200874423","5"
"Non-working","1985","middle vocational","1917","0.420536110116696","0.407116348885552","0.433955871347839","5"
"Non-working","1985","general elemantary","1587","0.61364263111051","0.596443931621429","0.630841330599592","5"
"Non-working","1985","inadequately","375","0.531442150257759","0.49787582077674","0.565008479738779","5"
"Non-working","1985","in school","181","0.966362593209511","0.940521636012065","0.992203550406956","5"
