"erwst","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","lower secondary degree","(0) in school","","","",""
"Full-time","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Full-time","1984","lower secondary degree","(1b) general elementary school","514","0.196220244177255","0.179861486563665","0.212579001790845"
"Full-time","1984","lower secondary degree","(1c) basic vocational qualification","2013","0.497923781135319","0.48206818155088","0.513779380719758"
"Full-time","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Full-time","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Full-time","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"Full-time","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"Full-time","1984","secondary school degree","(0) in school","","","",""
"Full-time","1984","secondary school degree","(1a) inadequately completed","","","",""
"Full-time","1984","secondary school degree","(1b) general elementary school","","","",""
"Full-time","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Full-time","1984","secondary school degree","(2b) intermediate general qualification","68","0.139553736616552","0.108456520442687","0.170650952790417"
"Full-time","1984","secondary school degree","(2a) intermediate vocational","758","0.516277551243775","0.490202550693907","0.542352551793643"
"Full-time","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","secondary school degree","(3a) lower tertiary education","40","0.690472581911726","0.568295562028344","0.812649601795109"
"Full-time","1984","secondary school degree","(3b) higher tertiary education","","","",""
"Full-time","1984","college entrance qualification","(0) in school","","","",""
"Full-time","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Full-time","1984","college entrance qualification","(1b) general elementary school","","","",""
"Full-time","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Full-time","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Full-time","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Full-time","1984","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","college entrance qualification","(2c_voc) vocational maturity certificate","175","0.502342672477","0.44927425476569","0.555411090188311"
"Full-time","1984","college entrance qualification","(3a) lower tertiary education","125","0.637745603218701","0.569220806135313","0.706270400302089"
"Full-time","1984","college entrance qualification","(3b) higher tertiary education","302","0.648340387593074","0.604223525083938","0.692457250102209"
"Full-time","1984","Other degree","(0) in school","","","",""
"Full-time","1984","Other degree","(1a) inadequately completed","","","",""
"Full-time","1984","Other degree","(1b) general elementary school","486","0.606324309736671","0.571382136554961","0.641266482918382"
"Full-time","1984","Other degree","(1c) basic vocational qualification","352","0.76020315130842","0.720710936640077","0.799695365976763"
"Full-time","1984","Other degree","(2b) intermediate general qualification","","","",""
"Full-time","1984","Other degree","(2a) intermediate vocational","","","",""
"Full-time","1984","Other degree","(2c_gen) general maturity certificate","48","0.60199268395706","0.499722770322174","0.704262597591947"
"Full-time","1984","Other degree","(2c_voc) vocational maturity certificate","83","0.79833979756151","0.721956369126469","0.87472322599655"
"Full-time","1984","Other degree","(3a) lower tertiary education","","","",""
"Full-time","1984","Other degree","(3b) higher tertiary education","41","0.688514899902701","0.567223673431821","0.80980612637358"
"Full-time","1984","no degree/no degree yet","(0) in school","","","",""
"Full-time","1984","no degree/no degree yet","(1a) inadequately completed","615","0.465395717097779","0.43611794233883","0.494673491856728"
"Full-time","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Full-time","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Full-time","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Full-time","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Full-time","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Full-time","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Part-time","1984","lower secondary degree","(0) in school","","","",""
"Part-time","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Part-time","1984","lower secondary degree","(1b) general elementary school","138","0.0579075950620625","0.0482865024437966","0.0675286876803285"
"Part-time","1984","lower secondary degree","(1c) basic vocational qualification","226","0.0545514101512018","0.0473496548735263","0.0617531654288772"
"Part-time","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Part-time","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Part-time","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"Part-time","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"Part-time","1984","secondary school degree","(0) in school","","","",""
"Part-time","1984","secondary school degree","(1a) inadequately completed","","","",""
"Part-time","1984","secondary school degree","(1b) general elementary school","","","",""
"Part-time","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Part-time","1984","secondary school degree","(2b) intermediate general qualification","","","",""
"Part-time","1984","secondary school degree","(2a) intermediate vocational","117","0.0724233371048741","0.0588995365569276","0.0859471376528206"
"Part-time","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","secondary school degree","(3a) lower tertiary education","","","",""
"Part-time","1984","secondary school degree","(3b) higher tertiary education","","","",""
"Part-time","1984","college entrance qualification","(0) in school","","","",""
"Part-time","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Part-time","1984","college entrance qualification","(1b) general elementary school","","","",""
"Part-time","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Part-time","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Part-time","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Part-time","1984","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","college entrance qualification","(3a) lower tertiary education","","","",""
"Part-time","1984","college entrance qualification","(3b) higher tertiary education","43","0.0936369040885516","0.0667205356549696","0.120553272522134"
"Part-time","1984","Other degree","(0) in school","","","",""
"Part-time","1984","Other degree","(1a) inadequately completed","","","",""
"Part-time","1984","Other degree","(1b) general elementary school","","","",""
"Part-time","1984","Other degree","(1c) basic vocational qualification","","","",""
"Part-time","1984","Other degree","(2b) intermediate general qualification","","","",""
"Part-time","1984","Other degree","(2a) intermediate vocational","","","",""
"Part-time","1984","Other degree","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","Other degree","(3a) lower tertiary education","","","",""
"Part-time","1984","Other degree","(3b) higher tertiary education","","","",""
"Part-time","1984","no degree/no degree yet","(0) in school","","","",""
"Part-time","1984","no degree/no degree yet","(1a) inadequately completed","","","",""
"Part-time","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Part-time","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Part-time","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Part-time","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Part-time","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Part-time","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Non-working","1984","lower secondary degree","(0) in school","","","",""
"Non-working","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Non-working","1984","lower secondary degree","(1b) general elementary school","1370","0.660339580187404","0.640831433369134","0.679847727005674"
"Non-working","1984","lower secondary degree","(1c) basic vocational qualification","1444","0.417379129972062","0.401741360989694","0.43301689895443"
"Non-working","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Non-working","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Non-working","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Non-working","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"Non-working","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"Non-working","1984","secondary school degree","(0) in school","","","",""
"Non-working","1984","secondary school degree","(1a) inadequately completed","","","",""
"Non-working","1984","secondary school degree","(1b) general elementary school","","","",""
"Non-working","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Non-working","1984","secondary school degree","(2b) intermediate general qualification","247","0.537424114251542","0.49267968520408","0.582168543299004"
"Non-working","1984","secondary school degree","(2a) intermediate vocational","463","0.364687306476911","0.339571988899738","0.389802624054084"
"Non-working","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Non-working","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","secondary school degree","(3a) lower tertiary education","","","",""
"Non-working","1984","secondary school degree","(3b) higher tertiary education","","","",""
"Non-working","1984","college entrance qualification","(0) in school","","","",""
"Non-working","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Non-working","1984","college entrance qualification","(1b) general elementary school","","","",""
"Non-working","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Non-working","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Non-working","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Non-working","1984","college entrance qualification","(2c_gen) general maturity certificate","219","0.696120848274331","0.645329985847244","0.746911710701419"
"Non-working","1984","college entrance qualification","(2c_voc) vocational maturity certificate","130","0.404871270438954","0.352771616354784","0.456970924523123"
"Non-working","1984","college entrance qualification","(3a) lower tertiary education","48","0.270655711889179","0.207313666899612","0.333997756878745"
"Non-working","1984","college entrance qualification","(3b) higher tertiary education","87","0.222382473434597","0.183960901194475","0.260804045674718"
"Non-working","1984","Other degree","(0) in school","","","",""
"Non-working","1984","Other degree","(1a) inadequately completed","","","",""
"Non-working","1984","Other degree","(1b) general elementary school","220","0.328726466499215","0.29512987486927","0.36232305812916"
"Non-working","1984","Other degree","(1c) basic vocational qualification","80","0.20216088261486","0.165013249655005","0.239308515574714"
"Non-working","1984","Other degree","(2b) intermediate general qualification","","","",""
"Non-working","1984","Other degree","(2a) intermediate vocational","","","",""
"Non-working","1984","Other degree","(2c_gen) general maturity certificate","31","0.292724582123736","0.197657397142078","0.387791767105394"
"Non-working","1984","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","Other degree","(3a) lower tertiary education","","","",""
"Non-working","1984","Other degree","(3b) higher tertiary education","","","",""
"Non-working","1984","no degree/no degree yet","(0) in school","184","0.982027117977007","0.96303647065532","1.00101776529869"
"Non-working","1984","no degree/no degree yet","(1a) inadequately completed","446","0.476670572682029","0.447354390884604","0.505986754479453"
"Non-working","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Non-working","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Non-working","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Non-working","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Non-working","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Non-working","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Non-working","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Other","1984","lower secondary degree","(0) in school","","","",""
"Other","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Other","1984","lower secondary degree","(1b) general elementary school","242","0.0855325805732782","0.0740123867530726","0.0970527743934838"
"Other","1984","lower secondary degree","(1c) basic vocational qualification","137","0.0301456787414173","0.0247233955553015","0.035567961927533"
"Other","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Other","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Other","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Other","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"Other","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"Other","1984","secondary school degree","(0) in school","","","",""
"Other","1984","secondary school degree","(1a) inadequately completed","","","",""
"Other","1984","secondary school degree","(1b) general elementary school","","","",""
"Other","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Other","1984","secondary school degree","(2b) intermediate general qualification","145","0.289454011276788","0.248755850441722","0.330152172111854"
"Other","1984","secondary school degree","(2a) intermediate vocational","73","0.0466118051744401","0.0356124448184328","0.0576111655304475"
"Other","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Other","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","secondary school degree","(3a) lower tertiary education","","","",""
"Other","1984","secondary school degree","(3b) higher tertiary education","","","",""
"Other","1984","college entrance qualification","(0) in school","","","",""
"Other","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Other","1984","college entrance qualification","(1b) general elementary school","","","",""
"Other","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Other","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Other","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Other","1984","college entrance qualification","(2c_gen) general maturity certificate","69","0.219321100938696","0.173626041849512","0.26501616002788"
"Other","1984","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","college entrance qualification","(3a) lower tertiary education","","","",""
"Other","1984","college entrance qualification","(3b) higher tertiary education","","","",""
