"ple0019","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","Urban Area","154","0.0819071606145766","0.0699159685769821","0.0938983526521711"
"Yes","2009","1-pers.-HH","Rural Area","60","0.0771415214014683","0.0597195479039588","0.0945634948989779"
"Yes","2009","(Married) couple without C. ","Urban Area","229","0.059917034479915","0.0529028251076659","0.0669312438521641"
"Yes","2009","(Married) couple without C. ","Rural Area","101","0.0446037847803162","0.0361359427152569","0.0530716268453756"
"Yes","2009","Single parent ","Urban Area","49","0.0822338012307274","0.0607133121674303","0.103754290294024"
"Yes","2009","Single parent ","Rural Area","21","","",""
"Yes","2009","Couple + C. LE 16 ","Urban Area","64","0.0390529515243216","0.0303193404356745","0.0477865626129687"
"Yes","2009","Couple + C. LE 16 ","Rural Area","31","0.0310057849060616","0.0200978087233261","0.0419137610887971"
"Yes","2009","Couple + C. GT 16 ","Urban Area","80","0.0384787017431463","0.0299783759620887","0.0469790275242039"
"Yes","2009","Couple + C. GT 16 ","Rural Area","31","0.0220106573637418","0.0137025280090982","0.0303187867183854"
"Yes","2009","Couple + C. LE and GT 16","Urban Area","27","","",""
"Yes","2009","Couple + C. LE and GT 16","Rural Area","17","","",""
"No","2009","1-pers.-HH","Urban Area","1855","0.918092839385423","0.906101647347829","0.930084031423018"
"No","2009","1-pers.-HH","Rural Area","841","0.922858478598532","0.905436505101022","0.940280452096041"
"No","2009","(Married) couple without C. ","Urban Area","4169","0.940082965520085","0.933068756147836","0.947097174892334"
"No","2009","(Married) couple without C. ","Rural Area","2182","0.955396215219684","0.946928373154624","0.963864057284743"
"No","2009","Single parent ","Urban Area","577","0.917766198769273","0.896245709705976","0.93928668783257"
"No","2009","Single parent ","Rural Area","349","0.938649398137504","0.914197738278412","0.963101057996596"
"No","2009","Couple + C. LE 16 ","Urban Area","1826","0.960947048475678","0.952213437387031","0.969680659564326"
"No","2009","Couple + C. LE 16 ","Rural Area","939","0.968994215093938","0.958086238911203","0.979902191276674"
"No","2009","Couple + C. GT 16 ","Urban Area","1887","0.961521298256854","0.953020972475796","0.970021624037911"
"No","2009","Couple + C. GT 16 ","Rural Area","1167","0.977989342636258","0.969681213281614","0.986297471990902"
