"ple0019","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Male","5","","",""
"Yes","2009","Schleswig-Holstein","Female","12","","",""
"Yes","2009","Hamburg","Male","5","","",""
"Yes","2009","Hamburg","Female","13","","",""
"Yes","2009","Lower Saxony","Male","20","","",""
"Yes","2009","Lower Saxony","Female","59","0.0642680460433498","0.0478015356784309","0.0807345564082686"
"Yes","2009","Bremen","Male","2","","",""
"Yes","2009","Bremen","Female","2","","",""
"Yes","2009","North Rhine-Westphalia","Male","65","0.0466718808729424","0.0367693033583208","0.056574458387564"
"Yes","2009","North Rhine-Westphalia","Female","118","0.0778152140721723","0.0657763899581964","0.0898540381861481"
"Yes","2009","Hesse","Male","24","","",""
"Yes","2009","Hesse","Female","53","0.104220539462153","0.0805300043523295","0.127911074571977"
"Yes","2009","Rhineland-Palatinate,Saarland","Male","19","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Female","46","0.0919887697629553","0.0681157746626395","0.115861764863271"
"Yes","2009","Baden-Württemberg","Male","35","0.0366777166863832","0.0251024683470379","0.0482529650257285"
"Yes","2009","Baden-Württemberg","Female","71","0.0671556841973283","0.0523981796451357","0.0819131887495209"
"Yes","2009","Bavaria","Male","42","0.0389288370644375","0.0281845673104457","0.0496731068184293"
"Yes","2009","Bavaria","Female","87","0.0632912838387255","0.0504587849804468","0.0761237826970041"
"Yes","2009","Berlin","Male","18","","",""
"Yes","2009","Berlin","Female","25","","",""
"Yes","2009","Brandenburg","Male","9","","",""
"Yes","2009","Brandenburg","Female","24","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Male","6","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Female","14","","",""
"Yes","2009","Saxony","Male","14","","",""
"Yes","2009","Saxony","Female","33","0.0760585210389299","0.0563783951406923","0.0957386469371675"
"Yes","2009","Saxony-Anhalt","Male","10","","",""
"Yes","2009","Saxony-Anhalt","Female","22","","",""
"Yes","2009","Thuringia","Male","15","","",""
"Yes","2009","Thuringia","Female","26","","",""
"No","2009","Schleswig-Holstein","Male","245","0.982503137149601","0.966250450833476","0.998755823465725"
"No","2009","Schleswig-Holstein","Female","254","0.966949751121455","0.945466668792348","0.988432833450562"
"No","2009","Hamburg","Male","121","0.948060820553728","0.909314679047304","0.986806962060152"
"No","2009","Hamburg","Female","132","0.912133216869781","0.866053946991569","0.958212486747993"
"No","2009","Lower Saxony","Male","775","0.980660917739615","0.971088053697847","0.990233781781383"
"No","2009","Lower Saxony","Female","793","0.93573195395665","0.919265443591731","0.952198464321569"
"No","2009","Bremen","Male","54","0.914634444198566","0.841449930746709","0.987818957650424"
"No","2009","Bremen","Female","62","0.941846095164512","0.88450875855999","0.999183431769033"
"No","2009","North Rhine-Westphalia","Male","1678","0.953328119127058","0.943425541612436","0.963230696641679"
"No","2009","North Rhine-Westphalia","Female","1784","0.922184785927828","0.910145961813852","0.934223610041804"
"No","2009","Hesse","Male","563","0.942383412839079","0.923533184209655","0.961233641468503"
"No","2009","Hesse","Female","586","0.895779460537847","0.872088925428023","0.91946999564767"
"No","2009","Rhineland-Palatinate,Saarland","Male","445","0.964666577539117","0.947868074985039","0.981465080093195"
"No","2009","Rhineland-Palatinate,Saarland","Female","517","0.908011230237045","0.884138235136729","0.93188422533736"
"No","2009","Baden-Württemberg","Male","978","0.963322283313617","0.951747034974271","0.974897531652962"
"No","2009","Baden-Württemberg","Female","1034","0.932844315802672","0.918086811250479","0.947601820354864"
"No","2009","Bavaria","Male","1203","0.961071162935562","0.950326893181571","0.971815432689554"
