"ple0019","year","n","percent","lower_confidence","upper_confidence","value"
"No","2009","17232","0.943783606361028","0.940430365044416","0.94713684767764","2"
"Yes","2009","894","0.0562163936389725","0.0528631523223606","0.0595696349555843","1"
"No","2010","","","","","2"
"Yes","2010","","","","","1"
"No","2011","19615","0.937333004845824","0.934044054406581","0.940621955285067","2"
"Yes","2011","1245","0.062666995154176","0.0593780447149333","0.0659559455934186","1"
"No","2012","","","","","2"
"Yes","2012","","","","","1"
"No","2013","17614","0.92375250328537","0.91997596764083","0.927529038929909","2"
"Yes","2013","1357","0.0762474967146301","0.0724709610700905","0.0800240323591696","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","23270","0.917562147403565","0.914164427587902","0.920959867219229","2"
"Yes","2015","1900","0.0824378525964346","0.0790401327807713","0.085835572412098","1"
"No","2016","","","","","2"
"Yes","2016","","","","","1"
"No","2017","24637","0.914821186465748","0.911474312291428","0.918168060640069","2"
"Yes","2017","2086","0.0851788135342519","0.0818319393599314","0.0885256877085725","1"
"No","2018","","","","","2"
"Yes","2018","","","","","1"
"No","2019","23500","0.902363533889695","0.898747248063237","0.905979819716153","2"
"Yes","2019","2380","0.097636466110305","0.0940201802838471","0.101252751936763","1"
