"ple0019","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","Part Time","246","0.986213089670508","0.971729798086462","1.00069638125455","2"
"No","2009","66 and older","Not Working","3730","0.950095912570063","0.943265530923232","0.956926294216894","2"
"No","2009","16-34 y.","Full Time","1701","0.970349938494522","0.962368607128065","0.97833126986098","2"
"No","2009","16-34 y.","Not Working","1017","0.982375886040829","0.974375097170109","0.990376674911549","2"
"No","2009","35-65 y.","Full Time","5010","0.954102456349329","0.948421826947408","0.959783085751249","2"
"No","2009","35-65 y.","Part Time","2553","0.914253787167725","0.903791090039975","0.924716484295475","2"
"No","2009","66 and older","Full Time","66","1","1","1","2"
"No","2009","16-34 y.","Part Time","1195","0.967889810839717","0.958045685649625","0.977733936029808","2"
"No","2009","35-65 y.","Not Working","1714","0.869561966311116","0.854563886156125","0.884560046466108","2"
"Yes","2009","16-34 y.","Full Time","34","0.0296500615054775","0.0216687301390202","0.0376313928719348","1"
"Yes","2009","16-34 y.","Part Time","37","0.0321101891602834","0.022266063970192","0.0419543143503749","1"
"Yes","2009","16-34 y.","Not Working","22","","","","1"
"Yes","2009","35-65 y.","Full Time","203","0.0458975436506713","0.0402169142487509","0.0515781730525917","1"
"Yes","2009","35-65 y.","Part Time","198","0.085746212832275","0.0752835157045252","0.0962089099600247","1"
"Yes","2009","35-65 y.","Not Working","223","0.130438033688884","0.115439953533892","0.145436113843875","1"
"Yes","2009","66 and older","Full Time","","","","","1"
"Yes","2009","66 and older","Part Time","3","","","","1"
"Yes","2009","66 and older","Not Working","174","0.0499040874299369","0.043073705783106","0.0567344690767678","1"
"No","2010","16-34 y.","Full Time","","","","","2"
"No","2010","16-34 y.","Not Working","","","","","2"
"No","2010","35-65 y.","Full Time","","","","","2"
"No","2010","35-65 y.","Part Time","","","","","2"
"No","2010","66 and older","Full Time","","","","","2"
"No","2010","66 and older","Part Time","","","","","2"
"No","2010","66 and older","Not Working","","","","","2"
"No","2010","16-34 y.","Part Time","","","","","2"
"No","2010","35-65 y.","Not Working","","","","","2"
"Yes","2010","16-34 y.","Full Time","","","","","1"
"Yes","2010","16-34 y.","Part Time","","","","","1"
"Yes","2010","16-34 y.","Not Working","","","","","1"
"Yes","2010","35-65 y.","Full Time","","","","","1"
"Yes","2010","35-65 y.","Part Time","","","","","1"
"Yes","2010","35-65 y.","Not Working","","","","","1"
"Yes","2010","66 and older","Full Time","","","","","1"
"Yes","2010","66 and older","Part Time","","","","","1"
"Yes","2010","66 and older","Not Working","","","","","1"
"No","2011","16-34 y.","Full Time","1803","0.970184637689954","0.9624491200378","0.977920155342108","2"
"No","2011","16-34 y.","Part Time","1276","0.953990152218513","0.942764350206892","0.965215954230135","2"
"No","2011","16-34 y.","Not Working","1063","0.946659419920028","0.933451894812327","0.95986694502773","2"
"No","2011","35-65 y.","Full Time","5576","0.942724913039558","0.936790663369243","0.948659162709874","2"
"No","2011","35-65 y.","Part Time","2986","0.905736178281043","0.895684300195774","0.915788056366313","2"
"No","2011","66 and older","Full Time","62","0.986573158531328","0.958152810320771","1.01499350674188","2"
"No","2011","66 and older","Part Time","317","0.99282611649997","0.983579414572556","1.00207281842738","2"
"No","2011","66 and older","Not Working","4613","0.959714564137445","0.954156083385736","0.965273044889155","2"
"No","2011","35-65 y.","Not Working","1919","0.842209105640382","0.827068650957615","0.857349560323149","2"
"Yes","2011","16-34 y.","Full Time","54","0.0298153623100459","0.0220798446578917","0.0375508799622001","1"
"Yes","2011","16-34 y.","Part Time","62","0.0460098477814866","0.0347840457698648","0.0572356497931084","1"
"Yes","2011","16-34 y.","Not Working","49","0.0533405800799715","0.0401330549722704","0.0665481051876725","1"
