"ple0019","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","Urban Area","168","0.0452805122230042","0.0392470859543248","0.0513139384916837"
"Yes","2009","Full Time","Rural Area","69","0.0321170538797341","0.0251384728246976","0.0390956349347707"
"Yes","2009","Part Time","Urban Area","173","0.0731930026838722","0.0635886455883599","0.0827973597793845"
"Yes","2009","Part Time","Rural Area","65","0.0422990573938891","0.0317823123742759","0.0528158024135022"
"Yes","2009","Not Working","Urban Area","281","0.0680828053116782","0.0607060573830553","0.0754595532403011"
"Yes","2009","Not Working","Rural Area","138","0.0644562956010701","0.0546339158109199","0.0742786753912203"
"No","2009","Full Time","Urban Area","4394","0.954719487776996","0.948686061508316","0.960752914045675"
"No","2009","Full Time","Rural Area","2383","0.967882946120266","0.960904365065229","0.974861527175303"
"No","2009","Part Time","Urban Area","2652","0.926806997316128","0.917202640220615","0.93641135441164"
"No","2009","Part Time","Rural Area","1342","0.957700942606111","0.947184197586498","0.968217687625724"
"No","2009","Not Working","Urban Area","4198","0.931917194688322","0.924540446759699","0.939293942616945"
"No","2009","Not Working","Rural Area","2263","0.93554370439893","0.92572132460878","0.94536608418908"
"Yes","2010","Full Time","Urban Area","","","",""
"Yes","2010","Full Time","Rural Area","","","",""
"Yes","2010","Part Time","Urban Area","","","",""
"Yes","2010","Part Time","Rural Area","","","",""
"Yes","2010","Not Working","Urban Area","","","",""
"Yes","2010","Not Working","Rural Area","","","",""
"No","2010","Full Time","Urban Area","","","",""
"No","2010","Full Time","Rural Area","","","",""
"No","2010","Part Time","Urban Area","","","",""
"No","2010","Part Time","Rural Area","","","",""
"No","2010","Not Working","Urban Area","","","",""
"No","2010","Not Working","Rural Area","","","",""
"Yes","2011","Full Time","Urban Area","247","0.0519713290562242","0.0458474855182095","0.0580951725942388"
"Yes","2011","Full Time","Rural Area","122","0.0436160075108978","0.0360005367980908","0.0512314782237047"
"Yes","2011","Part Time","Urban Area","209","0.0725909429832948","0.0636512887810764","0.0815305971855132"
"Yes","2011","Part Time","Rural Area","116","0.0745310899569711","0.0619273416752129","0.0871348382387293"
"Yes","2011","Not Working","Urban Area","378","0.0737984243109591","0.0667684379018831","0.0808284107200351"
"Yes","2011","Not Working","Rural Area","173","0.0625563108298345","0.0536390193413404","0.0714736023183286"
"No","2011","Full Time","Urban Area","4800","0.948028670943776","0.941904827405761","0.954152514481791"
"No","2011","Full Time","Rural Area","2641","0.956383992489102","0.948768521776295","0.963999463201909"
"No","2011","Part Time","Urban Area","3027","0.927409057016705","0.918469402814487","0.936348711218924"
"No","2011","Part Time","Rural Area","1552","0.925468910043029","0.912865161761271","0.938072658324787"
"No","2011","Not Working","Urban Area","4935","0.926201575689041","0.919171589279965","0.933231562098117"
"No","2011","Not Working","Rural Area","2660","0.937443689170165","0.928526397681671","0.946360980658659"
"Yes","2012","Full Time","Urban Area","","","",""
"Yes","2012","Full Time","Rural Area","","","",""
"Yes","2012","Part Time","Urban Area","","","",""
"Yes","2012","Part Time","Rural Area","","","",""
"Yes","2012","Not Working","Urban Area","","","",""
"Yes","2012","Not Working","Rural Area","","","",""
"No","2012","Full Time","Urban Area","","","",""
"No","2012","Full Time","Rural Area","","","",""
"No","2012","Part Time","Urban Area","","","",""
"No","2012","Part Time","Rural Area","","","",""
"No","2012","Not Working","Urban Area","","","",""
"No","2012","Not Working","Rural Area","","","",""
"Yes","2013","Full Time","Urban Area","255","0.0604908664321537","0.0535609374955537","0.0674207953687537"
"Yes","2013","Full Time","Rural Area","122","0.0595669103871806","0.0501968384839316","0.0689369822904296"
"Yes","2013","Part Time","Urban Area","249","0.088451035482291","0.0782935968103875","0.0986084741541946"
"Yes","2013","Part Time","Rural Area","99","0.0553391278955763","0.0441218942366387","0.0665563615545138"
"Yes","2013","Not Working","Urban Area","421","0.0906185970152907","0.0824437788757085","0.0987934151548728"
"Yes","2013","Not Working","Rural Area","211","0.091920435973206","0.0808975228448648","0.102943349101547"
"No","2013","Full Time","Urban Area","4291","0.939509133567846","0.932579204631246","0.946439062504446"
"No","2013","Full Time","Rural Area","2329","0.940433089612819","0.93106301770957","0.949803161516068"
"No","2013","Part Time","Urban Area","2753","0.911548964517709","0.901391525845805","0.921706403189612"
"No","2013","Part Time","Rural Area","1497","0.944660872104424","0.933443638445486","0.955878105763361"
"No","2013","Not Working","Urban Area","4316","0.909381402984709","0.901206584845127","0.917556221124291"
"No","2013","Not Working","Rural Area","2428","0.908079564026794","0.897056650898453","0.919102477155135"
"Yes","2014","Full Time","Urban Area","","","",""
"Yes","2014","Full Time","Rural Area","","","",""
"Yes","2014","Part Time","Urban Area","","","",""
"Yes","2014","Part Time","Rural Area","","","",""
"Yes","2014","Not Working","Urban Area","","","",""
"Yes","2014","Not Working","Rural Area","","","",""
"No","2014","Full Time","Urban Area","","","",""
"No","2014","Full Time","Rural Area","","","",""
"No","2014","Part Time","Urban Area","","","",""
"No","2014","Part Time","Rural Area","","","",""
"No","2014","Not Working","Urban Area","","","",""
"No","2014","Not Working","Rural Area","","","",""
