"ple0019","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","general elemantary","Urban Area","1134","0.939852879078825","0.926434137258974","0.953271620898676","2"
"No","2009","vocational + Abi","Urban Area","703","0.92839483832214","0.90989290119881","0.94689677544547","2"
"No","2009","higher education","Urban Area","2721","0.944225834633319","0.93580359081408","0.952648078452558","2"
"No","2009","in school","Urban Area","215","0.986943392766584","0.971908950366794","1.00197783516637","2"
"No","2009","in school","Rural Area","93","0.998612408230339","0.991087286999728","1.00613752946095","2"
"No","2009","general elemantary","Rural Area","582","0.971304412073431","0.958012207297763","0.984596616849098","2"
"No","2009","vocational + Abi","Rural Area","247","0.960514812334502","0.936705290921093","0.98432433374791","2"
"No","2009","higher education","Rural Area","1146","0.952760132542075","0.940741719123876","0.964778545960274","2"
"No","2009","inadequately","Urban Area","113","0.881639091959743","0.825234770128742","0.938043413790744","2"
"No","2009","inadequately","Rural Area","39","0.916817607191711","0.834276357415443","0.999358856967979","2"
"No","2009","middle vocational","Urban Area","5373","0.937007566251824","0.930689420126395","0.943325712377253","2"
"No","2009","middle vocational","Rural Area","3273","0.946506210590484","0.938976970469117","0.954035450711852","2"
"No","2009","higher vocational","Urban Area","773","0.93658219251117","0.919911445065084","0.953252939957256","2"
"No","2009","higher vocational","Rural Area","494","0.956599110629414","0.939035365739374","0.974162855519453","2"
"Yes","2009","in school","Urban Area","4","","","","1"
"Yes","2009","in school","Rural Area","1","","","","1"
"Yes","2009","inadequately","Urban Area","13","","","","1"
"Yes","2009","inadequately","Rural Area","4","","","","1"
"Yes","2009","general elemantary","Urban Area","72","0.0601471209211748","0.0467283791013236","0.073565862741026","1"
"Yes","2009","general elemantary","Rural Area","24","","","","1"
"Yes","2009","middle vocational","Urban Area","307","0.0629924337481764","0.0566742876227473","0.0693105798736054","1"
"Yes","2009","middle vocational","Rural Area","158","0.0534937894095155","0.0459645492881478","0.0610230295308833","1"
"Yes","2009","vocational + Abi","Urban Area","43","0.0716051616778599","0.0531032245545302","0.0901070988011896","1"
"Yes","2009","vocational + Abi","Rural Area","10","","","","1"
"Yes","2009","higher vocational","Urban Area","48","0.06341780748883","0.0467470600427439","0.080088554934916","1"
"Yes","2009","higher vocational","Rural Area","23","","","","1"
"Yes","2009","higher education","Urban Area","131","0.0557741653666812","0.0473519215474423","0.0641964091859202","1"
"Yes","2009","higher education","Rural Area","51","0.0472398674579249","0.035221454039726","0.0592582808761238","1"
"No","2010","in school","Urban Area","","","","","2"
"No","2010","in school","Rural Area","","","","","2"
"No","2010","general elemantary","Urban Area","","","","","2"
"No","2010","general elemantary","Rural Area","","","","","2"
"No","2010","vocational + Abi","Urban Area","","","","","2"
"No","2010","vocational + Abi","Rural Area","","","","","2"
"No","2010","higher education","Urban Area","","","","","2"
"No","2010","higher education","Rural Area","","","","","2"
"No","2010","inadequately","Urban Area","","","","","2"
"No","2010","inadequately","Rural Area","","","","","2"
"No","2010","middle vocational","Urban Area","","","","","2"
"No","2010","middle vocational","Rural Area","","","","","2"
"No","2010","higher vocational","Urban Area","","","","","2"
"No","2010","higher vocational","Rural Area","","","","","2"
"Yes","2010","in school","Urban Area","","","","","1"
"Yes","2010","in school","Rural Area","","","","","1"
"Yes","2010","inadequately","Urban Area","","","","","1"
"Yes","2010","inadequately","Rural Area","","","","","1"
"Yes","2010","general elemantary","Urban Area","","","","","1"
"Yes","2010","general elemantary","Rural Area","","","","","1"
"Yes","2010","middle vocational","Urban Area","","","","","1"
"Yes","2010","middle vocational","Rural Area","","","","","1"
"Yes","2010","vocational + Abi","Urban Area","","","","","1"
"Yes","2010","vocational + Abi","Rural Area","","","","","1"
"Yes","2010","higher vocational","Urban Area","","","","","1"
"Yes","2010","higher vocational","Rural Area","","","","","1"
"Yes","2010","higher education","Urban Area","","","","","1"
"Yes","2010","higher education","Rural Area","","","","","1"
"No","2011","in school","Urban Area","232","0.984632935118312","0.968939257348395","1.00032661288823","2"
"No","2011","general elemantary","Urban Area","1328","0.928706071728034","0.915397351794236","0.942014791661831","2"
"No","2011","vocational + Abi","Urban Area","825","0.931377091212974","0.914749132197707","0.948005050228242","2"
"No","2011","in school","Rural Area","76","0.985883458627638","0.959533516174536","1.01223340108074","2"
"No","2011","general elemantary","Rural Area","705","0.951027547247923","0.935603027635308","0.966452066860538","2"
"No","2011","vocational + Abi","Rural Area","307","0.945262904653514","0.920379330744731","0.970146478562298","2"
"No","2011","inadequately","Urban Area","156","0.919536197170959","0.878281391346115","0.960791002995802","2"
"No","2011","inadequately","Rural Area","59","0.908872929351087","0.839442250389194","0.97830360831298","2"
"No","2011","middle vocational","Urban Area","6104","0.930317470642178","0.924134434921722","0.936500506362633","2"
"No","2011","middle vocational","Rural Area","3802","0.939819851819976","0.932480983798175","0.947158719841776","2"
"No","2011","higher vocational","Urban Area","824","0.934008023577303","0.917567452116962","0.950448595037643","2"
"No","2011","higher vocational","Rural Area","552","0.954000208169959","0.936922234497935","0.971078181841982","2"
"No","2011","higher education","Urban Area","3082","0.944931366075702","0.937099627270321","0.952763104881083","2"
"No","2011","higher education","Rural Area","1262","0.939347475724059","0.926572170688099","0.952122780760019","2"
"Yes","2011","in school","Urban Area","4","","","","1"
"Yes","2011","in school","Rural Area","1","","","","1"
"Yes","2011","inadequately","Urban Area","11","","","","1"
"Yes","2011","inadequately","Rural Area","7","","","","1"
"Yes","2011","general elemantary","Urban Area","108","0.0712939282719664","0.0579852083381691","0.0846026482057636","1"
"Yes","2011","general elemantary","Rural Area","47","0.0489724527520771","0.0335479331394618","0.0643969723646925","1"
"Yes","2011","middle vocational","Urban Area","410","0.0696825293578223","0.0634994936373671","0.0758655650782776","1"
"Yes","2011","middle vocational","Rural Area","232","0.0601801481800244","0.0528412801582238","0.0675190162018251","1"
"Yes","2011","vocational + Abi","Urban Area","63","0.0686229087870256","0.0519949497717584","0.0852508678022928","1"
"Yes","2011","vocational + Abi","Rural Area","14","","","","1"
"Yes","2011","higher vocational","Urban Area","52","0.0659919764226973","0.049551404962357","0.0824325478830376","1"
"Yes","2011","higher vocational","Rural Area","26","","","","1"
"Yes","2011","higher education","Urban Area","177","0.0550686339242977","0.0472368951189166","0.0629003727296788","1"
"Yes","2011","higher education","Rural Area","79","0.0606525242759409","0.0478772192399807","0.0734278293119011","1"
"No","2012","in school","Urban Area","","","","","2"
"No","2012","in school","Rural Area","","","","","2"
"No","2012","general elemantary","Urban Area","","","","","2"
"No","2012","general elemantary","Rural Area","","","","","2"
"No","2012","vocational + Abi","Urban Area","","","","","2"
"No","2012","vocational + Abi","Rural Area","","","","","2"
"No","2012","higher vocational","Urban Area","","","","","2"
"No","2012","higher vocational","Rural Area","","","","","2"
"No","2012","higher education","Urban Area","","","","","2"
"No","2012","higher education","Rural Area","","","","","2"
"No","2012","inadequately","Urban Area","","","","","2"
"No","2012","inadequately","Rural Area","","","","","2"
"No","2012","middle vocational","Urban Area","","","","","2"
"No","2012","middle vocational","Rural Area","","","","","2"
"Yes","2012","higher vocational","Urban Area","","","","","1"
"Yes","2012","higher vocational","Rural Area","","","","","1"
"Yes","2012","in school","Urban Area","","","","","1"
"Yes","2012","in school","Rural Area","","","","","1"
"Yes","2012","inadequately","Urban Area","","","","","1"
"Yes","2012","inadequately","Rural Area","","","","","1"
"Yes","2012","general elemantary","Urban Area","","","","","1"
"Yes","2012","general elemantary","Rural Area","","","","","1"
"Yes","2012","middle vocational","Urban Area","","","","","1"
"Yes","2012","middle vocational","Rural Area","","","","","1"
"Yes","2012","vocational + Abi","Urban Area","","","","","1"
"Yes","2012","vocational + Abi","Rural Area","","","","","1"
"Yes","2012","higher education","Urban Area","","","","","1"
"Yes","2012","higher education","Rural Area","","","","","1"
"No","2013","in school","Urban Area","183","0.992736617561543","0.980500357368034","1.00497287775505","2"
"No","2013","in school","Rural Area","74","0.996700785478831","0.983722864150917","1.00967870680675","2"
"No","2013","general elemantary","Urban Area","1132","0.912395247114097","0.896646605128965","0.928143889099228","2"
"No","2013","general elemantary","Rural Area","578","0.909840459142166","0.88744000942185","0.932240908862482","2"
"No","2013","vocational + Abi","Urban Area","732","0.908180537564995","0.888219940175825","0.928141134954165","2"
"No","2013","vocational + Abi","Rural Area","285","0.938907813786584","0.911761128574503","0.966054498998665","2"
"No","2013","higher vocational","Urban Area","739","0.926941188288814","0.908908291800345","0.944974084777282","2"
"No","2013","higher vocational","Rural Area","496","0.924090040664044","0.901605138058647","0.946574943269441","2"
"No","2013","higher education","Urban Area","2979","0.935670675858752","0.927159635431828","0.944181716285676","2"
"No","2013","higher education","Rural Area","1213","0.932819961946827","0.919138054599521","0.946501869294133","2"
"No","2013","inadequately","Urban Area","112","0.867424705008082","0.808905228765532","0.925944181250633","2"
"No","2013","inadequately","Rural Area","57","0.845605593915848","0.758433831304522","0.932777356527174","2"
"No","2013","middle vocational","Urban Area","5297","0.915627817447974","0.908441201923855","0.922814432972093","2"
"No","2013","middle vocational","Rural Area","3466","0.9299117332817","0.921700107677893","0.938123358885507","2"
"Yes","2013","higher vocational","Urban Area","61","0.0730588117111863","0.0550259152227182","0.0910917081996545","1"
"Yes","2013","higher vocational","Rural Area","37","0.0759099593359559","0.0534250567305589","0.0983948619413529","1"
"Yes","2013","in school","Urban Area","2","","","","1"
"Yes","2013","in school","Rural Area","1","","","","1"
"Yes","2013","inadequately","Urban Area","17","","","","1"
"Yes","2013","inadequately","Rural Area","9","","","","1"
