"ple0019","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","East Germany","809","0.970635748045218","0.959198462234648","0.982073033855787","2"
"No","2009","(Married) couple without C. ","West Germany","4602","0.942693779288373","0.936163252077191","0.949224306499555","2"
"No","2009","(Married) couple without C. ","East Germany","1749","0.954906415048776","0.945359840607533","0.964452989490019","2"
"No","2009","1-pers.-HH","East Germany","683","0.916223149832118","0.896288492137583","0.936157807526654","2"
"No","2009","Couple + C. GT 16 ","West Germany","2245","0.966692948295198","0.959403931113804","0.973981965476593","2"
"No","2009","Couple + C. LE and GT 16","West Germany","923","0.959589448914352","0.947126267806508","0.972052630022195","2"
"No","2009","Couple + C. LE and GT 16","East Germany","214","0.982625547172636","0.965437711317712","0.999813383027559","2"
"No","2009","1-pers.-HH","West Germany","2013","0.920162660067778","0.9087534970851","0.931571823050457","2"
"No","2009","Single parent ","West Germany","670","0.926341829973335","0.907366973409765","0.945316686536904","2"
"No","2009","Single parent ","East Germany","256","0.920569916428349","0.888195526520719","0.952944306335979","2"
"No","2009","Couple + C. LE 16 ","West Germany","2177","0.960876743547358","0.952881322946513","0.968872164148202","2"
"No","2009","Couple + C. LE 16 ","East Germany","588","0.977571185845356","0.965732916760866","0.989409454929846","2"
"Yes","2009","1-pers.-HH","West Germany","155","0.0798373399322218","0.068428176949543","0.0912465029149005","1"
"Yes","2009","1-pers.-HH","East Germany","59","0.0837768501678814","0.063842192473346","0.103711507862417","1"
"Yes","2009","(Married) couple without C. ","West Germany","264","0.0573062207116266","0.0507756935004445","0.0638367479228087","1"
"Yes","2009","(Married) couple without C. ","East Germany","66","0.0450935849512242","0.0355470105099814","0.054640159392467","1"
"Yes","2009","Single parent ","West Germany","58","0.0736581700266654","0.0546833134630956","0.0926330265902352","1"
"Yes","2009","Single parent ","East Germany","12","","","","1"
"Yes","2009","Couple + C. LE 16 ","West Germany","82","0.0391232564526424","0.0311278358517981","0.0471186770534867","1"
"Yes","2009","Couple + C. LE 16 ","East Germany","13","","","","1"
"Yes","2009","Couple + C. GT 16 ","West Germany","83","0.0333070517048019","0.0260180345234074","0.0405960688861964","1"
"Yes","2009","Couple + C. GT 16 ","East Germany","28","","","","1"
"Yes","2009","Couple + C. LE and GT 16","West Germany","36","0.0404105510856482","0.0279473699778046","0.0528737321934918","1"
"Yes","2009","Couple + C. LE and GT 16","East Germany","8","","","","1"
"No","2010","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2010","Couple + C. LE and GT 16","East Germany","","","","","2"
"No","2010","1-pers.-HH","East Germany","","","","","2"
"No","2010","(Married) couple without C. ","East Germany","","","","","2"
"No","2010","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2010","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2010","1-pers.-HH","West Germany","","","","","2"
"No","2010","(Married) couple without C. ","West Germany","","","","","2"
"No","2010","Single parent ","West Germany","","","","","2"
"No","2010","Single parent ","East Germany","","","","","2"
"No","2010","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2010","Couple + C. LE 16 ","East Germany","","","","","2"
"Yes","2010","1-pers.-HH","West Germany","","","","","1"
"Yes","2010","1-pers.-HH","East Germany","","","","","1"
"Yes","2010","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2010","(Married) couple without C. ","East Germany","","","","","1"
"Yes","2010","Single parent ","West Germany","","","","","1"
"Yes","2010","Single parent ","East Germany","","","","","1"
"Yes","2010","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2010","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2010","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2010","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","2011","Couple + C. GT 16 ","East Germany","674","0.953773274685994","0.93829553553016","0.969251013841829","2"
"No","2011","Couple + C. LE and GT 16","East Germany","188","0.943086357244634","0.910734523590615","0.975438190898654","2"
"No","2011","Couple + C. GT 16 ","West Germany","2373","0.953240835416711","0.944955033295757","0.961526637537665","2"
"No","2011","Couple + C. LE and GT 16","West Germany","1002","0.959435287118424","0.947428114348558","0.971442459888291","2"
"No","2011","1-pers.-HH","West Germany","2459","0.919070701891788","0.908727893125248","0.929413510658328","2"
"No","2011","1-pers.-HH","East Germany","817","0.909102545896943","0.890353183103603","0.927851908690283","2"
"No","2011","(Married) couple without C. ","East Germany","1972","0.941707772272704","0.931631654231268","0.95178389031414","2"
"No","2011","(Married) couple without C. ","West Germany","5696","0.940529613192767","0.934578997220078","0.946480229165456","2"
"No","2011","Single parent ","West Germany","815","0.917234246042109","0.899081517044154","0.935386975040064","2"
"No","2011","Single parent ","East Germany","265","0.943833182638595","0.917287940058253","0.970378425218937","2"
"No","2011","Couple + C. LE 16 ","West Germany","2332","0.954806240471155","0.946580748013497","0.963031732928814","2"
"No","2011","Couple + C. LE 16 ","East Germany","642","0.944274443060247","0.926865937093343","0.961682949027151","2"
"Yes","2011","Single parent ","West Germany","70","0.0827657539578909","0.0646130249599356","0.100918482955846","1"
"Yes","2011","Single parent ","East Germany","24","","","","1"
"Yes","2011","Couple + C. LE 16 ","West Germany","118","0.0451937595288448","0.036968267071186","0.0534192519865035","1"
"Yes","2011","Couple + C. LE 16 ","East Germany","25","","","","1"
"Yes","2011","Couple + C. GT 16 ","West Germany","121","0.046759164583289","0.038473362462335","0.0550449667042429","1"
"Yes","2011","Couple + C. GT 16 ","East Germany","33","0.0462267253140056","0.0307489861581714","0.0617044644698398","1"
"Yes","2011","Couple + C. LE and GT 16","West Germany","35","0.0405647128815757","0.0285575401117092","0.0525718856514423","1"
"Yes","2011","Couple + C. LE and GT 16","East Germany","9","","","","1"
"Yes","2011","1-pers.-HH","West Germany","212","0.0809292981082122","0.0705864893416722","0.0912721068747522","1"
"Yes","2011","1-pers.-HH","East Germany","86","0.090897454103057","0.072148091309717","0.109646816896397","1"
"Yes","2011","(Married) couple without C. ","West Germany","372","0.0594703868072329","0.0535197708345437","0.0654210027799222","1"
"Yes","2011","(Married) couple without C. ","East Germany","105","0.058292227727296","0.0482161096858604","0.0683683457687316","1"
"No","2012","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2012","Couple + C. LE and GT 16","East Germany","","","","","2"
