"ple0019","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Urban Area","11244","0.939394845252121","0.935101707856794","0.943687982647447","2"
"No","2009","Rural Area","5988","0.953152576463295","0.947917958477956","0.958387194448635","2"
"Yes","2009","Urban Area","622","0.0606051547478792","0.056312017352553","0.0648982921432054","1"
"Yes","2009","Rural Area","272","0.0468474235367046","0.0416128055513649","0.0520820415220444","1"
"No","2010","Urban Area","","","","","2"
"No","2010","Rural Area","","","","","2"
"Yes","2010","Urban Area","","","","","1"
"Yes","2010","Rural Area","","","","","1"
"No","2011","Urban Area","12762","0.934952283345753","0.930807009135055","0.93909755755645","2"
"No","2011","Rural Area","6853","0.942458731414965","0.937103465252653","0.947813997577277","2"
"Yes","2011","Urban Area","834","0.0650477166542475","0.0609024424435496","0.0691929908649453","1"
"Yes","2011","Rural Area","411","0.057541268585035","0.0521860024227233","0.0628965347473466","1"
"No","2012","Urban Area","","","","","2"
"No","2012","Rural Area","","","","","2"
"Yes","2012","Urban Area","","","","","1"
"Yes","2012","Rural Area","","","","","1"
"No","2013","Urban Area","11360","0.92139305485233","0.916634079700185","0.926152030004475","2"
"No","2013","Rural Area","6254","0.928559812870294","0.922386175180751","0.934733450559837","2"
"Yes","2013","Urban Area","925","0.0786069451476699","0.0738479699955249","0.0833659202998148","1"
"Yes","2013","Rural Area","432","0.0714401871297057","0.0652665494401625","0.0776138248192488","1"
"No","2014","Urban Area","","","","","2"
"No","2014","Rural Area","","","","","2"
"Yes","2014","Urban Area","","","","","1"
"Yes","2014","Rural Area","","","","","1"
"No","2015","Urban Area","15168","0.9164616501938","0.912230911646859","0.920692388740741","2"
"No","2015","Rural Area","8102","0.919941473144084","0.914251619208662","0.925631327079505","2"
"Yes","2015","Urban Area","1263","0.0835383498061998","0.079307611259259","0.0877690883531407","1"
"Yes","2015","Rural Area","637","0.0800585268559162","0.0743686729204949","0.0857483807913375","1"
"No","2016","Urban Area","","","","","2"
"No","2016","Rural Area","","","","","2"
"Yes","2016","Urban Area","","","","","1"
"Yes","2016","Rural Area","","","","","1"
"No","2017","Urban Area","15854","0.91222965121805","0.908009623016596","0.916449679419503","2"
"No","2017","Rural Area","8783","0.920483837406922","0.915029750865969","0.925937923947875","2"
"Yes","2017","Urban Area","1417","0.0877703487819504","0.083550320580497","0.0919903769834039","1"
"Yes","2017","Rural Area","669","0.0795161625930779","0.0740620760521247","0.0849702491340311","1"
"No","2018","Urban Area","","","","","2"
"No","2018","Rural Area","","","","","2"
"Yes","2018","Urban Area","","","","","1"
"Yes","2018","Rural Area","","","","","1"
"No","2019","Urban Area","14079","0.905107763465204","0.900490504673851","0.909725022256557","2"
"No","2019","Rural Area","8162","0.909767903223136","0.903809045911658","0.915726760534614","2"
"Yes","2019","Urban Area","1397","0.0948922365347964","0.0902749777434434","0.0995094953261494","1"
"Yes","2019","Rural Area","719","0.0902320967768638","0.0842732394653857","0.096190954088342","1"
