"ple0019","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","West Germany","17","","",""
"Yes","2009","Schleswig-Holstein","East Germany","","","",""
"Yes","2009","Hamburg","West Germany","18","","",""
"Yes","2009","Hamburg","East Germany","","","",""
"Yes","2009","Lower Saxony","West Germany","79","0.0420998488475261","0.0324014133748548","0.0517982843201975"
"Yes","2009","Lower Saxony","East Germany","","","",""
"Yes","2009","Bremen","West Germany","4","","",""
"Yes","2009","Bremen","East Germany","","","",""
"Yes","2009","North Rhine-Westphalia","West Germany","183","0.0622299921246212","0.0543876214233368","0.0700723628259056"
"Yes","2009","North Rhine-Westphalia","East Germany","","","",""
"Yes","2009","Hesse","West Germany","77","0.0803278263929976","0.0651135119857044","0.0955421408002908"
"Yes","2009","Hesse","East Germany","","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","West Germany","65","0.067502189548203","0.0521579379962603","0.0828464411001457"
"Yes","2009","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes","2009","Baden-Württemberg","West Germany","106","0.0522347803423233","0.0427589913088261","0.0617105693758205"
"Yes","2009","Baden-Württemberg","East Germany","","","",""
"Yes","2009","Bavaria","West Germany","129","0.0519436539912084","0.0434593009057824","0.0604280070766344"
"Yes","2009","Bavaria","East Germany","","","",""
"Yes","2009","Berlin","West Germany","22","","",""
"Yes","2009","Berlin","East Germany","21","","",""
"Yes","2009","Brandenburg","West Germany","","","",""
"Yes","2009","Brandenburg","East Germany","33","0.0459870361646271","0.0314271032130547","0.0605469691161994"
"Yes","2009","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","East Germany","20","","",""
"Yes","2009","Saxony","West Germany","","","",""
"Yes","2009","Saxony","East Germany","47","0.0462775437193553","0.035169159857067","0.0573859275816437"
"Yes","2009","Saxony-Anhalt","West Germany","","","",""
"Yes","2009","Saxony-Anhalt","East Germany","32","0.0379281494242722","0.0244532968806452","0.0514030019678991"
"Yes","2009","Thuringia","West Germany","","","",""
"Yes","2009","Thuringia","East Germany","41","0.0601986764385054","0.0439681497071908","0.0764292031698199"
"No","2009","Schleswig-Holstein","West Germany","499","0.974405580960294","0.960779663319157","0.988031498601431"
"No","2009","Schleswig-Holstein","East Germany","","","",""
"No","2009","Hamburg","West Germany","253","0.929537119550094","0.8990667998747","0.960007439225489"
"No","2009","Hamburg","East Germany","","","",""
"No","2009","Lower Saxony","West Germany","1568","0.957900151152474","0.948201715679802","0.967598586625145"
"No","2009","Lower Saxony","East Germany","","","",""
"No","2009","Bremen","West Germany","116","0.928140942327599","0.881934216880646","0.974347667774551"
"No","2009","Bremen","East Germany","","","",""
"No","2009","North Rhine-Westphalia","West Germany","3462","0.937770007875379","0.929927637174094","0.945612378576663"
"No","2009","North Rhine-Westphalia","East Germany","","","",""
"No","2009","Hesse","West Germany","1149","0.919672173607002","0.904457859199709","0.934886488014296"
"No","2009","Hesse","East Germany","","","",""
"No","2009","Rhineland-Palatinate,Saarland","West Germany","962","0.932497810451797","0.917153558899854","0.94784206200374"
"No","2009","Rhineland-Palatinate,Saarland","East Germany","","","",""
"No","2009","Baden-Württemberg","West Germany","2012","0.947765219657677","0.938289430624179","0.957241008691174"
"No","2009","Baden-Württemberg","East Germany","","","",""
"No","2009","Bavaria","West Germany","2499","0.948056346008792","0.939571992923366","0.956540699094218"
"No","2009","Bavaria","East Germany","","","",""
"No","2009","Berlin","West Germany","343","0.938519464488298","0.913876547068381","0.963162381908216"
"No","2009","Berlin","East Germany","300","0.925640582478791","0.896940393401987","0.954340771555596"
"No","2009","Brandenburg","West Germany","","","",""
"No","2009","Brandenburg","East Germany","762","0.954012963835373","0.9394530308838","0.968572896786945"
"No","2009","Mecklenburg-Western Pomerania","West Germany","","","",""
"No","2009","Mecklenburg-Western Pomerania","East Germany","456","0.934016110196455","0.911714267141885","0.956317953251026"
"No","2009","Saxony","West Germany","","","",""
"No","2009","Saxony","East Germany","1327","0.953722456280645","0.942614072418356","0.964830840142933"
"No","2009","Saxony-Anhalt","West Germany","","","",""
"No","2009","Saxony-Anhalt","East Germany","740","0.962071850575728","0.948596998032101","0.975546703119355"
"No","2009","Thuringia","West Germany","","","",""
