"ple0019","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Part Time","3994","0.936393730642677","0.929040901537557","0.943746559747797","2"
"No","2009","Not Employed","Full Time","","","","","2"
"No","2009","Not Employed","Part Time","","","","","2"
"No","2009","Employed","Not Working","","","","","2"
"No","2009","Not Employed","Not Working","6461","0.933077333130045","0.927172613090296","0.938982053169795","2"
"No","2009","Employed","Full Time","6777","0.958976560408196","0.954334773046696","0.963618347769696","2"
"Yes","2009","Not Employed","Full Time","","","","","1"
"Yes","2009","Not Employed","Part Time","","","","","1"
"Yes","2009","Not Employed","Not Working","419","0.0669226668699545","0.0610179468302052","0.0728273869097038","1"
"Yes","2009","Employed","Full Time","237","0.0410234395918041","0.0363816522303038","0.0456652269533044","1"
"Yes","2009","Employed","Part Time","238","0.0636062693573227","0.0562534402522027","0.0709590984624427","1"
"Yes","2009","Employed","Not Working","","","","","1"
"No","2010","Employed","Part Time","","","","","2"
"No","2010","Not Employed","Full Time","","","","","2"
"No","2010","Employed","Not Working","","","","","2"
"No","2010","Not Employed","Part Time","","","","","2"
"No","2010","Not Employed","Not Working","","","","","2"
"No","2010","Employed","Full Time","","","","","2"
"Yes","2010","Not Employed","Full Time","","","","","1"
"Yes","2010","Not Employed","Part Time","","","","","1"
"Yes","2010","Not Employed","Not Working","","","","","1"
"Yes","2010","Employed","Full Time","","","","","1"
"Yes","2010","Employed","Part Time","","","","","1"
"Yes","2010","Employed","Not Working","","","","","1"
"No","2011","Not Employed","Full Time","","","","","2"
"No","2011","Employed","Part Time","4579","0.926802085740969","0.919512284041273","0.934091887440665","2"
"No","2011","Employed","Not Working","","","","","2"
"No","2011","Not Employed","Part Time","","","","","2"
"No","2011","Not Employed","Not Working","7595","0.929716300555446","0.924165208654874","0.935267392456018","2"
"No","2011","Employed","Full Time","7441","0.950736024334317","0.945936289139846","0.955535759528788","2"
"Yes","2011","Not Employed","Full Time","","","","","1"
"Yes","2011","Not Employed","Part Time","","","","","1"
"Yes","2011","Not Employed","Not Working","551","0.0702836994445541","0.0647326075439819","0.0758347913451264","1"
"Yes","2011","Employed","Full Time","369","0.0492639756656834","0.0444642404712124","0.0540637108601545","1"
"Yes","2011","Employed","Part Time","325","0.073197914259031","0.0659081125593352","0.0804877159587267","1"
"Yes","2011","Employed","Not Working","","","","","1"
"No","2012","Not Employed","Full Time","","","","","2"
"No","2012","Not Employed","Part Time","","","","","2"
"No","2012","Employed","Part Time","","","","","2"
"No","2012","Employed","Not Working","","","","","2"
"No","2012","Not Employed","Not Working","","","","","2"
"No","2012","Employed","Full Time","","","","","2"
"Yes","2012","Not Employed","Full Time","","","","","1"
"Yes","2012","Not Employed","Part Time","","","","","1"
"Yes","2012","Not Employed","Not Working","","","","","1"
"Yes","2012","Employed","Full Time","","","","","1"
"Yes","2012","Employed","Part Time","","","","","1"
"Yes","2012","Employed","Not Working","","","","","1"
"No","2013","Not Employed","Full Time","","","","","2"
"No","2013","Not Employed","Part Time","","","","","2"
"No","2013","Not Employed","Not Working","6744","0.908956096536422","0.902391099637992","0.915521093434852","2"
"No","2013","Employed","Full Time","6620","0.939812194996888","0.934239478561752","0.945384911432024","2"
"No","2013","Employed","Part Time","4250","0.9226734615431","0.914952846353982","0.930394076732218","2"
"No","2013","Employed","Not Working","","","","","2"
"Yes","2013","Not Employed","Full Time","","","","","1"
"Yes","2013","Not Employed","Part Time","","","","","1"
"Yes","2013","Not Employed","Not Working","632","0.0910439034635779","0.0844789065651476","0.0976089003620081","1"
"Yes","2013","Employed","Full Time","377","0.060187805003112","0.0546150885679764","0.0657605214382476","1"
"Yes","2013","Employed","Part Time","348","0.0773265384568999","0.0696059232677822","0.0850471536460176","1"
"Yes","2013","Employed","Not Working","","","","","1"
"No","2014","Not Employed","Full Time","","","","","2"
"No","2014","Not Employed","Part Time","","","","","2"
"No","2014","Not Employed","Not Working","","","","","2"
"No","2014","Employed","Full Time","","","","","2"
"No","2014","Employed","Part Time","","","","","2"
"No","2014","Employed","Not Working","","","","","2"
"Yes","2014","Not Employed","Full Time","","","","","1"
"Yes","2014","Not Employed","Part Time","","","","","1"
"Yes","2014","Not Employed","Not Working","","","","","1"
"Yes","2014","Employed","Full Time","","","","","1"
"Yes","2014","Employed","Part Time","","","","","1"
