"year","age_gr","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","(0) in school","5.39","6","654","5.29","5.49","3","4","7","7"
"2005","16-34 y.","(1a) inadequately completed","4.87","4","40","4.38","5.36","3","4","6","7"
"2005","16-34 y.","(1b) general elementary school","4.91","5","417","4.76","5.06","3","4","6","7"
"2005","16-34 y.","(1c) basic vocational qualification","5.33","5","608","5.22","5.44","4","4","7","7"
"2005","16-34 y.","(2a) intermediate vocational","5.14","5","1143","5.06","5.22","3","4","6","7"
"2005","16-34 y.","(2b) intermediate general qualification","5.56","6","444","5.44","5.68","4","5","7","7"
"2005","16-34 y.","(2c_gen) general maturity certificate","5.3","5","658","5.2","5.4","4","4","6","7"
"2005","16-34 y.","(2c_voc) vocational maturity certificate","5.33","5.41","504","5.21","5.45","4","4","6","7"
"2005","16-34 y.","(3a) lower tertiary education","5.02","5","198","4.83","5.21","3","4","6","7"
"2005","16-34 y.","(3b) higher tertiary education","5.1","5","325","4.96","5.24","3","4","6","7"
"2005","35-65 y.","(0) in school","","","","","","","","",""
"2005","35-65 y.","(1a) inadequately completed","4.73","5","142","4.45","5.01","3","4","6","7"
"2005","35-65 y.","(1b) general elementary school","4.77","5","736","4.66","4.88","3","4","6","7"
"2005","35-65 y.","(1c) basic vocational qualification","5.1","5","3377","5.05","5.15","3","4","6","7"
"2005","35-65 y.","(2a) intermediate vocational","5.15","5","3244","5.1","5.2","3","4","6","7"
"2005","35-65 y.","(2b) intermediate general qualification","5.31","6","101","5.02","5.6","3","4","7","7"
"2005","35-65 y.","(2c_gen) general maturity certificate","4.7","5","122","4.44","4.96","3","4","6","6"
"2005","35-65 y.","(2c_voc) vocational maturity certificate","5.02","5","861","4.93","5.11","3","4","6","7"
"2005","35-65 y.","(3a) lower tertiary education","4.99","5","1158","4.91","5.07","3","4","6","7"
"2005","35-65 y.","(3b) higher tertiary education","4.9","5","1822","4.83","4.97","3","4","6","7"
