"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","5.07","5","20687","3","4","6","7","7","5.05","5.09","1","7","5","5"
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","4.92","5","17975","3","4","6","7","7","4.9","4.94","1","7","5","5"
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","5.27","5","7124","3","4","6","7","7","5.24","5.3","1","7","5","6"
"2013","5.12","5","18846","3","4","6","7","7","5.1","5.14","1","7","5","5"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","5.13","5","29267","3","4","6","7","7","5.11","5.15","1","7","5","6"
"2018","","","","","","","","","","","","","",""
"2019","5.06","5","25726","3","4","6","7","7","5.04","5.08","1","7","5","5"
