"plh0172","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2008","in school","Urban Area","","","","","0"
"0 Completely dissatisfied","2008","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","2008","inadequately","Urban Area","3","","","","0"
"0 Completely dissatisfied","2008","inadequately","Rural Area","2","","","","0"
"0 Completely dissatisfied","2008","general elemantary","Urban Area","18","","","","0"
"0 Completely dissatisfied","2008","general elemantary","Rural Area","2","","","","0"
"0 Completely dissatisfied","2008","middle vocational","Urban Area","39","0.00850114804928752","0.00621181469016388","0.0107904814084112","0"
"0 Completely dissatisfied","2008","middle vocational","Rural Area","25","","","","0"
"0 Completely dissatisfied","2008","vocational + Abi","Urban Area","4","","","","0"
"0 Completely dissatisfied","2008","vocational + Abi","Rural Area","1","","","","0"
"0 Completely dissatisfied","2008","higher vocational","Urban Area","8","","","","0"
"0 Completely dissatisfied","2008","higher vocational","Rural Area","2","","","","0"
"0 Completely dissatisfied","2008","higher education","Urban Area","12","","","","0"
"0 Completely dissatisfied","2008","higher education","Rural Area","7","","","","0"
"1 on Scale 1 to 10","2008","inadequately","Urban Area","1","","","","1"
"1 on Scale 1 to 10","2008","inadequately","Rural Area","2","","","","1"
"1 on Scale 1 to 10","2008","higher vocational","Urban Area","8","","","","1"
"1 on Scale 1 to 10","2008","higher vocational","Rural Area","5","","","","1"
"1 on Scale 1 to 10","2008","general elemantary","Urban Area","21","","","","1"
"1 on Scale 1 to 10","2008","in school","Urban Area","","","","","1"
"1 on Scale 1 to 10","2008","in school","Rural Area","1","","","","1"
"1 on Scale 1 to 10","2008","higher education","Urban Area","20","","","","1"
"1 on Scale 1 to 10","2008","higher education","Rural Area","13","","","","1"
"1 on Scale 1 to 10","2008","general elemantary","Rural Area","9","","","","1"
"1 on Scale 1 to 10","2008","middle vocational","Urban Area","48","0.00606585406025896","0.00412965982352807","0.00800204829698985","1"
"1 on Scale 1 to 10","2008","middle vocational","Rural Area","41","0.010224690440259","0.00693577697611725","0.0135136039044008","1"
"1 on Scale 1 to 10","2008","vocational + Abi","Urban Area","8","","","","1"
"1 on Scale 1 to 10","2008","vocational + Abi","Rural Area","2","","","","1"
"10 Completely satisfied","2008","in school","Urban Area","46","0.215516861450288","0.162945818439566","0.268087904461011","10"
"10 Completely satisfied","2008","in school","Rural Area","26","","","","10"
"10 Completely satisfied","2008","inadequately","Urban Area","24","","","","10"
"10 Completely satisfied","2008","inadequately","Rural Area","4","","","","10"
"10 Completely satisfied","2008","general elemantary","Urban Area","151","0.114120778339656","0.097134619485109","0.131106937194202","10"
"10 Completely satisfied","2008","general elemantary","Rural Area","69","0.12979835098911","0.104667091120848","0.154929610857371","10"
"10 Completely satisfied","2008","middle vocational","Urban Area","665","0.10411909612244","0.0965033146583036","0.111734877586576","10"
"10 Completely satisfied","2008","middle vocational","Rural Area","350","0.100896365428471","0.0910494163450591","0.110743314511883","10"
"10 Completely satisfied","2008","vocational + Abi","Urban Area","85","0.113205142034351","0.091571524609526","0.134838759459177","10"
"10 Completely satisfied","2008","vocational + Abi","Rural Area","20","","","","10"
"10 Completely satisfied","2008","higher vocational","Urban Area","75","0.0955700734545638","0.0762439107030391","0.114896236206089","10"
"10 Completely satisfied","2008","higher vocational","Rural Area","53","0.0793138240324842","0.0563295343659587","0.10229811369901","10"
"10 Completely satisfied","2008","higher education","Urban Area","309","0.0953561527851705","0.0848426979331726","0.105869607637168","10"
"10 Completely satisfied","2008","higher education","Rural Area","101","0.11185513168906","0.0940590483989215","0.129651214979199","10"
"2 on Scale 1 to 10","2008","inadequately","Rural Area","1","","","","2"
"2 on Scale 1 to 10","2008","general elemantary","Rural Area","23","","","","2"
"2 on Scale 1 to 10","2008","inadequately","Urban Area","3","","","","2"
"2 on Scale 1 to 10","2008","general elemantary","Urban Area","55","0.0517690580840427","0.0399327093009487","0.0636054068671366","2"
"2 on Scale 1 to 10","2008","higher education","Rural Area","37","0.0198067169065111","0.0119395805828147","0.0276738532302075","2"
"2 on Scale 1 to 10","2008","in school","Urban Area","5","","","","2"
"2 on Scale 1 to 10","2008","in school","Rural Area","3","","","","2"
"2 on Scale 1 to 10","2008","higher vocational","Urban Area","27","","","","2"
"2 on Scale 1 to 10","2008","higher vocational","Rural Area","16","","","","2"
"2 on Scale 1 to 10","2008","higher education","Urban Area","76","0.0226798244119646","0.0173505196948109","0.0280091291291182","2"
"2 on Scale 1 to 10","2008","middle vocational","Urban Area","204","0.0399263481646393","0.0350442533518624","0.0448084429774162","2"
"2 on Scale 1 to 10","2008","middle vocational","Rural Area","108","0.0363918481388504","0.0302695941467305","0.0425141021309703","2"
"2 on Scale 1 to 10","2008","vocational + Abi","Urban Area","25","","","","2"
"2 on Scale 1 to 10","2008","vocational + Abi","Rural Area","8","","","","2"
"3 on Scale 1 to 10","2008","in school","Urban Area","5","","","","3"
"3 on Scale 1 to 10","2008","in school","Rural Area","2","","","","3"
"3 on Scale 1 to 10","2008","inadequately","Urban Area","10","","","","3"
"3 on Scale 1 to 10","2008","inadequately","Rural Area","3","","","","3"
"3 on Scale 1 to 10","2008","general elemantary","Urban Area","69","0.0591713257109494","0.0465665104922491","0.0717761409296497","3"
