"plh0172","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2008","Full Time","in school","","","","","0"
"0 Completely dissatisfied","2008","Full Time","inadequately","1","","","","0"
"0 Completely dissatisfied","2008","Full Time","general elemantary","2","","","","0"
"0 Completely dissatisfied","2008","Full Time","middle vocational","9","","","","0"
"0 Completely dissatisfied","2008","Full Time","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2008","Full Time","higher vocational","2","","","","0"
"0 Completely dissatisfied","2008","Full Time","higher education","6","","","","0"
"0 Completely dissatisfied","2008","Part Time","in school","","","","","0"
"0 Completely dissatisfied","2008","Part Time","inadequately","","","","","0"
"0 Completely dissatisfied","2008","Part Time","general elemantary","4","","","","0"
"0 Completely dissatisfied","2008","Part Time","middle vocational","21","","","","0"
"0 Completely dissatisfied","2008","Part Time","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","2008","Part Time","higher vocational","1","","","","0"
"0 Completely dissatisfied","2008","Part Time","higher education","6","","","","0"
"0 Completely dissatisfied","2008","Not Working","in school","","","","","0"
"0 Completely dissatisfied","2008","Not Working","inadequately","4","","","","0"
"0 Completely dissatisfied","2008","Not Working","general elemantary","14","","","","0"
"0 Completely dissatisfied","2008","Not Working","middle vocational","34","0.00766998711152564","0.00491671806641649","0.0104232561566348","0"
"0 Completely dissatisfied","2008","Not Working","vocational + Abi","3","","","","0"
"0 Completely dissatisfied","2008","Not Working","higher vocational","7","","","","0"
"0 Completely dissatisfied","2008","Not Working","higher education","7","","","","0"
"1 on Scale 1 to 10","2008","Full Time","higher education","17","","","","1"
"1 on Scale 1 to 10","2008","Full Time","higher vocational","6","","","","1"
"1 on Scale 1 to 10","2008","Full Time","middle vocational","25","","","","1"
"1 on Scale 1 to 10","2008","Full Time","vocational + Abi","2","","","","1"
"1 on Scale 1 to 10","2008","Full Time","in school","","","","","1"
"1 on Scale 1 to 10","2008","Full Time","inadequately","","","","","1"
"1 on Scale 1 to 10","2008","Full Time","general elemantary","2","","","","1"
"1 on Scale 1 to 10","2008","Part Time","in school","","","","","1"
"1 on Scale 1 to 10","2008","Part Time","inadequately","2","","","","1"
"1 on Scale 1 to 10","2008","Part Time","general elemantary","7","","","","1"
"1 on Scale 1 to 10","2008","Part Time","middle vocational","16","","","","1"
"1 on Scale 1 to 10","2008","Part Time","vocational + Abi","4","","","","1"
"1 on Scale 1 to 10","2008","Part Time","higher vocational","2","","","","1"
"1 on Scale 1 to 10","2008","Part Time","higher education","4","","","","1"
"1 on Scale 1 to 10","2008","Not Working","in school","1","","","","1"
"1 on Scale 1 to 10","2008","Not Working","inadequately","1","","","","1"
"1 on Scale 1 to 10","2008","Not Working","general elemantary","21","","","","1"
"1 on Scale 1 to 10","2008","Not Working","middle vocational","48","0.0116064625732101","0.00822629557086648","0.0149866295755538","1"
"1 on Scale 1 to 10","2008","Not Working","vocational + Abi","4","","","","1"
"1 on Scale 1 to 10","2008","Not Working","higher vocational","5","","","","1"
"1 on Scale 1 to 10","2008","Not Working","higher education","12","","","","1"
"10 Completely satisfied","2008","Not Working","higher education","117","0.104573403523529","0.0869564020951988","0.12219040495186","10"
"10 Completely satisfied","2008","Part Time","in school","6","","","","10"
"10 Completely satisfied","2008","Not Working","higher vocational","41","0.103600331552878","0.0756606528705469","0.131540010235209","10"
"10 Completely satisfied","2008","Full Time","higher vocational","55","0.0796435940610035","0.059127793103199","0.100159395018808","10"
"10 Completely satisfied","2008","Part Time","inadequately","5","","","","10"
"10 Completely satisfied","2008","Part Time","general elemantary","52","0.133210605363657","0.100238687832009","0.166182522895305","10"
"10 Completely satisfied","2008","Full Time","higher education","197","0.0856271481777271","0.0737940530982988","0.0974602432571555","10"
"10 Completely satisfied","2008","Full Time","inadequately","6","","","","10"
"10 Completely satisfied","2008","Full Time","general elemantary","62","0.149396813029975","0.115385293534237","0.183408332525714","10"
"10 Completely satisfied","2008","Full Time","middle vocational","420","0.111093732312106","0.100846965021906","0.121340499602306","10"
"10 Completely satisfied","2008","Not Working","vocational + Abi","24","","","","10"
"10 Completely satisfied","2008","Part Time","higher vocational","32","0.0917576495267973","0.0587589792143768","0.124756319839218","10"
"10 Completely satisfied","2008","Full Time","in school","","","","","10"
"10 Completely satisfied","2008","Not Working","in school","66","0.249975997406363","0.199968101356941","0.299983893455786","10"
"10 Completely satisfied","2008","Not Working","inadequately","17","","","","10"
"10 Completely satisfied","2008","Not Working","middle vocational","353","0.096431183619526","0.0871155448970743","0.105746822341978","10"
"10 Completely satisfied","2008","Part Time","higher education","96","0.126879763387858","0.105086247807928","0.148673278967789","10"
"10 Completely satisfied","2008","Full Time","vocational + Abi","46","0.0728668440574346","0.0503749802661066","0.0953587078487626","10"
"10 Completely satisfied","2008","Part Time","middle vocational","242","0.100803659385839","0.0885049130020455","0.113102405769632","10"
"10 Completely satisfied","2008","Part Time","vocational + Abi","35","0.10786997519556","0.0743491648096057","0.141390785581514","10"
"10 Completely satisfied","2008","Not Working","general elemantary","106","0.103871837462368","0.0866313616522518","0.121112313272484","10"
"2 on Scale 1 to 10","2008","Not Working","higher vocational","20","","","","2"
"2 on Scale 1 to 10","2008","Not Working","higher education","37","0.0335730662863615","0.0232028840232206","0.0439432485495024","2"
"2 on Scale 1 to 10","2008","Part Time","inadequately","1","","","","2"
"2 on Scale 1 to 10","2008","Full Time","in school","","","","","2"
"2 on Scale 1 to 10","2008","Full Time","inadequately","1","","","","2"
"2 on Scale 1 to 10","2008","Full Time","general elemantary","6","","","","2"
"2 on Scale 1 to 10","2008","Full Time","middle vocational","89","0.0372018175199633","0.0310306999546146","0.043372935085312","2"
"2 on Scale 1 to 10","2008","Full Time","higher vocational","15","","","","2"
"2 on Scale 1 to 10","2008","Full Time","higher education","47","0.0158284965195628","0.0105502924400718","0.0211067005990539","2"
"2 on Scale 1 to 10","2008","Part Time","in school","2","","","","2"
"2 on Scale 1 to 10","2008","Part Time","general elemantary","8","","","","2"
"2 on Scale 1 to 10","2008","Part Time","middle vocational","61","0.0336026177900353","0.0262412272309036","0.040964008349167","2"
"2 on Scale 1 to 10","2008","Part Time","vocational + Abi","10","","","","2"
"2 on Scale 1 to 10","2008","Part Time","higher vocational","8","","","","2"
"2 on Scale 1 to 10","2008","Part Time","higher education","29","","","","2"
"2 on Scale 1 to 10","2008","Not Working","in school","6","","","","2"
"2 on Scale 1 to 10","2008","Not Working","inadequately","2","","","","2"
"2 on Scale 1 to 10","2008","Not Working","middle vocational","162","0.0431439901952814","0.0367317952068822","0.0495561851836805","2"
"2 on Scale 1 to 10","2008","Not Working","vocational + Abi","10","","","","2"
"2 on Scale 1 to 10","2008","Full Time","vocational + Abi","13","","","","2"
"2 on Scale 1 to 10","2008","Not Working","general elemantary","64","0.0648844277854111","0.0509651032270459","0.0788037523437763","2"
"3 on Scale 1 to 10","2008","Full Time","in school","","","","","3"
"3 on Scale 1 to 10","2008","Full Time","inadequately","3","","","","3"
"3 on Scale 1 to 10","2008","Full Time","general elemantary","22","","","","3"
"3 on Scale 1 to 10","2008","Full Time","middle vocational","160","0.0458284231418306","0.0390098295627967","0.0526470167208645","3"
"3 on Scale 1 to 10","2008","Full Time","vocational + Abi","22","","","","3"
"3 on Scale 1 to 10","2008","Full Time","higher vocational","52","0.0681495874068624","0.0490537042577568","0.087245470555968","3"
"3 on Scale 1 to 10","2008","Full Time","higher education","93","0.0482131500984505","0.0391540813281431","0.0572722188687579","3"
"3 on Scale 1 to 10","2008","Part Time","in school","1","","","","3"
"3 on Scale 1 to 10","2008","Part Time","inadequately","2","","","","3"
"3 on Scale 1 to 10","2008","Part Time","general elemantary","23","","","","3"
"3 on Scale 1 to 10","2008","Part Time","middle vocational","133","0.0727378331504405","0.0621287737435554","0.0833468925573257","3"
"3 on Scale 1 to 10","2008","Part Time","vocational + Abi","13","","","","3"
"3 on Scale 1 to 10","2008","Part Time","higher vocational","22","","","","3"
"3 on Scale 1 to 10","2008","Part Time","higher education","33","0.0334084133662721","0.0216420158419257","0.0451748108906184","3"
"3 on Scale 1 to 10","2008","Not Working","in school","6","","","","3"
"3 on Scale 1 to 10","2008","Not Working","inadequately","8","","","","3"
"3 on Scale 1 to 10","2008","Not Working","general elemantary","73","0.0658780742879231","0.051860027404759","0.0798961211710872","3"
"3 on Scale 1 to 10","2008","Not Working","middle vocational","279","0.0835151293810606","0.0747840386619578","0.0922462201001634","3"
"3 on Scale 1 to 10","2008","Not Working","vocational + Abi","16","","","","3"
"3 on Scale 1 to 10","2008","Not Working","higher vocational","26","","","","3"
"3 on Scale 1 to 10","2008","Not Working","higher education","54","0.0487467001382902","0.0363494012402151","0.0611439990363653","3"
"4 on Scale 1 to 10","2008","Part Time","higher vocational","17","","","","4"
"4 on Scale 1 to 10","2008","Part Time","in school","4","","","","4"
"4 on Scale 1 to 10","2008","Full Time","inadequately","1","","","","4"
"4 on Scale 1 to 10","2008","Full Time","in school","","","","","4"
"4 on Scale 1 to 10","2008","Part Time","higher education","52","0.072057495827305","0.055126043864598","0.088988947790012","4"
"4 on Scale 1 to 10","2008","Full Time","higher vocational","37","0.0487577900873883","0.0324384499108613","0.0650771302639153","4"
"4 on Scale 1 to 10","2008","Part Time","inadequately","1","","","","4"
"4 on Scale 1 to 10","2008","Part Time","general elemantary","22","","","","4"
"4 on Scale 1 to 10","2008","Part Time","vocational + Abi","17","","","","4"
"4 on Scale 1 to 10","2008","Part Time","middle vocational","143","0.0635643113680356","0.0535978478137005","0.0735307749223708","4"
"4 on Scale 1 to 10","2008","Full Time","general elemantary","18","","","","4"
"4 on Scale 1 to 10","2008","Full Time","higher education","100","0.0478500237970926","0.0388234131094202","0.056876634484765","4"
"4 on Scale 1 to 10","2008","Full Time","middle vocational","252","0.0692636236696728","0.0609845821877634","0.0775426651515821","4"
"4 on Scale 1 to 10","2008","Full Time","vocational + Abi","27","","","","4"
"4 on Scale 1 to 10","2008","Not Working","in school","11","","","","4"
"4 on Scale 1 to 10","2008","Not Working","inadequately","5","","","","4"
"4 on Scale 1 to 10","2008","Not Working","general elemantary","103","0.0879670477175765","0.0719611310788461","0.103972964356307","4"
"4 on Scale 1 to 10","2008","Not Working","middle vocational","276","0.0698808984145738","0.0618350509801734","0.0779267458489741","4"
"4 on Scale 1 to 10","2008","Not Working","vocational + Abi","11","","","","4"
"4 on Scale 1 to 10","2008","Not Working","higher vocational","26","","","","4"
"4 on Scale 1 to 10","2008","Not Working","higher education","68","0.0577509085361649","0.0443211363023272","0.0711806807700025","4"
"5 on Scale 1 to 10","2008","Not Working","vocational + Abi","37","0.104225320381078","0.0667958123432561","0.1416548284189","5"
"5 on Scale 1 to 10","2008","Not Working","higher vocational","56","0.124888359033143","0.0945785848261828","0.155198133240103","5"
"5 on Scale 1 to 10","2008","Part Time","in school","9","","","","5"
"5 on Scale 1 to 10","2008","Part Time","general elemantary","55","0.131330001588815","0.0985561565898134","0.164103846587817","5"
"5 on Scale 1 to 10","2008","Full Time","inadequately","3","","","","5"
"5 on Scale 1 to 10","2008","Full Time","general elemantary","51","0.119375868311109","0.0884412025171799","0.150310534105038","5"
"5 on Scale 1 to 10","2008","Full Time","middle vocational","367","0.105528819196236","0.0955107777105082","0.115546860681963","5"
"5 on Scale 1 to 10","2008","Full Time","in school","","","","","5"
"5 on Scale 1 to 10","2008","Not Working","higher education","123","0.106922653396638","0.0891322509105694","0.124713055882707","5"
"5 on Scale 1 to 10","2008","Full Time","vocational + Abi","55","0.114664320746951","0.0870930017388516","0.142235639755051","5"
"5 on Scale 1 to 10","2008","Part Time","inadequately","4","","","","5"
"5 on Scale 1 to 10","2008","Full Time","higher vocational","82","0.139898425931377","0.113612921400597","0.166183930462157","5"
"5 on Scale 1 to 10","2008","Full Time","higher education","188","0.0904024071856057","0.0782756243302486","0.102529190040963","5"
"5 on Scale 1 to 10","2008","Not Working","middle vocational","521","0.141838150202168","0.130827717092905","0.15284858331143","5"
"5 on Scale 1 to 10","2008","Part Time","middle vocational","262","0.114767849551041","0.101747155248696","0.127788543853386","5"
"5 on Scale 1 to 10","2008","Part Time","vocational + Abi","36","0.119064140577186","0.0840685943013225","0.154059686853049","5"
"5 on Scale 1 to 10","2008","Part Time","higher vocational","34","0.136920098315522","0.0976254389196819","0.176214757711361","5"
"5 on Scale 1 to 10","2008","Part Time","higher education","89","0.110515697051129","0.0899863463414104","0.131045047760848","5"
"5 on Scale 1 to 10","2008","Not Working","in school","15","","","","5"
"5 on Scale 1 to 10","2008","Not Working","inadequately","17","","","","5"
