"plh0172","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2008","1-pers.-HH","Male","8","","","","0"
"0 Completely dissatisfied","2008","1-pers.-HH","Female","20","","","","0"
"0 Completely dissatisfied","2008","(Married) couple without C. ","Male","18","","","","0"
"0 Completely dissatisfied","2008","(Married) couple without C. ","Female","35","0.00848262869138906","0.0054704724405569","0.0114947849422212","0"
"0 Completely dissatisfied","2008","Single parent ","Male","3","","","","0"
"0 Completely dissatisfied","2008","Single parent ","Female","5","","","","0"
"0 Completely dissatisfied","2008","Couple + C. LE 16 ","Male","6","","","","0"
"0 Completely dissatisfied","2008","Couple + C. LE 16 ","Female","15","","","","0"
"0 Completely dissatisfied","2008","Couple + C. GT 16 ","Male","5","","","","0"
"0 Completely dissatisfied","2008","Couple + C. GT 16 ","Female","7","","","","0"
"0 Completely dissatisfied","2008","Couple + C. LE and GT 16","Male","","","","","0"
"0 Completely dissatisfied","2008","Couple + C. LE and GT 16","Female","","","","","0"
"1 on Scale 1 to 10","2008","(Married) couple without C. ","Female","36","0.00896053397627468","0.00586543512212122","0.0120556328304281","1"
"1 on Scale 1 to 10","2008","1-pers.-HH","Female","31","0.0159296331204886","0.0100786191488462","0.0217806470921311","1"
"1 on Scale 1 to 10","2008","Couple + C. LE 16 ","Male","10","","","","1"
"1 on Scale 1 to 10","2008","Couple + C. LE and GT 16","Female","5","","","","1"
"1 on Scale 1 to 10","2008","Couple + C. GT 16 ","Female","16","","","","1"
"1 on Scale 1 to 10","2008","Couple + C. LE 16 ","Female","13","","","","1"
"1 on Scale 1 to 10","2008","1-pers.-HH","Male","14","","","","1"
"1 on Scale 1 to 10","2008","Couple + C. GT 16 ","Male","13","","","","1"
"1 on Scale 1 to 10","2008","(Married) couple without C. ","Male","26","","","","1"
"1 on Scale 1 to 10","2008","Single parent ","Male","1","","","","1"
"1 on Scale 1 to 10","2008","Single parent ","Female","8","","","","1"
"1 on Scale 1 to 10","2008","Couple + C. LE and GT 16","Male","4","","","","1"
"10 Completely satisfied","2008","Couple + C. LE and GT 16","Female","64","0.121193326303646","0.0950584345489258","0.147328218058367","10"
"10 Completely satisfied","2008","1-pers.-HH","Male","134","0.086638499455014","0.0712936800479353","0.101983318862093","10"
"10 Completely satisfied","2008","1-pers.-HH","Female","181","0.0992464377764475","0.0852738891627532","0.113218986390142","10"
"10 Completely satisfied","2008","(Married) couple without C. ","Male","364","0.105657511311299","0.0954996496515812","0.115815372971018","10"
"10 Completely satisfied","2008","(Married) couple without C. ","Female","278","0.0883523119463194","0.0790308381982533","0.0976737856943855","10"
"10 Completely satisfied","2008","Single parent ","Male","44","0.153663370842806","0.113838941555889","0.193487800129724","10"
"10 Completely satisfied","2008","Single parent ","Female","86","0.115240604825592","0.0927161236215916","0.137765086029593","10"
"10 Completely satisfied","2008","Couple + C. LE 16 ","Male","174","0.106819654955662","0.0915016311385583","0.122137678772766","10"
"10 Completely satisfied","2008","Couple + C. LE 16 ","Female","175","0.10553187616527","0.0907028706434135","0.120360881687126","10"
"10 Completely satisfied","2008","Couple + C. GT 16 ","Male","217","0.148450355114249","0.131923971891169","0.164976738337329","10"
"10 Completely satisfied","2008","Couple + C. GT 16 ","Female","195","0.126262352371828","0.109931321300879","0.142593383442777","10"
"10 Completely satisfied","2008","Couple + C. LE and GT 16","Male","92","0.151802478733632","0.12346601404031","0.180138943426954","10"
"2 on Scale 1 to 10","2008","Couple + C. LE 16 ","Male","30","0.0303764364302911","0.0218654956492037","0.0388873772113785","2"
"2 on Scale 1 to 10","2008","Couple + C. LE 16 ","Female","49","0.03102303568812","0.0226547473524667","0.0393913240237733","2"
"2 on Scale 1 to 10","2008","1-pers.-HH","Male","54","0.0491067324282494","0.0373192414136271","0.0608942234428718","2"
