"plh0172","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2008","16-34 y.","in school","","","","","0"
"0 Completely dissatisfied","2008","16-34 y.","inadequately","1","","","","0"
"0 Completely dissatisfied","2008","16-34 y.","general elemantary","3","","","","0"
"0 Completely dissatisfied","2008","16-34 y.","middle vocational","10","","","","0"
"0 Completely dissatisfied","2008","16-34 y.","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","2008","16-34 y.","higher vocational","2","","","","0"
"0 Completely dissatisfied","2008","16-34 y.","higher education","","","","","0"
"0 Completely dissatisfied","2008","35-65 y.","in school","","","","","0"
"0 Completely dissatisfied","2008","35-65 y.","inadequately","3","","","","0"
"0 Completely dissatisfied","2008","35-65 y.","general elemantary","6","","","","0"
"0 Completely dissatisfied","2008","35-65 y.","middle vocational","37","0.00776997782930046","0.00545346896972902","0.0100864866888719","0"
"0 Completely dissatisfied","2008","35-65 y.","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","2008","35-65 y.","higher vocational","4","","","","0"
"0 Completely dissatisfied","2008","35-65 y.","higher education","15","","","","0"
"0 Completely dissatisfied","2008","66 and older","in school","","","","","0"
"0 Completely dissatisfied","2008","66 and older","inadequately","1","","","","0"
"0 Completely dissatisfied","2008","66 and older","general elemantary","11","","","","0"
"0 Completely dissatisfied","2008","66 and older","middle vocational","17","","","","0"
"0 Completely dissatisfied","2008","66 and older","vocational + Abi","3","","","","0"
"0 Completely dissatisfied","2008","66 and older","higher vocational","4","","","","0"
"0 Completely dissatisfied","2008","66 and older","higher education","4","","","","0"
"1 on Scale 1 to 10","2008","16-34 y.","higher education","2","","","","1"
"1 on Scale 1 to 10","2008","16-34 y.","higher vocational","","","","","1"
"1 on Scale 1 to 10","2008","16-34 y.","middle vocational","8","","","","1"
"1 on Scale 1 to 10","2008","16-34 y.","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","2008","16-34 y.","in school","1","","","","1"
"1 on Scale 1 to 10","2008","16-34 y.","inadequately","","","","","1"
"1 on Scale 1 to 10","2008","16-34 y.","general elemantary","3","","","","1"
"1 on Scale 1 to 10","2008","35-65 y.","in school","","","","","1"
"1 on Scale 1 to 10","2008","35-65 y.","inadequately","3","","","","1"
"1 on Scale 1 to 10","2008","35-65 y.","general elemantary","12","","","","1"
"1 on Scale 1 to 10","2008","35-65 y.","middle vocational","58","0.00798454473466251","0.00563652256903185","0.0103325669002932","1"
"1 on Scale 1 to 10","2008","35-65 y.","vocational + Abi","7","","","","1"
"1 on Scale 1 to 10","2008","35-65 y.","higher vocational","10","","","","1"
"1 on Scale 1 to 10","2008","35-65 y.","higher education","22","","","","1"
"1 on Scale 1 to 10","2008","66 and older","in school","","","","","1"
"1 on Scale 1 to 10","2008","66 and older","inadequately","","","","","1"
"1 on Scale 1 to 10","2008","66 and older","general elemantary","15","","","","1"
"1 on Scale 1 to 10","2008","66 and older","middle vocational","23","","","","1"
"1 on Scale 1 to 10","2008","66 and older","vocational + Abi","3","","","","1"
"1 on Scale 1 to 10","2008","66 and older","higher vocational","3","","","","1"
"1 on Scale 1 to 10","2008","66 and older","higher education","9","","","","1"
"10 Completely satisfied","2008","66 and older","higher education","91","0.106245532145556","0.0858394096708804","0.126651654620231","10"
"10 Completely satisfied","2008","35-65 y.","in school","","","","","10"
"10 Completely satisfied","2008","66 and older","higher vocational","36","0.12253947072938","0.0864425417577803","0.15863639970098","10"
"10 Completely satisfied","2008","16-34 y.","higher vocational","12","","","","10"
"10 Completely satisfied","2008","35-65 y.","inadequately","13","","","","10"
"10 Completely satisfied","2008","35-65 y.","general elemantary","48","0.0724472622437647","0.0528478183319924","0.092046706155537","10"
"10 Completely satisfied","2008","16-34 y.","higher education","64","0.104742726676956","0.0786969869029918","0.130788466450921","10"
"10 Completely satisfied","2008","16-34 y.","inadequately","11","","","","10"
"10 Completely satisfied","2008","16-34 y.","general elemantary","121","0.223685499994375","0.190963349852812","0.256407650135939","10"
"10 Completely satisfied","2008","16-34 y.","middle vocational","265","0.135467238903259","0.120442659996963","0.150491817809555","10"
"10 Completely satisfied","2008","66 and older","vocational + Abi","13","","","","10"
"10 Completely satisfied","2008","35-65 y.","higher vocational","80","0.0746268840177298","0.0581487928074486","0.0911049752280111","10"
"10 Completely satisfied","2008","16-34 y.","in school","72","0.216712052786316","0.173671383678686","0.259752721893945","10"
"10 Completely satisfied","2008","66 and older","in school","","","","","10"
"10 Completely satisfied","2008","66 and older","inadequately","4","","","","10"
"10 Completely satisfied","2008","66 and older","middle vocational","209","0.0977980065509744","0.0855515410365649","0.110044472065384","10"
