"plh0172","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2008","in school","West Germany","","","","","0"
"0 Completely dissatisfied","2008","in school","East Germany","","","","","0"
"0 Completely dissatisfied","2008","inadequately","West Germany","4","","","","0"
"0 Completely dissatisfied","2008","inadequately","East Germany","1","","","","0"
"0 Completely dissatisfied","2008","general elemantary","West Germany","15","","","","0"
"0 Completely dissatisfied","2008","general elemantary","East Germany","5","","","","0"
"0 Completely dissatisfied","2008","middle vocational","West Germany","48","0.00804545617529555","0.00598951599333328","0.0101013963572578","0"
"0 Completely dissatisfied","2008","middle vocational","East Germany","16","","","","0"
"0 Completely dissatisfied","2008","vocational + Abi","West Germany","5","","","","0"
"0 Completely dissatisfied","2008","vocational + Abi","East Germany","","","","","0"
"0 Completely dissatisfied","2008","higher vocational","West Germany","8","","","","0"
"0 Completely dissatisfied","2008","higher vocational","East Germany","2","","","","0"
"0 Completely dissatisfied","2008","higher education","West Germany","13","","","","0"
"0 Completely dissatisfied","2008","higher education","East Germany","6","","","","0"
"1 on Scale 1 to 10","2008","inadequately","West Germany","3","","","","1"
"1 on Scale 1 to 10","2008","inadequately","East Germany","","","","","1"
"1 on Scale 1 to 10","2008","higher vocational","West Germany","11","","","","1"
"1 on Scale 1 to 10","2008","higher vocational","East Germany","2","","","","1"
"1 on Scale 1 to 10","2008","general elemantary","West Germany","26","","","","1"
"1 on Scale 1 to 10","2008","in school","West Germany","1","","","","1"
"1 on Scale 1 to 10","2008","in school","East Germany","","","","","1"
"1 on Scale 1 to 10","2008","higher education","West Germany","18","","","","1"
"1 on Scale 1 to 10","2008","higher education","East Germany","15","","","","1"
"1 on Scale 1 to 10","2008","general elemantary","East Germany","4","","","","1"
"1 on Scale 1 to 10","2008","middle vocational","West Germany","64","0.00728989981264785","0.00533213169179974","0.00924766793349596","1"
"1 on Scale 1 to 10","2008","middle vocational","East Germany","25","","","","1"
"1 on Scale 1 to 10","2008","vocational + Abi","West Germany","9","","","","1"
"1 on Scale 1 to 10","2008","vocational + Abi","East Germany","1","","","","1"
"10 Completely satisfied","2008","in school","West Germany","63","0.24757388283582","0.196092458523441","0.299055307148199","10"
"10 Completely satisfied","2008","in school","East Germany","9","","","","10"
"10 Completely satisfied","2008","inadequately","West Germany","25","","","","10"
"10 Completely satisfied","2008","inadequately","East Germany","3","","","","10"
"10 Completely satisfied","2008","general elemantary","West Germany","183","0.117651798459822","0.102456081004864","0.132847515914781","10"
"10 Completely satisfied","2008","general elemantary","East Germany","37","0.132238484351505","0.0942837022839244","0.170193266419086","10"
"10 Completely satisfied","2008","middle vocational","West Germany","805","0.109429244831579","0.102244850390706","0.116613639272452","10"
"10 Completely satisfied","2008","middle vocational","East Germany","210","0.0769167160335909","0.0665111713778277","0.0873222606893541","10"
"10 Completely satisfied","2008","vocational + Abi","West Germany","93","0.101294836270357","0.0819346495723871","0.120655022968328","10"
"10 Completely satisfied","2008","vocational + Abi","East Germany","12","","","","10"
"10 Completely satisfied","2008","higher vocational","West Germany","101","0.0975830140647737","0.0795909623588446","0.115575065770703","10"
"10 Completely satisfied","2008","higher vocational","East Germany","27","","","","10"
"10 Completely satisfied","2008","higher education","West Germany","323","0.107612785965368","0.0964490169394801","0.118776554991257","10"
"10 Completely satisfied","2008","higher education","East Germany","87","0.070812910931807","0.0565528843925805","0.0850729374710335","10"
"2 on Scale 1 to 10","2008","inadequately","East Germany","","","","","2"
"2 on Scale 1 to 10","2008","general elemantary","East Germany","7","","","","2"
