"plh0172","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2008","16-34 y.","Female","15","","","","0"
"0 Completely dissatisfied","2008","16-34 y.","Male","3","","","","0"
"0 Completely dissatisfied","2008","35-65 y.","Female","43","0.00817429871363862","0.00581051606767045","0.0105380813596068","0"
"0 Completely dissatisfied","2008","35-65 y.","Male","23","","","","0"
"0 Completely dissatisfied","2008","66 and older","Female","26","","","","0"
"0 Completely dissatisfied","2008","66 and older","Male","14","","","","0"
"1 on Scale 1 to 10","2008","66 and older","Female","37","0.015976719424838","0.010854691731558","0.021098747118118","1"
"1 on Scale 1 to 10","2008","16-34 y.","Male","5","","","","1"
"1 on Scale 1 to 10","2008","16-34 y.","Female","11","","","","1"
"1 on Scale 1 to 10","2008","35-65 y.","Female","64","0.0107873334672428","0.00807547827523664","0.0134991886592489","1"
"1 on Scale 1 to 10","2008","35-65 y.","Male","48","0.0108893956656348","0.00804387359127745","0.0137349177399921","1"
"1 on Scale 1 to 10","2008","66 and older","Male","16","","","","1"
"10 Completely satisfied","2008","35-65 y.","Female","516","0.0943180738362516","0.0866453437476583","0.101990803924845","10"
"10 Completely satisfied","2008","16-34 y.","Male","339","0.16651191890206","0.150509704379658","0.182514133424461","10"
"10 Completely satisfied","2008","66 and older","Female","177","0.0829755391216616","0.0717071734232286","0.0942439048200945","10"
"10 Completely satisfied","2008","66 and older","Male","227","0.11764988545646","0.103692457423275","0.131607313489644","10"
"10 Completely satisfied","2008","16-34 y.","Female","306","0.140957662630233","0.126689875612845","0.15522544964762","10"
"10 Completely satisfied","2008","35-65 y.","Male","476","0.0859907563273591","0.0783040760134804","0.0936774366412378","10"
"2 on Scale 1 to 10","2008","16-34 y.","Female","45","0.0230398942698653","0.0168883572133665","0.0291914313263642","2"
"2 on Scale 1 to 10","2008","16-34 y.","Male","25","","","","2"
"2 on Scale 1 to 10","2008","35-65 y.","Female","203","0.0389710608961847","0.0338905901389905","0.0440515316533788","2"
"2 on Scale 1 to 10","2008","35-65 y.","Male","149","0.0371126830411294","0.0319296192933307","0.042295746788928","2"
"2 on Scale 1 to 10","2008","66 and older","Female","109","0.042680724607786","0.0344233930147977","0.0509380562007743","2"
"2 on Scale 1 to 10","2008","66 and older","Male","70","0.0456290396963402","0.0365890394539489","0.0546690399387316","2"
"3 on Scale 1 to 10","2008","66 and older","Female","171","0.0839442078869503","0.072616246458265","0.0952721693156355","3"
"3 on Scale 1 to 10","2008","16-34 y.","Male","66","0.0313633346960053","0.0238764818553848","0.0388501875366258","3"
"3 on Scale 1 to 10","2008","66 and older","Male","91","0.0520621823552195","0.0424385221810231","0.061685842529416","3"
"3 on Scale 1 to 10","2008","16-34 y.","Female","95","0.0471018296878822","0.0384152836796403","0.055788375696124","3"
"3 on Scale 1 to 10","2008","35-65 y.","Female","349","0.0747953355038271","0.0678894277497091","0.081701243257945","3"
"3 on Scale 1 to 10","2008","35-65 y.","Male","276","0.0581967392186397","0.0517777438598723","0.0646157345774072","3"
"4 on Scale 1 to 10","2008","35-65 y.","Female","362","0.0698925726049039","0.0631991741642541","0.0765859710455537","4"
"4 on Scale 1 to 10","2008","16-34 y.","Male","108","0.0556506500919435","0.0458035309565006","0.0654977692273864","4"
"4 on Scale 1 to 10","2008","16-34 y.","Female","115","0.0477390737025998","0.0389968892588314","0.0564812581463681","4"
"4 on Scale 1 to 10","2008","35-65 y.","Male","310","0.0628726164333097","0.0562173151273988","0.0695279177392207","4"
"4 on Scale 1 to 10","2008","66 and older","Female","191","0.0828072321079969","0.071549267569759","0.0940651966462348","4"
"4 on Scale 1 to 10","2008","66 and older","Male","124","0.055615437181252","0.0456874481857673","0.0655434261767367","4"
"5 on Scale 1 to 10","2008","66 and older","Female","353","0.145647354700372","0.131237310391391","0.160057399009353","5"
"5 on Scale 1 to 10","2008","16-34 y.","Female","245","0.104692593824547","0.0921395496452461","0.117245638003847","5"
"5 on Scale 1 to 10","2008","16-34 y.","Male","163","0.0810552648104949","0.0693321494163641","0.0927783802046257","5"
"5 on Scale 1 to 10","2008","35-65 y.","Female","684","0.129445917176598","0.120633264265066","0.138258570088129","5"
"5 on Scale 1 to 10","2008","35-65 y.","Male","533","0.118012140012725","0.109166438356954","0.126857841668495","5"
"5 on Scale 1 to 10","2008","66 and older","Male","231","0.116755992766139","0.102844648128609","0.130667337403669","5"
