"transab_cat2","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Full Time","Male","3921","0.98251215539911","0.978459121524121","0.986565189274098"
"Very low transfer dependency","1984","Full Time","Female","1604","0.982175213708371","0.975781226093583","0.988569201323159"
"Very low transfer dependency","1984","Part Time","Male","518","0.845917808416213","0.817837521832974","0.873998094999453"
"Very low transfer dependency","1984","Part Time","Female","1149","0.940249964984078","0.927041450211986","0.953458479756171"
"Very low transfer dependency","1984","Not Working","Male","1115","0.897655066530102","0.881210184875842","0.914099948184361"
"Very low transfer dependency","1984","Not Working","Female","2977","0.922652599053191","0.91353809403678","0.931767104069603"
"Low transfer dependency","1984","Full Time","Male","92","0.0165928192748643","0.0126430665818805","0.020542571967848"
"Low transfer dependency","1984","Full Time","Female","35","0.0156072158057601","0.00961741929602041","0.0215970123154998"
"Low transfer dependency","1984","Part Time","Male","81","0.107155372583757","0.0830975593770496","0.131213185790465"
"Low transfer dependency","1984","Part Time","Female","57","0.0384506839857345","0.0277354648370267","0.0491659031344423"
"Low transfer dependency","1984","Not Working","Male","80","0.0402813123549439","0.0296137149617997","0.0509489097480882"
"Low transfer dependency","1984","Not Working","Female","161","0.0338366310618654","0.0276676993475733","0.0400055627761575"
"High transfer dependency","1984","Full Time","Male","4","","",""
"High transfer dependency","1984","Full Time","Female","5","","",""
"High transfer dependency","1984","Part Time","Male","27","","",""
"High transfer dependency","1984","Part Time","Female","25","","",""
"High transfer dependency","1984","Not Working","Male","29","","",""
"High transfer dependency","1984","Not Working","Female","43","0.0111710727429163","0.00758516474885578","0.0147569807369769"
"Very high transfer dependency","1984","Full Time","Male","1","","",""
"Very high transfer dependency","1984","Full Time","Female","1","","",""
"Very high transfer dependency","1984","Part Time","Male","9","","",""
"Very high transfer dependency","1984","Part Time","Female","6","","",""
"Very high transfer dependency","1984","Not Working","Male","81","0.0495889847888744","0.0378104525661636","0.0613675170115853"
"Very high transfer dependency","1984","Not Working","Female","119","0.0323396971420268","0.0263040956419058","0.0383752986421479"
"Very low transfer dependency","1985","Full Time","Male","3476","0.988915028556989","0.985462613118028","0.992367443995951"
"Very low transfer dependency","1985","Full Time","Female","1409","0.981714744834428","0.974804273593112","0.988625216075744"
"Very low transfer dependency","1985","Part Time","Male","588","0.89295654531933","0.869546302918619","0.916366787720041"
"Very low transfer dependency","1985","Part Time","Female","1122","0.938227881259277","0.924561284532593","0.95189447798596"
"Very low transfer dependency","1985","Not Working","Male","1060","0.900396162720038","0.883673801904234","0.917118523535842"
"Very low transfer dependency","1985","Not Working","Female","2710","0.926781201404437","0.917419009990162","0.936143392818711"
"Low transfer dependency","1985","Full Time","Male","53","0.0105131835453548","0.00715001678745353","0.0138763503032562"
"Low transfer dependency","1985","Full Time","Female","29","","",""
"Low transfer dependency","1985","Part Time","Male","53","0.0623452625209963","0.0440375579871755","0.0806529670548171"
"Low transfer dependency","1985","Part Time","Female","44","0.0374436828287167","0.0266663246516293","0.0482210410058041"
"Low transfer dependency","1985","Not Working","Male","69","0.0348246505384868","0.0245872609382145","0.0450620401387591"
"Low transfer dependency","1985","Not Working","Female","108","0.0250744229488152","0.0194551669924016","0.0306936789052287"
"High transfer dependency","1985","Full Time","Male","4","","",""
"High transfer dependency","1985","Full Time","Female","6","","",""
"High transfer dependency","1985","Part Time","Male","21","","",""
"High transfer dependency","1985","Part Time","Female","24","","",""
"High transfer dependency","1985","Not Working","Male","34","0.0187949646617938","0.0112119241185813","0.0263780052050062"
"High transfer dependency","1985","Not Working","Female","45","0.0134276159158086","0.00929103483495708","0.0175641969966601"
"Very high transfer dependency","1985","Full Time","Male","","","",""
"Very high transfer dependency","1985","Full Time","Female","","","",""
"Very high transfer dependency","1985","Part Time","Male","8","","",""
"Very high transfer dependency","1985","Part Time","Female","2","","",""
"Very high transfer dependency","1985","Not Working","Male","69","0.0459842220796814","0.0342885566099386","0.0576798875494242"
"Very high transfer dependency","1985","Not Working","Female","111","0.0347167597309397","0.0281375370817403","0.0412959823801392"
"Very low transfer dependency","1986","Full Time","Male","3387","0.988927179567222","0.985429795814169","0.992424563320275"
"Very low transfer dependency","1986","Full Time","Female","1385","0.981025716143278","0.973911944781664","0.988139487504892"
"Very low transfer dependency","1986","Part Time","Male","530","0.842548676930028","0.813971030821105","0.871126323038951"
"Very low transfer dependency","1986","Part Time","Female","1124","0.942228916563186","0.92899527406993","0.955462559056441"
"Very low transfer dependency","1986","Not Working","Male","1032","0.906100533113297","0.889422343232365","0.922778722994228"
"Very low transfer dependency","1986","Not Working","Female","2510","0.928274009955033","0.918619451667262","0.937928568242803"
"Low transfer dependency","1986","Full Time","Male","46","0.00963631675245062","0.00637130394013403","0.0129013295647672"
"Low transfer dependency","1986","Full Time","Female","26","","",""
"Low transfer dependency","1986","Part Time","Male","66","0.10953826589652","0.0850337370055736","0.134042794787466"
"Low transfer dependency","1986","Part Time","Female","42","0.0341712480183053","0.0238667601361607","0.0444757359004499"
"Low transfer dependency","1986","Not Working","Male","54","0.0343866615389868","0.0239676674215276","0.044805655656446"
"Low transfer dependency","1986","Not Working","Female","95","0.024540584460225","0.0187515905742216","0.0303295783462285"
"High transfer dependency","1986","Full Time","Male","4","","",""
"High transfer dependency","1986","Full Time","Female","2","","",""
"High transfer dependency","1986","Part Time","Male","25","","",""
"High transfer dependency","1986","Part Time","Female","20","","",""
"High transfer dependency","1986","Not Working","Male","24","","",""
"High transfer dependency","1986","Not Working","Female","47","0.0153243291647159","0.0107281878066568","0.0199204705227749"
"Very high transfer dependency","1986","Full Time","Male","2","","",""
"Very high transfer dependency","1986","Full Time","Female","","","",""
"Very high transfer dependency","1986","Part Time","Male","3","","",""
"Very high transfer dependency","1986","Part Time","Female","8","","",""
"Very high transfer dependency","1986","Not Working","Male","65","0.0483741252878002","0.0361062644387671","0.0606419861368333"
"Very high transfer dependency","1986","Not Working","Female","92","0.0318610764200266","0.025289718836436","0.0384324340036173"
"Very low transfer dependency","1987","Full Time","Male","3413","0.986896493532666","0.983113371498066","0.990679615567266"
"Very low transfer dependency","1987","Full Time","Female","1401","0.978350342575953","0.970796619778276","0.985904065373629"
"Very low transfer dependency","1987","Part Time","Male","514","0.885031846689902","0.85933644184272","0.910727251537084"
"Very low transfer dependency","1987","Part Time","Female","1139","0.935361707337184","0.921535766837557","0.949187647836811"
"Very low transfer dependency","1987","Not Working","Male","987","0.894428314560266","0.876487893567276","0.912368735553255"
"Very low transfer dependency","1987","Not Working","Female","2426","0.932488113815377","0.922933373565097","0.942042854065658"
"Low transfer dependency","1987","Full Time","Male","50","0.0112426740810161","0.00773515169276754","0.0147501964692647"
"Low transfer dependency","1987","Full Time","Female","21","","",""
"Low transfer dependency","1987","Part Time","Male","51","0.0721442402326732","0.0513027723361886","0.0929857081291579"
"Low transfer dependency","1987","Part Time","Female","53","0.0446781251777358","0.0330614382955334","0.0562948120599382"
"Low transfer dependency","1987","Not Working","Male","57","0.042171467736693","0.0304376489677642","0.0539052865056218"
"Low transfer dependency","1987","Not Working","Female","110","0.0324942794761857","0.025742203221649","0.0392463557307223"
"High transfer dependency","1987","Full Time","Male","6","","",""
"High transfer dependency","1987","Full Time","Female","4","","",""
"High transfer dependency","1987","Part Time","Male","24","","",""
"High transfer dependency","1987","Part Time","Female","15","","",""
"High transfer dependency","1987","Not Working","Male","26","","",""
"High transfer dependency","1987","Not Working","Female","38","0.00899770080530504","0.00540177918608216","0.0125936224245279"
"Very high transfer dependency","1987","Full Time","Male","2","","",""
"Very high transfer dependency","1987","Full Time","Female","","","",""
"Very high transfer dependency","1987","Part Time","Male","3","","",""
"Very high transfer dependency","1987","Part Time","Female","8","","",""
"Very high transfer dependency","1987","Not Working","Male","57","0.0472619296320074","0.0348731474482784","0.0596507118157363"
"Very high transfer dependency","1987","Not Working","Female","75","0.0260199059031319","0.0199576395571114","0.0320821722491524"
"Very low transfer dependency","1988","Full Time","Male","3214","0.987078317580464","0.983201506584548","0.99095512857638"
"Very low transfer dependency","1988","Full Time","Female","1303","0.982441924259508","0.975380740671298","0.989503107847718"
"Very low transfer dependency","1988","Part Time","Male","523","0.900167322230915","0.875998675583057","0.924335968878773"
"Very low transfer dependency","1988","Part Time","Female","1177","0.941148517663223","0.928080886911504","0.954216148414943"
"Very low transfer dependency","1988","Not Working","Male","945","0.911657584041378","0.894716577068675","0.928598591014081"
"Very low transfer dependency","1988","Not Working","Female","2269","0.931993544570278","0.92206711100775","0.941919978132805"
"Low transfer dependency","1988","Full Time","Male","43","0.0120740184570163","0.00832491511006664","0.0158231218039659"
"Low transfer dependency","1988","Full Time","Female","22","","",""
"Low transfer dependency","1988","Part Time","Male","48","0.0661667885469614","0.0461262662262464","0.0862073108676765"
"Low transfer dependency","1988","Part Time","Female","46","0.0404544779112816","0.0295147842271275","0.0513941715954357"
"Low transfer dependency","1988","Not Working","Male","53","0.028848916594899","0.0188570445434268","0.0388407886463711"
"Low transfer dependency","1988","Not Working","Female","91","0.0270731030333994","0.0206739743860257","0.033472231680773"
"High transfer dependency","1988","Full Time","Male","2","","",""
"High transfer dependency","1988","Full Time","Female","3","","",""
"High transfer dependency","1988","Part Time","Male","13","","",""
"High transfer dependency","1988","Part Time","Female","16","","",""
"High transfer dependency","1988","Not Working","Male","24","","",""
"High transfer dependency","1988","Not Working","Female","27","","",""
"Very high transfer dependency","1988","Full Time","Male","1","","",""
"Very high transfer dependency","1988","Full Time","Female","1","","",""
"Very high transfer dependency","1988","Part Time","Male","7","","",""
"Very high transfer dependency","1988","Part Time","Female","7","","",""
"Very high transfer dependency","1988","Not Working","Male","56","0.0457007435764081","0.0332342982563836","0.0581671888964326"
"Very high transfer dependency","1988","Not Working","Female","84","0.0299209458292263","0.0232035190544745","0.0366383726039781"
"Very low transfer dependency","1989","Full Time","Male","3136","0.98891400855656","0.985276564641766","0.992551452471354"
"Very low transfer dependency","1989","Full Time","Female","1338","0.98161501192692","0.974485772867477","0.988744250986364"
"Very low transfer dependency","1989","Part Time","Male","453","0.880845364619748","0.852973262807864","0.908717466431632"
"Very low transfer dependency","1989","Part Time","Female","1112","0.94354101567925","0.93037197892605","0.956710052432451"
"Very low transfer dependency","1989","Not Working","Male","925","0.91060424225857","0.893428383980971","0.927780100536169"
"Very low transfer dependency","1989","Not Working","Female","2166","0.92766128878323","0.91721878946864","0.938103788097819"
"Low transfer dependency","1989","Full Time","Male","42","0.00985512133704161","0.00642341487647172","0.0132868277976115"
"Low transfer dependency","1989","Full Time","Female","20","","",""
"Low transfer dependency","1989","Part Time","Male","46","0.0729201236362707","0.0505511175670224","0.095289129705519"
"Low transfer dependency","1989","Part Time","Female","45","0.0327264135384483","0.0225748962491645","0.0428779308277321"
"Low transfer dependency","1989","Not Working","Male","52","0.0271131820522421","0.0173359355886121","0.0368904285158721"
"Low transfer dependency","1989","Not Working","Female","85","0.0255126679612499","0.0191565727768259","0.0318687631456739"
"High transfer dependency","1989","Full Time","Male","4","","",""
"High transfer dependency","1989","Full Time","Female","6","","",""
"High transfer dependency","1989","Part Time","Male","18","","",""
"High transfer dependency","1989","Part Time","Female","16","","",""
"High transfer dependency","1989","Not Working","Male","22","","",""
"High transfer dependency","1989","Not Working","Female","36","0.0128555871132317","0.00831449136913891","0.0173966828573246"
"Very high transfer dependency","1989","Full Time","Male","1","","",""
"Very high transfer dependency","1989","Full Time","Female","","","",""
"Very high transfer dependency","1989","Part Time","Male","2","","",""
"Very high transfer dependency","1989","Part Time","Female","7","","",""
"Very high transfer dependency","1989","Not Working","Male","61","0.0480321120829437","0.0351593379299359","0.0609048862359514"
"Very high transfer dependency","1989","Not Working","Female","77","0.0339704561422887","0.0266679782910264","0.041272933993551"
"Very low transfer dependency","1990","Full Time","Male","3067","0.988783699950345","0.985081302445928","0.992486097454763"
"Very low transfer dependency","1990","Full Time","Female","1306","0.992617025611403","0.988000627834949","0.997233423387857"
"Very low transfer dependency","1990","Part Time","Male","437","0.875868192703572","0.846995310106158","0.904741075300986"
"Very low transfer dependency","1990","Part Time","Female","1159","0.949811792101762","0.937550278913144","0.96207330529038"
"Very low transfer dependency","1990","Not Working","Male","944","0.922046673299716","0.905899597260836","0.938193749338597"
"Very low transfer dependency","1990","Not Working","Female","2089","0.93779236280204","0.927830023683359","0.947754701920721"
"Low transfer dependency","1990","Full Time","Male","36","0.00942865010740318","0.00603102680050195","0.0128262734143044"
"Low transfer dependency","1990","Full Time","Female","10","","",""
"Low transfer dependency","1990","Part Time","Male","42","0.0691069822901784","0.0468974159347431","0.0913165486456136"
"Low transfer dependency","1990","Part Time","Female","35","0.0294199437090302","0.0199300565780356","0.0389098308400248"
"Low transfer dependency","1990","Not Working","Male","40","0.0250765761344016","0.0156594262428797","0.0344937260259236"
"Low transfer dependency","1990","Not Working","Female","84","0.0278938514899215","0.0211018588063632","0.0346858441734798"
"High transfer dependency","1990","Full Time","Male","4","","",""
"High transfer dependency","1990","Full Time","Female","5","","",""
"High transfer dependency","1990","Part Time","Male","17","","",""
"High transfer dependency","1990","Part Time","Female","19","","",""
"High transfer dependency","1990","Not Working","Male","24","","",""
"High transfer dependency","1990","Not Working","Female","30","0.0121954012549474","0.00766830539004392","0.0167224971198508"
"Very high transfer dependency","1990","Full Time","Male","1","","",""
"Very high transfer dependency","1990","Full Time","Female","","","",""
"Very high transfer dependency","1990","Part Time","Male","5","","",""
"Very high transfer dependency","1990","Part Time","Female","5","","",""
"Very high transfer dependency","1990","Not Working","Male","51","0.0378433174113346","0.0263507354030273","0.0493358994196419"
"Very high transfer dependency","1990","Not Working","Female","55","0.0221183844530908","0.0160523347539741","0.0281844341522076"
"Very low transfer dependency","1991","Full Time","Male","3033","0.988134447915319","0.984309145469357","0.991959750361282"
"Very low transfer dependency","1991","Full Time","Female","1321","0.985130126838647","0.978669069766553","0.991591183910742"
"Very low transfer dependency","1991","Part Time","Male","472","0.897834246583369","0.871976329536512","0.923692163630225"
"Very low transfer dependency","1991","Part Time","Female","1170","0.958780008092647","0.947652029233328","0.969907986951967"
"Very low transfer dependency","1991","Not Working","Male","913","0.914338619324833","0.89729686578706","0.931380372862605"
"Very low transfer dependency","1991","Not Working","Female","2041","0.929569780573084","0.918918893904426","0.940220667241741"
"Low transfer dependency","1991","Full Time","Male","43","0.0111598345561032","0.00744870846250442","0.0148709606497019"
"Low transfer dependency","1991","Full Time","Female","23","","",""
"Low transfer dependency","1991","Part Time","Male","39","0.0727403374996967","0.0505669971585414","0.094913677840852"
"Low transfer dependency","1991","Part Time","Female","34","0.0237901827846988","0.0152597055021451","0.0323206600672525"
"Low transfer dependency","1991","Not Working","Male","51","0.0303854409389004","0.0199334133168992","0.0408374685609016"
"Low transfer dependency","1991","Not Working","Female","90","0.0329439469221207","0.0255141168165666","0.0403737770276748"
"High transfer dependency","1991","Full Time","Male","2","","",""
"High transfer dependency","1991","Full Time","Female","4","","",""
"High transfer dependency","1991","Part Time","Male","13","","",""
"High transfer dependency","1991","Part Time","Female","16","","",""
"High transfer dependency","1991","Not Working","Male","22","","",""
"High transfer dependency","1991","Not Working","Female","34","0.0161000938072977","0.010861015289155","0.0213391723254404"
"Very high transfer dependency","1991","Full Time","Male","","","",""
"Very high transfer dependency","1991","Full Time","Female","","","",""
"Very high transfer dependency","1991","Part Time","Male","3","","",""
"Very high transfer dependency","1991","Part Time","Female","6","","",""
"Very high transfer dependency","1991","Not Working","Male","50","0.0423448989204201","0.0300825596819939","0.0546072381588463"
"Very high transfer dependency","1991","Not Working","Female","52","0.0213861786974979","0.015364223602299","0.0274081337926968"
"Very low transfer dependency","1992","Full Time","Male","4169","0.973454641392274","0.96866440449197","0.978244878292577"
"Very low transfer dependency","1992","Full Time","Female","2196","0.980336272495914","0.974609544157515","0.986063000834312"
"Very low transfer dependency","1992","Part Time","Male","647","0.868605217850279","0.844634220792909","0.892576214907649"
"Very low transfer dependency","1992","Part Time","Female","1568","0.925890826172469","0.913543683377374","0.938237968967564"
"Very low transfer dependency","1992","Not Working","Male","1184","0.907687160245886","0.892331060764751","0.923043259727022"
"Very low transfer dependency","1992","Not Working","Female","2595","0.927223190448775","0.917745804287825","0.936700576609726"
"Low transfer dependency","1992","Full Time","Male","140","0.0228285166469734","0.0183778089553795","0.0272792243385674"
"Low transfer dependency","1992","Full Time","Female","52","0.0154849558183208","0.0103922066566729","0.0205777049799687"
"Low transfer dependency","1992","Part Time","Male","89","0.0981054865901523","0.0769992723290639","0.119211700851241"
"Low transfer dependency","1992","Part Time","Female","113","0.0484548464142264","0.0383336021567532","0.0585760906716996"
"Low transfer dependency","1992","Not Working","Male","83","0.0305767261196057","0.0214432945772371","0.0397101576619743"
"Low transfer dependency","1992","Not Working","Female","165","0.0326045446300192","0.0261250517262242","0.0390840375338141"
"High transfer dependency","1992","Full Time","Male","13","","",""
"High transfer dependency","1992","Full Time","Female","7","","",""
"High transfer dependency","1992","Part Time","Male","21","","",""
"High transfer dependency","1992","Part Time","Female","39","0.0210690954685251","0.014299705094285","0.0278384858427653"
"High transfer dependency","1992","Not Working","Male","40","0.0214222978959509","0.0137413918937766","0.0291032038981252"
"High transfer dependency","1992","Not Working","Female","48","0.0134053589664753","0.00920961935756248","0.0176010985753881"
"Very high transfer dependency","1992","Full Time","Male","4","","",""
"Very high transfer dependency","1992","Full Time","Female","3","","",""
"Very high transfer dependency","1992","Part Time","Male","6","","",""
"Very high transfer dependency","1992","Part Time","Female","9","","",""
"Very high transfer dependency","1992","Not Working","Male","58","0.0403138157385573","0.0298792749773585","0.050748356499756"
"Very high transfer dependency","1992","Not Working","Female","78","0.02676690595473","0.0208783684110392","0.0326554434984209"
"Very low transfer dependency","1993","Full Time","Male","3937","0.966626805141083","0.961151716382238","0.972101893899929"
"Very low transfer dependency","1993","Full Time","Female","2029","0.971634760281431","0.964547840147465","0.978721680415396"
"Very low transfer dependency","1993","Part Time","Male","614","0.848073784084779","0.822570920829829","0.873576647339729"
"Very low transfer dependency","1993","Part Time","Female","1532","0.929934026259684","0.917724399350821","0.942143653168547"
"Very low transfer dependency","1993","Not Working","Male","1236","0.889019645883866","0.87291312591734","0.905126165850393"
"Very low transfer dependency","1993","Not Working","Female","2549","0.907279904772794","0.896820657609783","0.917739151935805"
"Low transfer dependency","1993","Full Time","Male","174","0.0293283061742556","0.0241849982220891","0.034471614126422"
"Low transfer dependency","1993","Full Time","Female","66","0.0227229517062655","0.0163615325822477","0.0290843708302833"
"Low transfer dependency","1993","Part Time","Male","92","0.0897431371537052","0.0694364832413031","0.110049791066107"
"Low transfer dependency","1993","Part Time","Female","101","0.0458564671400495","0.0358511722128438","0.0558617620672551"
"Low transfer dependency","1993","Not Working","Male","112","0.0453355687367064","0.0346679401080493","0.0560031973653635"
"Low transfer dependency","1993","Not Working","Female","239","0.0477110669740146","0.0400244227789761","0.0553977111690531"
"High transfer dependency","1993","Full Time","Male","19","","",""
"High transfer dependency","1993","Full Time","Female","12","","",""
"High transfer dependency","1993","Part Time","Male","41","0.0508471407423281","0.0352387865732456","0.0664554949114107"
"High transfer dependency","1993","Part Time","Female","31","0.0174855381632997","0.0112160552884875","0.0237550210381119"
"High transfer dependency","1993","Not Working","Male","44","0.0225445773383459","0.0149326871912971","0.0301564674853946"
"High transfer dependency","1993","Not Working","Female","65","0.0150943238132251","0.010697419677111","0.0194912279493392"
"Very high transfer dependency","1993","Full Time","Male","4","","",""
"Very high transfer dependency","1993","Full Time","Female","1","","",""
"Very high transfer dependency","1993","Part Time","Male","14","","",""
"Very high transfer dependency","1993","Part Time","Female","15","","",""
"Very high transfer dependency","1993","Not Working","Male","69","0.0431002080410814","0.0326867278228374","0.0535136882593254"
"Very high transfer dependency","1993","Not Working","Female","101","0.0299147044399665","0.0237715679525998","0.0360578409273333"
"Very low transfer dependency","1994","Full Time","Male","3770","0.966959371541934","0.961389461094906","0.972529281988962"
"Very low transfer dependency","1994","Full Time","Female","1940","0.974275130406547","0.967355873513735","0.981194387299359"
