"transab_cat2","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","(Married) couple without C. ","14","","","","2"
"High transfer dependency","1984","1-pers.-HH","20","","","","2"
"High transfer dependency","1984","Couple + C. GT 16 ","8","","","","2"
"High transfer dependency","1984","Couple + C. LE 16 ","42","0.0112243837466611","0.00749173172186922","0.014957035771453","2"
"High transfer dependency","1984","Couple + C. LE and GT 16","16","","","","2"
"High transfer dependency","1984","Single parent ","15","","","","2"
"Low transfer dependency","1984","1-pers.-HH","41","0.0211554241139213","0.0133717711348033","0.0289390770930393","1"
"Low transfer dependency","1984","(Married) couple without C. ","70","0.0203585428227125","0.0150267209860431","0.0256903646593819","1"
"Low transfer dependency","1984","Couple + C. GT 16 ","54","0.0263593165914267","0.0193153775831842","0.0334032555996693","1"
"Low transfer dependency","1984","Couple + C. LE 16 ","125","0.0368373152753833","0.0301633923382627","0.043511238212504","1"
"Low transfer dependency","1984","Couple + C. LE and GT 16","115","0.0340636192890034","0.0254510455617269","0.0426761930162799","1"
"Low transfer dependency","1984","Single parent ","49","0.0833113061577879","0.0605845824429055","0.10603802987267","1"
"Very high transfer dependency","1984","(Married) couple without C. ","22","","","","3"
"Very high transfer dependency","1984","1-pers.-HH","70","0.0466536802183804","0.0352463495893124","0.0580610108474484","3"
"Very high transfer dependency","1984","Couple + C. LE 16 ","52","0.0177682896946538","0.0130875211528932","0.0224490582364145","3"
"Very high transfer dependency","1984","Couple + C. GT 16 ","23","","","","3"
"Very high transfer dependency","1984","Couple + C. LE and GT 16","15","","","","3"
"Very high transfer dependency","1984","Single parent ","32","0.0535550980856395","0.0350401712249549","0.0720700249463241","3"
"Very low transfer dependency","1984","(Married) couple without C. ","2589","0.96821450428149","0.961591287150675","0.974837721412305","0"
"Very low transfer dependency","1984","1-pers.-HH","1182","0.918932258613081","0.904169024275009","0.933695492951154","0"
"Very low transfer dependency","1984","Couple + C. GT 16 ","1902","0.965846385432353","0.957860528538631","0.973832242326074","0"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","1558","0.956404162755071","0.94670896803504","0.966099357475102","0"
"Very low transfer dependency","1984","Couple + C. LE 16 ","2841","0.934170011283302","0.925383585827221","0.942956436739382","0"
"Very low transfer dependency","1984","Single parent ","472","0.835503027897089","0.805015171414999","0.86599088437918","0"
"High transfer dependency","1985","(Married) couple without C. ","18","","","","2"
"High transfer dependency","1985","1-pers.-HH","22","","","","2"
"High transfer dependency","1985","Couple + C. GT 16 ","29","","","","2"
"High transfer dependency","1985","Couple + C. LE 16 ","22","","","","2"
"High transfer dependency","1985","Couple + C. LE and GT 16","20","","","","2"
"High transfer dependency","1985","Single parent ","12","","","","2"
"Low transfer dependency","1985","(Married) couple without C. ","50","0.016422962615934","0.0113686246730692","0.0214773005587987","1"
"Low transfer dependency","1985","1-pers.-HH","25","","","","1"
"Low transfer dependency","1985","Couple + C. LE 16 ","103","0.03142873887288","0.0248083355940212","0.0380491421517387","1"
"Low transfer dependency","1985","Couple + C. GT 16 ","36","0.0145452276348514","0.00933070944235772","0.019759745827345","1"
"Low transfer dependency","1985","Couple + C. LE and GT 16","69","0.0281119453742499","0.0197275498121298","0.03649634093637","1"
"Low transfer dependency","1985","Single parent ","30","0.055180113705655","0.0359574195514415","0.0744028078598685","1"
"Very high transfer dependency","1985","(Married) couple without C. ","28","","","","3"
"Very high transfer dependency","1985","1-pers.-HH","47","0.0352093770703914","0.0246484785913706","0.0457702755494122","3"
"Very high transfer dependency","1985","Couple + C. GT 16 ","9","","","","3"
"Very high transfer dependency","1985","Couple + C. LE 16 ","56","0.0194072070451174","0.0141726366277882","0.0246417774624467","3"
"Very high transfer dependency","1985","Couple + C. LE and GT 16","7","","","","3"
"Very high transfer dependency","1985","Single parent ","32","0.0519581432546202","0.0332733190855954","0.070642967423645","3"
"Very low transfer dependency","1985","(Married) couple without C. ","2333","0.964531430974071","0.957175894396304","0.971886967551838","0"
"Very low transfer dependency","1985","1-pers.-HH","1076","0.926846016511362","0.911925703165346","0.941766329857379","0"
"Very low transfer dependency","1985","Couple + C. GT 16 ","1951","0.972679900741734","0.965579846205698","0.97977995527777","0"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","1397","0.961147584264483","0.951345414041698","0.970949754487269","0"
"Very low transfer dependency","1985","Couple + C. LE 16 ","2487","0.943169467295542","0.934384484638972","0.951954449952113","0"
"Very low transfer dependency","1985","Single parent ","468","0.866359279630256","0.83771308967154","0.895005469588971","0"
"High transfer dependency","1986","(Married) couple without C. ","26","","","","2"
"High transfer dependency","1986","1-pers.-HH","25","","","","2"
"High transfer dependency","1986","Couple + C. GT 16 ","14","","","","2"
"High transfer dependency","1986","Couple + C. LE 16 ","22","","","","2"
