"transab_cat2","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","16-34 y.","1-pers.-HH","276","0.805061507256391","0.763076099929511","0.847046914583272"
"Very low transfer dependency","1984","16-34 y.","(Married) couple without C. ","604","0.941082843120986","0.922825714275581","0.959339971966392"
"Very low transfer dependency","1984","16-34 y.","Single parent ","223","0.797560637136547","0.750495599311312","0.844625674961783"
"Very low transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","1381","0.91772761066638","0.903817479388509","0.93163774194425"
"Very low transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","757","0.967070234609108","0.954649856307669","0.979490612910547"
"Very low transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","635","0.950545382684451","0.934472293508754","0.966618471860147"
"Very low transfer dependency","1984","35-65 y.","1-pers.-HH","457","0.906379127172503","0.881122291904206","0.9316359624408"
"Very low transfer dependency","1984","35-65 y.","(Married) couple without C. ","1416","0.965140590159951","0.955798891211417","0.974482289108484"
"Very low transfer dependency","1984","35-65 y.","Single parent ","225","0.869323667513277","0.828355113345643","0.91029222168091"
"Very low transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","1457","0.948888878814682","0.937953602871558","0.959824154757805"
"Very low transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","1099","0.965853243239214","0.955338804768554","0.976367681709874"
"Very low transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","923","0.960545344395749","0.948509595337644","0.972581093453854"
"Very low transfer dependency","1984","66 and older","1-pers.-HH","449","0.977813910435502","0.964354139722264","0.99127368114874"
"Very low transfer dependency","1984","66 and older","(Married) couple without C. ","569","0.992993575713872","0.986175911542428","0.999811239885316"
"Very low transfer dependency","1984","66 and older","Single parent ","24","","",""
"Very low transfer dependency","1984","66 and older","Couple + C. LE 16 ","3","","",""
"Very low transfer dependency","1984","66 and older","Couple + C. GT 16 ","46","0.952250570288492","0.891926979173499","1.01257416140349"
"Very low transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Low transfer dependency","1984","16-34 y.","1-pers.-HH","20","","",""
"Low transfer dependency","1984","16-34 y.","(Married) couple without C. ","25","","",""
"Low transfer dependency","1984","16-34 y.","Single parent ","27","","",""
"Low transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","60","0.0430426228948518","0.0327685430615635","0.0533167027281401"
"Low transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","21","","",""
"Low transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","51","0.039536163935043","0.0250901750566986","0.0539821528133874"
"Low transfer dependency","1984","35-65 y.","1-pers.-HH","17","","",""
"Low transfer dependency","1984","35-65 y.","(Married) couple without C. ","41","0.0203762667755893","0.0131807412220481","0.0275717923291305"
"Low transfer dependency","1984","35-65 y.","Single parent ","18","","",""
"Low transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","65","0.0313195713207839","0.0226706383455897","0.0399685042959781"
"Low transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","31","0.0257709473390539","0.0165970999273048","0.0349447947508031"
"Low transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","64","0.0301954417600979","0.019615631854207","0.0407752516659888"
"Low transfer dependency","1984","66 and older","1-pers.-HH","4","","",""
"Low transfer dependency","1984","66 and older","(Married) couple without C. ","4","","",""
"Low transfer dependency","1984","66 and older","Single parent ","4","","",""
"Low transfer dependency","1984","66 and older","Couple + C. LE 16 ","","","",""
"Low transfer dependency","1984","66 and older","Couple + C. GT 16 ","2","","",""
"Low transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","",""
"High transfer dependency","1984","16-34 y.","1-pers.-HH","8","","",""
"High transfer dependency","1984","16-34 y.","(Married) couple without C. ","5","","",""
"High transfer dependency","1984","16-34 y.","Single parent ","9","","",""
"High transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","24","","",""
"High transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","4","","",""
"High transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","6","","",""
"High transfer dependency","1984","35-65 y.","1-pers.-HH","9","","",""
"High transfer dependency","1984","35-65 y.","(Married) couple without C. ","9","","",""
"High transfer dependency","1984","35-65 y.","Single parent ","6","","",""
"High transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","18","","",""
"High transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","4","","",""
"High transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","10","","",""
"High transfer dependency","1984","66 and older","1-pers.-HH","3","","",""
"High transfer dependency","1984","66 and older","(Married) couple without C. ","","","",""
"High transfer dependency","1984","66 and older","Single parent ","","","",""
"High transfer dependency","1984","66 and older","Couple + C. LE 16 ","","","",""
"High transfer dependency","1984","66 and older","Couple + C. GT 16 ","","","",""
"High transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Very high transfer dependency","1984","16-34 y.","1-pers.-HH","38","0.116879245545265","0.0828295068454936","0.150928984245036"
"Very high transfer dependency","1984","16-34 y.","(Married) couple without C. ","5","","",""
"Very high transfer dependency","1984","16-34 y.","Single parent ","21","","",""
"Very high transfer dependency","1984","16-34 y.","Couple + C. LE 16 ","34","0.0242316746986809","0.0164475040574834","0.0320158453398785"
"Very high transfer dependency","1984","16-34 y.","Couple + C. GT 16 ","11","","",""
"Very high transfer dependency","1984","16-34 y.","Couple + C. LE and GT 16","7","","",""
"Very high transfer dependency","1984","35-65 y.","1-pers.-HH","28","","",""
"Very high transfer dependency","1984","35-65 y.","(Married) couple without C. ","15","","",""
"Very high transfer dependency","1984","35-65 y.","Single parent ","11","","",""
"Very high transfer dependency","1984","35-65 y.","Couple + C. LE 16 ","18","","",""
"Very high transfer dependency","1984","35-65 y.","Couple + C. GT 16 ","12","","",""
"Very high transfer dependency","1984","35-65 y.","Couple + C. LE and GT 16","8","","",""
"Very high transfer dependency","1984","66 and older","1-pers.-HH","4","","",""
"Very high transfer dependency","1984","66 and older","(Married) couple without C. ","2","","",""
"Very high transfer dependency","1984","66 and older","Single parent ","","","",""
"Very high transfer dependency","1984","66 and older","Couple + C. LE 16 ","","","",""
"Very high transfer dependency","1984","66 and older","Couple + C. GT 16 ","","","",""
"Very high transfer dependency","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Very low transfer dependency","1985","16-34 y.","1-pers.-HH","279","0.867668323402876","0.830599879633936","0.904736767171815"
"Very low transfer dependency","1985","16-34 y.","(Married) couple without C. ","559","0.943850413210963","0.92527463775651","0.962426188665415"
"Very low transfer dependency","1985","16-34 y.","Single parent ","234","0.842703474270546","0.799828372506924","0.885578576034169"
