"transab_cat2","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Not Employed","(0) in school","159","0.899476502029471","0.855177885286366","0.943775118772577"
"Very low transfer dependency","1984","Not Employed","(1a) inadequately completed","293","0.726630827094224","0.682340899619991","0.770920754568457"
"Very low transfer dependency","1984","Not Employed","(1b) general elementary school","1350","0.919918774064099","0.906219816578635","0.933617731549564"
"Very low transfer dependency","1984","Not Employed","(1c) basic vocational qualification","1208","0.92320933584791","0.908921235821784","0.937497435874037"
"Very low transfer dependency","1984","Not Employed","(2b) intermediate general qualification","224","0.950944430875253","0.92356207127645","0.978326790474056"
"Very low transfer dependency","1984","Not Employed","(2a) intermediate vocational","375","0.933196496665409","0.908909643712268","0.957483349618551"
"Very low transfer dependency","1984","Not Employed","(2c_gen) general maturity certificate","195","0.874497709628478","0.831306135189763","0.917689284067192"
"Very low transfer dependency","1984","Not Employed","(2c_voc) vocational maturity certificate","112","0.880827469992938","0.824699852059376","0.9369550879265"
"Very low transfer dependency","1984","Not Employed","(3a) lower tertiary education","53","0.86417909530139","0.778204852174898","0.950153338427883"
"Very low transfer dependency","1984","Not Employed","(3b) higher tertiary education","91","0.946222711063512","0.901561428660006","0.990883993467019"
"Very low transfer dependency","1984","Employed","(0) in school","10","","",""
"Very low transfer dependency","1984","Employed","(1a) inadequately completed","660","0.898930943808188","0.876790803720723","0.921071083895653"
"Very low transfer dependency","1984","Employed","(1b) general elementary school","1391","0.951538494523919","0.940575959819911","0.962501029227926"
"Very low transfer dependency","1984","Employed","(1c) basic vocational qualification","2801","0.965722707416527","0.959114527129004","0.97233088770405"
"Very low transfer dependency","1984","Employed","(2b) intermediate general qualification","227","0.967039424976881","0.944213223841591","0.989865626112171"
"Very low transfer dependency","1984","Employed","(2a) intermediate vocational","979","0.978601911037967","0.969637503823924","0.98756631825201"
"Very low transfer dependency","1984","Employed","(2c_gen) general maturity certificate","162","0.910080353049974","0.868633676476972","0.951527029622976"
