"transab_cat2","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1985","no migration background","Urban Area","5772","0.953511380808871","0.948210062533704","0.958812699084039"
"Very low transfer dependency","1985","no migration background","Rural Area","1803","0.941366051233413","0.930851817498914","0.951880284967912"
"Very low transfer dependency","1985","direct migration background","Urban Area","2341","0.908178507090882","0.897029179750213","0.919327834431551"
"Very low transfer dependency","1985","direct migration background","Rural Area","315","0.923032031650009","0.894987593001438","0.95107647029858"
"Very low transfer dependency","1985","indirect migration background","Urban Area","117","0.922942982656082","0.876562019402166","0.969323945909998"
"Very low transfer dependency","1985","indirect migration background","Rural Area","17","","",""
"Low transfer dependency","1985","no migration background","Urban Area","129","0.0190314045904845","0.0155909915282597","0.0224718176527094"
"Low transfer dependency","1985","no migration background","Rural Area","69","0.0338920019279937","0.0257938626920239","0.0419901411639635"
"Low transfer dependency","1985","direct migration background","Urban Area","133","0.0438667917445335","0.0359596773969817","0.0517739060920853"
"Low transfer dependency","1985","direct migration background","Rural Area","18","","",""
"Low transfer dependency","1985","indirect migration background","Urban Area","7","","",""
"Low transfer dependency","1985","indirect migration background","Rural Area","","","",""
"High transfer dependency","1985","no migration background","Urban Area","64","0.0116328504546307","0.00893293702906245","0.014332763880199"
"High transfer dependency","1985","no migration background","Rural Area","9","","",""
"High transfer dependency","1985","direct migration background","Urban Area","53","0.0240606699930328","0.0181442887689455","0.0299770512171202"
"High transfer dependency","1985","direct migration background","Rural Area","6","","",""
"High transfer dependency","1985","indirect migration background","Urban Area","2","","",""
"High transfer dependency","1985","indirect migration background","Rural Area","","","",""
"Very high transfer dependency","1985","no migration background","Urban Area","94","0.0158243641460132","0.0126820684278134","0.0189666598642129"
"Very high transfer dependency","1985","no migration background","Rural Area","37","0.0194501242811075","0.0132696781645058","0.0256305703977091"
"Very high transfer dependency","1985","direct migration background","Urban Area","50","0.0238940311715512","0.017997669982257","0.0297903923608455"
"Very high transfer dependency","1985","direct migration background","Rural Area","8","","",""
"Very high transfer dependency","1985","indirect migration background","Urban Area","1","","",""
"Very high transfer dependency","1985","indirect migration background","Rural Area","","","",""
"Very low transfer dependency","1986","no migration background","Urban Area","5538","0.952270143004097","0.946782994840054","0.957757291168139"
"Very low transfer dependency","1986","no migration background","Rural Area","1701","0.941299387888771","0.930440207648708","0.952158568128835"
"Very low transfer dependency","1986","direct migration background","Urban Area","2269","0.916041991683176","0.905127311731125","0.926956671635227"
"Very low transfer dependency","1986","direct migration background","Rural Area","312","0.895705570673879","0.863911428776697","0.92749971257106"
"Very low transfer dependency","1986","indirect migration background","Urban Area","129","0.938274689659917","0.897828717506937","0.978720661812897"
"Very low transfer dependency","1986","indirect migration background","Rural Area","19","","",""
"Low transfer dependency","1986","no migration background","Urban Area","130","0.0223339567505015","0.0185307526055065","0.0261371608954966"
"Low transfer dependency","1986","no migration background","Rural Area","54","0.0313180786149657","0.0232717087697664","0.039364448460165"
"Low transfer dependency","1986","direct migration background","Urban Area","109","0.0416333848290942","0.0337718209193709","0.0494949487388175"
"Low transfer dependency","1986","direct migration background","Rural Area","31","0.0558692168138895","0.0319781091647711","0.0797603244630079"
"Low transfer dependency","1986","indirect migration background","Urban Area","5","","",""
"Low transfer dependency","1986","indirect migration background","Rural Area","","","",""
"High transfer dependency","1986","no migration background","Urban Area","44","0.00896881134943139","0.00654229823768336","0.0113953244611794"
"High transfer dependency","1986","no migration background","Rural Area","26","","",""
"High transfer dependency","1986","direct migration background","Urban Area","49","0.0152892148657371","0.0104600816058654","0.0201183481256088"
"High transfer dependency","1986","direct migration background","Rural Area","2","","",""
"High transfer dependency","1986","indirect migration background","Urban Area","1","","",""
"High transfer dependency","1986","indirect migration background","Rural Area","","","",""
"Very high transfer dependency","1986","no migration background","Urban Area","87","0.0164270888959704","0.0131555271610888","0.0196986506308519"
"Very high transfer dependency","1986","no migration background","Rural Area","19","","",""
"Very high transfer dependency","1986","direct migration background","Urban Area","53","0.0270354086219928","0.0206522264754287","0.033418590768557"
"Very high transfer dependency","1986","direct migration background","Rural Area","10","","",""
