"transab_cat2","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","Lower Saxony","East Germany","","","","","2"
"High transfer dependency","1984","Lower Saxony","West Germany","14","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","1984","Hamburg","East Germany","","","","","2"
"High transfer dependency","1984","Hamburg","West Germany","3","","","","2"
"High transfer dependency","1984","Bremen","West Germany","3","","","","2"
"High transfer dependency","1984","Schleswig-Holstein","West Germany","2","","","","2"
"High transfer dependency","1984","Bremen","East Germany","","","","","2"
"High transfer dependency","1984","North Rhine-Westphalia","West Germany","55","0.0138625134821864","0.00983597047736254","0.0178890564870103","2"
"High transfer dependency","1984","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","1984","Hesse","West Germany","21","","","","2"
"High transfer dependency","1984","Hesse","East Germany","","","","","2"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","West Germany","5","","","","2"
"High transfer dependency","1984","Thuringia","West Germany","","","","","2"
"High transfer dependency","1984","Saxony-Anhalt","East Germany","","","","","2"
"High transfer dependency","1984","Baden-Württemberg","West Germany","14","","","","2"
"High transfer dependency","1984","Baden-Württemberg","East Germany","","","","","2"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"High transfer dependency","1984","Saxony-Anhalt","West Germany","","","","","2"
"High transfer dependency","1984","Thuringia","East Germany","","","","","2"
"High transfer dependency","1984","Bavaria","West Germany","13","","","","2"
"High transfer dependency","1984","Bavaria","East Germany","","","","","2"
"High transfer dependency","1984","Berlin","West Germany","3","","","","2"
"High transfer dependency","1984","Berlin","East Germany","","","","","2"
"High transfer dependency","1984","Brandenburg","West Germany","","","","","2"
"High transfer dependency","1984","Brandenburg","East Germany","","","","","2"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"High transfer dependency","1984","Saxony","West Germany","","","","","2"
"High transfer dependency","1984","Saxony","East Germany","","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","East Germany","","","","","1"
"Low transfer dependency","1984","Bremen","West Germany","18","","","","1"
"Low transfer dependency","1984","Hamburg","East Germany","","","","","1"
"Low transfer dependency","1984","Lower Saxony","East Germany","","","","","1"
"Low transfer dependency","1984","Hamburg","West Germany","7","","","","1"
"Low transfer dependency","1984","Lower Saxony","West Germany","82","0.0537278381272843","0.041126889231651","0.0663287870229177","1"
"Low transfer dependency","1984","Schleswig-Holstein","West Germany","17","","","","1"
"Low transfer dependency","1984","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","1984","Bremen","East Germany","","","","","1"
"Low transfer dependency","1984","North Rhine-Westphalia","West Germany","151","0.0355567744199645","0.0291793968687398","0.0419341519711893","1"
"Low transfer dependency","1984","Hesse","West Germany","50","0.0244787782378639","0.0158846758617722","0.0330728806139557","1"
"Low transfer dependency","1984","Hesse","East Germany","","","","","1"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","West Germany","21","","","","1"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","1984","Baden-Württemberg","West Germany","85","0.0217112052498151","0.0157039883106123","0.0277184221890179","1"
"Low transfer dependency","1984","Bavaria","East Germany","","","","","1"
"Low transfer dependency","1984","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","1984","Bavaria","West Germany","68","0.0265492881771115","0.0196488211397257","0.0334497552144972","1"
"Low transfer dependency","1984","Berlin","West Germany","7","","","","1"
"Low transfer dependency","1984","Berlin","East Germany","","","","","1"
"Low transfer dependency","1984","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","1984","Brandenburg","East Germany","","","","","1"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Low transfer dependency","1984","Saxony-Anhalt","East Germany","","","","","1"
"Low transfer dependency","1984","Thuringia","West Germany","","","","","1"
"Low transfer dependency","1984","Thuringia","East Germany","","","","","1"
"Low transfer dependency","1984","Saxony","West Germany","","","","","1"
"Low transfer dependency","1984","Saxony","East Germany","","","","","1"
"Low transfer dependency","1984","Saxony-Anhalt","West Germany","","","","","1"
"Very high transfer dependency","1984","Hesse","West Germany","19","","","","3"
"Very high transfer dependency","1984","Schleswig-Holstein","West Germany","11","","","","3"
"Very high transfer dependency","1984","Hesse","East Germany","","","","","3"
"Very high transfer dependency","1984","Hamburg","West Germany","9","","","","3"
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","West Germany","10","","","","3"
"Very high transfer dependency","1984","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","1984","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","1984","Baden-Württemberg","West Germany","15","","","","3"
"Very high transfer dependency","1984","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","1984","Bremen","West Germany","4","","","","3"
"Very high transfer dependency","1984","Lower Saxony","West Germany","38","0.0208700598050966","0.0128813334069142","0.0288587862032791","3"
"Very high transfer dependency","1984","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","1984","Bremen","East Germany","","","","","3"
"Very high transfer dependency","1984","Bavaria","West Germany","21","","","","3"
"Very high transfer dependency","1984","North Rhine-Westphalia","West Germany","84","0.028785259289464","0.0230270781513534","0.0345434404275746","3"
"Very high transfer dependency","1984","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","1984","Berlin","West Germany","6","","","","3"
"Very high transfer dependency","1984","Berlin","East Germany","","","","","3"
"Very high transfer dependency","1984","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","1984","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","1984","Brandenburg","East Germany","","","","","3"
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Very high transfer dependency","1984","Saxony","West Germany","","","","","3"
"Very high transfer dependency","1984","Saxony","East Germany","","","","","3"
"Very high transfer dependency","1984","Saxony-Anhalt","West Germany","","","","","3"
"Very high transfer dependency","1984","Saxony-Anhalt","East Germany","","","","","3"
"Very high transfer dependency","1984","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","1984","Thuringia","East Germany","","","","","3"
"Very low transfer dependency","1984","Schleswig-Holstein","West Germany","350","0.942587562545107","0.919198105636103","0.965977019454111","0"
"Very low transfer dependency","1984","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","1984","Hamburg","West Germany","292","0.957602125441324","0.935208083360019","0.979996167522629","0"
"Very low transfer dependency","1984","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","1984","Lower Saxony","West Germany","1096","0.916683076200598","0.901238650797124","0.932127501604071","0"
"Very low transfer dependency","1984","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","1984","Bremen","West Germany","107","0.834576827266747","0.771190956701075","0.897962697832418","0"
"Very low transfer dependency","1984","Bremen","East Germany","","","","","0"
"Very low transfer dependency","1984","North Rhine-Westphalia","West Germany","2949","0.921795452808385","0.912548984177831","0.931041921438939","0"
"Very low transfer dependency","1984","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","1984","Hesse","West Germany","1152","0.952882532009608","0.941098390528865","0.964666673490351","0"
"Very low transfer dependency","1984","Hesse","East Germany","","","","","0"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","West Germany","816","0.962129309745589","0.949312007470426","0.974946612020753","0"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Very low transfer dependency","1984","Baden-Württemberg","West Germany","2147","0.966739421849576","0.959348179861986","0.974130663837167","0"
"Very low transfer dependency","1984","Baden-Württemberg","East Germany","","","","","0"
"Very low transfer dependency","1984","Bavaria","West Germany","1983","0.955288062405762","0.946417033754019","0.964159091057505","0"
"Very low transfer dependency","1984","Bavaria","East Germany","","","","","0"
"Very low transfer dependency","1984","Berlin","West Germany","392","0.958565012390982","0.939226974683664","0.9779030500983","0"
"Very low transfer dependency","1984","Berlin","East Germany","","","","","0"
"Very low transfer dependency","1984","Brandenburg","West Germany","","","","","0"
"Very low transfer dependency","1984","Brandenburg","East Germany","","","","","0"
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","East Germany","","","","","0"
"Very low transfer dependency","1984","Saxony","West Germany","","","","","0"
"Very low transfer dependency","1984","Saxony","East Germany","","","","","0"
"Very low transfer dependency","1984","Saxony-Anhalt","West Germany","","","","","0"
"Very low transfer dependency","1984","Saxony-Anhalt","East Germany","","","","","0"
"Very low transfer dependency","1984","Thuringia","West Germany","","","","","0"
"Very low transfer dependency","1984","Thuringia","East Germany","","","","","0"
"High transfer dependency","1985","Lower Saxony","East Germany","","","","","2"
