"transab_cat2","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","(0) in school","West Germany","169","0.905356117539053","0.863401160399893","0.947311074678214"
"Very low transfer dependency","1984","(0) in school","East Germany","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","West Germany","953","0.824546946556894","0.802080075604032","0.847013817509755"
"Very low transfer dependency","1984","(1a) inadequately completed","East Germany","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","West Germany","2741","0.931890079691974","0.922847719517987","0.940932439865961"
"Very low transfer dependency","1984","(1b) general elementary school","East Germany","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","West Germany","4009","0.950041137194877","0.943488206518179","0.956594067871576"
"Very low transfer dependency","1984","(1c) basic vocational qualification","East Germany","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","West Germany","451","0.958676547063854","0.940758392711794","0.976594701415914"
"Very low transfer dependency","1984","(2b) intermediate general qualification","East Germany","","","",""
"Very low transfer dependency","1984","(2a) intermediate vocational","West Germany","1354","0.963819956463837","0.954062569202709","0.973577343724965"
"Very low transfer dependency","1984","(2a) intermediate vocational","East Germany","","","",""
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","West Germany","357","0.888532931548089","0.858033166693155","0.919032696403024"
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","West Germany","409","0.919398631857141","0.89427496919325","0.944522294521032"
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","West Germany","255","0.954934202472223","0.930004475190894","0.979863929753551"
"Very low transfer dependency","1984","(3a) lower tertiary education","East Germany","","","",""
"Very low transfer dependency","1984","(3b) higher tertiary education","West Germany","507","0.967619178145489","0.952492227624929","0.982746128666049"
"Very low transfer dependency","1984","(3b) higher tertiary education","East Germany","","","",""
"Low transfer dependency","1984","(0) in school","West Germany","15","","",""
"Low transfer dependency","1984","(0) in school","East Germany","","","",""
"Low transfer dependency","1984","(1a) inadequately completed","West Germany","94","0.106166362719946","0.087970349320747","0.124362376119145"
"Low transfer dependency","1984","(1a) inadequately completed","East Germany","","","",""
"Low transfer dependency","1984","(1b) general elementary school","West Germany","135","0.0333952138099566","0.0269466818553316","0.0398437457645816"
