"transab_cat2","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1984","Employed","Female","30","0.00946038936661465","0.00592618603440025","0.012994592698829"
"High transfer dependency","1984","Employed","Male","31","0.00584107791654055","0.00365152234728703","0.00803063348579407"
"High transfer dependency","1984","Not Employed","Female","43","0.0111710727429163","0.00758516474885578","0.0147569807369769"
"High transfer dependency","1984","Not Employed","Male","29","","",""
"Low transfer dependency","1984","Employed","Female","92","0.0260453915116665","0.0202305764555359","0.0318602065677971"
"Low transfer dependency","1984","Employed","Male","173","0.0299224319726649","0.0250270876963861","0.0348177762489436"
"Low transfer dependency","1984","Not Employed","Female","161","0.0338366310618654","0.0276676993475733","0.0400055627761575"
"Low transfer dependency","1984","Not Employed","Male","80","0.0402813123549439","0.0296137149617997","0.0509489097480882"
"Very high transfer dependency","1984","Employed","Female","7","","",""
"Very high transfer dependency","1984","Employed","Male","10","","",""
"Very high transfer dependency","1984","Not Employed","Female","119","0.0323396971420268","0.0263040956419058","0.0383752986421479"
"Very high transfer dependency","1984","Not Employed","Male","81","0.0495889847888744","0.0378104525661636","0.0613675170115853"
"Very low transfer dependency","1984","Employed","Female","2753","0.963017741241838","0.956127808804114","0.969907673679561"
"Very low transfer dependency","1984","Employed","Male","4439","0.962407270151664","0.956941983515826","0.967872556787501"
"Very low transfer dependency","1984","Not Employed","Female","2977","0.922652599053191","0.91353809403678","0.931767104069603"
"Very low transfer dependency","1984","Not Employed","Male","1115","0.897655066530102","0.881210184875842","0.914099948184361"
"High transfer dependency","1985","Employed","Female","30","0.0118435095915331","0.00771371491732293","0.0159733042657434"
"High transfer dependency","1985","Employed","Male","25","","",""
"High transfer dependency","1985","Not Employed","Female","45","0.0134276159158086","0.00929103483495708","0.0175641969966601"
"High transfer dependency","1985","Not Employed","Male","34","0.0187949646617938","0.0112119241185813","0.0263780052050062"
"Low transfer dependency","1985","Employed","Female","73","0.0260689562799417","0.0199861874132335","0.0321517251466499"
"Low transfer dependency","1985","Employed","Male","106","0.0190684122464461","0.0149337025535403","0.0232031219393519"
"Low transfer dependency","1985","Not Employed","Female","108","0.0250744229488152","0.0194551669924016","0.0306936789052287"
"Low transfer dependency","1985","Not Employed","Male","69","0.0348246505384868","0.0245872609382145","0.0450620401387591"
"Very high transfer dependency","1985","Employed","Female","2","","",""
"Very high transfer dependency","1985","Employed","Male","8","","",""
"Very high transfer dependency","1985","Not Employed","Female","111","0.0347167597309397","0.0281375370817403","0.0412959823801392"
"Very high transfer dependency","1985","Not Employed","Male","69","0.0459842220796814","0.0342885566099386","0.0576798875494242"
"Very low transfer dependency","1985","Employed","Female","2531","0.961061924971482","0.953677132201035","0.968446717741929"
