"transab_cat2","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Not Employed","1-pers.-HH","552","0.903200609722835","0.880220719212228","0.926180500233443"
"Very low transfer dependency","1984","Not Employed","(Married) couple without C. ","1149","0.967963912728304","0.958017094883836","0.977910730572771"
"Very low transfer dependency","1984","Not Employed","Single parent ","156","0.723832479885352","0.665282140689439","0.782382819081265"
"Very low transfer dependency","1984","Not Employed","Couple + C. LE 16 ","753","0.859257697860938","0.836268294803011","0.882247100918864"
"Very low transfer dependency","1984","Not Employed","Couple + C. GT 16 ","636","0.942314312028282","0.924892801657048","0.959735822399515"
"Very low transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","515","0.931934891106807","0.91173188555558","0.952137896658033"
"Very low transfer dependency","1984","Employed","1-pers.-HH","630","0.942031727104605","0.924428929229389","0.959634524979822"
"Very low transfer dependency","1984","Employed","(Married) couple without C. ","1440","0.968484494248737","0.959616656350547","0.977352332146928"
"Very low transfer dependency","1984","Employed","Single parent ","316","0.918917219091826","0.89007216337264","0.947762274811012"
"Very low transfer dependency","1984","Employed","Couple + C. LE 16 ","2088","0.963954504683486","0.956131492156379","0.971777517210594"
"Very low transfer dependency","1984","Employed","Couple + C. GT 16 ","1266","0.979380177507708","0.971652275054327","0.987108079961088"
"Very low transfer dependency","1984","Employed","Couple + C. LE and GT 16","1043","0.969299701552766","0.959137808526668","0.979461594578865"
"Low transfer dependency","1984","Not Employed","1-pers.-HH","10","","",""
"Low transfer dependency","1984","Not Employed","(Married) couple without C. ","30","0.0166486547985739","0.00942130990654558","0.0238759996906022"
"Low transfer dependency","1984","Not Employed","Single parent ","29","","",""
"Low transfer dependency","1984","Not Employed","Couple + C. LE 16 ","51","0.0554870880207627","0.0403530935869678","0.0706210824545576"
"Low transfer dependency","1984","Not Employed","Couple + C. GT 16 ","30","0.0418319924295502","0.0268720824555183","0.0567919024035822"
"Low transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","61","0.048880050043299","0.031584101204025","0.0661759988825731"
"Low transfer dependency","1984","Employed","1-pers.-HH","31","0.0345255974154271","0.0207726830211829","0.0482785118096714"
"Low transfer dependency","1984","Employed","(Married) couple without C. ","40","0.0243556150838953","0.0165311511162432","0.0321800790515474"
"Low transfer dependency","1984","Employed","Single parent ","20","","",""
"Low transfer dependency","1984","Employed","Couple + C. LE 16 ","74","0.0294223255644414","0.0223302410023048","0.0365144101265779"
"Low transfer dependency","1984","Employed","Couple + C. GT 16 ","24","","",""
"Low transfer dependency","1984","Employed","Couple + C. LE and GT 16","54","0.0262552194158121","0.016836221994262","0.0356742168373622"
"High transfer dependency","1984","Not Employed","1-pers.-HH","7","","",""
"High transfer dependency","1984","Not Employed","(Married) couple without C. ","7","","",""
"High transfer dependency","1984","Not Employed","Single parent ","9","","",""
"High transfer dependency","1984","Not Employed","Couple + C. LE 16 ","23","","",""
"High transfer dependency","1984","Not Employed","Couple + C. GT 16 ","4","","",""
"High transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","9","","",""
"High transfer dependency","1984","Employed","1-pers.-HH","13","","",""
"High transfer dependency","1984","Employed","(Married) couple without C. ","7","","",""
"High transfer dependency","1984","Employed","Single parent ","6","","",""
"High transfer dependency","1984","Employed","Couple + C. LE 16 ","19","","",""
"High transfer dependency","1984","Employed","Couple + C. GT 16 ","4","","",""
"High transfer dependency","1984","Employed","Couple + C. LE and GT 16","7","","",""
"Very high transfer dependency","1984","Not Employed","1-pers.-HH","67","0.0751767100131253","0.0546844163882388","0.0956690036380117"
"Very high transfer dependency","1984","Not Employed","(Married) couple without C. ","18","","",""
"Very high transfer dependency","1984","Not Employed","Single parent ","30","0.117278271388349","0.0751430996453309","0.159413443131368"
"Very high transfer dependency","1984","Not Employed","Couple + C. LE 16 ","52","0.0624581109617508","0.0464609315176731","0.0784552904058285"
"Very high transfer dependency","1984","Not Employed","Couple + C. GT 16 ","18","","",""
"Very high transfer dependency","1984","Not Employed","Couple + C. LE and GT 16","12","","",""
"Very high transfer dependency","1984","Employed","1-pers.-HH","3","","",""
"Very high transfer dependency","1984","Employed","(Married) couple without C. ","4","","",""
"Very high transfer dependency","1984","Employed","Single parent ","2","","",""
"Very high transfer dependency","1984","Employed","Couple + C. LE 16 ","","","",""
"Very high transfer dependency","1984","Employed","Couple + C. GT 16 ","5","","",""
"Very high transfer dependency","1984","Employed","Couple + C. LE and GT 16","3","","",""
"Very low transfer dependency","1985","Not Employed","1-pers.-HH","501","0.915210913108973","0.892220905595079","0.938200920622868"
