"transab_cat2","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","16-34 y.","68","0.0143024341317474","0.0108547056743025","0.0177501625891923","2"
"High transfer dependency","1984","35-65 y.","61","0.00773988290669368","0.00557759572150005","0.00990217009188731","2"
"High transfer dependency","1984","66 and older","4","","","","2"
"Low transfer dependency","1984","16-34 y.","234","0.0469852659698907","0.0408407612005215","0.0531297707392599","1"
"Low transfer dependency","1984","35-65 y.","254","0.0280258461102092","0.02395354262318","0.0320981495972384","1"
"Low transfer dependency","1984","66 and older","18","","","","1"
"Very high transfer dependency","1984","16-34 y.","118","0.0279013434186391","0.0231191849650115","0.0326835018722667","3"
"Very high transfer dependency","1984","66 and older","6","","","","3"
"Very high transfer dependency","1984","35-65 y.","93","0.0148836753907839","0.0118960078816677","0.0178713428999001","3"
"Very low transfer dependency","1984","16-34 y.","4136","0.910810956479723","0.902534849236447","0.919087063722999","0"
"Very low transfer dependency","1984","35-65 y.","5902","0.949350595592313","0.943940139257612","0.954761051927015","0"
"Very low transfer dependency","1984","66 and older","1246","0.979608681422708","0.971847776830464","0.987369586014953","0"
"High transfer dependency","1985","16-34 y.","71","0.0155316649013948","0.0117758635617015","0.019287466241088","2"
"High transfer dependency","1985","35-65 y.","53","0.00822556250439315","0.00589405029637073","0.0105570747124156","2"
"High transfer dependency","1985","66 and older","10","","","","2"
"Low transfer dependency","1985","35-65 y.","175","0.0240365355860372","0.0200828589031163","0.027990212268958","1"
"Low transfer dependency","1985","16-34 y.","170","0.0333368114903664","0.0278843532194169","0.0387892697613158","1"
"Low transfer dependency","1985","66 and older","11","","","","1"
"Very high transfer dependency","1985","16-34 y.","98","0.0264404235026058","0.0215672912189305","0.031313555786281","3"
"Very high transfer dependency","1985","35-65 y.","86","0.0163766608563753","0.0131004222368467","0.0196528994759039","3"
"Very high transfer dependency","1985","66 and older","6","","","","3"
"Very low transfer dependency","1985","16-34 y.","3825","0.924691100105633","0.916675902733675","0.932706297477591","0"
"Very low transfer dependency","1985","35-65 y.","5451","0.951361241053194","0.945808436279284","0.956914045827105","0"
"Very low transfer dependency","1985","66 and older","1089","0.975051165271341","0.965900454481668","0.984201876061014","0"
"High transfer dependency","1986","16-34 y.","56","0.0134329402574732","0.0098979646145814","0.0169679159003651","2"
"High transfer dependency","1986","35-65 y.","58","0.00990336633472528","0.00727972018941764","0.0125270124800329","2"
"High transfer dependency","1986","66 and older","8","","","","2"
"Low transfer dependency","1986","16-34 y.","161","0.0374999352535658","0.031666112616621","0.0433337578905107","1"
"Low transfer dependency","1986","35-65 y.","160","0.0257841684460035","0.0215848461971402","0.0299834906948668","1"
"Low transfer dependency","1986","66 and older","8","","","","1"
"Very high transfer dependency","1986","35-65 y.","81","0.0167751211115111","0.0133723376887936","0.0201779045342285","3"
"Very high transfer dependency","1986","16-34 y.","87","0.0244704777068299","0.0197261026829174","0.0292148527307425","3"
"Very high transfer dependency","1986","66 and older","2","","","","3"
"Very low transfer dependency","1986","16-34 y.","3770","0.924596646782131","0.916488734052115","0.932704559512147","0"
"Very low transfer dependency","1986","35-65 y.","5173","0.94753734410776","0.94162991728393","0.953444770931591","0"
"Very low transfer dependency","1986","66 and older","1025","0.981946375302978","0.973865990792089","0.990026759813866","0"
"High transfer dependency","1987","16-34 y.","48","0.0113320465998572","0.00806207069032417","0.0146020225093901","2"
"High transfer dependency","1987","35-65 y.","61","0.00978427804988595","0.00715189056989195","0.01241666552988","2"
"High transfer dependency","1987","66 and older","4","","","","2"
"Low transfer dependency","1987","16-34 y.","170","0.0388420440278655","0.0328728792272118","0.0448112088285192","1"
"Low transfer dependency","1987","35-65 y.","158","0.0273030028533711","0.0229447290616204","0.0316612766451217","1"
"Low transfer dependency","1987","66 and older","14","","","","1"
"Very high transfer dependency","1987","16-34 y.","68","0.020025213485419","0.0156974733310272","0.0243529536398107","3"
"Very high transfer dependency","1987","35-65 y.","75","0.016057170293493","0.0126956173621184","0.0194187232248677","3"
"Very high transfer dependency","1987","66 and older","2","","","","3"
"Very low transfer dependency","1987","16-34 y.","3739","0.929800695886858","0.921907979713563","0.937693412060154","0"
"Very low transfer dependency","1987","35-65 y.","5077","0.94685554880325","0.940856376405095","0.952854721201405","0"
"Very low transfer dependency","1987","66 and older","1064","0.979716757520034","0.971325009989625","0.988108505050443","0"
"High transfer dependency","1988","16-34 y.","39","0.00973777378822","0.00662619676779042","0.0128493508086496","2"
"High transfer dependency","1988","35-65 y.","41","0.00743014820730307","0.00507185446319285","0.00978844195141329","2"
"High transfer dependency","1988","66 and older","5","","","","2"
"Low transfer dependency","1988","16-34 y.","141","0.0335899549798618","0.0278809419163794","0.0392989680433442","1"
"Low transfer dependency","1988","35-65 y.","157","0.026429565504014","0.0220245512221937","0.0308345797858343","1"
"Low transfer dependency","1988","66 and older","5","","","","1"
"Very high transfer dependency","1988","16-34 y.","66","0.0177493733600788","0.0135655024340793","0.0219332442860783","3"
"Very high transfer dependency","1988","35-65 y.","86","0.0205979396619907","0.0166975228638954","0.024498356460086","3"
"Very high transfer dependency","1988","66 and older","4","","","","3"
"Very low transfer dependency","1988","16-34 y.","3580","0.938922897871839","0.931334854840825","0.946510940902854","0"
"Very low transfer dependency","1988","35-65 y.","4810","0.945542346626692","0.939310904381415","0.95177378887197","0"
"Very low transfer dependency","1988","66 and older","1041","0.986824950669108","0.97994448159764","0.993705419740577","0"
"High transfer dependency","1989","16-34 y.","52","0.0173047318082349","0.0131298886078669","0.021479575008603","2"
"High transfer dependency","1989","35-65 y.","46","0.00879447624092606","0.00617868575832457","0.0114102667235276","2"
"High transfer dependency","1989","66 and older","4","","","","2"
"Low transfer dependency","1989","16-34 y.","132","0.0282464718816792","0.0229424113955462","0.0335505323678122","1"
