"transab_cat2","year","sex","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","Female","73","0.0104634076083215","0.00792690045190381","0.0129999147647392","2"
"High transfer dependency","1984","Male","60","0.00762876671115327","0.00541942906915089","0.00983810435315565","2"
"Low transfer dependency","1984","Female","253","0.0306135982895053","0.0263193293292984","0.0349078672497122","1"
"Low transfer dependency","1984","Male","253","0.0327140640411341","0.0281971426970005","0.0372309853852677","1"
"Very high transfer dependency","1984","Male","91","0.0147000791795291","0.0116441597302018","0.0177559986288564","3"
"Very high transfer dependency","1984","Female","126","0.0195723875885823","0.0161192549419564","0.0230255202352081","3"
"Very low transfer dependency","1984","Female","5730","0.939350606513591","0.933400692605382","0.9453005204218","0"
"Very low transfer dependency","1984","Male","5554","0.944957090068184","0.939166076555816","0.950748103580551","0"
"High transfer dependency","1985","Female","75","0.0127601051884101","0.00982309714301991","0.0156971132338003","2"
"High transfer dependency","1985","Male","59","0.00934860848332284","0.00679012728503329","0.0119070896816124","2"
"Low transfer dependency","1985","Female","181","0.0254934994066949","0.021368976143247","0.0296180226701429","1"
"Low transfer dependency","1985","Male","175","0.0234805901697424","0.0194548729895563","0.0275063073499286","1"
"Very high transfer dependency","1985","Male","77","0.0144468252086854","0.0112745229779243","0.0176191274394466","3"
"Very high transfer dependency","1985","Female","113","0.0205199826069295","0.0168101616973627","0.0242298035164964","3"
"Very low transfer dependency","1985","Male","5124","0.952723976138249","0.947081726000965","0.958366226275534","0"
"Very low transfer dependency","1985","Female","5241","0.941226412797965","0.935071742223261","0.94738108337267","0"
"High transfer dependency","1986","Female","69","0.0125878454345426","0.00960070561779394","0.0155749852512912","2"
"High transfer dependency","1986","Male","53","0.00894272515099153","0.00639325658012102","0.011492193721862","2"
"Low transfer dependency","1986","Male","166","0.0280998499840417","0.0236244879918009","0.0325752119762825","1"
"Low transfer dependency","1986","Female","163","0.02495578029685","0.0207762416213482","0.0291353189723517","1"
"Very high transfer dependency","1986","Female","100","0.0192799578857032","0.0155956477459072","0.0229642680254992","3"
"Very high transfer dependency","1986","Male","70","0.0139396484418729","0.0107646537556061","0.0171146431281398","3"
"Very low transfer dependency","1986","Male","4949","0.949017776423094","0.943060991710717","0.95497456113547","0"
"Very low transfer dependency","1986","Female","5019","0.943176416382904","0.936973564773823","0.949379267991985","0"
"High transfer dependency","1987","Female","57","0.00860525719425997","0.0061162538030231","0.0110942605854968","2"
"High transfer dependency","1987","Male","56","0.00930040312854458","0.00668892560671127","0.0119118806503779","2"
"Low transfer dependency","1987","Female","184","0.0313431072465145","0.0266476675645126","0.0360385469285164","1"
"Low transfer dependency","1987","Male","158","0.0262466030125241","0.021897242009569","0.0305959640154792","1"
"Very high transfer dependency","1987","Female","83","0.0160863910630796","0.0126961697491953","0.0194766123769638","3"
"Very high transfer dependency","1987","Male","62","0.0134798192865817","0.0103424948372021","0.0166171437359612","3"
"Very low transfer dependency","1987","Male","4914","0.95097317457235","0.945098748649234","0.956847600495465","0"
"Very low transfer dependency","1987","Female","4966","0.943965244496146","0.937767595192275","0.950162893800016","0"
"High transfer dependency","1988","Female","46","0.00854892968241777","0.00600874096130968","0.0110891184035259","2"
"High transfer dependency","1988","Male","39","0.00639971832311868","0.00417356555270484","0.00862587109353252","2"
"Low transfer dependency","1988","Female","159","0.0271524528469508","0.0226680832845643","0.0316368224093373","1"
"Low transfer dependency","1988","Male","144","0.0225739064612587","0.0184270977046957","0.0267207152178217","1"
"Very high transfer dependency","1988","Female","92","0.0186391343944264","0.0149074775036042","0.0223707912852487","3"
"Very high transfer dependency","1988","Male","64","0.0139500230358829","0.0106758199915723","0.0172242260801935","3"
"Very low transfer dependency","1988","Male","4682","0.95707635217974","0.951417995941894","0.962734708417586","0"
"Very low transfer dependency","1988","Female","4749","0.945659483076205","0.939404822572293","0.951914143580118","0"
"High transfer dependency","1989","Male","44","0.00913504344131885","0.00643285309218524","0.0118372337904525","2"
"High transfer dependency","1989","Female","58","0.0123753969200484","0.00928245807752107","0.0154683357625758","2"
"Low transfer dependency","1989","Female","150","0.0241518282790821","0.0198568403611225","0.0284468161970417","1"
"Low transfer dependency","1989","Male","140","0.0210456216500896","0.0169688583069156","0.0251223849932637","1"
"Very high transfer dependency","1989","Male","64","0.0134511059225396","0.0101792686253092","0.01672294321977","3"
"Very high transfer dependency","1989","Female","84","0.0192342337291512","0.0153917157543443","0.0230767517039581","3"
"Very low transfer dependency","1989","Female","4616","0.944238541071718","0.9378190035807","0.950658078562737","0"
"Very low transfer dependency","1989","Male","4514","0.956368228986052","0.950566367098541","0.962170090873563","0"
"High transfer dependency","1990","Male","45","0.00964150480973782","0.00683832282063113","0.0124446867988445","2"
"High transfer dependency","1990","Female","54","0.0106025709986975","0.00770419840006988","0.0135009435973252","2"
"Low transfer dependency","1990","Female","129","0.0229454523613807","0.0187083305547273","0.0271825741680341","1"
"Low transfer dependency","1990","Male","118","0.0198906510692939","0.0158852645420277","0.0238960375965602","1"
"Very high transfer dependency","1990","Female","60","0.0124211733299459","0.00928694647117746","0.0155554001887143","3"
