"transab_cat2","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","1-pers.-HH","West Germany","1182","0.918932258613081","0.904169024275009","0.933695492951154"
"Very low transfer dependency","1984","1-pers.-HH","East Germany","","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","West Germany","2589","0.96821450428149","0.961591287150675","0.974837721412305"
"Very low transfer dependency","1984","(Married) couple without C. ","East Germany","","","",""
"Very low transfer dependency","1984","Single parent ","West Germany","472","0.835503027897089","0.805015171414999","0.86599088437918"
"Very low transfer dependency","1984","Single parent ","East Germany","","","",""
"Very low transfer dependency","1984","Couple + C. LE 16 ","West Germany","2841","0.934170011283302","0.925383585827221","0.942956436739382"
"Very low transfer dependency","1984","Couple + C. LE 16 ","East Germany","","","",""
"Very low transfer dependency","1984","Couple + C. GT 16 ","West Germany","1902","0.965846385432353","0.957860528538631","0.973832242326074"
"Very low transfer dependency","1984","Couple + C. GT 16 ","East Germany","","","",""
"Very low transfer dependency","1984","Couple + C. LE and GT 16","West Germany","1558","0.956404162755071","0.94670896803504","0.966099357475102"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Low transfer dependency","1984","1-pers.-HH","West Germany","41","0.0211554241139213","0.0133717711348033","0.0289390770930393"
"Low transfer dependency","1984","1-pers.-HH","East Germany","","","",""
"Low transfer dependency","1984","(Married) couple without C. ","West Germany","70","0.0203585428227125","0.0150267209860431","0.0256903646593819"
"Low transfer dependency","1984","(Married) couple without C. ","East Germany","","","",""
"Low transfer dependency","1984","Single parent ","West Germany","49","0.0833113061577879","0.0605845824429055","0.10603802987267"
"Low transfer dependency","1984","Single parent ","East Germany","","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","West Germany","125","0.0368373152753833","0.0301633923382627","0.043511238212504"
"Low transfer dependency","1984","Couple + C. LE 16 ","East Germany","","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","West Germany","54","0.0263593165914267","0.0193153775831842","0.0334032555996693"
"Low transfer dependency","1984","Couple + C. GT 16 ","East Germany","","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","West Germany","115","0.0340636192890034","0.0254510455617269","0.0426761930162799"
"Low transfer dependency","1984","Couple + C. LE and GT 16","East Germany","","","",""
"High transfer dependency","1984","1-pers.-HH","West Germany","20","","",""
"High transfer dependency","1984","1-pers.-HH","East Germany","","","",""
