"transab_cat2","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1985","Full Time","Urban Area","9","","","","2"
"High transfer dependency","1985","Full Time","Rural Area","1","","","","2"
"High transfer dependency","1985","Part Time","Urban Area","39","0.0273078521157984","0.0189877084500611","0.0356279957815357","2"
"High transfer dependency","1985","Part Time","Rural Area","6","","","","2"
"High transfer dependency","1985","Not Working","Urban Area","71","0.0183106539407897","0.0137300460575513","0.0228912618240281","2"
"High transfer dependency","1985","Not Working","Rural Area","8","","","","2"
"Low transfer dependency","1985","Full Time","Rural Area","18","","","","1"
"Low transfer dependency","1985","Part Time","Urban Area","67","0.0380814126385323","0.0283107271746545","0.04785209810241","1"
"Low transfer dependency","1985","Part Time","Rural Area","30","0.0724072913379482","0.0466202187933492","0.0981943638825471","1"
"Low transfer dependency","1985","Full Time","Urban Area","64","0.0105749333183168","0.00740422005487245","0.0137456465817612","1"
"Low transfer dependency","1985","Not Working","Urban Area","138","0.0261837837284247","0.0207282297946276","0.0316393376622219","1"
"Low transfer dependency","1985","Not Working","Rural Area","39","0.0335610397327461","0.0218918026839561","0.045230276781536","1"
"Very high transfer dependency","1985","Full Time","Urban Area","","","","","3"
"Very high transfer dependency","1985","Full Time","Rural Area","","","","","3"
"Very high transfer dependency","1985","Part Time","Urban Area","8","","","","3"
"Very high transfer dependency","1985","Not Working","Urban Area","137","0.0367736640917184","0.0303435781676731","0.0432037500157638","3"
"Very high transfer dependency","1985","Part Time","Rural Area","2","","","","3"
"Very high transfer dependency","1985","Not Working","Rural Area","43","0.0421645215994446","0.0291431542150031","0.0551858889838861","3"
"Very low transfer dependency","1985","Full Time","Urban Area","3925","0.987978487841123","0.984600329590482","0.991356646091764","0"
"Very low transfer dependency","1985","Full Time","Rural Area","960","0.98277317552803","0.974622642597275","0.990923708458785","0"
"Very low transfer dependency","1985","Part Time","Urban Area","1360","0.929134100530818","0.916034525674615","0.94223367538702","0"
"Very low transfer dependency","1985","Part Time","Rural Area","350","0.900916278245123","0.871187599990074","0.930644956500173","0"
"Very low transfer dependency","1985","Not Working","Urban Area","2945","0.918731898239067","0.909396376268299","0.928067420209835","0"
"Very low transfer dependency","1985","Not Working","Rural Area","825","0.919183505218979","0.901523588134847","0.936843422303111","0"
