"transab_cat2","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Full Time","no migration background","3639","0.984812022781199","0.980869186454314","0.988754859108084"
"Very low transfer dependency","1984","Full Time","direct migration background","1839","0.967023539889776","0.959025487548617","0.975021592230935"
"Very low transfer dependency","1984","Full Time","indirect migration background","47","0.897772174097115","0.815431569444756","0.980112778749474"
"Very low transfer dependency","1984","Part Time","no migration background","1251","0.914315724592287","0.899489006655077","0.929142442529497"
"Very low transfer dependency","1984","Part Time","direct migration background","399","0.855875102427947","0.824617769108363","0.887132435747531"
"Very low transfer dependency","1984","Part Time","indirect migration background","17","","",""
"Very low transfer dependency","1984","Not Working","no migration background","3276","0.924175338984577","0.915490590541118","0.932860087428037"
"Very low transfer dependency","1984","Not Working","direct migration background","765","0.801648847729634","0.776670356897771","0.826627338561496"
"Very low transfer dependency","1984","Not Working","indirect migration background","51","0.966317613518018","0.919482450261231","1.01315277677481"
"Low transfer dependency","1984","Full Time","no migration background","53","0.0140681142927032","0.0102712636825718","0.0178649649028345"
"Low transfer dependency","1984","Full Time","direct migration background","70","0.0306147190519638","0.0228989885220857","0.0383304495818419"
"Low transfer dependency","1984","Full Time","indirect migration background","4","","",""
"Low transfer dependency","1984","Part Time","no migration background","82","0.0588028432463103","0.0463408981638247","0.0712647883287958"
"Low transfer dependency","1984","Part Time","direct migration background","56","0.0874030990952801","0.0622680271609298","0.11253817102963"
"Low transfer dependency","1984","Part Time","indirect migration background","","","",""
"Low transfer dependency","1984","Not Working","no migration background","134","0.0334799019784642","0.0275782669171342","0.0393815370397942"
"Low transfer dependency","1984","Not Working","direct migration background","102","0.0642194407248857","0.048863479248984","0.0795754022007874"
"Low transfer dependency","1984","Not Working","indirect migration background","5","","",""
"High transfer dependency","1984","Full Time","no migration background","4","","",""
"High transfer dependency","1984","Full Time","direct migration background","5","","",""
"High transfer dependency","1984","Full Time","indirect migration background","","","",""
"High transfer dependency","1984","Part Time","no migration background","29","","",""
"High transfer dependency","1984","Part Time","direct migration background","23","","",""
"High transfer dependency","1984","Part Time","indirect migration background","","","",""
"High transfer dependency","1984","Not Working","no migration background","37","0.00984633948548989","0.00660694738759468","0.0130857315833851"
"High transfer dependency","1984","Not Working","direct migration background","35","0.0337174708490208","0.0224107595256184","0.0450241821724232"
"High transfer dependency","1984","Not Working","indirect migration background","","","",""
"Very high transfer dependency","1984","Full Time","no migration background","","","",""
"Very high transfer dependency","1984","Full Time","direct migration background","1","","",""
"Very high transfer dependency","1984","Full Time","indirect migration background","1","","",""
"Very high transfer dependency","1984","Part Time","no migration background","7","","",""
"Very high transfer dependency","1984","Part Time","direct migration background","7","","",""
"Very high transfer dependency","1984","Part Time","indirect migration background","1","","",""
"Very high transfer dependency","1984","Not Working","no migration background","122","0.0324984195514683","0.0266809813411117","0.0383158577618249"
"Very high transfer dependency","1984","Not Working","direct migration background","77","0.10041424069646","0.0815874764052968","0.119241004987622"
"Very high transfer dependency","1984","Not Working","indirect migration background","1","","",""
"Very low transfer dependency","1985","Full Time","no migration background","3297","0.987594555054726","0.983841323408886","0.991347786700566"
"Very low transfer dependency","1985","Full Time","direct migration background","1539","0.981104321082043","0.974401273499473","0.987807368664613"
"Very low transfer dependency","1985","Full Time","indirect migration background","49","0.9726353247923","0.927860574636994","1.01741007494761"
"Very low transfer dependency","1985","Part Time","no migration background","1285","0.927326391494929","0.913629777378868","0.94102300561099"
"Very low transfer dependency","1985","Part Time","direct migration background","405","0.881165566371732","0.851626447432089","0.910704685311375"
"Very low transfer dependency","1985","Part Time","indirect migration background","20","","",""
"Very low transfer dependency","1985","Not Working","no migration background","2993","0.9262312414829","0.917252781672808","0.935209701292992"
"Very low transfer dependency","1985","Not Working","direct migration background","712","0.829657205137319","0.804790854005352","0.854523556269287"
"Very low transfer dependency","1985","Not Working","indirect migration background","65","0.912881540187746","0.847742080821097","0.978020999554395"
"Low transfer dependency","1985","Full Time","no migration background","41","0.0113874499878295","0.00778965713938366","0.0149852428362753"
"Low transfer dependency","1985","Full Time","direct migration background","39","0.016765131439313","0.0104444256612331","0.0230858372173929"
"Low transfer dependency","1985","Full Time","indirect migration background","2","","",""
"Low transfer dependency","1985","Part Time","no migration background","61","0.0432316070843937","0.0325012877230155","0.0539619264457719"
"Low transfer dependency","1985","Part Time","direct migration background","35","0.0686606896733968","0.0455769761379749","0.0917444032088186"
"Low transfer dependency","1985","Part Time","indirect migration background","1","","",""
"Low transfer dependency","1985","Not Working","no migration background","96","0.0252754461443059","0.0198841118536915","0.0306667804349204"
"Low transfer dependency","1985","Not Working","direct migration background","77","0.061828310565181","0.0458975802888802","0.0777590408414818"
"Low transfer dependency","1985","Not Working","indirect migration background","4","","",""
"High transfer dependency","1985","Full Time","no migration background","3","","",""
"High transfer dependency","1985","Full Time","direct migration background","7","","",""
"High transfer dependency","1985","Full Time","indirect migration background","","","",""
"High transfer dependency","1985","Part Time","no migration background","27","","",""
"High transfer dependency","1985","Part Time","direct migration background","18","","",""
"High transfer dependency","1985","Part Time","indirect migration background","","","",""
"High transfer dependency","1985","Not Working","no migration background","43","0.0133381177770471","0.00939774470869139","0.0172784908454029"
"High transfer dependency","1985","Not Working","direct migration background","34","0.035729256877749","0.0234516896780979","0.0480068240774001"
"High transfer dependency","1985","Not Working","indirect migration background","2","","",""
"Very high transfer dependency","1985","Full Time","no migration background","","","",""
"Very high transfer dependency","1985","Full Time","direct migration background","","","",""
"Very high transfer dependency","1985","Full Time","indirect migration background","","","",""
"Very high transfer dependency","1985","Part Time","no migration background","7","","",""
"Very high transfer dependency","1985","Part Time","direct migration background","3","","",""
"Very high transfer dependency","1985","Part Time","indirect migration background","","","",""
"Very high transfer dependency","1985","Not Working","no migration background","124","0.0351551945957468","0.0288291918288193","0.0414811973626742"
"Very high transfer dependency","1985","Not Working","direct migration background","55","0.0727852274197506","0.0556016879077897","0.0899687669317116"
"Very high transfer dependency","1985","Not Working","indirect migration background","1","","",""
"Very low transfer dependency","1986","Full Time","no migration background","3219","0.987451893775509","0.983630811774906","0.991272975776113"
"Very low transfer dependency","1986","Full Time","direct migration background","1498","0.980148235250376","0.973172372547563","0.987124097953189"
"Very low transfer dependency","1986","Full Time","indirect migration background","55","0.984318704746634","0.951779052111466","1.0168583573818"
"Very low transfer dependency","1986","Part Time","no migration background","1233","0.912072164663419","0.896852675974408","0.92729165335243"
"Very low transfer dependency","1986","Part Time","direct migration background","389","0.87591372238826","0.845554437788179","0.90627300698834"
"Very low transfer dependency","1986","Part Time","indirect migration background","32","0.915225079445652","0.822944200846185","1.00750595804512"
"Very low transfer dependency","1986","Not Working","no migration background","2787","0.928741469242171","0.919549620951859","0.937933317532484"
"Very low transfer dependency","1986","Not Working","direct migration background","694","0.841554156331396","0.816947966521667","0.866160346141124"
"Very low transfer dependency","1986","Not Working","indirect migration background","61","0.936087419990591","0.876162221234517","0.996012618746665"
"Low transfer dependency","1986","Full Time","no migration background","36","0.0111041674676378","0.00750702560401295","0.0147013093312627"
"Low transfer dependency","1986","Full Time","direct migration background","35","0.0191046973737562","0.0122587447099633","0.0259506500375491"
"Low transfer dependency","1986","Full Time","indirect migration background","1","","",""
"Low transfer dependency","1986","Part Time","no migration background","65","0.0577310067254243","0.045196296857284","0.0702657165935647"
"Low transfer dependency","1986","Part Time","direct migration background","41","0.0764490022558287","0.0519800517883417","0.100917952723316"
"Low transfer dependency","1986","Part Time","indirect migration background","2","","",""
"Low transfer dependency","1986","Not Working","no migration background","83","0.024591431920825","0.0190576481020544","0.0301252157395957"
"Low transfer dependency","1986","Not Working","direct migration background","64","0.0610847729194444","0.0449470378084238","0.077222508030465"
"Low transfer dependency","1986","Not Working","indirect migration background","2","","",""
"High transfer dependency","1986","Full Time","no migration background","4","","",""
"High transfer dependency","1986","Full Time","direct migration background","2","","",""
"High transfer dependency","1986","Full Time","indirect migration background","","","",""
"High transfer dependency","1986","Part Time","no migration background","25","","",""
"High transfer dependency","1986","Part Time","direct migration background","19","","",""
"High transfer dependency","1986","Part Time","indirect migration background","1","","",""
"High transfer dependency","1986","Not Working","no migration background","41","0.0140010017326119","0.00980288230981536","0.0181991211554084"
"High transfer dependency","1986","Not Working","direct migration background","30","0.0156648253644973","0.0072972970498484","0.0240323536791463"
"High transfer dependency","1986","Not Working","indirect migration background","","","",""
"Very high transfer dependency","1986","Full Time","no migration background","1","","",""
"Very high transfer dependency","1986","Full Time","direct migration background","1","","",""
"Very high transfer dependency","1986","Full Time","indirect migration background","","","",""
"Very high transfer dependency","1986","Part Time","no migration background","7","","",""
"Very high transfer dependency","1986","Part Time","direct migration background","4","","",""
"Very high transfer dependency","1986","Part Time","indirect migration background","","","",""
"Very high transfer dependency","1986","Not Working","no migration background","98","0.0326660971043919","0.0263146333207708","0.0390175608880129"
"Very high transfer dependency","1986","Not Working","direct migration background","58","0.0816962453846623","0.0632394142711883","0.100153076498136"
"Very high transfer dependency","1986","Not Working","indirect migration background","1","","",""
"Very low transfer dependency","1987","Full Time","no migration background","3239","0.984681064688182","0.980484323120907","0.988877806255457"
"Very low transfer dependency","1987","Full Time","direct migration background","1510","0.981704349966801","0.975013041494595","0.988395658439007"
"Very low transfer dependency","1987","Full Time","indirect migration background","65","0.989417790745063","0.964731595849743","1.01410398564038"
"Very low transfer dependency","1987","Part Time","no migration background","1231","0.920823089562029","0.906317130777284","0.935329048346774"
"Very low transfer dependency","1987","Part Time","direct migration background","391","0.903545677103424","0.875992943016724","0.931098411190123"
"Very low transfer dependency","1987","Part Time","indirect migration background","31","0.939394324341772","0.860345633198246","1.0184430154853"
"Very low transfer dependency","1987","Not Working","no migration background","2638","0.927559093689104","0.91804568702273","0.937072500355479"
"Very low transfer dependency","1987","Not Working","direct migration background","707","0.854854201748518","0.831159976905039","0.878548426591997"
"Very low transfer dependency","1987","Not Working","indirect migration background","68","0.919401339410184","0.857793789478034","0.981008889342335"
"Low transfer dependency","1987","Full Time","no migration background","43","0.0123735583294634","0.00859615115017761","0.0161509655087492"
"Low transfer dependency","1987","Full Time","direct migration background","27","","",""
"Low transfer dependency","1987","Full Time","indirect migration background","1","","",""
"Low transfer dependency","1987","Part Time","no migration background","68","0.0525426501459235","0.0405560812808679","0.0645292190109791"
"Low transfer dependency","1987","Part Time","direct migration background","32","0.0605972063587192","0.0383292161638126","0.0828651965536258"
"Low transfer dependency","1987","Part Time","indirect migration background","4","","",""
"Low transfer dependency","1987","Not Working","no migration background","103","0.0335743468514957","0.0269634353783614","0.0401852583246299"
"Low transfer dependency","1987","Not Working","direct migration background","59","0.0517826751466568","0.0368773851416573","0.0666879651516564"
"Low transfer dependency","1987","Not Working","indirect migration background","5","","",""
"High transfer dependency","1987","Full Time","no migration background","6","","",""
"High transfer dependency","1987","Full Time","direct migration background","4","","",""
"High transfer dependency","1987","Full Time","indirect migration background","","","",""
"High transfer dependency","1987","Part Time","no migration background","23","","",""
"High transfer dependency","1987","Part Time","direct migration background","16","","",""
"High transfer dependency","1987","Part Time","indirect migration background","","","",""
"High transfer dependency","1987","Not Working","no migration background","31","0.00979581835093709","0.00618125309251833","0.0134103836093559"
"High transfer dependency","1987","Not Working","direct migration background","33","0.0256143877303407","0.0149876082912967","0.0362411671693847"
"High transfer dependency","1987","Not Working","indirect migration background","","","",""
"Very high transfer dependency","1987","Full Time","no migration background","2","","",""
"Very high transfer dependency","1987","Full Time","direct migration background","","","",""
"Very high transfer dependency","1987","Full Time","indirect migration background","","","",""
"Very high transfer dependency","1987","Part Time","no migration background","9","","",""
"Very high transfer dependency","1987","Part Time","direct migration background","2","","",""
"Very high transfer dependency","1987","Part Time","indirect migration background","","","",""
"Very high transfer dependency","1987","Not Working","no migration background","80","0.0290707411084627","0.0229048595711206","0.0352366226458047"
"Very high transfer dependency","1987","Not Working","direct migration background","50","0.0677487353744845","0.0508438849309919","0.0846535858179771"
"Very high transfer dependency","1987","Not Working","indirect migration background","2","","",""
"Very low transfer dependency","1988","Full Time","no migration background","3076","0.986181255048157","0.982083062472576","0.990279447623738"
"Very low transfer dependency","1988","Full Time","direct migration background","1371","0.983155141704431","0.976409252349417","0.989901031059445"
"Very low transfer dependency","1988","Full Time","indirect migration background","70","0.963210709452804","0.920320952132131","1.00610046677348"
"Very low transfer dependency","1988","Part Time","no migration background","1239","0.93120280826848","0.91755370322276","0.9448519133142"
"Very low transfer dependency","1988","Part Time","direct migration background","414","0.903795434925561","0.877022989333995","0.930567880517126"
"Very low transfer dependency","1988","Part Time","indirect migration background","47","0.976807297643119","0.935087401956966","1.01852719332927"
"Very low transfer dependency","1988","Not Working","no migration background","2472","0.932889982007537","0.923363467210614","0.94241649680446"
"Very low transfer dependency","1988","Not Working","direct migration background","657","0.856775676764879","0.832516626926266","0.881034726603492"
"Very low transfer dependency","1988","Not Working","indirect migration background","85","0.871157617085326","0.804827189556778","0.937488044613874"
