"transab_cat2","year","e11103","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Full Time","5525","0.98241493997012","0.978991645827671","0.985838234112568"
"Very low transfer dependency","1984","Part Time","1667","0.908563732663471","0.895507072164287","0.921620393162655"
"Very low transfer dependency","1984","Not Working","4092","0.915400102678269","0.90736255300167","0.923437652354869"
"Low transfer dependency","1984","Full Time","127","0.0163084500006046","0.0130096147716963","0.0196072852295129"
"Low transfer dependency","1984","Part Time","138","0.061528633262403","0.0506432351733067","0.0724140313514992"
"Low transfer dependency","1984","Not Working","241","0.0357064167166058","0.0303470799631368","0.0410657534700749"
"High transfer dependency","1984","Full Time","9","","",""
"High transfer dependency","1984","Part Time","52","0.0237462727183109","0.016849050049089","0.0306434953875328"
"High transfer dependency","1984","Not Working","72","0.0115492736774543","0.00846332909614802","0.0146352182587605"
"Very high transfer dependency","1984","Full Time","2","","",""
"Very high transfer dependency","1984","Part Time","15","","",""
"Very high transfer dependency","1984","Not Working","200","0.0373442069276707","0.0318679929615416","0.0428204208937999"
"Very low transfer dependency","1985","Full Time","4885","0.98680696848546","0.983637016570822","0.989976920400097"
"Very low transfer dependency","1985","Part Time","1710","0.92258508983459","0.910446345189043","0.934723834480137"
"Very low transfer dependency","1985","Not Working","3770","0.918843549649922","0.910590855237003","0.927096244062841"
"Low transfer dependency","1985","Full Time","82","0.0120554081694058","0.00902346173484989","0.0150873546039618"
"Low transfer dependency","1985","Part Time","97","0.0460480283640077","0.0365282458321718","0.0555678108958437"
"Low transfer dependency","1985","Not Working","177","0.0280076728128692","0.0230213155993728","0.0329940300263655"
"High transfer dependency","1985","Full Time","10","","",""
"High transfer dependency","1985","Part Time","45","0.0253885747461591","0.0182437239746375","0.0325334255176807"
"High transfer dependency","1985","Not Working","79","0.0150423243761699","0.0113637485194898","0.0187209002328501"
"Very high transfer dependency","1985","Full Time","","","",""
"Very high transfer dependency","1985","Part Time","10","","",""
"Very high transfer dependency","1985","Not Working","180","0.0381064531610388","0.0323204825111021","0.0438924238109754"
"Very low transfer dependency","1986","Full Time","4772","0.986590925066563","0.983354573732178","0.989827276400947"
"Very low transfer dependency","1986","Part Time","1654","0.908370486853356","0.895108751750488","0.921632221956224"
"Very low transfer dependency","1986","Not Working","3542","0.921541863374939","0.913123319328977","0.929960407420902"
"Low transfer dependency","1986","Full Time","72","0.0120527348444271","0.0089823177326174","0.0151231519562367"
"Low transfer dependency","1986","Part Time","108","0.0597711952762588","0.048874020964043","0.0706683695884746"
"Low transfer dependency","1986","Not Working","149","0.0275299773554501","0.0224072469868271","0.032652707724073"
"High transfer dependency","1986","Full Time","6","","",""
"High transfer dependency","1986","Part Time","45","0.0264539398412175","0.0190770281569548","0.0338308515254802"
"High transfer dependency","1986","Not Working","71","0.0140535134280828","0.0103681562299016","0.017738870626264"
"Very high transfer dependency","1986","Full Time","2","","",""
"Very high transfer dependency","1986","Part Time","11","","",""
"Very high transfer dependency","1986","Not Working","157","0.0368746458415281","0.0309744585732535","0.0427748331098026"
