"transab_cat2","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","16-34 y.","(0) in school","169","0.905356117539053","0.863401160399893","0.947311074678214"
"Very low transfer dependency","1984","16-34 y.","(1a) inadequately completed","284","0.80567921753289","0.762793278825154","0.848565156240626"
"Very low transfer dependency","1984","16-34 y.","(1b) general elementary school","820","0.880387474055656","0.859441146589422","0.901333801521889"
"Very low transfer dependency","1984","16-34 y.","(1c) basic vocational qualification","1176","0.923717434343437","0.909164020467319","0.938270848219555"
"Very low transfer dependency","1984","16-34 y.","(2b) intermediate general qualification","341","0.942719882892991","0.918814920734757","0.966624845051225"
"Very low transfer dependency","1984","16-34 y.","(2a) intermediate vocational","604","0.93963501145539","0.921212334636663","0.958057688274116"
"Very low transfer dependency","1984","16-34 y.","(2c_gen) general maturity certificate","305","0.883172430492304","0.849520538107454","0.916824322877154"
"Very low transfer dependency","1984","16-34 y.","(2c_voc) vocational maturity certificate","185","0.856709114004582","0.809545601891603","0.903872626117562"
"Very low transfer dependency","1984","16-34 y.","(3a) lower tertiary education","65","0.914577797205504","0.849099891337714","0.980055703073293"
"Very low transfer dependency","1984","16-34 y.","(3b) higher tertiary education","164","0.934394108704711","0.897918888400658","0.970869329008764"
"Very low transfer dependency","1984","35-65 y.","(0) in school","","","",""
"Very low transfer dependency","1984","35-65 y.","(1a) inadequately completed","653","0.820142850430772","0.792765223694569","0.847520477166976"
"Very low transfer dependency","1984","35-65 y.","(1b) general elementary school","1453","0.934586597469117","0.922367844798393","0.94680535013984"
"Very low transfer dependency","1984","35-65 y.","(1c) basic vocational qualification","2357","0.951166434485366","0.942694452875688","0.959638416095045"
"Very low transfer dependency","1984","35-65 y.","(2b) intermediate general qualification","80","0.998642274216434","0.99062334116649","1.00666120726638"
"Very low transfer dependency","1984","35-65 y.","(2a) intermediate vocational","607","0.976872153335862","0.965050213208986","0.988694093462739"
"Very low transfer dependency","1984","35-65 y.","(2c_gen) general maturity certificate","45","0.902591802269505","0.822000186015154","0.983183418523856"
"Very low transfer dependency","1984","35-65 y.","(2c_voc) vocational maturity certificate","183","0.96211348004986","0.935520255344939","0.988706704754782"
"Very low transfer dependency","1984","35-65 y.","(3a) lower tertiary education","167","0.961337092769009","0.932608778502568","0.990065407035451"
"Very low transfer dependency","1984","35-65 y.","(3b) higher tertiary education","303","0.978841056002405","0.962794865854601","0.994887246150209"
"Very low transfer dependency","1984","66 and older","(0) in school","","","",""
"Very low transfer dependency","1984","66 and older","(1a) inadequately completed","16","","",""
"Very low transfer dependency","1984","66 and older","(1b) general elementary school","468","0.963735754109691","0.947132167133771","0.980339341085611"
"Very low transfer dependency","1984","66 and older","(1c) basic vocational qualification","476","0.986381975957581","0.976035220516056","0.996728731399106"
"Very low transfer dependency","1984","66 and older","(2b) intermediate general qualification","30","1","1","1"
"Very low transfer dependency","1984","66 and older","(2a) intermediate vocational","143","0.99307680842845","0.979533915669942","1.00661970118696"
"Very low transfer dependency","1984","66 and older","(2c_gen) general maturity certificate","7","","",""
"Very low transfer dependency","1984","66 and older","(2c_voc) vocational maturity certificate","41","1","1","1"
"Very low transfer dependency","1984","66 and older","(3a) lower tertiary education","23","","",""
"Very low transfer dependency","1984","66 and older","(3b) higher tertiary education","40","1","1","1"
"Low transfer dependency","1984","16-34 y.","(0) in school","15","","",""
"Low transfer dependency","1984","16-34 y.","(1a) inadequately completed","27","","",""
"Low transfer dependency","1984","16-34 y.","(1b) general elementary school","51","0.0536438780845124","0.0391003420317294","0.0681874141372954"
"Low transfer dependency","1984","16-34 y.","(1c) basic vocational qualification","65","0.0434384344027049","0.0322626964563849","0.0546141723490249"
"Low transfer dependency","1984","16-34 y.","(2b) intermediate general qualification","15","","",""
"Low transfer dependency","1984","16-34 y.","(2a) intermediate vocational","22","","",""
"Low transfer dependency","1984","16-34 y.","(2c_gen) general maturity certificate","16","","",""
"Low transfer dependency","1984","16-34 y.","(2c_voc) vocational maturity certificate","10","","",""
"Low transfer dependency","1984","16-34 y.","(3a) lower tertiary education","3","","",""
"Low transfer dependency","1984","16-34 y.","(3b) higher tertiary education","8","","",""
"Low transfer dependency","1984","35-65 y.","(0) in school","","","",""
"Low transfer dependency","1984","35-65 y.","(1a) inadequately completed","66","0.106086666105153","0.0841351105215882","0.128038221688719"
"Low transfer dependency","1984","35-65 y.","(1b) general elementary school","73","0.0325918061307013","0.0238168930231476","0.041366719238255"
"Low transfer dependency","1984","35-65 y.","(1c) basic vocational qualification","81","0.0285350613580268","0.0219901992682721","0.0350799234477815"
"Low transfer dependency","1984","35-65 y.","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","35-65 y.","(2a) intermediate vocational","9","","",""
"Low transfer dependency","1984","35-65 y.","(2c_gen) general maturity certificate","4","","",""
"Low transfer dependency","1984","35-65 y.","(2c_voc) vocational maturity certificate","9","","",""
"Low transfer dependency","1984","35-65 y.","(3a) lower tertiary education","3","","",""
"Low transfer dependency","1984","35-65 y.","(3b) higher tertiary education","4","","",""
"Low transfer dependency","1984","66 and older","(0) in school","","","",""
"Low transfer dependency","1984","66 and older","(1a) inadequately completed","1","","",""
"Low transfer dependency","1984","66 and older","(1b) general elementary school","11","","",""
"Low transfer dependency","1984","66 and older","(1c) basic vocational qualification","5","","",""
"Low transfer dependency","1984","66 and older","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","66 and older","(2a) intermediate vocational","1","","",""
"Low transfer dependency","1984","66 and older","(2c_gen) general maturity certificate","","","",""
"Low transfer dependency","1984","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Low transfer dependency","1984","66 and older","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","66 and older","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","16-34 y.","(0) in school","1","","",""
"High transfer dependency","1984","16-34 y.","(1a) inadequately completed","3","","",""
"High transfer dependency","1984","16-34 y.","(1b) general elementary school","19","","",""
"High transfer dependency","1984","16-34 y.","(1c) basic vocational qualification","11","","",""
"High transfer dependency","1984","16-34 y.","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1984","16-34 y.","(2a) intermediate vocational","6","","",""
"High transfer dependency","1984","16-34 y.","(2c_gen) general maturity certificate","13","","",""
"High transfer dependency","1984","16-34 y.","(2c_voc) vocational maturity certificate","9","","",""
"High transfer dependency","1984","16-34 y.","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","16-34 y.","(3b) higher tertiary education","4","","",""
"High transfer dependency","1984","35-65 y.","(0) in school","","","",""
"High transfer dependency","1984","35-65 y.","(1a) inadequately completed","14","","",""
"High transfer dependency","1984","35-65 y.","(1b) general elementary school","22","","",""
"High transfer dependency","1984","35-65 y.","(1c) basic vocational qualification","17","","",""
"High transfer dependency","1984","35-65 y.","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","35-65 y.","(2a) intermediate vocational","2","","",""
"High transfer dependency","1984","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"High transfer dependency","1984","35-65 y.","(2c_voc) vocational maturity certificate","2","","",""
"High transfer dependency","1984","35-65 y.","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","35-65 y.","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","66 and older","(0) in school","","","",""
"High transfer dependency","1984","66 and older","(1a) inadequately completed","","","",""
"High transfer dependency","1984","66 and older","(1b) general elementary school","3","","",""
"High transfer dependency","1984","66 and older","(1c) basic vocational qualification","1","","",""
"High transfer dependency","1984","66 and older","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","66 and older","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","66 and older","(2c_gen) general maturity certificate","","","",""
