"transab_cat2","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","no migration background","Male","24","","","","2"
"High transfer dependency","1984","no migration background","Female","46","0.0100698249688227","0.00716301672874397","0.0129766332089014","2"
"High transfer dependency","1984","direct migration background","Female","27","","","","2"
"High transfer dependency","1984","direct migration background","Male","36","0.0226281124600677","0.0157484053346933","0.0295078195854421","2"
"High transfer dependency","1984","indirect migration background","Male","","","","","2"
"High transfer dependency","1984","indirect migration background","Female","","","","","2"
"Low transfer dependency","1984","no migration background","Female","140","0.0288652186911138","0.0239907159283836","0.0337397214538439","1"
"Low transfer dependency","1984","no migration background","Male","129","0.0300722975273869","0.0248458902543489","0.0352987048004249","1"
"Low transfer dependency","1984","direct migration background","Male","120","0.0534939471284204","0.0430844467711861","0.0639034474856547","1"
"Low transfer dependency","1984","direct migration background","Female","108","0.0491016895997224","0.0384606083676492","0.0597427708317957","1"
"Low transfer dependency","1984","indirect migration background","Male","4","","","","1"
"Low transfer dependency","1984","indirect migration background","Female","5","","","","1"
"Very high transfer dependency","1984","no migration background","Male","50","0.0126957409824325","0.00926960343063803","0.0161218785342269","3"
"Very high transfer dependency","1984","no migration background","Female","79","0.0175420728996617","0.0137199858264919","0.0213641599728314","3"
"Very high transfer dependency","1984","direct migration background","Male","41","0.0325323687877604","0.0243252271251519","0.0407395104503689","3"
"Very high transfer dependency","1984","indirect migration background","Male","","","","","3"
"Very high transfer dependency","1984","direct migration background","Female","44","0.0413899971100765","0.0315806708688681","0.0511993233512849","3"
"Very high transfer dependency","1984","indirect migration background","Female","3","","","","3"
"Very low transfer dependency","1984","no migration background","Male","3899","0.951307554321137","0.944721253996331","0.957893854645942","0"
"Very low transfer dependency","1984","no migration background","Female","4267","0.943522883440402","0.93680216630348","0.950243600577324","0"
"Very low transfer dependency","1984","direct migration background","Male","1598","0.891345571623751","0.87694888220014","0.905742261047363","0"
"Very low transfer dependency","1984","direct migration background","Female","1405","0.894355700463496","0.879218391472428","0.909493009454564","0"
"Very low transfer dependency","1984","indirect migration background","Male","57","0.905804984481874","0.832503210085878","0.979106758877869","0"
"Very low transfer dependency","1984","indirect migration background","Female","58","0.964514586803124","0.919881650756084","1.00914752285016","0"
"High transfer dependency","1985","no migration background","Male","28","","","","2"
"High transfer dependency","1985","no migration background","Female","45","0.0119742198822287","0.0086725024997284","0.015275937264729","2"
"High transfer dependency","1985","direct migration background","Male","30","0.0219244427032899","0.0146600866271648","0.029188798779415","2"
"High transfer dependency","1985","direct migration background","Female","29","","","","2"
"High transfer dependency","1985","indirect migration background","Male","1","","","","2"
"High transfer dependency","1985","indirect migration background","Female","1","","","","2"
"Low transfer dependency","1985","no migration background","Male","88","0.0213117646886187","0.0167247354207117","0.0258987939565258","1"
"Low transfer dependency","1985","no migration background","Female","110","0.0238982207464544","0.0192620173600904","0.0285344241328185","1"
"Low transfer dependency","1985","direct migration background","Female","69","0.0417725073275167","0.0311511566320318","0.0523938580230017","1"
"Low transfer dependency","1985","direct migration background","Male","82","0.0417269144966517","0.0318071943357414","0.0516466346575619","1"
"Low transfer dependency","1985","indirect migration background","Male","5","","","","1"
"Low transfer dependency","1985","indirect migration background","Female","2","","","","1"
"Very high transfer dependency","1985","no migration background","Male","49","0.0135020987896083","0.00983647116638653","0.01716772641283","3"
"Very high transfer dependency","1985","no migration background","Female","82","0.019528199835236","0.0153278950762155","0.0237285045942566","3"
"Very high transfer dependency","1985","direct migration background","Male","27","","","","3"
"Very high transfer dependency","1985","indirect migration background","Male","1","","","","3"
"Very high transfer dependency","1985","direct migration background","Female","31","0.0323332188054794","0.0229427440398543","0.0417236935711044","3"
"Very high transfer dependency","1985","indirect migration background","Female","","","","","3"
"Very low transfer dependency","1985","no migration background","Male","3643","0.957292433894368","0.950870374094123","0.963714493694613","0"
"Very low transfer dependency","1985","no migration background","Female","3932","0.944599359536081","0.937655301216919","0.951543417855243","0"
"Very low transfer dependency","1985","direct migration background","Male","1422","0.915837897011623","0.902065350930307","0.929610443092938","0"
"Very low transfer dependency","1985","direct migration background","Female","1234","0.904383777466063","0.888772360050676","0.91999519488145","0"
"Very low transfer dependency","1985","indirect migration background","Male","59","0.895279110160642","0.821408444809001","0.969149775512282","0"
"Very low transfer dependency","1985","indirect migration background","Female","75","0.962970696098621","0.921064320671566","1.00487707152568","0"
"High transfer dependency","1986","no migration background","Male","27","","","","2"
"High transfer dependency","1986","no migration background","Female","43","0.0129224477178014","0.00940438668299482","0.016440508752608","2"
"High transfer dependency","1986","direct migration background","Male","26","","","","2"
"High transfer dependency","1986","direct migration background","Female","25","","","","2"
"High transfer dependency","1986","indirect migration background","Male","","","","","2"
"High transfer dependency","1986","indirect migration background","Female","1","","","","2"
"Low transfer dependency","1986","no migration background","Male","92","0.0267838511510812","0.0215389348276014","0.032028767474561","1"
"Low transfer dependency","1986","no migration background","Female","92","0.022521743744329","0.0178999570367712","0.0271435304518867","1"
"Low transfer dependency","1986","direct migration background","Male","71","0.0388730899254863","0.0291718315994378","0.0485743482515348","1"
