"transab_cat2","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","1-pers.-HH","Male","469","0.891145026751542","0.864777825880435","0.91751222762265"
"Very low transfer dependency","1984","1-pers.-HH","Female","713","0.932143043079153","0.914459224420115","0.949826861738191"
"Very low transfer dependency","1984","(Married) couple without C. ","Male","1295","0.968263109129735","0.958905130977291","0.977621087282178"
"Very low transfer dependency","1984","(Married) couple without C. ","Female","1294","0.968165217060122","0.958789813353578","0.977540620766666"
"Very low transfer dependency","1984","Single parent ","Male","173","0.893129252936243","0.849654832028596","0.93660367384389"
"Very low transfer dependency","1984","Single parent ","Female","299","0.80590429468243","0.765821131386396","0.845987457978465"
"Very low transfer dependency","1984","Couple + C. LE 16 ","Male","1422","0.935137234717484","0.922800622870005","0.947473846564963"
"Very low transfer dependency","1984","Couple + C. LE 16 ","Female","1419","0.933160839237744","0.920642748508305","0.945678929967183"
"Very low transfer dependency","1984","Couple + C. GT 16 ","Male","1036","0.9650090443281","0.954054890435954","0.975963198220245"
"Very low transfer dependency","1984","Couple + C. GT 16 ","Female","866","0.966866635990771","0.955211964271273","0.97852130771027"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","Male","843","0.959476171429178","0.946713671441387","0.97223867141697"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","Female","715","0.952810792820023","0.937996347367194","0.967625238272853"
"Low transfer dependency","1984","1-pers.-HH","Male","24","","",""
"Low transfer dependency","1984","1-pers.-HH","Female","17","","",""
"Low transfer dependency","1984","(Married) couple without C. ","Male","35","0.020331984610991","0.0127978652608267","0.0278661039611553"
"Low transfer dependency","1984","(Married) couple without C. ","Female","35","0.020385473890446","0.0128388569314966","0.0279320908493954"
"Low transfer dependency","1984","Single parent ","Male","18","","",""
"Low transfer dependency","1984","Single parent ","Female","31","0.0807131031692412","0.053106698658435","0.108319507680047"
"Low transfer dependency","1984","Couple + C. LE 16 ","Male","62","0.0359473673440478","0.026622462408604","0.0452722722794916"
"Low transfer dependency","1984","Couple + C. LE 16 ","Female","63","0.0377658603690668","0.0282107783223538","0.0473209424157798"
"Low transfer dependency","1984","Couple + C. GT 16 ","Male","32","0.0298324583922853","0.0196909364154059","0.0399739803691647"
"Low transfer dependency","1984","Couple + C. GT 16 ","Female","22","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","Male","58","0.0325749513151312","0.0210851114788335","0.044064791151429"
"Low transfer dependency","1984","Couple + C. LE and GT 16","Female","57","0.0358049342747546","0.0228237409555283","0.0487861275939809"
"High transfer dependency","1984","1-pers.-HH","Male","9","","",""
"High transfer dependency","1984","1-pers.-HH","Female","11","","",""
"High transfer dependency","1984","(Married) couple without C. ","Male","7","","",""
"High transfer dependency","1984","(Married) couple without C. ","Female","7","","",""
"High transfer dependency","1984","Single parent ","Male","1","","",""
"High transfer dependency","1984","Single parent ","Female","14","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","Male","21","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","Female","21","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","Male","3","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","Female","5","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","Male","8","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","Female","8","","",""
"Very high transfer dependency","1984","1-pers.-HH","Male","34","0.0655588116191471","0.044605280617059","0.0865123426212352"
"Very high transfer dependency","1984","1-pers.-HH","Female","36","0.0376656810724857","0.0242789826089019","0.0510523795360694"
"Very high transfer dependency","1984","(Married) couple without C. ","Male","11","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","Female","11","","",""
"Very high transfer dependency","1984","Single parent ","Male","2","","",""
"Very high transfer dependency","1984","Single parent ","Female","30","0.0753035381578837","0.0485599559558339","0.102047120359933"
"Very high transfer dependency","1984","Couple + C. LE 16 ","Male","26","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","Female","26","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","Male","10","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","Female","13","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","Male","8","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","Female","7","","",""
"Very low transfer dependency","1985","1-pers.-HH","Male","429","0.915917208156157","0.890774802136161","0.941059614176153"
"Very low transfer dependency","1985","1-pers.-HH","Female","647","0.93209636404592","0.913485931950431","0.95070679614141"
"Very low transfer dependency","1985","(Married) couple without C. ","Male","1167","0.964919563418556","0.954570124677287","0.975269002159825"
