"transab_cat2","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","1-pers.-HH","no migration background","983","0.92841344939358","0.912973716406008","0.943853182381152"
"Very low transfer dependency","1984","1-pers.-HH","direct migration background","194","0.811897067439919","0.762038435355987","0.861755699523851"
"Very low transfer dependency","1984","1-pers.-HH","indirect migration background","5","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","no migration background","2150","0.96999469257954","0.96289960874983","0.97708977640925"
"Very low transfer dependency","1984","(Married) couple without C. ","direct migration background","429","0.942882059817804","0.921766429224598","0.963997690411011"
"Very low transfer dependency","1984","(Married) couple without C. ","indirect migration background","10","","",""
"Very low transfer dependency","1984","Single parent ","no migration background","361","0.833268670420671","0.798401479140162","0.86813586170118"
"Very low transfer dependency","1984","Single parent ","direct migration background","104","0.846751385639923","0.78256666695559","0.910936104324257"
"Very low transfer dependency","1984","Single parent ","indirect migration background","7","","",""
"Very low transfer dependency","1984","Couple + C. LE 16 ","no migration background","1754","0.940577880155906","0.929842606625115","0.951313153686697"
"Very low transfer dependency","1984","Couple + C. LE 16 ","direct migration background","1067","0.897100446446075","0.879742947751904","0.914457945140247"
"Very low transfer dependency","1984","Couple + C. LE 16 ","indirect migration background","20","","",""
"Very low transfer dependency","1984","Couple + C. GT 16 ","no migration background","1424","0.968118646291532","0.959134643827556","0.977102648755508"
"Very low transfer dependency","1984","Couple + C. GT 16 ","direct migration background","437","0.936147564930113","0.914114322717635","0.95818080714259"
"Very low transfer dependency","1984","Couple + C. GT 16 ","indirect migration background","41","0.959344984707424","0.901643590985124","1.01704637842972"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","no migration background","965","0.968136584361439","0.957228891463834","0.979044277259045"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","direct migration background","565","0.875841301863631","0.850945883526343","0.900736720200919"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","indirect migration background","28","","",""
"Low transfer dependency","1984","1-pers.-HH","no migration background","22","","",""
"Low transfer dependency","1984","1-pers.-HH","direct migration background","18","","",""
"Low transfer dependency","1984","1-pers.-HH","indirect migration background","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","no migration background","48","0.0202685479188709","0.0144079941485811","0.0261291016891608"
"Low transfer dependency","1984","(Married) couple without C. ","direct migration background","22","","",""
"Low transfer dependency","1984","(Married) couple without C. ","indirect migration background","","","",""
"Low transfer dependency","1984","Single parent ","no migration background","40","0.0859475692805238","0.0597284448752923","0.112166693685755"
"Low transfer dependency","1984","Single parent ","direct migration background","8","","",""
"Low transfer dependency","1984","Single parent ","indirect migration background","1","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","no migration background","64","0.0347491712239559","0.0264327978234407","0.0430655446244711"
"Low transfer dependency","1984","Couple + C. LE 16 ","direct migration background","61","0.0493732129512886","0.0369963501040546","0.0617500757985226"
"Low transfer dependency","1984","Couple + C. LE 16 ","indirect migration background","","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","no migration background","35","0.025722605993869","0.0176272493080029","0.0338179626797351"
"Low transfer dependency","1984","Couple + C. GT 16 ","direct migration background","18","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","indirect migration background","1","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","no migration background","24","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","direct migration background","85","0.100146612531045","0.0774833644586752","0.122809860603414"
"Low transfer dependency","1984","Couple + C. LE and GT 16","indirect migration background","6","","",""
"High transfer dependency","1984","1-pers.-HH","no migration background","15","","",""
"High transfer dependency","1984","1-pers.-HH","direct migration background","5","","",""
"High transfer dependency","1984","1-pers.-HH","indirect migration background","","","",""
"High transfer dependency","1984","(Married) couple without C. ","no migration background","9","","",""
"High transfer dependency","1984","(Married) couple without C. ","direct migration background","5","","",""
"High transfer dependency","1984","(Married) couple without C. ","indirect migration background","","","",""
"High transfer dependency","1984","Single parent ","no migration background","14","","",""
"High transfer dependency","1984","Single parent ","direct migration background","1","","",""
"High transfer dependency","1984","Single parent ","indirect migration background","","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","no migration background","15","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","direct migration background","27","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","indirect migration background","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","no migration background","3","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","direct migration background","5","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","indirect migration background","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","no migration background","7","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","direct migration background","9","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","indirect migration background","","","",""
"Very high transfer dependency","1984","1-pers.-HH","no migration background","51","0.0412129318696988","0.0293078826560977","0.0531179810832999"
"Very high transfer dependency","1984","1-pers.-HH","direct migration background","19","","",""
"Very high transfer dependency","1984","1-pers.-HH","indirect migration background","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","no migration background","14","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","direct migration background","8","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","indirect migration background","","","",""
"Very high transfer dependency","1984","Single parent ","no migration background","24","","",""
"Very high transfer dependency","1984","Single parent ","direct migration background","8","","",""
"Very high transfer dependency","1984","Single parent ","indirect migration background","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","no migration background","30","0.0167432339979074","0.0109169076255821","0.0225695603702326"
"Very high transfer dependency","1984","Couple + C. LE 16 ","direct migration background","22","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","indirect migration background","","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","no migration background","7","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","direct migration background","13","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","indirect migration background","3","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","no migration background","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","direct migration background","15","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","indirect migration background","","","",""
"Very low transfer dependency","1985","1-pers.-HH","no migration background","893","0.931701588440784","0.91578580013781","0.947617376743758"
"Very low transfer dependency","1985","1-pers.-HH","direct migration background","176","0.873049442579701","0.826560282087748","0.919538603071654"
"Very low transfer dependency","1985","1-pers.-HH","indirect migration background","7","","",""
"Very low transfer dependency","1985","(Married) couple without C. ","no migration background","1943","0.966001437956198","0.958090609116428","0.973912266795967"
"Very low transfer dependency","1985","(Married) couple without C. ","direct migration background","381","0.944725280938489","0.922442291775753","0.967008270101225"
"Very low transfer dependency","1985","(Married) couple without C. ","indirect migration background","9","","",""
"Very low transfer dependency","1985","Single parent ","no migration background","356","0.86629027383078","0.833386902478982","0.899193645182579"
"Very low transfer dependency","1985","Single parent ","direct migration background","100","0.864103271843387","0.802273960043881","0.925932583642893"
"Very low transfer dependency","1985","Single parent ","indirect migration background","12","","",""
"Very low transfer dependency","1985","Couple + C. LE 16 ","no migration background","1594","0.948003091990618","0.937405359754854","0.958600824226382"
"Very low transfer dependency","1985","Couple + C. LE 16 ","direct migration background","876","0.913618135653088","0.895893468974332","0.931342802331844"
"Very low transfer dependency","1985","Couple + C. LE 16 ","indirect migration background","17","","",""
"Very low transfer dependency","1985","Couple + C. GT 16 ","no migration background","1516","0.975631213189863","0.967967439145426","0.983294987234299"
"Very low transfer dependency","1985","Couple + C. GT 16 ","direct migration background","397","0.934403127023822","0.910948155147178","0.957858098900466"
"Very low transfer dependency","1985","Couple + C. GT 16 ","indirect migration background","38","0.924200443653878","0.844154401361573","1.00424648594618"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","no migration background","795","0.969240508981041","0.957429639686779","0.981051378275302"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","direct migration background","556","0.917199441711662","0.895542285850376","0.938856597572947"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","indirect migration background","46","0.89888419641263","0.81531918435558","0.98244920846968"
"Low transfer dependency","1985","1-pers.-HH","no migration background","17","","",""
"Low transfer dependency","1985","1-pers.-HH","direct migration background","8","","",""
"Low transfer dependency","1985","1-pers.-HH","indirect migration background","","","",""
"Low transfer dependency","1985","(Married) couple without C. ","no migration background","37","0.015933642853205","0.0104676059604442","0.0213996797459657"
"Low transfer dependency","1985","(Married) couple without C. ","direct migration background","13","","",""
"Low transfer dependency","1985","(Married) couple without C. ","indirect migration background","","","",""
"Low transfer dependency","1985","Single parent ","no migration background","21","","",""
"Low transfer dependency","1985","Single parent ","direct migration background","8","","",""
"Low transfer dependency","1985","Single parent ","indirect migration background","1","","",""
"Low transfer dependency","1985","Couple + C. LE 16 ","no migration background","58","0.0317064304822723","0.0233427678615875","0.0400700931029572"
"Low transfer dependency","1985","Couple + C. LE 16 ","direct migration background","45","0.030821906432786","0.0199171497963754","0.0417266630691967"
"Low transfer dependency","1985","Couple + C. LE 16 ","indirect migration background","","","",""
"Low transfer dependency","1985","Couple + C. GT 16 ","no migration background","22","","",""
"Low transfer dependency","1985","Couple + C. GT 16 ","direct migration background","10","","",""
"Low transfer dependency","1985","Couple + C. GT 16 ","indirect migration background","4","","",""
"Low transfer dependency","1985","Couple + C. LE and GT 16","no migration background","17","","",""
"Low transfer dependency","1985","Couple + C. LE and GT 16","direct migration background","50","0.0643138166977357","0.0450354539108464","0.0835921794846251"
"Low transfer dependency","1985","Couple + C. LE and GT 16","indirect migration background","2","","",""
"High transfer dependency","1985","1-pers.-HH","no migration background","18","","",""
"High transfer dependency","1985","1-pers.-HH","direct migration background","4","","",""
"High transfer dependency","1985","1-pers.-HH","indirect migration background","","","",""
"High transfer dependency","1985","(Married) couple without C. ","no migration background","13","","",""
