"transab_cat2","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","Full Time","1-pers.-HH","","","","","2"
"High transfer dependency","1984","Part Time","Couple + C. LE 16 ","17","","","","2"
"High transfer dependency","1984","Not Working","Single parent ","9","","","","2"
"High transfer dependency","1984","Part Time","Single parent ","3","","","","2"
"High transfer dependency","1984","Not Working","(Married) couple without C. ","7","","","","2"
"High transfer dependency","1984","Full Time","Couple + C. LE and GT 16","1","","","","2"
"High transfer dependency","1984","Part Time","Couple + C. GT 16 ","4","","","","2"
"High transfer dependency","1984","Part Time","Couple + C. LE and GT 16","6","","","","2"
"High transfer dependency","1984","Full Time","(Married) couple without C. ","1","","","","2"
"High transfer dependency","1984","Full Time","Single parent ","3","","","","2"
"High transfer dependency","1984","Full Time","Couple + C. LE 16 ","2","","","","2"
"High transfer dependency","1984","Full Time","Couple + C. GT 16 ","","","","","2"
"High transfer dependency","1984","Part Time","1-pers.-HH","13","","","","2"
"High transfer dependency","1984","Part Time","(Married) couple without C. ","6","","","","2"
"High transfer dependency","1984","Not Working","1-pers.-HH","7","","","","2"
"High transfer dependency","1984","Not Working","Couple + C. LE 16 ","23","","","","2"
"High transfer dependency","1984","Not Working","Couple + C. GT 16 ","4","","","","2"
"High transfer dependency","1984","Not Working","Couple + C. LE and GT 16","9","","","","2"
"Low transfer dependency","1984","Not Working","Couple + C. LE and GT 16","61","0.048880050043299","0.031584101204025","0.0661759988825731","1"
"Low transfer dependency","1984","Full Time","Couple + C. LE 16 ","38","0.0192766371241691","0.0126543680728074","0.0258989061755308","1"
"Low transfer dependency","1984","Full Time","1-pers.-HH","9","","","","1"
"Low transfer dependency","1984","Full Time","(Married) couple without C. ","23","","","","1"
"Low transfer dependency","1984","Full Time","Couple + C. GT 16 ","11","","","","1"
"Low transfer dependency","1984","Part Time","Single parent ","15","","","","1"
"Low transfer dependency","1984","Part Time","(Married) couple without C. ","17","","","","1"
"Low transfer dependency","1984","Full Time","Single parent ","5","","","","1"
"Low transfer dependency","1984","Full Time","Couple + C. LE and GT 16","33","0.0199799350612344","0.0102954746798617","0.0296643954426072","1"
"Low transfer dependency","1984","Part Time","1-pers.-HH","22","","","","1"
"Low transfer dependency","1984","Part Time","Couple + C. LE and GT 16","21","","","","1"
"Low transfer dependency","1984","Not Working","1-pers.-HH","10","","","","1"
"Low transfer dependency","1984","Not Working","(Married) couple without C. ","30","0.0166486547985739","0.00942130990654558","0.0238759996906022","1"
"Low transfer dependency","1984","Not Working","Single parent ","29","","","","1"
"Low transfer dependency","1984","Not Working","Couple + C. LE 16 ","51","0.0554870880207627","0.0403530935869678","0.0706210824545576","1"
"Low transfer dependency","1984","Not Working","Couple + C. GT 16 ","30","0.0418319924295502","0.0268720824555183","0.0567919024035822","1"
"Low transfer dependency","1984","Part Time","Couple + C. LE 16 ","36","0.0579305145794492","0.0379473805699133","0.0779136485889851","1"
"Low transfer dependency","1984","Part Time","Couple + C. GT 16 ","13","","","","1"
"Very high transfer dependency","1984","Full Time","Couple + C. LE and GT 16","","","","","3"
"Very high transfer dependency","1984","Part Time","Couple + C. LE 16 ","","","","","3"
