"transab_cat2","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","lower secondary degree","(0) in school","","","",""
"Very low transfer dependency","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Very low transfer dependency","1984","lower secondary degree","(1b) general elementary school","2078","0.935195822059207","0.925007885401292","0.945383758717122"
"Very low transfer dependency","1984","lower secondary degree","(1c) basic vocational qualification","3602","0.951156285342138","0.944303193114718","0.958009377569558"
"Very low transfer dependency","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very low transfer dependency","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Very low transfer dependency","1984","lower secondary degree","(2c_gen) general maturity certificate","9","","",""
"Very low transfer dependency","1984","lower secondary degree","(2c_voc) vocational maturity certificate","6","","",""
"Very low transfer dependency","1984","lower secondary degree","(3a) lower tertiary education","19","","",""
"Very low transfer dependency","1984","lower secondary degree","(3b) higher tertiary education","7","","",""
"Very low transfer dependency","1984","secondary school degree","(0) in school","","","",""
"Very low transfer dependency","1984","secondary school degree","(1a) inadequately completed","","","",""
"Very low transfer dependency","1984","secondary school degree","(1b) general elementary school","","","",""
"Very low transfer dependency","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Very low transfer dependency","1984","secondary school degree","(2b) intermediate general qualification","451","0.958676547063854","0.940758392711794","0.976594701415914"
"Very low transfer dependency","1984","secondary school degree","(2a) intermediate vocational","1354","0.963819956463837","0.954062569202709","0.973577343724965"
"Very low transfer dependency","1984","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"Very low transfer dependency","1984","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"Very low transfer dependency","1984","secondary school degree","(3a) lower tertiary education","54","0.98192862428463","0.946723789211659","1.0171334593576"
"Very low transfer dependency","1984","secondary school degree","(3b) higher tertiary education","12","","",""
"Very low transfer dependency","1984","college entrance qualification","(0) in school","","","",""
"Very low transfer dependency","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Very low transfer dependency","1984","college entrance qualification","(1b) general elementary school","","","",""
"Very low transfer dependency","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very low transfer dependency","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very low transfer dependency","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Very low transfer dependency","1984","college entrance qualification","(2c_gen) general maturity certificate","275","0.893022936631659","0.858560538606311","0.927485334657006"
"Very low transfer dependency","1984","college entrance qualification","(2c_voc) vocational maturity certificate","314","0.928820413315391","0.901408878842678","0.956231947788104"
"Very low transfer dependency","1984","college entrance qualification","(3a) lower tertiary education","179","0.941311220357717","0.907802229718342","0.974820210997091"
"Very low transfer dependency","1984","college entrance qualification","(3b) higher tertiary education","435","0.966704719631348","0.950128706132698","0.983280733129998"
"Very low transfer dependency","1984","Other degree","(0) in school","","","",""
"Very low transfer dependency","1984","Other degree","(1a) inadequately completed","","","",""
"Very low transfer dependency","1984","Other degree","(1b) general elementary school","663","0.879050442240293","0.855541401284576","0.902559483196009"
"Very low transfer dependency","1984","Other degree","(1c) basic vocational qualification","407","0.904265652174007","0.876959370198536","0.931571934149478"
"Very low transfer dependency","1984","Other degree","(2b) intermediate general qualification","","","",""
"Very low transfer dependency","1984","Other degree","(2a) intermediate vocational","","","",""
"Very low transfer dependency","1984","Other degree","(2c_gen) general maturity certificate","72","0.818347317932302","0.737791577489917","0.898903058374686"
"Very low transfer dependency","1984","Other degree","(2c_voc) vocational maturity certificate","88","0.777895516440144","0.698009508647717","0.857781524232571"
"Very low transfer dependency","1984","Other degree","(3a) lower tertiary education","3","","",""
"Very low transfer dependency","1984","Other degree","(3b) higher tertiary education","52","0.953297409648837","0.898033861034917","1.00856095826276"
"Very low transfer dependency","1984","no degree/no degree yet","(0) in school","169","0.905356117539053","0.863401160399893","0.947311074678214"
"Very low transfer dependency","1984","no degree/no degree yet","(1a) inadequately completed","953","0.824546946556894","0.802080075604032","0.847013817509755"
"Very low transfer dependency","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very low transfer dependency","1984","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Low transfer dependency","1984","lower secondary degree","(0) in school","","","",""
"Low transfer dependency","1984","lower secondary degree","(1a) inadequately completed","","","",""
"Low transfer dependency","1984","lower secondary degree","(1b) general elementary school","82","0.0305060843754972","0.0233890472430259","0.0376231215079685"
"Low transfer dependency","1984","lower secondary degree","(1c) basic vocational qualification","124","0.028329155311427","0.0230540310875396","0.0336042795353144"
"Low transfer dependency","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"Low transfer dependency","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Low transfer dependency","1984","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Low transfer dependency","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"Low transfer dependency","1984","secondary school degree","(0) in school","","","",""
"Low transfer dependency","1984","secondary school degree","(1a) inadequately completed","","","",""
"Low transfer dependency","1984","secondary school degree","(1b) general elementary school","","","",""
"Low transfer dependency","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"Low transfer dependency","1984","secondary school degree","(2b) intermediate general qualification","15","","",""
"Low transfer dependency","1984","secondary school degree","(2a) intermediate vocational","32","0.0211622653481112","0.0136419254186897","0.0286826052775327"
"Low transfer dependency","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Low transfer dependency","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Low transfer dependency","1984","secondary school degree","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1984","secondary school degree","(3b) higher tertiary education","","","",""
"Low transfer dependency","1984","college entrance qualification","(0) in school","","","",""
"Low transfer dependency","1984","college entrance qualification","(1a) inadequately completed","","","",""
"Low transfer dependency","1984","college entrance qualification","(1b) general elementary school","","","",""
"Low transfer dependency","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"Low transfer dependency","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"Low transfer dependency","1984","college entrance qualification","(2c_gen) general maturity certificate","12","","",""
"Low transfer dependency","1984","college entrance qualification","(2c_voc) vocational maturity certificate","7","","",""
"Low transfer dependency","1984","college entrance qualification","(3a) lower tertiary education","5","","",""
"Low transfer dependency","1984","college entrance qualification","(3b) higher tertiary education","10","","",""
"Low transfer dependency","1984","Other degree","(0) in school","","","",""
"Low transfer dependency","1984","Other degree","(1a) inadequately completed","","","",""
"Low transfer dependency","1984","Other degree","(1b) general elementary school","53","0.0795756280433783","0.0600632606673467","0.09908799541941"
"Low transfer dependency","1984","Other degree","(1c) basic vocational qualification","27","","",""
"Low transfer dependency","1984","Other degree","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","Other degree","(2a) intermediate vocational","","","",""
"Low transfer dependency","1984","Other degree","(2c_gen) general maturity certificate","8","","",""
"Low transfer dependency","1984","Other degree","(2c_voc) vocational maturity certificate","11","","",""
"Low transfer dependency","1984","Other degree","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","Other degree","(3b) higher tertiary education","2","","",""
"Low transfer dependency","1984","no degree/no degree yet","(0) in school","15","","",""
"Low transfer dependency","1984","no degree/no degree yet","(1a) inadequately completed","94","0.106166362719946","0.087970349320747","0.124362376119145"
"Low transfer dependency","1984","no degree/no degree yet","(1b) general elementary school","","","",""
