"transab_cat2","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","16-34 y.","Male","28","","","","2"
"High transfer dependency","1984","16-34 y.","Female","40","0.0185566524857836","0.0130545262093868","0.0240587787621804","2"
"High transfer dependency","1984","35-65 y.","Female","30","0.00793414480591274","0.00481354841977739","0.0110547411920481","2"
"High transfer dependency","1984","35-65 y.","Male","31","0.00753593214429751","0.00454187586317168","0.0105299884254233","2"
"High transfer dependency","1984","66 and older","Male","1","","","","2"
"High transfer dependency","1984","66 and older","Female","3","","","","2"
"Low transfer dependency","1984","16-34 y.","Female","117","0.0465748767051556","0.0379834107981649","0.0551663426121463","1"
"Low transfer dependency","1984","16-34 y.","Male","117","0.0473898987076785","0.0386008797800081","0.0561789176353489","1"
"Low transfer dependency","1984","35-65 y.","Male","130","0.0285490518884092","0.0227835070059281","0.0343145967708903","1"
"Low transfer dependency","1984","35-65 y.","Female","124","0.0275274956899342","0.0217725754902684","0.0332824158896001","1"
"Low transfer dependency","1984","66 and older","Male","6","","","","1"
"Low transfer dependency","1984","66 and older","Female","12","","","","1"
"Very high transfer dependency","1984","16-34 y.","Male","47","0.0218809376903745","0.01582935817005","0.027932517210699","3"
"Very high transfer dependency","1984","16-34 y.","Female","71","0.0340073987362012","0.0266177852181062","0.0413970122542962","3"
"Very high transfer dependency","1984","35-65 y.","Male","43","0.0135125613891153","0.00951542751725486","0.0175096952609757","3"
"Very high transfer dependency","1984","66 and older","Male","1","","","","3"
"Very high transfer dependency","1984","35-65 y.","Female","50","0.0161896533968509","0.0117505858128282","0.0206287209808735","3"
"Very high transfer dependency","1984","66 and older","Female","5","","","","3"
"Very low transfer dependency","1984","16-34 y.","Male","2053","0.920621273937274","0.909438939317535","0.931803608557012","0"
"Very low transfer dependency","1984","16-34 y.","Female","2083","0.900861072072859","0.888676812637973","0.913045331507746","0"
"Very low transfer dependency","1984","35-65 y.","Male","3001","0.950402454578178","0.9428859151372","0.957918994019156","0"
"Very low transfer dependency","1984","35-65 y.","Female","2901","0.948348706107302","0.940564005414467","0.956133406800137","0"
"Very low transfer dependency","1984","66 and older","Male","500","0.987800482453225","0.97825446597175","0.997346498934701","0"
"Very low transfer dependency","1984","66 and older","Female","746","0.974986870924516","0.96392783924609","0.986045902602941","0"
