"transab_cat2","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Schleswig-Holstein","no migration background","318","0.948482524133921","0.92498616414832","0.971978884119522"
"Very low transfer dependency","1984","Schleswig-Holstein","direct migration background","29","","",""
"Very low transfer dependency","1984","Schleswig-Holstein","indirect migration background","3","","",""
"Very low transfer dependency","1984","Hamburg","no migration background","211","0.960207795158554","0.934378154395926","0.986037435921183"
"Very low transfer dependency","1984","Hamburg","direct migration background","80","0.930936385131622","0.878550837088908","0.983321933174336"
"Very low transfer dependency","1984","Hamburg","indirect migration background","1","","",""
"Very low transfer dependency","1984","Lower Saxony","no migration background","939","0.919613699398971","0.902968849011133","0.936258549786808"
"Very low transfer dependency","1984","Lower Saxony","direct migration background","153","0.870799378965699","0.824078946751588","0.917519811179809"
"Very low transfer dependency","1984","Lower Saxony","indirect migration background","4","","",""
"Very low transfer dependency","1984","Bremen","no migration background","82","0.841270764778469","0.768921951228674","0.913619578328265"
"Very low transfer dependency","1984","Bremen","direct migration background","25","","",""
"Very low transfer dependency","1984","Bremen","indirect migration background","","","",""
"Very low transfer dependency","1984","North Rhine-Westphalia","no migration background","2103","0.929560040868232","0.919003282472098","0.940116799264366"
"Very low transfer dependency","1984","North Rhine-Westphalia","direct migration background","809","0.851875958761849","0.829203782891233","0.874548134632466"
"Very low transfer dependency","1984","North Rhine-Westphalia","indirect migration background","37","0.985882968852369","0.948857535004902","1.02290840269984"
"Very low transfer dependency","1984","Hesse","no migration background","734","0.967806312359402","0.955265220444967","0.980347404273837"
"Very low transfer dependency","1984","Hesse","direct migration background","407","0.862614392005765","0.831458467736085","0.893770316275445"
"Very low transfer dependency","1984","Hesse","indirect migration background","11","","",""
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","no migration background","668","0.963222411743876","0.949219341465548","0.977225482022203"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","direct migration background","145","0.949298810302656","0.914536156850761","0.98406146375455"
"Very low transfer dependency","1984","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"Very low transfer dependency","1984","Baden-Württemberg","no migration background","1300","0.971281297769896","0.962348962756616","0.980213632783176"
"Very low transfer dependency","1984","Baden-Württemberg","direct migration background","818","0.93602100314892","0.91993460844202","0.95210739785582"
"Very low transfer dependency","1984","Baden-Württemberg","indirect migration background","29","","",""
"Very low transfer dependency","1984","Bavaria","no migration background","1532","0.957344772088685","0.947458537966589","0.967231006210781"
"Very low transfer dependency","1984","Bavaria","direct migration background","426","0.930341749796601","0.906899109391572","0.95378439020163"
"Very low transfer dependency","1984","Bavaria","indirect migration background","25","","",""
"Very low transfer dependency","1984","Berlin","no migration background","279","0.961710451137502","0.939662720770138","0.983758181504866"
"Very low transfer dependency","1984","Berlin","direct migration background","111","0.929278952023976","0.882424963704462","0.976132940343491"
"Very low transfer dependency","1984","Berlin","indirect migration background","2","","",""
"Very low transfer dependency","1984","Brandenburg","no migration background","","","",""
"Very low transfer dependency","1984","Brandenburg","direct migration background","","","",""
"Very low transfer dependency","1984","Brandenburg","indirect migration background","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Very low transfer dependency","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
