"transab_cat2","year","migback","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","no migration background","70","0.00813593828341179","0.00624110079265895","0.0100307757741646","2"
"High transfer dependency","1984","indirect migration background","","","","","2"
"High transfer dependency","1984","direct migration background","63","0.0189934427225961","0.0143909639302445","0.0235959215149477","2"
"Low transfer dependency","1984","no migration background","269","0.029428335318305","0.0258635061645151","0.0329931644720949","1"
"Low transfer dependency","1984","direct migration background","228","0.0513583834468316","0.0439160220653722","0.0588007448282909","1"
"Low transfer dependency","1984","indirect migration background","9","","","","1"
"Very high transfer dependency","1984","no migration background","129","0.0152812014458092","0.012693721850247","0.0178686810413715","3"
"Very high transfer dependency","1984","direct migration background","85","0.0368390446205316","0.030487818004753","0.0431902712363102","3"
"Very high transfer dependency","1984","indirect migration background","3","","","","3"
"Very low transfer dependency","1984","no migration background","8166","0.947154524952474","0.942435455259529","0.951873594645419","0"
"Very low transfer dependency","1984","direct migration background","3003","0.892809129210041","0.882378459205208","0.903239799214873","0"
"Very low transfer dependency","1984","indirect migration background","115","0.941440911761623","0.900605219972502","0.982276603550745","0"
"High transfer dependency","1985","no migration background","73","0.0100709475622119","0.00787983092041324","0.0122620642040106","2"
"High transfer dependency","1985","direct migration background","59","0.0217233841049694","0.0164394914780949","0.027007276731844","2"
"High transfer dependency","1985","indirect migration background","2","","","","2"
"Low transfer dependency","1985","direct migration background","151","0.0417490594720148","0.0344993202996023","0.0489987986444274","1"
"Low transfer dependency","1985","no migration background","198","0.0226918221664706","0.0194238470040607","0.0259597973288806","1"
"Low transfer dependency","1985","indirect migration background","7","","","","1"
"Very high transfer dependency","1985","no migration background","131","0.016717450461683","0.0139039144170569","0.0195309865063091","3"
"Very high transfer dependency","1985","direct migration background","58","0.026253060286718","0.0204578069231607","0.0320483136502753","3"
"Very high transfer dependency","1985","indirect migration background","1","","","","3"
"Very low transfer dependency","1985","no migration background","7575","0.950519779809635","0.945760681390824","0.955278878228445","0"
"Very low transfer dependency","1985","direct migration background","2656","0.910274496136298","0.899915836882488","0.920633155390107","0"
"Very low transfer dependency","1985","indirect migration background","134","0.935157153865035","0.894937328575864","0.975376979154207","0"
"High transfer dependency","1986","direct migration background","51","0.0132201177008125","0.00901576284984538","0.0174244725517797","2"
"High transfer dependency","1986","no migration background","70","0.0106523489795361","0.00834418305539813","0.0129605149036742","2"
"High transfer dependency","1986","indirect migration background","1","","","","2"
"Low transfer dependency","1986","no migration background","184","0.024518014064068","0.0210408743560081","0.0279951537721278","1"
"Low transfer dependency","1986","direct migration background","140","0.0437644297361831","0.0362340887250151","0.0512947707473511","1"
"Low transfer dependency","1986","indirect migration background","5","","","","1"
"Very high transfer dependency","1986","no migration background","106","0.0152265056320658","0.0124733030516388","0.0179797082124929","3"
"Very high transfer dependency","1986","direct migration background","63","0.0300177386197292","0.0237365412333452","0.0362989360061132","3"
"Very high transfer dependency","1986","indirect migration background","1","","","","3"
"Very low transfer dependency","1986","no migration background","7239","0.94960313132433","0.94468451763294","0.95452174501572","0"
"Very low transfer dependency","1986","direct migration background","2581","0.912997713943275","0.90262310497587","0.92337232291068","0"
"Very low transfer dependency","1986","indirect migration background","148","0.947066800928819","0.911818627286812","0.982314974570827","0"
"High transfer dependency","1987","no migration background","60","0.00823028510921702","0.00618189126937367","0.0102786789490604","2"
"High transfer dependency","1987","direct migration background","53","0.0155209038170216","0.0109674607624334","0.0200743468716098","2"
"High transfer dependency","1987","indirect migration background","","","","","2"
"Low transfer dependency","1987","no migration background","214","0.0279312678741381","0.0241953750235637","0.0316671607247126","1"
"Low transfer dependency","1987","direct migration background","118","0.0363499239330874","0.0294556332662325","0.0432442145999424","1"
"Low transfer dependency","1987","indirect migration background","10","","","","1"
"Very high transfer dependency","1987","no migration background","91","0.0137862081531148","0.0111425301865499","0.0164298861196796","3"
"Very high transfer dependency","1987","direct migration background","52","0.0246311199693693","0.0189215331185322","0.0303407068202064","3"
"Very high transfer dependency","1987","indirect migration background","2","","","","3"
"Very low transfer dependency","1987","no migration background","7108","0.95005223886353","0.945113314721078","0.954991163005982","0"
"Very low transfer dependency","1987","direct migration background","2608","0.923498052280522","0.913706931805001","0.933289172756043","0"
"Very low transfer dependency","1987","indirect migration background","164","0.947400179005945","0.914420181275069","0.98038017673682","0"
"High transfer dependency","1988","no migration background","53","0.00732761046062354","0.00534210815921206","0.00931311276203503","2"
"High transfer dependency","1988","direct migration background","28","","","","2"
"High transfer dependency","1988","indirect migration background","4","","","","2"
"Low transfer dependency","1988","no migration background","157","0.0229808589710848","0.0194925021555813","0.0264692157865882","1"
"Low transfer dependency","1988","direct migration background","136","0.0426557271936246","0.0349834862857661","0.0503279681014831","1"
"Low transfer dependency","1988","indirect migration background","10","","","","1"
"Very high transfer dependency","1988","no migration background","91","0.015172213427446","0.012326502018704","0.0180179248361881","3"
"Very high transfer dependency","1988","direct migration background","59","0.0274736962394895","0.0212677400032003","0.0336796524757788","3"
"Very high transfer dependency","1988","indirect migration background","6","","","","3"
"Very low transfer dependency","1988","no migration background","6787","0.954519317140846","0.949668754853364","0.959369879428327","0"
"Very low transfer dependency","1988","direct migration background","2442","0.922541227783136","0.912392124304209","0.932690331262063","0"
"Very low transfer dependency","1988","indirect migration background","202","0.926665803595389","0.892374306902484","0.960957300288293","0"
"High transfer dependency","1989","no migration background","58","0.0105608279383539","0.00813566849536719","0.0129859873813407","2"
"High transfer dependency","1989","direct migration background","42","0.0134311293515391","0.00899620797588428","0.0178660507271939","2"
"High transfer dependency","1989","indirect migration background","2","","","","2"
"Low transfer dependency","1989","no migration background","149","0.0199077938789987","0.0165938755680937","0.0232217121899037","1"
"Low transfer dependency","1989","direct migration background","129","0.0421878850220776","0.0344432671356793","0.0499325029084759","1"
"Low transfer dependency","1989","indirect migration background","12","","","","1"
"Very high transfer dependency","1989","no migration background","90","0.0156990881842057","0.012749930992151","0.0186482453762605","3"
"Very high transfer dependency","1989","indirect migration background","4","","","","3"
"Very high transfer dependency","1989","direct migration background","54","0.0232941399451445","0.0174828680984719","0.029105411791817","3"
"Very low transfer dependency","1989","no migration background","6528","0.953832289998442","0.948853750694783","0.9588108293021","0"
"Very low transfer dependency","1989","direct migration background","2363","0.921086845681239","0.910699826186277","0.931473865176201","0"
"Very low transfer dependency","1989","indirect migration background","239","0.920552228426572","0.887488897320302","0.953615559532843","0"
"High transfer dependency","1990","no migration background","55","0.00958614281668716","0.00724354235767589","0.0119287432756984","2"
"High transfer dependency","1990","direct migration background","44","0.0153321692826154","0.0105415446004217","0.020122793964809","2"
"High transfer dependency","1990","indirect migration background","","","","","2"
"Low transfer dependency","1990","no migration background","135","0.0197548062670084","0.0164092243290702","0.0231003882049466","1"
"Low transfer dependency","1990","direct migration background","99","0.033535596700694","0.0265163352275302","0.0405548581738578","1"
"Low transfer dependency","1990","indirect migration background","13","","","","1"
"Very high transfer dependency","1990","no migration background","55","0.0101296215046965","0.00772219135141149","0.0125370516579814","3"
"Very high transfer dependency","1990","indirect migration background","4","","","","3"
"Very high transfer dependency","1990","direct migration background","58","0.0256722859811028","0.0195059061993106","0.0318386657628949","3"
"Very low transfer dependency","1990","no migration background","6401","0.960529429411608","0.955848199593744","0.965210659229472","0"
