"transab_cat2","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1985","Rural Area","Female","8","","",""
"High transfer dependency","1985","Rural Area","Male","7","","",""
"High transfer dependency","1985","Urban Area","Female","67","0.0150360468987137","0.0114608801857334","0.018611213611694"
"High transfer dependency","1985","Urban Area","Male","52","0.0105519202135","0.00750212295783818","0.0136017174691619"
"Low transfer dependency","1985","Rural Area","Female","47","0.0359104206932167","0.0251983035363646","0.0466225378500687"
"Low transfer dependency","1985","Rural Area","Male","40","0.0308073763961735","0.0207011128282964","0.0409136399640506"
"Low transfer dependency","1985","Urban Area","Female","134","0.0223143021955636","0.0179750930811569","0.0266535113099704"
"Low transfer dependency","1985","Urban Area","Male","135","0.0211890009666277","0.0168905361554935","0.0254874657777618"
"Very high transfer dependency","1985","Rural Area","Female","25","","",""
"Very high transfer dependency","1985","Rural Area","Male","20","","",""
"Very high transfer dependency","1985","Urban Area","Female","88","0.0200388925022797","0.0159220848932863","0.0241557001112732"
"Very high transfer dependency","1985","Urban Area","Male","57","0.0130557330910235","0.00966763745524034","0.0164438287268068"
"Very low transfer dependency","1985","Rural Area","Female","1079","0.936690481791512","0.922670775000266","0.950710188582758"
"Very low transfer dependency","1985","Rural Area","Male","1056","0.944796808851048","0.931439790775565","0.95815382692653"
"Very low transfer dependency","1985","Urban Area","Female","4162","0.942610758403443","0.935777926560967","0.949443590245919"
"Very low transfer dependency","1985","Urban Area","Male","4068","0.955203345728849","0.949029163804957","0.96137752765274"
"High transfer dependency","1986","Rural Area","Female","16","","",""
"High transfer dependency","1986","Rural Area","Male","12","","",""
"High transfer dependency","1986","Urban Area","Female","53","0.0111787610845212","0.00801451912640585","0.0143430030426365"
"High transfer dependency","1986","Urban Area","Male","41","0.00790994415264086","0.00522253293568287","0.0105973553695989"
"Low transfer dependency","1986","Rural Area","Female","44","0.0320770581509861","0.0217112239243555","0.0424428923776168"
"Low transfer dependency","1986","Rural Area","Male","41","0.0335550470331552","0.0227346109447053","0.0443754831216051"
"Low transfer dependency","1986","Urban Area","Female","119","0.0227890059631743","0.0182977188602404","0.0272802930661082"
"Low transfer dependency","1986","Urban Area","Male","125","0.0264418533791216","0.0215744340473722","0.0313092727108711"
"Very high transfer dependency","1986","Rural Area","Female","16","","",""
"Very high transfer dependency","1986","Rural Area","Male","13","","",""
"Very high transfer dependency","1986","Urban Area","Female","84","0.0209712622350614","0.0166588133522997","0.0252837111178231"
"Very high transfer dependency","1986","Urban Area","Male","57","0.0140089473513811","0.0104435239780657","0.0175743707246964"
"Very low transfer dependency","1986","Rural Area","Female","1034","0.936982677220747","0.922687736560992","0.951277617880503"
"Very low transfer dependency","1986","Rural Area","Male","998","0.940392497702926","0.926166513667103","0.954618481738749"
"Very low transfer dependency","1986","Urban Area","Female","3985","0.945060970717243","0.938203177912661","0.951918763521825"
"Very low transfer dependency","1986","Urban Area","Male","3951","0.951639255116856","0.94513115037916","0.958147359854553"
"High transfer dependency","1987","Rural Area","Female","11","","",""
"High transfer dependency","1987","Rural Area","Male","13","","",""
"High transfer dependency","1987","Urban Area","Female","46","0.00825362906258537","0.00551286745320675","0.010994390671964"
"High transfer dependency","1987","Urban Area","Male","43","0.00785082571824277","0.00516404650611307","0.0105376049303725"
"Low transfer dependency","1987","Rural Area","Female","47","0.0378844488266347","0.0266226527746536","0.0491462448786158"
"Low transfer dependency","1987","Rural Area","Male","32","0.0269107363679569","0.0170993793980931","0.0367220933378206"
"Low transfer dependency","1987","Urban Area","Female","137","0.0293975210342613","0.0242804136368324","0.0345146284316903"
"Low transfer dependency","1987","Urban Area","Male","126","0.0260488483539204","0.0211998875334581","0.0308978091743826"
"Very high transfer dependency","1987","Rural Area","Female","19","","",""
"Very high transfer dependency","1987","Rural Area","Male","13","","",""
"Very high transfer dependency","1987","Urban Area","Female","64","0.0154882885352661","0.0117475217124583","0.019229055358074"
"Very high transfer dependency","1987","Urban Area","Male","49","0.0130358273235564","0.00958275386776236","0.0164889007793504"
"Very low transfer dependency","1987","Rural Area","Female","1027","0.934230771399315","0.919608931904876","0.948852610893754"
"Very low transfer dependency","1987","Rural Area","Male","987","0.943949734232537","0.930003620001115","0.957895848463958"
"Very low transfer dependency","1987","Urban Area","Female","3939","0.946860561367887","0.940065396880485","0.953655725855289"
"Very low transfer dependency","1987","Urban Area","Male","3927","0.95306449860428","0.946625805864731","0.95950319134383"
"High transfer dependency","1988","Rural Area","Female","10","","",""
"High transfer dependency","1988","Rural Area","Male","11","","",""
"High transfer dependency","1988","Urban Area","Female","36","0.00871774377541567","0.00584229236891146","0.0115931951819199"
"High transfer dependency","1988","Urban Area","Male","28","","",""
"Low transfer dependency","1988","Rural Area","Female","39","0.033760822650455","0.0227361021019986","0.0447855431989114"
