"transab_cat2","year","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","133","0.00912920366528515","0.00743734644163723","0.0108210608889331","2"
"Low transfer dependency","1984","506","0.0316022419271652","0.0284903494549469","0.0347141343993835","1"
"Very high transfer dependency","1984","217","0.017279097776267","0.0149610927385976","0.0195971028139365","3"
"Very low transfer dependency","1984","11284","0.941989456631283","0.937831162212805","0.94614775104976","0"
"High transfer dependency","1985","134","0.0111544940483386","0.00919585507904336","0.0131131330176339","2"
"Low transfer dependency","1985","356","0.0245461294473501","0.0216603701125619","0.0274318887821383","1"
"Very high transfer dependency","1985","190","0.0176616684952708","0.0152051974987721","0.0201181394917694","3"
"Very low transfer dependency","1985","10365","0.94663770800904","0.942446160737962","0.950829255280119","0"
"High transfer dependency","1986","122","0.0108640834154098","0.00888963792451086","0.0128385289063088","2"
"Low transfer dependency","1986","329","0.0264425976007245","0.0233865968505496","0.0294985983508994","1"
"Very high transfer dependency","1986","170","0.0167545480573277","0.014309890972175","0.0191992051424804","3"
"Very low transfer dependency","1986","9968","0.945938770926538","0.941631570437849","0.950245971415227","0"
"High transfer dependency","1987","113","0.00893391612623326","0.0071323936197194","0.0107354386327471","2"
"Low transfer dependency","1987","342","0.0289335245161423","0.0257243554278395","0.0321426936044451","1"
"Very high transfer dependency","1987","145","0.0148540266717707","0.0125380198051836","0.0171700335383577","3"
"Very low transfer dependency","1987","9880","0.947278532685854","0.942999948892506","0.951557116479201","0"
"High transfer dependency","1988","85","0.00752861595326191","0.00583229429357637","0.00922493761294746","2"
"Low transfer dependency","1988","303","0.0249788398531957","0.0219162785470782","0.0280414011593132","1"
"Very high transfer dependency","1988","156","0.0164130319331855","0.013919629212327","0.0189064346540441","3"
"Very low transfer dependency","1988","9431","0.951079512260357","0.946846539817274","0.95531248470344","0"
"High transfer dependency","1989","102","0.0108342156111672","0.00877088826620574","0.0128975429561286","2"
"Low transfer dependency","1989","290","0.0226744500765031","0.019707413762742","0.0256414863902642","1"
"Very high transfer dependency","1989","148","0.0164836546516132","0.0139458838370746","0.0190214254661517","3"
"Very low transfer dependency","1989","9130","0.950007679660717","0.945664077312258","0.954351282009175","0"
"High transfer dependency","1990","99","0.0101428254548712","0.00812421031855685","0.0121614405911855","2"
"Low transfer dependency","1990","247","0.0214841260787111","0.0185631327456572","0.024405119411765","1"
"Very high transfer dependency","1990","117","0.0118832924115611","0.00970025944002355","0.0140663253830986","3"
"Very low transfer dependency","1990","9002","0.956489756054857","0.952379927525862","0.960599584583852","0"
"High transfer dependency","1991","91","0.00925149656481119","0.00731937742180729","0.0111836157078151","2"
"Low transfer dependency","1991","280","0.0245691965747552","0.0214449888231877","0.0276934043263226","1"
"Very high transfer dependency","1991","111","0.0120516118838332","0.00984951768931082","0.0142537060783557","3"
"Very low transfer dependency","1991","8950","0.9541276949766","0.949905631798455","0.958349758154746","0"
"High transfer dependency","1992","168","0.0114919973052735","0.0096824508176633","0.0133015437928838","2"
"Low transfer dependency","1992","642","0.0324868250905782","0.0294768425873818","0.0354968075937747","1"
"Very high transfer dependency","1992","158","0.0131493764339025","0.0112153599057369","0.0150833929620681","3"
"Very low transfer dependency","1992","12359","0.942871801170246","0.938931463128018","0.946812139212474","0"
"High transfer dependency","1993","212","0.0135495893805025","0.0115695999437933","0.0155295788172117","2"
"Low transfer dependency","1993","784","0.0406822992991313","0.037298955340015","0.0440656432582476","1"
"Very high transfer dependency","1993","204","0.0152004157982174","0.0131050307553878","0.0172958008410471","3"
"Very low transfer dependency","1993","11897","0.930567695522149","0.926214411997643","0.934920979046654","0"
"High transfer dependency","1994","229","0.0155365691907347","0.0133999884871477","0.0176731498943218","2"
"Low transfer dependency","1994","777","0.0410071418782071","0.0375812047968862","0.0444330789595281","1"
"Very high transfer dependency","1994","236","0.0201415699205733","0.0177145671522205","0.0225685726889261","3"
"Very low transfer dependency","1994","11629","0.923314719010485","0.918717736706431","0.927911701314538","0"
"High transfer dependency","1995","248","0.0159818825345191","0.0138490919386552","0.0181146731303829","2"
"Low transfer dependency","1995","767","0.0422306899055261","0.0388102871372879","0.0456510926737643","1"
"Very high transfer dependency","1995","335","0.0267955365587438","0.0240491227270967","0.0295419503903909","3"
"Very low transfer dependency","1995","11931","0.914991891001211","0.91024869028422","0.919735091718202","0"
"High transfer dependency","1996","306","0.0199072948734097","0.017508467875002","0.0223061218718173","2"
"Low transfer dependency","1996","836","0.0487794811422739","0.0450801908036009","0.052478771480947","1"
"Very high transfer dependency","1996","332","0.024871631940649","0.0221971340381731","0.027546129843125","3"
"Very low transfer dependency","1996","11551","0.906441592043667","0.90144043434664","0.911442749740695","0"
"High transfer dependency","1997","320","0.0229254984683844","0.0203325118731822","0.0255184850635866","2"
"Low transfer dependency","1997","991","0.0605465616937324","0.0564145702741971","0.0646785531132678","1"
"Very high transfer dependency","1997","355","0.0296925472285029","0.0267518152134729","0.0326332792435328","3"
"Very low transfer dependency","1997","11132","0.88683539260938","0.881346890226188","0.892323894992573","0"
"High transfer dependency","1998","323","0.0194534739588541","0.0171825686763472","0.021724379241361","2"
"Low transfer dependency","1998","1051","0.0570878751738814","0.0532730566444715","0.0609026937032913","1"
"Very high transfer dependency","1998","394","0.0310270972102432","0.0281761267125","0.0338780677079863","3"
"Very low transfer dependency","1998","12441","0.892431553657021","0.887337116134494","0.897525991179549","0"
"High transfer dependency","1999","316","0.0189022476742827","0.0166189000789875","0.0211855952695778","2"
"Low transfer dependency","1999","978","0.0546566128136099","0.0508452936664671","0.0584679319607527","1"
"Very high transfer dependency","1999","321","0.0248411850591279","0.0222315306714257","0.0274508394468301","3"
