"transab_cat2","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","no migration background","West Germany","70","0.00813593828341179","0.00624110079265895","0.0100307757741646","2"
"High transfer dependency","1984","no migration background","East Germany","","","","","2"
"High transfer dependency","1984","direct migration background","East Germany","","","","","2"
"High transfer dependency","1984","direct migration background","West Germany","63","0.0189934427225961","0.0143909639302445","0.0235959215149477","2"
"High transfer dependency","1984","indirect migration background","West Germany","","","","","2"
"High transfer dependency","1984","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1984","no migration background","East Germany","","","","","1"
"Low transfer dependency","1984","no migration background","West Germany","269","0.029428335318305","0.0258635061645151","0.0329931644720949","1"
"Low transfer dependency","1984","direct migration background","West Germany","228","0.0513583834468316","0.0439160220653722","0.0588007448282909","1"
"Low transfer dependency","1984","direct migration background","East Germany","","","","","1"
"Low transfer dependency","1984","indirect migration background","West Germany","9","","","","1"
"Low transfer dependency","1984","indirect migration background","East Germany","","","","","1"
"Very high transfer dependency","1984","no migration background","West Germany","129","0.0152812014458092","0.012693721850247","0.0178686810413715","3"
"Very high transfer dependency","1984","no migration background","East Germany","","","","","3"
"Very high transfer dependency","1984","direct migration background","West Germany","85","0.0368390446205316","0.030487818004753","0.0431902712363102","3"
"Very high transfer dependency","1984","indirect migration background","West Germany","3","","","","3"
"Very high transfer dependency","1984","direct migration background","East Germany","","","","","3"
"Very high transfer dependency","1984","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1984","no migration background","West Germany","8166","0.947154524952474","0.942435455259529","0.951873594645419","0"
"Very low transfer dependency","1984","no migration background","East Germany","","","","","0"
"Very low transfer dependency","1984","direct migration background","West Germany","3003","0.892809129210041","0.882378459205208","0.903239799214873","0"
"Very low transfer dependency","1984","direct migration background","East Germany","","","","","0"
"Very low transfer dependency","1984","indirect migration background","West Germany","115","0.941440911761623","0.900605219972502","0.982276603550745","0"
"Very low transfer dependency","1984","indirect migration background","East Germany","","","","","0"
"High transfer dependency","1985","no migration background","West Germany","73","0.0100709475622119","0.00787983092041324","0.0122620642040106","2"
"High transfer dependency","1985","no migration background","East Germany","","","","","2"
"High transfer dependency","1985","direct migration background","West Germany","59","0.0217233841049694","0.0164394914780949","0.027007276731844","2"
"High transfer dependency","1985","direct migration background","East Germany","","","","","2"
"High transfer dependency","1985","indirect migration background","West Germany","2","","","","2"
"High transfer dependency","1985","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1985","no migration background","West Germany","198","0.0226918221664706","0.0194238470040607","0.0259597973288806","1"
"Low transfer dependency","1985","no migration background","East Germany","","","","","1"
"Low transfer dependency","1985","direct migration background","East Germany","","","","","1"
