"transab_cat2","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","(0) in school","169","0.905356117539053","0.863401160399893","0.947311074678214"
"Very low transfer dependency","1984","(1a) inadequately completed","953","0.824546946556894","0.802080075604032","0.847013817509755"
"Very low transfer dependency","1984","(1b) general elementary school","2741","0.931890079691974","0.922847719517987","0.940932439865961"
"Very low transfer dependency","1984","(1c) basic vocational qualification","4009","0.950041137194877","0.943488206518179","0.956594067871576"
"Very low transfer dependency","1984","(2b) intermediate general qualification","451","0.958676547063854","0.940758392711794","0.976594701415914"
"Very low transfer dependency","1984","(2a) intermediate vocational","1354","0.963819956463837","0.954062569202709","0.973577343724965"
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","357","0.888532931548089","0.858033166693155","0.919032696403024"
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","409","0.919398631857141","0.89427496919325","0.944522294521032"
"Very low transfer dependency","1984","(3a) lower tertiary education","255","0.954934202472223","0.930004475190894","0.979863929753551"
"Very low transfer dependency","1984","(3b) higher tertiary education","507","0.967619178145489","0.952492227624929","0.982746128666049"
"Low transfer dependency","1984","(0) in school","15","","",""
"Low transfer dependency","1984","(1a) inadequately completed","94","0.106166362719946","0.087970349320747","0.124362376119145"
"Low transfer dependency","1984","(1b) general elementary school","135","0.0333952138099566","0.0269466818553316","0.0398437457645816"
"Low transfer dependency","1984","(1c) basic vocational qualification","151","0.0293415821768475","0.0242654482370715","0.0344177161166235"
"Low transfer dependency","1984","(2b) intermediate general qualification","15","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","32","0.0211622653481112","0.0136419254186897","0.0286826052775327"
"Low transfer dependency","1984","(2c_gen) general maturity certificate","20","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","19","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","6","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","12","","",""
"High transfer dependency","1984","(0) in school","1","","",""
"High transfer dependency","1984","(1a) inadequately completed","17","","",""
"High transfer dependency","1984","(1b) general elementary school","44","0.012873792348847","0.00882771796632893","0.0169198667313651"
"High transfer dependency","1984","(1c) basic vocational qualification","29","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1984","(2a) intermediate vocational","8","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","15","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","11","","",""
"High transfer dependency","1984","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","4","","",""
"Very high transfer dependency","1984","(0) in school","2","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","37","0.0453691083110567","0.0330762664332047","0.0576619501889086"
"Very high transfer dependency","1984","(1b) general elementary school","62","0.0218409141492226","0.0165948400085822","0.027086988289863"
"Very high transfer dependency","1984","(1c) basic vocational qualification","57","0.0139580367660038","0.0104293105503371","0.0174867629816706"
"Very high transfer dependency","1984","(2b) intermediate general qualification","6","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","13","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","17","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","12","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","5","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","3","","",""
"Very low transfer dependency","1985","(0) in school","173","0.929543847590316","0.892864492637389","0.966223202543242"
"Very low transfer dependency","1985","(1a) inadequately completed","813","0.863964423051142","0.841641134489469","0.886287711612815"
"Very low transfer dependency","1985","(1b) general elementary school","2425","0.929350161366269","0.91954223890429","0.939158083828248"
"Very low transfer dependency","1985","(1c) basic vocational qualification","3635","0.952497115335434","0.94575875932181","0.959235471349057"
"Very low transfer dependency","1985","(2b) intermediate general qualification","443","0.949773531892651","0.930111188732008","0.969435875053294"
"Very low transfer dependency","1985","(2a) intermediate vocational","1303","0.974126178844328","0.965629061899226","0.982623295789429"
"Very low transfer dependency","1985","(2c_gen) general maturity certificate","325","0.886225612638874","0.853957688847981","0.918493536429766"
"Very low transfer dependency","1985","(2c_voc) vocational maturity certificate","377","0.921921304361495","0.89607722174193","0.947765386981061"
"Very low transfer dependency","1985","(3a) lower tertiary education","239","0.963076312368618","0.939606742227383","0.986545882509853"
"Very low transfer dependency","1985","(3b) higher tertiary education","503","0.991993524425498","0.984258919896488","0.999728128954507"
"Low transfer dependency","1985","(0) in school","8","","",""
"Low transfer dependency","1985","(1a) inadequately completed","54","0.0777254806752156","0.0602915302990172","0.095159431051414"
"Low transfer dependency","1985","(1b) general elementary school","100","0.0318968276372718","0.0251706812541339","0.0386229740204098"
"Low transfer dependency","1985","(1c) basic vocational qualification","108","0.0240614871770279","0.0192070980318171","0.0289158763222388"
"Low transfer dependency","1985","(2b) intermediate general qualification","15","","",""
"Low transfer dependency","1985","(2a) intermediate vocational","19","","",""
"Low transfer dependency","1985","(2c_gen) general maturity certificate","13","","",""
"Low transfer dependency","1985","(2c_voc) vocational maturity certificate","19","","",""
"Low transfer dependency","1985","(3a) lower tertiary education","4","","",""
"Low transfer dependency","1985","(3b) higher tertiary education","6","","",""
"High transfer dependency","1985","(0) in school","2","","",""
"High transfer dependency","1985","(1a) inadequately completed","11","","",""
"High transfer dependency","1985","(1b) general elementary school","35","0.012407152786883","0.00817016921185479","0.0166441363619112"
"High transfer dependency","1985","(1c) basic vocational qualification","37","0.00959154973179226","0.00650400195570298","0.0126790975078815"
"High transfer dependency","1985","(2b) intermediate general qualification","9","","",""
"High transfer dependency","1985","(2a) intermediate vocational","4","","",""
"High transfer dependency","1985","(2c_gen) general maturity certificate","20","","",""
"High transfer dependency","1985","(2c_voc) vocational maturity certificate","11","","",""
"High transfer dependency","1985","(3a) lower tertiary education","3","","",""
"High transfer dependency","1985","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1985","(0) in school","4","","",""
"Very high transfer dependency","1985","(1a) inadequately completed","28","","",""
"Very high transfer dependency","1985","(1b) general elementary school","62","0.0263458582095759","0.020215437491976","0.0324762789271758"
"Very high transfer dependency","1985","(1c) basic vocational qualification","48","0.0138498477557462","0.0101476795288933","0.017552015982599"
"Very high transfer dependency","1985","(2b) intermediate general qualification","7","","",""
"Very high transfer dependency","1985","(2a) intermediate vocational","15","","",""
"Very high transfer dependency","1985","(2c_gen) general maturity certificate","14","","",""
"Very high transfer dependency","1985","(2c_voc) vocational maturity certificate","7","","",""
"Very high transfer dependency","1985","(3a) lower tertiary education","2","","",""
"Very high transfer dependency","1985","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1986","(0) in school","180","0.952676584256773","0.922325098612514","0.983028069901031"
"Very low transfer dependency","1986","(1a) inadequately completed","745","0.866777968917615","0.843893104527656","0.889662833307574"
"Very low transfer dependency","1986","(1b) general elementary school","2301","0.933858310691142","0.924049198757395","0.94366742262489"
"Very low transfer dependency","1986","(1c) basic vocational qualification","3457","0.952795616132733","0.945887098862685","0.95970413340278"
"Very low transfer dependency","1986","(2b) intermediate general qualification","437","0.951964845250301","0.932486697851686","0.971442992648915"
"Very low transfer dependency","1986","(2a) intermediate vocational","1264","0.966011943435497","0.956188478226856","0.975835408644139"
"Very low transfer dependency","1986","(2c_gen) general maturity certificate","361","0.895403808000779","0.865525020245802","0.925282595755755"
"Very low transfer dependency","1986","(2c_voc) vocational maturity certificate","374","0.915971737470081","0.889150370469117","0.942793104471045"
"Very low transfer dependency","1986","(3a) lower tertiary education","236","0.946667543746566","0.918588968046088","0.974746119447045"
"Very low transfer dependency","1986","(3b) higher tertiary education","490","0.979147664836153","0.966635551409993","0.991659778262313"
"Low transfer dependency","1986","(0) in school","3","","",""
"Low transfer dependency","1986","(1a) inadequately completed","58","0.0590929719101785","0.04321307575199","0.0749728680683669"
"Low transfer dependency","1986","(1b) general elementary school","74","0.0267573077261495","0.0203881304453868","0.0331264850069122"
"Low transfer dependency","1986","(1c) basic vocational qualification","94","0.0253373322004729","0.0202181402485145","0.0304565241524313"
"Low transfer dependency","1986","(2b) intermediate general qualification","16","","",""
"Low transfer dependency","1986","(2a) intermediate vocational","29","","",""
"Low transfer dependency","1986","(2c_gen) general maturity certificate","15","","",""
"Low transfer dependency","1986","(2c_voc) vocational maturity certificate","20","","",""
"Low transfer dependency","1986","(3a) lower tertiary education","6","","",""
"Low transfer dependency","1986","(3b) higher tertiary education","4","","",""
"High transfer dependency","1986","(0) in school","2","","",""
"High transfer dependency","1986","(1a) inadequately completed","19","","",""
"High transfer dependency","1986","(1b) general elementary school","37","0.0151514080782846","0.0103301232770691","0.0199726928795001"
"High transfer dependency","1986","(1c) basic vocational qualification","32","0.0103102254580703","0.00701960776515441","0.0136008431509863"
"High transfer dependency","1986","(2b) intermediate general qualification","6","","",""
"High transfer dependency","1986","(2a) intermediate vocational","6","","",""
"High transfer dependency","1986","(2c_gen) general maturity certificate","8","","",""
"High transfer dependency","1986","(2c_voc) vocational maturity certificate","8","","",""
"High transfer dependency","1986","(3a) lower tertiary education","","","",""
"High transfer dependency","1986","(3b) higher tertiary education","3","","",""
"Very high transfer dependency","1986","(0) in school","3","","",""
"Very high transfer dependency","1986","(1a) inadequately completed","25","","",""
"Very high transfer dependency","1986","(1b) general elementary school","54","0.0242329735044234","0.0181638220170927","0.0303021249917542"
"Very high transfer dependency","1986","(1c) basic vocational qualification","37","0.0115568262087242","0.00807514542743424","0.0150385069900142"
"Very high transfer dependency","1986","(2b) intermediate general qualification","4","","",""
"Very high transfer dependency","1986","(2a) intermediate vocational","8","","",""
"Very high transfer dependency","1986","(2c_gen) general maturity certificate","19","","",""
"Very high transfer dependency","1986","(2c_voc) vocational maturity certificate","9","","",""
"Very high transfer dependency","1986","(3a) lower tertiary education","4","","",""
"Very high transfer dependency","1986","(3b) higher tertiary education","4","","",""
"Very low transfer dependency","1987","(0) in school","177","0.942297415638393","0.909053756454539","0.975541074822248"
"Very low transfer dependency","1987","(1a) inadequately completed","738","0.885154986573351","0.86331904760723","0.906990925539471"
"Very low transfer dependency","1987","(1b) general elementary school","2269","0.931679302070225","0.921678886902665","0.941679717237784"
