"transab_cat2","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","16-34 y.","West Germany","68","0.0143024341317474","0.0108547056743025","0.0177501625891923","2"
"High transfer dependency","1984","16-34 y.","East Germany","","","","","2"
"High transfer dependency","1984","35-65 y.","East Germany","","","","","2"
"High transfer dependency","1984","35-65 y.","West Germany","61","0.00773988290669368","0.00557759572150005","0.00990217009188731","2"
"High transfer dependency","1984","66 and older","West Germany","4","","","","2"
"High transfer dependency","1984","66 and older","East Germany","","","","","2"
"Low transfer dependency","1984","16-34 y.","East Germany","","","","","1"
"Low transfer dependency","1984","16-34 y.","West Germany","234","0.0469852659698907","0.0408407612005215","0.0531297707392599","1"
"Low transfer dependency","1984","35-65 y.","West Germany","254","0.0280258461102092","0.02395354262318","0.0320981495972384","1"
"Low transfer dependency","1984","35-65 y.","East Germany","","","","","1"
"Low transfer dependency","1984","66 and older","West Germany","18","","","","1"
"Low transfer dependency","1984","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1984","16-34 y.","West Germany","118","0.0279013434186391","0.0231191849650115","0.0326835018722667","3"
"Very high transfer dependency","1984","16-34 y.","East Germany","","","","","3"
"Very high transfer dependency","1984","35-65 y.","West Germany","93","0.0148836753907839","0.0118960078816677","0.0178713428999001","3"
"Very high transfer dependency","1984","66 and older","West Germany","6","","","","3"
"Very high transfer dependency","1984","35-65 y.","East Germany","","","","","3"
"Very high transfer dependency","1984","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1984","16-34 y.","West Germany","4136","0.910810956479723","0.902534849236447","0.919087063722999","0"
"Very low transfer dependency","1984","16-34 y.","East Germany","","","","","0"
"Very low transfer dependency","1984","35-65 y.","West Germany","5902","0.949350595592313","0.943940139257612","0.954761051927015","0"
"Very low transfer dependency","1984","35-65 y.","East Germany","","","","","0"
"Very low transfer dependency","1984","66 and older","West Germany","1246","0.979608681422708","0.971847776830464","0.987369586014953","0"
"Very low transfer dependency","1984","66 and older","East Germany","","","","","0"
"High transfer dependency","1985","16-34 y.","West Germany","71","0.0155316649013948","0.0117758635617015","0.019287466241088","2"
"High transfer dependency","1985","16-34 y.","East Germany","","","","","2"
"High transfer dependency","1985","35-65 y.","West Germany","53","0.00822556250439315","0.00589405029637073","0.0105570747124156","2"
"High transfer dependency","1985","35-65 y.","East Germany","","","","","2"
"High transfer dependency","1985","66 and older","West Germany","10","","","","2"
"High transfer dependency","1985","66 and older","East Germany","","","","","2"
"Low transfer dependency","1985","16-34 y.","West Germany","170","0.0333368114903664","0.0278843532194169","0.0387892697613158","1"
"Low transfer dependency","1985","16-34 y.","East Germany","","","","","1"
"Low transfer dependency","1985","35-65 y.","East Germany","","","","","1"
"Low transfer dependency","1985","35-65 y.","West Germany","175","0.0240365355860372","0.0200828589031163","0.027990212268958","1"
"Low transfer dependency","1985","66 and older","West Germany","11","","","","1"
"Low transfer dependency","1985","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1985","16-34 y.","West Germany","98","0.0264404235026058","0.0215672912189305","0.031313555786281","3"
"Very high transfer dependency","1985","16-34 y.","East Germany","","","","","3"
"Very high transfer dependency","1985","35-65 y.","West Germany","86","0.0163766608563753","0.0131004222368467","0.0196528994759039","3"
"Very high transfer dependency","1985","66 and older","West Germany","6","","","","3"
"Very high transfer dependency","1985","35-65 y.","East Germany","","","","","3"
"Very high transfer dependency","1985","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1985","16-34 y.","West Germany","3825","0.924691100105633","0.916675902733675","0.932706297477591","0"
"Very low transfer dependency","1985","16-34 y.","East Germany","","","","","0"
"Very low transfer dependency","1985","35-65 y.","West Germany","5451","0.951361241053194","0.945808436279284","0.956914045827105","0"
"Very low transfer dependency","1985","35-65 y.","East Germany","","","","","0"
"Very low transfer dependency","1985","66 and older","West Germany","1089","0.975051165271341","0.965900454481668","0.984201876061014","0"
"Very low transfer dependency","1985","66 and older","East Germany","","","","","0"
"High transfer dependency","1986","16-34 y.","West Germany","56","0.0134329402574732","0.0098979646145814","0.0169679159003651","2"
"High transfer dependency","1986","16-34 y.","East Germany","","","","","2"
"High transfer dependency","1986","35-65 y.","West Germany","58","0.00990336633472528","0.00727972018941764","0.0125270124800329","2"
"High transfer dependency","1986","35-65 y.","East Germany","","","","","2"
"High transfer dependency","1986","66 and older","West Germany","8","","","","2"
"High transfer dependency","1986","66 and older","East Germany","","","","","2"
"Low transfer dependency","1986","16-34 y.","West Germany","161","0.0374999352535658","0.031666112616621","0.0433337578905107","1"
"Low transfer dependency","1986","16-34 y.","East Germany","","","","","1"
"Low transfer dependency","1986","35-65 y.","West Germany","160","0.0257841684460035","0.0215848461971402","0.0299834906948668","1"
"Low transfer dependency","1986","35-65 y.","East Germany","","","","","1"
"Low transfer dependency","1986","66 and older","West Germany","8","","","","1"
"Low transfer dependency","1986","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1986","16-34 y.","West Germany","87","0.0244704777068299","0.0197261026829174","0.0292148527307425","3"
"Very high transfer dependency","1986","16-34 y.","East Germany","","","","","3"
"Very high transfer dependency","1986","35-65 y.","West Germany","81","0.0167751211115111","0.0133723376887936","0.0201779045342285","3"
"Very high transfer dependency","1986","66 and older","West Germany","2","","","","3"
"Very high transfer dependency","1986","35-65 y.","East Germany","","","","","3"
"Very high transfer dependency","1986","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1986","16-34 y.","West Germany","3770","0.924596646782131","0.916488734052115","0.932704559512147","0"
"Very low transfer dependency","1986","16-34 y.","East Germany","","","","","0"
"Very low transfer dependency","1986","35-65 y.","West Germany","5173","0.94753734410776","0.94162991728393","0.953444770931591","0"
"Very low transfer dependency","1986","35-65 y.","East Germany","","","","","0"
"Very low transfer dependency","1986","66 and older","West Germany","1025","0.981946375302978","0.973865990792089","0.990026759813866","0"
"Very low transfer dependency","1986","66 and older","East Germany","","","","","0"
"High transfer dependency","1987","16-34 y.","East Germany","","","","","2"
"High transfer dependency","1987","16-34 y.","West Germany","48","0.0113320465998572","0.00806207069032417","0.0146020225093901","2"
"High transfer dependency","1987","35-65 y.","East Germany","","","","","2"
"High transfer dependency","1987","35-65 y.","West Germany","61","0.00978427804988595","0.00715189056989195","0.01241666552988","2"
"High transfer dependency","1987","66 and older","West Germany","4","","","","2"
