"transab_cat2","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1985","Rural Area","15","","","","2"
"High transfer dependency","1985","Urban Area","119","0.0129320678861783","0.0105665338869645","0.015297601885392","2"
"Low transfer dependency","1985","Rural Area","87","0.0334848678096049","0.0261038051132795","0.0408659305059302","1"
"Low transfer dependency","1985","Urban Area","269","0.0217863041404978","0.0187297623660087","0.024842845914987","1"
"Very high transfer dependency","1985","Urban Area","145","0.0167623524145698","0.0140744195441659","0.0194502852849737","3"
"Very high transfer dependency","1985","Rural Area","45","0.0205744438547818","0.0147501934403353","0.0263986942692284","3"
"Very low transfer dependency","1985","Urban Area","8230","0.948519275558754","0.943892620833422","0.953145930284086","0"
"Very low transfer dependency","1985","Rural Area","2135","0.940543539658588","0.930841138020665","0.95024594129651","0"
"High transfer dependency","1986","Rural Area","28","","","","2"
"High transfer dependency","1986","Urban Area","94","0.00963274021705526","0.00754587648111361","0.0117196039529969","2"
"Low transfer dependency","1986","Rural Area","85","0.0327756789745576","0.0252912654660191","0.0402600924830961","1"
"Low transfer dependency","1986","Urban Area","244","0.0245166580306992","0.0212124940369165","0.027820822024482","1"
"Very high transfer dependency","1986","Urban Area","141","0.0176783632075693","0.0148627764622309","0.0204939499529078","3"
"Very high transfer dependency","1986","Rural Area","29","","","","3"
"Very low transfer dependency","1986","Urban Area","7936","0.948172238544676","0.943435865790221","0.952908611299131","0"
"Very low transfer dependency","1986","Rural Area","2032","0.938594442790996","0.928502816751268","0.948686068830724","0"
"High transfer dependency","1987","Rural Area","24","","","","2"
"High transfer dependency","1987","Urban Area","89","0.00806321301856338","0.00614279581032943","0.00998363022679734","2"
"Low transfer dependency","1987","Urban Area","263","0.0278145128158075","0.0242834144218597","0.0313456112097553","1"
"Low transfer dependency","1987","Rural Area","79","0.0326938056975136","0.025175073674169","0.0402125377208583","1"
"Very high transfer dependency","1987","Rural Area","32","0.0166184939050247","0.0112136054861627","0.0220233823238866","3"
"Very high transfer dependency","1987","Urban Area","113","0.0143289437368427","0.0117769910727571","0.0168808964009284","3"
"Very low transfer dependency","1987","Urban Area","7866","0.949793330428786","0.945104173271139","0.954482487586434","0"
"Very low transfer dependency","1987","Rural Area","2014","0.938827909135738","0.928695807406466","0.94896001086501","0"
"High transfer dependency","1988","Rural Area","21","","","","2"
"High transfer dependency","1988","Urban Area","64","0.00728103782645315","0.00541277573612304","0.00914929991678326","2"
"Low transfer dependency","1988","Rural Area","69","0.0299380013628435","0.022506380348576","0.037369622377111","1"
"Low transfer dependency","1988","Urban Area","234","0.0235194055149121","0.020189185109061","0.0268496259207632","1"
"Very high transfer dependency","1988","Rural Area","34","0.0203980847593211","0.0142336690985767","0.0265625004200656","3"
"Very high transfer dependency","1988","Urban Area","122","0.0152402685692536","0.012548179344081","0.0179323577944262","3"
"Very low transfer dependency","1988","Urban Area","7535","0.953959288089381","0.949353924377469","0.958564651801293","0"
"Very low transfer dependency","1988","Rural Area","1896","0.941294026834197","0.931042791500704","0.95154526216769","0"
"High transfer dependency","1989","Rural Area","18","","","","2"
"High transfer dependency","1989","Urban Area","84","0.0102911698972568","0.00804572021801783","0.0125366195764958","2"
"Low transfer dependency","1989","Rural Area","49","0.0209823663393836","0.0145546915236119","0.0274100411551554","1"
"Low transfer dependency","1989","Urban Area","241","0.0231585989350043","0.0198121407701676","0.026505057099841","1"
"Very high transfer dependency","1989","Rural Area","37","0.0213209917177053","0.0148427783974621","0.0277992050379486","3"
"Very high transfer dependency","1989","Urban Area","111","0.0150995675834867","0.0123862811109347","0.0178128540560386","3"
"Very low transfer dependency","1989","Rural Area","1806","0.944964500095039","0.934737209124694","0.955191791065384","0"
"Very low transfer dependency","1989","Urban Area","7324","0.951450663584252","0.94666874677788","0.956232580390625","0"
"High transfer dependency","1990","Urban Area","86","0.0102701343323083","0.00799642602508772","0.0125438426395288","2"
"High transfer dependency","1990","Rural Area","13","","","","2"
"Low transfer dependency","1990","Rural Area","57","0.0297696793741926","0.0221518955010927","0.0373874632472925","1"
"Low transfer dependency","1990","Urban Area","190","0.0191051948940734","0.0160179199939201","0.0221924697942266","1"
"Very high transfer dependency","1990","Rural Area","20","","","","3"
"Very high transfer dependency","1990","Urban Area","97","0.0125484768820984","0.0100380836919705","0.0150588700722262","3"
"Very low transfer dependency","1990","Rural Area","1822","0.950964369137183","0.941285109198502","0.960643629075864","0"
"Very low transfer dependency","1990","Urban Area","7180","0.95807619389152","0.953556399019649","0.962595988763391","0"
"High transfer dependency","1991","Urban Area","70","0.00789800325784328","0.00589359574077105","0.00990241077491551","2"
"High transfer dependency","1991","Rural Area","21","","","","2"
"Low transfer dependency","1991","Rural Area","56","0.0233461497746445","0.0166268318072241","0.0300654677420648","1"
"Low transfer dependency","1991","Urban Area","224","0.0249328184881275","0.0214021888384941","0.028463448137761","1"
"Very high transfer dependency","1991","Rural Area","27","","","","3"
"Very high transfer dependency","1991","Urban Area","84","0.012029256012212","0.00956071337548704","0.0144977986489369","3"
"Very low transfer dependency","1991","Rural Area","1836","0.950723056058592","0.941091507421112","0.960354604696072","0"
"Very low transfer dependency","1991","Urban Area","7114","0.955139922241817","0.950452730535237","0.959827113948398","0"
"High transfer dependency","1992","Urban Area","106","0.0104506845066943","0.00832453325317362","0.0125768357602151","2"
"High transfer dependency","1992","Rural Area","60","0.0138425628284101","0.0103989041393048","0.0172862215175155","2"
"Low transfer dependency","1992","Urban Area","327","0.0246561532270364","0.0214139173939483","0.0278983890601245","1"
"Low transfer dependency","1992","Rural Area","307","0.0496478186232756","0.0432455912242122","0.0560500460223391","1"
"Very high transfer dependency","1992","Rural Area","46","0.0124664073157416","0.00919612446398802","0.0157366901674952","3"
"Very high transfer dependency","1992","Urban Area","112","0.0135566142029738","0.0111388454084077","0.0159743829975399","3"
"Very low transfer dependency","1992","Rural Area","4009","0.924043211232573","0.916234701424854","0.931851721040291","0"
"Very low transfer dependency","1992","Urban Area","8243","0.951336548063295","0.946838007779648","0.955835088346943","0"
"High transfer dependency","1993","Urban Area","127","0.0115485518931078","0.00930708587903977","0.0137900179071758","2"
"High transfer dependency","1993","Rural Area","85","0.0181587602617028","0.0141994384635782","0.0221180820598274","2"
"Low transfer dependency","1993","Urban Area","387","0.0307216593755108","0.0271014198044719","0.0343418989465497","1"
"Low transfer dependency","1993","Rural Area","397","0.0636255433829024","0.0563878930109701","0.0708631937548347","1"
"Very high transfer dependency","1993","Rural Area","69","0.0163407832161453","0.0125814066000764","0.0201001598322142","3"
"Very high transfer dependency","1993","Urban Area","135","0.0147053337082944","0.0121800438746678","0.0172306235419209","3"
"Very low transfer dependency","1993","Rural Area","3818","0.90187491313925","0.893053863844288","0.910695962434211","0"
"Very low transfer dependency","1993","Urban Area","8079","0.943024455023087","0.938161542650846","0.947887367395328","0"
"High transfer dependency","1994","Rural Area","89","0.0193421245409984","0.0152121885860913","0.0234720604959056","2"
"High transfer dependency","1994","Urban Area","140","0.0139156506757019","0.011439751766028","0.0163915495853757","2"
"Low transfer dependency","1994","Urban Area","450","0.0347689421640153","0.0308969408223045","0.0386409435057261","1"
"Low transfer dependency","1994","Rural Area","327","0.0556530442343012","0.0487785187858098","0.0625275696827926","1"
"Very high transfer dependency","1994","Rural Area","80","0.0213843532524785","0.0170463826292234","0.0257223238757335","3"
"Very high transfer dependency","1994","Urban Area","156","0.0196122252317043","0.0166814231175643","0.0225430273458442","3"
"Very low transfer dependency","1994","Rural Area","3776","0.903620477972222","0.894770995257569","0.912469960686875","0"
"Very low transfer dependency","1994","Urban Area","7853","0.931703181928579","0.926371513402776","0.937034850454382","0"
"High transfer dependency","1995","Rural Area","101","0.0176873471665471","0.0138158587641997","0.0215588355688945","2"
"High transfer dependency","1995","Urban Area","147","0.0152352493577053","0.0126801490189309","0.0177903496964796","2"
"Low transfer dependency","1995","Urban Area","409","0.0332413423358574","0.0295018276747411","0.0369808569969736","1"
"Low transfer dependency","1995","Rural Area","358","0.0627642193831487","0.0556405748630506","0.0698878639032469","1"
"Very high transfer dependency","1995","Urban Area","225","0.0260002599390414","0.0226806642325952","0.0293198556454877","3"
"Very high transfer dependency","1995","Rural Area","110","0.0286121128772101","0.0237155306699986","0.0335086950844216","3"
"Very low transfer dependency","1995","Rural Area","3884","0.890936320573094","0.881780755619048","0.90009188552714","0"
"Very low transfer dependency","1995","Urban Area","8047","0.925523148367396","0.920046419688782","0.93099987704601","0"
"High transfer dependency","1996","Rural Area","127","0.0227453485940428","0.0183340652587476","0.027156631929338","2"
"High transfer dependency","1996","Urban Area","179","0.0187091318410273","0.0158514263416876","0.021566837340367","2"
"Low transfer dependency","1996","Urban Area","452","0.0392665447689843","0.0351701238518724","0.0433629656860963","1"
