"transab_cat2","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Full Time","(0) in school","1","","",""
"Very low transfer dependency","1984","Full Time","(1a) inadequately completed","566","0.956126015479544","0.939599427815896","0.972652603143191"
"Very low transfer dependency","1984","Full Time","(1b) general elementary school","999","0.978382600223544","0.969501115645973","0.987264084801114"
"Very low transfer dependency","1984","Full Time","(1c) basic vocational qualification","2255","0.982179001790481","0.976775659776567","0.987582343804396"
"Very low transfer dependency","1984","Full Time","(2b) intermediate general qualification","127","0.960386863602011","0.927112952987596","0.993660774216426"
"Very low transfer dependency","1984","Full Time","(2a) intermediate vocational","760","0.990038969111243","0.983015595539522","0.997062342682964"
"Very low transfer dependency","1984","Full Time","(2c_gen) general maturity certificate","74","0.971742374305772","0.935201582824815","1.00828316578673"
"Very low transfer dependency","1984","Full Time","(2c_voc) vocational maturity certificate","236","0.972559161952699","0.95222721580831","0.992891108097087"
"Very low transfer dependency","1984","Full Time","(3a) lower tertiary education","166","0.993674549226664","0.981650308042495","1.00569879041083"
"Very low transfer dependency","1984","Full Time","(3b) higher tertiary education","300","0.996325380434621","0.989489859281285","1.00316090158796"
"Very low transfer dependency","1984","Part Time","(0) in school","9","","",""
"Very low transfer dependency","1984","Part Time","(1a) inadequately completed","94","0.67880811556722","0.595952114209584","0.761664116924855"
"Very low transfer dependency","1984","Part Time","(1b) general elementary school","392","0.905465386498305","0.878251663558087","0.932679109438524"
"Very low transfer dependency","1984","Part Time","(1c) basic vocational qualification","546","0.907163446314458","0.884114996512096","0.930211896116821"
"Very low transfer dependency","1984","Part Time","(2b) intermediate general qualification","100","0.975751992496157","0.946046467587471","1.00545751740484"
"Very low transfer dependency","1984","Part Time","(2a) intermediate vocational","219","0.938833192351654","0.908063563641073","0.969602821062234"
"Very low transfer dependency","1984","Part Time","(2c_gen) general maturity certificate","88","0.881305659112606","0.819145844953746","0.943465473271467"
"Very low transfer dependency","1984","Part Time","(2c_voc) vocational maturity certificate","61","0.834173563069078","0.750000611751297","0.91834651438686"
"Very low transfer dependency","1984","Part Time","(3a) lower tertiary education","36","0.948540545846638","0.878295317243223","1.01878577445005"
"Very low transfer dependency","1984","Part Time","(3b) higher tertiary education","116","0.920088218188598","0.872929024345887","0.967247412031309"
"Very low transfer dependency","1984","Not Working","(0) in school","159","0.899476502029471","0.855177885286366","0.943775118772577"
"Very low transfer dependency","1984","Not Working","(1a) inadequately completed","293","0.726630827094224","0.682340899619991","0.770920754568457"
"Very low transfer dependency","1984","Not Working","(1b) general elementary school","1350","0.919918774064099","0.906219816578635","0.933617731549564"
"Very low transfer dependency","1984","Not Working","(1c) basic vocational qualification","1208","0.92320933584791","0.908921235821784","0.937497435874037"
"Very low transfer dependency","1984","Not Working","(2b) intermediate general qualification","224","0.950944430875253","0.92356207127645","0.978326790474056"
"Very low transfer dependency","1984","Not Working","(2a) intermediate vocational","375","0.933196496665409","0.908909643712268","0.957483349618551"
"Very low transfer dependency","1984","Not Working","(2c_gen) general maturity certificate","195","0.874497709628478","0.831306135189763","0.917689284067192"
"Very low transfer dependency","1984","Not Working","(2c_voc) vocational maturity certificate","112","0.880827469992938","0.824699852059376","0.9369550879265"
"Very low transfer dependency","1984","Not Working","(3a) lower tertiary education","53","0.86417909530139","0.778204852174898","0.950153338427883"
"Very low transfer dependency","1984","Not Working","(3b) higher tertiary education","91","0.946222711063512","0.901561428660006","0.990883993467019"
"Low transfer dependency","1984","Full Time","(0) in school","","","",""
"Low transfer dependency","1984","Full Time","(1a) inadequately completed","23","","",""
"Low transfer dependency","1984","Full Time","(1b) general elementary school","28","","",""
"Low transfer dependency","1984","Full Time","(1c) basic vocational qualification","46","0.0166244263407871","0.0114024588438778","0.0218463938376964"
"Low transfer dependency","1984","Full Time","(2b) intermediate general qualification","5","","",""
"Low transfer dependency","1984","Full Time","(2a) intermediate vocational","8","","",""
"Low transfer dependency","1984","Full Time","(2c_gen) general maturity certificate","3","","",""
"Low transfer dependency","1984","Full Time","(2c_voc) vocational maturity certificate","9","","",""
"Low transfer dependency","1984","Full Time","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1984","Full Time","(3b) higher tertiary education","1","","",""
"Low transfer dependency","1984","Part Time","(0) in school","","","",""
"Low transfer dependency","1984","Part Time","(1a) inadequately completed","20","","",""
"Low transfer dependency","1984","Part Time","(1b) general elementary school","33","0.058629877837326","0.0367776205248944","0.0804821351497575"
"Low transfer dependency","1984","Part Time","(1c) basic vocational qualification","49","0.069600215764191","0.049389600341805","0.089810831186577"
"Low transfer dependency","1984","Part Time","(2b) intermediate general qualification","1","","",""
"Low transfer dependency","1984","Part Time","(2a) intermediate vocational","11","","",""
"Low transfer dependency","1984","Part Time","(2c_gen) general maturity certificate","5","","",""
"Low transfer dependency","1984","Part Time","(2c_voc) vocational maturity certificate","7","","",""
"Low transfer dependency","1984","Part Time","(3a) lower tertiary education","2","","",""
"Low transfer dependency","1984","Part Time","(3b) higher tertiary education","9","","",""
"Low transfer dependency","1984","Not Working","(0) in school","15","","",""
"Low transfer dependency","1984","Not Working","(1a) inadequately completed","51","0.138311648380709","0.104005040388742","0.172618256372676"
"Low transfer dependency","1984","Not Working","(1b) general elementary school","74","0.0330997759955026","0.0240705447035351","0.0421290072874701"
"Low transfer dependency","1984","Not Working","(1c) basic vocational qualification","56","0.0312164782415005","0.021884461685499","0.0405484947975021"
"Low transfer dependency","1984","Not Working","(2b) intermediate general qualification","9","","",""
"Low transfer dependency","1984","Not Working","(2a) intermediate vocational","13","","",""
"Low transfer dependency","1984","Not Working","(2c_gen) general maturity certificate","12","","",""
"Low transfer dependency","1984","Not Working","(2c_voc) vocational maturity certificate","3","","",""
"Low transfer dependency","1984","Not Working","(3a) lower tertiary education","3","","",""
"Low transfer dependency","1984","Not Working","(3b) higher tertiary education","2","","",""
"High transfer dependency","1984","Full Time","(0) in school","","","",""
"High transfer dependency","1984","Full Time","(1a) inadequately completed","1","","",""
"High transfer dependency","1984","Full Time","(1b) general elementary school","2","","",""
"High transfer dependency","1984","Full Time","(1c) basic vocational qualification","2","","",""
"High transfer dependency","1984","Full Time","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","Full Time","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","Full Time","(2c_gen) general maturity certificate","1","","",""
"High transfer dependency","1984","Full Time","(2c_voc) vocational maturity certificate","3","","",""
"High transfer dependency","1984","Full Time","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Full Time","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","Part Time","(0) in school","","","",""
"High transfer dependency","1984","Part Time","(1a) inadequately completed","7","","",""
"High transfer dependency","1984","Part Time","(1b) general elementary school","16","","",""
"High transfer dependency","1984","Part Time","(1c) basic vocational qualification","10","","",""
"High transfer dependency","1984","Part Time","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1984","Part Time","(2a) intermediate vocational","3","","",""
"High transfer dependency","1984","Part Time","(2c_gen) general maturity certificate","7","","",""
"High transfer dependency","1984","Part Time","(2c_voc) vocational maturity certificate","5","","",""
"High transfer dependency","1984","Part Time","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Part Time","(3b) higher tertiary education","1","","",""
"High transfer dependency","1984","Not Working","(0) in school","1","","",""
"High transfer dependency","1984","Not Working","(1a) inadequately completed","9","","",""
"High transfer dependency","1984","Not Working","(1b) general elementary school","26","","",""
"High transfer dependency","1984","Not Working","(1c) basic vocational qualification","17","","",""
"High transfer dependency","1984","Not Working","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","Not Working","(2a) intermediate vocational","5","","",""
"High transfer dependency","1984","Not Working","(2c_gen) general maturity certificate","7","","",""
"High transfer dependency","1984","Not Working","(2c_voc) vocational maturity certificate","3","","",""
"High transfer dependency","1984","Not Working","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Not Working","(3b) higher tertiary education","3","","",""
"Very high transfer dependency","1984","Full Time","(0) in school","","","",""
"Very high transfer dependency","1984","Full Time","(1a) inadequately completed","","","",""
"Very high transfer dependency","1984","Full Time","(1b) general elementary school","1","","",""
