"transab_cat2","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","16-34 y.","direct migration background","28","","","","2"
"High transfer dependency","1984","16-34 y.","indirect migration background","","","","","2"
"High transfer dependency","1984","66 and older","no migration background","4","","","","2"
"High transfer dependency","1984","16-34 y.","no migration background","40","0.013313125284286","0.00926219083167941","0.0173640597368926","2"
"High transfer dependency","1984","35-65 y.","direct migration background","35","0.0174119585889268","0.0116271778936562","0.0231967392841974","2"
"High transfer dependency","1984","35-65 y.","indirect migration background","","","","","2"
"High transfer dependency","1984","35-65 y.","no migration background","26","","","","2"
"High transfer dependency","1984","66 and older","direct migration background","","","","","2"
"High transfer dependency","1984","66 and older","indirect migration background","","","","","2"
"Low transfer dependency","1984","16-34 y.","direct migration background","82","0.0525173969892328","0.0407482288824912","0.0642865650959743","1"
"Low transfer dependency","1984","16-34 y.","no migration background","143","0.0459571588160906","0.0385562329263926","0.0533580847057887","1"
"Low transfer dependency","1984","16-34 y.","indirect migration background","9","","","","1"
"Low transfer dependency","1984","35-65 y.","direct migration background","145","0.0535987872032691","0.0436380272325807","0.0635595471739576","1"
"Low transfer dependency","1984","35-65 y.","indirect migration background","","","","","1"
"Low transfer dependency","1984","66 and older","no migration background","17","","","","1"
"Low transfer dependency","1984","66 and older","direct migration background","1","","","","1"
"Low transfer dependency","1984","66 and older","indirect migration background","","","","","1"
"Low transfer dependency","1984","35-65 y.","no migration background","109","0.0248472464127111","0.0202081810211237","0.0294863118042986","1"
"Very high transfer dependency","1984","16-34 y.","no migration background","75","0.0265635948164458","0.0208800047483797","0.032247184884512","3"
"Very high transfer dependency","1984","16-34 y.","indirect migration background","3","","","","3"
"Very high transfer dependency","1984","35-65 y.","no migration background","51","0.0126262432214716","0.00929862954480155","0.0159538568981416","3"
"Very high transfer dependency","1984","35-65 y.","direct migration background","42","0.0329504404533291","0.0250558005183226","0.0408450803883356","3"
"Very high transfer dependency","1984","16-34 y.","direct migration background","40","0.0403205877586369","0.0299420764232918","0.0506990990939821","3"
"Very high transfer dependency","1984","35-65 y.","indirect migration background","","","","","3"
"Very high transfer dependency","1984","66 and older","no migration background","3","","","","3"
"Very high transfer dependency","1984","66 and older","direct migration background","3","","","","3"
"Very high transfer dependency","1984","66 and older","indirect migration background","","","","","3"
"Very low transfer dependency","1984","16-34 y.","no migration background","2817","0.914166121083178","0.904265385507852","0.924066856658503","0"
"Very low transfer dependency","1984","16-34 y.","direct migration background","1230","0.883659140714883","0.866742385368202","0.900575896061564","0"
"Very low transfer dependency","1984","16-34 y.","indirect migration background","89","0.902155691840196","0.844213364639227","0.960098019041164","0"
"Very low transfer dependency","1984","35-65 y.","no migration background","4139","0.955995696190417","0.949883031392606","0.962108360988228","0"
"Very low transfer dependency","1984","35-65 y.","direct migration background","1742","0.896038813754475","0.88254059774841","0.90953702976054","0"
"Very low transfer dependency","1984","35-65 y.","indirect migration background","21","","","","0"
"Very low transfer dependency","1984","66 and older","no migration background","1210","0.980588918677139","0.972891256168175","0.988286581186103","0"
"Very low transfer dependency","1984","66 and older","direct migration background","31","0.931037413875999","0.847090563712244","1.01498426403975","0"
"Very low transfer dependency","1984","66 and older","indirect migration background","5","","","","0"
"High transfer dependency","1985","16-34 y.","direct migration background","32","0.0347723063097161","0.0241608013112268","0.0453838113082054","2"
"High transfer dependency","1985","16-34 y.","indirect migration background","2","","","","2"
