"transab_cat2","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","West Germany","Female","73","0.0104634076083215","0.00792690045190381","0.0129999147647392","2"
"High transfer dependency","1984","West Germany","Male","60","0.00762876671115327","0.00541942906915089","0.00983810435315565","2"
"High transfer dependency","1984","East Germany","Male","","","","","2"
"High transfer dependency","1984","East Germany","Female","","","","","2"
"Low transfer dependency","1984","West Germany","Male","253","0.0327140640411341","0.0281971426970005","0.0372309853852677","1"
"Low transfer dependency","1984","West Germany","Female","253","0.0306135982895053","0.0263193293292984","0.0349078672497122","1"
"Low transfer dependency","1984","East Germany","Male","","","","","1"
"Low transfer dependency","1984","East Germany","Female","","","","","1"
"Very high transfer dependency","1984","West Germany","Male","91","0.0147000791795291","0.0116441597302018","0.0177559986288564","3"
"Very high transfer dependency","1984","West Germany","Female","126","0.0195723875885823","0.0161192549419564","0.0230255202352081","3"
"Very high transfer dependency","1984","East Germany","Male","","","","","3"
"Very high transfer dependency","1984","East Germany","Female","","","","","3"
"Very low transfer dependency","1984","West Germany","Male","5554","0.944957090068184","0.939166076555816","0.950748103580551","0"
"Very low transfer dependency","1984","West Germany","Female","5730","0.939350606513591","0.933400692605382","0.9453005204218","0"
"Very low transfer dependency","1984","East Germany","Male","","","","","0"
"Very low transfer dependency","1984","East Germany","Female","","","","","0"
"High transfer dependency","1985","West Germany","Female","75","0.0127601051884101","0.00982309714301991","0.0156971132338003","2"
"High transfer dependency","1985","East Germany","Female","","","","","2"
"High transfer dependency","1985","West Germany","Male","59","0.00934860848332284","0.00679012728503329","0.0119070896816124","2"
"High transfer dependency","1985","East Germany","Male","","","","","2"
"Low transfer dependency","1985","West Germany","Male","175","0.0234805901697424","0.0194548729895563","0.0275063073499286","1"
"Low transfer dependency","1985","West Germany","Female","181","0.0254934994066949","0.021368976143247","0.0296180226701429","1"
"Low transfer dependency","1985","East Germany","Male","","","","","1"
"Low transfer dependency","1985","East Germany","Female","","","","","1"
"Very high transfer dependency","1985","West Germany","Male","77","0.0144468252086854","0.0112745229779243","0.0176191274394466","3"
"Very high transfer dependency","1985","West Germany","Female","113","0.0205199826069295","0.0168101616973627","0.0242298035164964","3"
"Very high transfer dependency","1985","East Germany","Male","","","","","3"
"Very high transfer dependency","1985","East Germany","Female","","","","","3"
"Very low transfer dependency","1985","West Germany","Male","5124","0.952723976138249","0.947081726000965","0.958366226275534","0"
"Very low transfer dependency","1985","West Germany","Female","5241","0.941226412797965","0.935071742223261","0.94738108337267","0"
"Very low transfer dependency","1985","East Germany","Male","","","","","0"
"Very low transfer dependency","1985","East Germany","Female","","","","","0"
"High transfer dependency","1986","West Germany","Male","53","0.00894272515099153","0.00639325658012102","0.011492193721862","2"
"High transfer dependency","1986","West Germany","Female","69","0.0125878454345426","0.00960070561779394","0.0155749852512912","2"
