"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","57.9","57.9","12231","57.9000015258789","57.9000015258789","57.9000015258789","57.9000015258789","57.9","57.9","57.9000015258789","57.9000015258789"
"1985","59.3","59.3","11087","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605","59.3","59.3","59.2999992370605","59.2999992370605"
"1986","60.6","60.6","10643","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211","60.6","60.6","60.5999984741211","60.5999984741211"
"1987","60.5","60.5","10513","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5"
"1988","60.6","60.6","10022","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211","60.6","60.6","60.5999984741211","60.5999984741211"
"1989","61.4","61.4","9709","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789","61.4","61.4","61.4000015258789","61.4000015258789"
"1990","63.1","63.1","9517","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211","63.1","63.1","63.0999984741211","63.0999984741211"
"1991","64.8","64.8","9505","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578","64.8","64.8","64.8000030517578","64.8000030517578"
"1992","65.15","67.2","13391","57","67.1999969482422","67.1999969482422","67.1999969482422","65.07","65.23","67.1999969482422","67.1999969482422"
"1993","68.77","69.8","13178","64.5999984741211","69.8000030517578","69.8000030517578","69.8000030517578","68.73","68.81","69.8000030517578","69.8000030517578"
"1994","72.14","72.3","12944","71.5","72.3000030517578","72.3000030517578","72.3000030517578","72.13","72.15","72.3000030517578","72.3000030517578"
"1995","74.26","74.3","13370","74.0999984741211","74.3000030517578","74.3000030517578","74.3000030517578","74.26","74.26","74.3000030517578","74.3000030517578"
"1996","75.5","75.5","13125","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5"
"1997","76.58","76.5","12915","76.5","76.5","76.5","76.9000015258789","76.58","76.58","76.5","76.5"
"1998","78.05","77.9","14327","77.9000015258789","77.9000015258789","77.9000015258789","78.6999969482422","78.04","78.06","77.9000015258789","77.9000015258789"
"1999","78.77","78.6","13768","78.5999984741211","78.5999984741211","78.5999984741211","79.5","78.76","78.78","78.5999984741211","78.5999984741211"
"2000","79.23","79.1","24266","79.0999984741211","79.0999984741211","79.0999984741211","79.8000030517578","79.23","79.23","79.0999984741211","79.0999984741211"
"2001","79.9","79.9","22063","79.9000015258789","79.9000015258789","79.9000015258789","79.9000015258789","79.9","79.9","79.9000015258789","79.9000015258789"
"2002","81.5","81.5","23157","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5"
"2003","82.6","82.6","22297","82.5999984741211","82.5999984741211","82.5999984741211","82.5999984741211","82.6","82.6","82.5999984741211","82.5999984741211"
"2004","83.5","83.5","21733","83.5","83.5","83.5","83.5","83.5","83.5","83.5","83.5"
"2005","84.9","84.9","20812","84.9000015258789","84.9000015258789","84.9000015258789","84.9000015258789","84.9","84.9","84.9000015258789","84.9000015258789"
"2006","86.2","86.2","22381","86.1999969482422","86.1999969482422","86.1999969482422","86.1999969482422","86.2","86.2","86.1999969482422","86.1999969482422"
"2007","87.6","87.6","20965","87.5999984741211","87.5999984741211","87.5999984741211","87.5999984741211","87.6","87.6","87.5999984741211","87.5999984741211"
"2008","89.6","89.6","19686","89.5999984741211","89.5999984741211","89.5999984741211","89.5999984741211","89.6","89.6","89.5999984741211","89.5999984741211"
"2009","91.9","91.9","18363","91.9000015258789","91.9000015258789","91.9000015258789","91.9000015258789","91.9","91.9","91.9000015258789","91.9000015258789"
"2010","92.2","92.2","24432","92.1999969482422","92.1999969482422","92.1999969482422","92.1999969482422","92.2","92.2","92.1999969482422","92.1999969482422"
"2011","93.2","93.2","29015","93.1999969482422","93.1999969482422","93.1999969482422","93.1999969482422","93.2","93.2","93.1999969482422","93.1999969482422"
"2012","95.2","95.2","28276","95.1999969482422","95.1999969482422","95.1999969482422","95.1999969482422","95.2","95.2","95.1999969482422","95.1999969482422"
"2013","97.1","97.1","31316","97.0999984741211","97.0999984741211","97.0999984741211","97.0999984741211","97.1","97.1","97.0999984741211","97.0999984741211"
"2014","98.5","98.5","27786","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5"
"2015","99.5","99.5","27512","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5"
"2016","100","100","29401","100","100","100","100","100","100","100","100"
"2017","100.5","100.5","32906","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5"
"2018","102","102","30680","102","102","102","102","102","102","102","102"
"2019","103.8","103.8","30219","103.800003051758","103.800003051758","103.800003051758","103.800003051758","103.8","103.8","103.800003051758","103.800003051758"
