"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Female","57.9","57.9","6232","57.9000015258789","57.9000015258789","57.9000015258789","57.9000015258789","57.9","57.9","57.9000015258789","57.9000015258789"
"1984","Male","57.9","57.9","5999","57.9000015258789","57.9000015258789","57.9000015258789","57.9000015258789","57.9","57.9","57.9000015258789","57.9000015258789"
"1985","Female","59.3","59.3","5632","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605","59.3","59.3","59.2999992370605","59.2999992370605"
"1985","Male","59.3","59.3","5455","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605","59.3","59.3","59.2999992370605","59.2999992370605"
"1986","Female","60.6","60.6","5377","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211","60.6","60.6","60.5999984741211","60.5999984741211"
"1986","Male","60.6","60.6","5266","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211","60.6","60.6","60.5999984741211","60.5999984741211"
"1987","Female","60.5","60.5","5307","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Male","60.5","60.5","5206","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5"
"1988","Female","60.6","60.6","5068","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211","60.6","60.6","60.5999984741211","60.5999984741211"
"1988","Male","60.6","60.6","4954","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211","60.6","60.6","60.5999984741211","60.5999984741211"
"1989","Female","61.4","61.4","4928","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789","61.4","61.4","61.4000015258789","61.4000015258789"
"1989","Male","61.4","61.4","4781","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789","61.4","61.4","61.4000015258789","61.4000015258789"
"1990","Female","63.1","63.1","4827","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211","63.1","63.1","63.0999984741211","63.0999984741211"
"1990","Male","63.1","63.1","4690","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211","63.1","63.1","63.0999984741211","63.0999984741211"
"1991","Female","64.8","64.8","4825","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578","64.8","64.8","64.8000030517578","64.8000030517578"
"1991","Male","64.8","64.8","4680","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578","64.8","64.8","64.8000030517578","64.8000030517578"
"1992","Female","65.16","67.2","6901","57","67.1999969482422","67.1999969482422","67.1999969482422","65.05","65.27","67.1999969482422","67.1999969482422"
"1992","Male","65.15","67.2","6490","57","67.1999969482422","67.1999969482422","67.1999969482422","65.04","65.26","67.1999969482422","67.1999969482422"
"1993","Female","68.77","69.8","6785","64.5999984741211","69.8000030517578","69.8000030517578","69.8000030517578","68.71","68.83","69.8000030517578","69.8000030517578"
"1993","Male","68.77","69.8","6393","64.5999984741211","69.8000030517578","69.8000030517578","69.8000030517578","68.71","68.83","69.8000030517578","69.8000030517578"
"1994","Female","72.14","72.3","6704","71.5","72.3000030517578","72.3000030517578","72.3000030517578","72.13","72.15","72.3000030517578","72.3000030517578"
"1994","Male","72.14","72.3","6240","71.5","72.3000030517578","72.3000030517578","72.3000030517578","72.13","72.15","72.3000030517578","72.3000030517578"
"1995","Female","74.26","74.3","6930","74.0999984741211","74.3000030517578","74.3000030517578","74.3000030517578","74.26","74.26","74.3000030517578","74.3000030517578"
"1995","Male","74.26","74.3","6440","74.0999984741211","74.3000030517578","74.3000030517578","74.3000030517578","74.26","74.26","74.3000030517578","74.3000030517578"
"1996","Female","75.5","75.5","6810","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5"
"1996","Male","75.5","75.5","6315","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5"
"1997","Female","76.57","76.5","6678","76.5","76.5","76.5","76.9000015258789","76.57","76.57","76.5","76.5"
"1997","Male","76.58","76.5","6237","76.5","76.5","76.5","76.9000015258789","76.58","76.58","76.5","76.5"
"1998","Female","78.05","77.9","7411","77.9000015258789","77.9000015258789","77.9000015258789","78.6999969482422","78.04","78.06","77.9000015258789","77.9000015258789"
"1998","Male","78.06","77.9","6916","77.9000015258789","77.9000015258789","77.9000015258789","78.6999969482422","78.05","78.07","77.9000015258789","77.9000015258789"
"1999","Female","78.77","78.6","7123","78.5999984741211","78.5999984741211","78.5999984741211","79.5","78.76","78.78","78.5999984741211","78.5999984741211"
"1999","Male","78.77","78.6","6645","78.5999984741211","78.5999984741211","78.5999984741211","79.5","78.76","78.78","78.5999984741211","78.5999984741211"
"2000","Female","79.23","79.1","12610","79.0999984741211","79.0999984741211","79.0999984741211","79.8000030517578","79.22","79.24","79.0999984741211","79.0999984741211"
"2000","Male","79.23","79.1","11656","79.0999984741211","79.0999984741211","79.0999984741211","79.8000030517578","79.22","79.24","79.0999984741211","79.0999984741211"
"2001","Female","79.9","79.9","11481","79.9000015258789","79.9000015258789","79.9000015258789","79.9000015258789","79.9","79.9","79.9000015258789","79.9000015258789"
"2001","Male","79.9","79.9","10582","79.9000015258789","79.9000015258789","79.9000015258789","79.9000015258789","79.9","79.9","79.9000015258789","79.9000015258789"
"2002","Female","81.5","81.5","11979","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5"
"2002","Male","81.5","81.5","11178","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5"
"2003","Female","82.6","82.6","11566","82.5999984741211","82.5999984741211","82.5999984741211","82.5999984741211","82.6","82.6","82.5999984741211","82.5999984741211"
"2003","Male","82.6","82.6","10731","82.5999984741211","82.5999984741211","82.5999984741211","82.5999984741211","82.6","82.6","82.5999984741211","82.5999984741211"
"2004","Female","83.5","83.5","11304","83.5","83.5","83.5","83.5","83.5","83.5","83.5","83.5"
"2004","Male","83.5","83.5","10429","83.5","83.5","83.5","83.5","83.5","83.5","83.5","83.5"
