"year","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","direct migration background","57.9","57.9","3417","57.9","57.9","57.9000015258789","57.9000015258789","57.9000015258789","57.9000015258789"
"1984","indirect migration background","57.9","57.9","128","57.9","57.9","57.9000015258789","57.9000015258789","57.9000015258789","57.9000015258789"
"1984","no migration background","57.9","57.9","8686","57.9","57.9","57.9000015258789","57.9000015258789","57.9000015258789","57.9000015258789"
"1985","direct migration background","59.3","59.3","2945","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","indirect migration background","59.3","59.3","144","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","no migration background","59.3","59.3","7998","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1986","direct migration background","60.6","60.6","2856","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","indirect migration background","60.6","60.6","156","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","no migration background","60.6","60.6","7631","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1987","direct migration background","60.5","60.5","2843","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","indirect migration background","60.5","60.5","177","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","no migration background","60.5","60.5","7493","60.5","60.5","60.5","60.5","60.5","60.5"
"1988","direct migration background","60.6","60.6","2690","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","indirect migration background","60.6","60.6","224","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","no migration background","60.6","60.6","7108","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1989","direct migration background","61.4","61.4","2606","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","indirect migration background","61.4","61.4","260","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","no migration background","61.4","61.4","6843","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1990","direct migration background","63.1","63.1","2551","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","indirect migration background","63.1","63.1","296","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","no migration background","63.1","63.1","6670","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1991","direct migration background","64.8","64.8","2502","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","indirect migration background","64.8","64.8","349","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","no migration background","64.8","64.8","6654","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1992","direct migration background","66.39","67.2","2571","66.3","66.48","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","indirect migration background","66.88","67.2","411","66.73","67.03","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","no migration background","64.97","67.2","10409","64.88","65.06","57","67.1999969482422","67.1999969482422","67.1999969482422"
"1993","direct migration background","69.42","69.8","2498","69.37","69.47","69.8000030517578","69.8000030517578","69.8000030517578","69.8000030517578"
"1993","indirect migration background","69.62","69.8","476","69.54","69.7","69.8000030517578","69.8000030517578","69.8000030517578","69.8000030517578"
"1993","no migration background","68.67","69.8","10204","68.62","68.72","64.5999984741211","69.8000030517578","69.8000030517578","69.8000030517578"
"1994","direct migration background","72.24","72.3","2374","72.23","72.25","72.3000030517578","72.3000030517578","72.3000030517578","72.3000030517578"
"1994","indirect migration background","72.27","72.3","496","72.26","72.28","72.3000030517578","72.3000030517578","72.3000030517578","72.3000030517578"
"1994","no migration background","72.13","72.3","10074","72.12","72.14","71.5","72.3000030517578","72.3000030517578","72.3000030517578"
"1995","direct migration background","74.29","74.3","2814","74.29","74.29","74.3000030517578","74.3000030517578","74.3000030517578","74.3000030517578"
"1995","indirect migration background","74.29","74.3","513","74.29","74.29","74.3000030517578","74.3000030517578","74.3000030517578","74.3000030517578"
"1995","no migration background","74.26","74.3","10043","74.26","74.26","74.0999984741211","74.3000030517578","74.3000030517578","74.3000030517578"
"1996","direct migration background","75.5","75.5","2621","75.5","75.5","75.5","75.5","75.5","75.5"
"1996","indirect migration background","75.5","75.5","549","75.5","75.5","75.5","75.5","75.5","75.5"
"1996","no migration background","75.5","75.5","9955","75.5","75.5","75.5","75.5","75.5","75.5"
"1997","direct migration background","76.53","76.5","2492","76.53","76.53","76.5","76.5","76.5","76.5"
"1997","indirect migration background","76.52","76.5","575","76.51","76.53","76.5","76.5","76.5","76.5"
"1997","no migration background","76.59","76.5","9848","76.59","76.59","76.5","76.5","76.5","76.9000015258789"
"1998","direct migration background","77.95","77.9","2421","77.94","77.96","77.9000015258789","77.9000015258789","77.9000015258789","77.9000015258789"
"1998","indirect migration background","77.93","77.9","604","77.92","77.94","77.9000015258789","77.9000015258789","77.9000015258789","77.9000015258789"
"1998","no migration background","78.07","77.9","11302","78.06","78.08","77.9000015258789","77.9000015258789","77.9000015258789","78.6999969482422"
"1999","direct migration background","78.65","78.6","2223","78.64","78.66","78.5999984741211","78.5999984741211","78.5999984741211","78.5999984741211"
"1999","indirect migration background","78.63","78.6","612","78.62","78.64","78.5999984741211","78.5999984741211","78.5999984741211","78.5999984741211"
