"plh0109","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","(0) in school","3","","",""
"Very important","1990","Schleswig-Holstein","(1a) inadequately completed","2","","",""
"Very important","1990","Schleswig-Holstein","(1b) general elementary school","25","","",""
"Very important","1990","Schleswig-Holstein","(1c) basic vocational qualification","74","0.655105436616334","0.565870767392548","0.744340105840121"
"Very important","1990","Schleswig-Holstein","(2b) intermediate general qualification","9","","",""
"Very important","1990","Schleswig-Holstein","(2a) intermediate vocational","42","0.765177595400161","0.649965703748012","0.880389487052311"
"Very important","1990","Schleswig-Holstein","(2c_gen) general maturity certificate","5","","",""
"Very important","1990","Schleswig-Holstein","(2c_voc) vocational maturity certificate","7","","",""
"Very important","1990","Schleswig-Holstein","(3a) lower tertiary education","5","","",""
"Very important","1990","Schleswig-Holstein","(3b) higher tertiary education","5","","",""
"Very important","1990","Hamburg","(0) in school","1","","",""
"Very important","1990","Hamburg","(1a) inadequately completed","","","",""
"Very important","1990","Hamburg","(1b) general elementary school","9","","",""
"Very important","1990","Hamburg","(1c) basic vocational qualification","38","0.67234691113552","0.548304389446215","0.796389432824825"
"Very important","1990","Hamburg","(2b) intermediate general qualification","2","","",""
"Very important","1990","Hamburg","(2a) intermediate vocational","13","","",""
"Very important","1990","Hamburg","(2c_gen) general maturity certificate","4","","",""
"Very important","1990","Hamburg","(2c_voc) vocational maturity certificate","4","","",""
"Very important","1990","Hamburg","(3a) lower tertiary education","5","","",""
"Very important","1990","Hamburg","(3b) higher tertiary education","6","","",""
"Very important","1990","Lower Saxony","(0) in school","5","","",""
"Very important","1990","Lower Saxony","(1a) inadequately completed","6","","",""
"Very important","1990","Lower Saxony","(1b) general elementary school","91","0.521813235197576","0.443676621497569","0.599949848897582"
"Very important","1990","Lower Saxony","(1c) basic vocational qualification","226","0.669776066591523","0.61792309677954","0.721629036403506"
"Very important","1990","Lower Saxony","(2b) intermediate general qualification","20","","",""
"Very important","1990","Lower Saxony","(2a) intermediate vocational","114","0.666681066226967","0.593865504256632","0.739496628197303"
