"plh0109","year","e11102","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","1555","0.557233633178677","0.53801485661943","0.576452409737925"
"Very important","1990","Employed","3199","0.680556005770171","0.66694967649713","0.694162335043211"
"Important","1990","Not Employed","682","0.275850662411562","0.2585576421841","0.293143682639024"
"Important","1990","Employed","1086","0.257392400999355","0.244634206094755","0.270150595903954"
"Less important","1990","Not Employed","129","0.0608542319524893","0.0516044464738995","0.0701040174310791"
"Less important","1990","Employed","165","0.0444896697929802","0.0384729614194774","0.0505063781664829"
"Quite unimportant","1990","Not Employed","200","0.106061472457271","0.0941476144795175","0.117975330435024"
"Quite unimportant","1990","Employed","61","0.0175619234374947","0.0137288220184157","0.0213950248565736"
"Very important","1991","Not Employed","","","",""
"Very important","1991","Employed","","","",""
"Important","1991","Not Employed","","","",""
"Important","1991","Employed","","","",""
"Less important","1991","Not Employed","","","",""
"Less important","1991","Employed","","","",""
"Quite unimportant","1991","Not Employed","","","",""
"Quite unimportant","1991","Employed","","","",""
"Very important","1992","Not Employed","2198","0.578412110623808","0.562012478505718","0.594811742741898"
"Very important","1992","Employed","5575","0.713040495562229","0.702769602349968","0.723311388774491"
"Important","1992","Not Employed","819","0.25070043886187","0.236306599882879","0.265094277840861"
"Important","1992","Employed","1547","0.231141737595415","0.221569727696036","0.240713747494794"
"Less important","1992","Not Employed","153","0.0479328134301735","0.0408383163744249","0.0550273104859221"
"Less important","1992","Employed","229","0.0384713330174818","0.034104259077975","0.0428384069569885"
"Quite unimportant","1992","Not Employed","313","0.122954637084148","0.112048904650875","0.133860369517422"
"Quite unimportant","1992","Employed","100","0.017346433824874","0.0143819701815685","0.0203108974681795"
"Very important","1993","Not Employed","","","",""
"Very important","1993","Employed","","","",""
"Important","1993","Not Employed","","","",""
"Important","1993","Employed","","","",""
"Less important","1993","Not Employed","","","",""
"Less important","1993","Employed","","","",""
"Quite unimportant","1993","Not Employed","","","",""
"Quite unimportant","1993","Employed","","","",""
"Very important","1994","Not Employed","","","",""
"Very important","1994","Employed","","","",""
"Important","1994","Not Employed","","","",""
"Important","1994","Employed","","","",""
"Less important","1994","Not Employed","","","",""
"Less important","1994","Employed","","","",""
"Quite unimportant","1994","Not Employed","","","",""
"Quite unimportant","1994","Employed","","","",""
"Very important","1995","Not Employed","2626","0.613047207151205","0.597987411575375","0.628107002727036"
"Very important","1995","Employed","5311","0.711036636754678","0.700534436233456","0.7215388372759"
"Important","1995","Not Employed","944","0.239126639210173","0.225937595898589","0.252315682521758"
"Important","1995","Employed","1517","0.229761839048661","0.220014986630067","0.239508691467255"
"Less important","1995","Not Employed","174","0.0514971652424526","0.0446634936653913","0.0583308368195139"
"Less important","1995","Employed","245","0.0453308644953407","0.0405109829301303","0.050150746060551"
"Quite unimportant","1995","Not Employed","274","0.0963289883961685","0.0872062168341963","0.105451759958141"
"Quite unimportant","1995","Employed","83","0.0138706597013204","0.011160914699759","0.0165804047028817"
"Very important","1996","Not Employed","","","",""
"Very important","1996","Employed","","","",""
"Important","1996","Not Employed","","","",""
"Important","1996","Employed","","","",""
"Less important","1996","Not Employed","","","",""
"Less important","1996","Employed","","","",""
"Quite unimportant","1996","Not Employed","","","",""
"Quite unimportant","1996","Employed","","","",""
"Very important","1997","Not Employed","","","",""
"Very important","1997","Employed","","","",""
"Important","1997","Not Employed","","","",""
"Important","1997","Employed","","","",""
"Less important","1997","Not Employed","","","",""
"Less important","1997","Employed","","","",""
"Quite unimportant","1997","Not Employed","","","",""
"Quite unimportant","1997","Employed","","","",""
"Very important","1998","Not Employed","","","",""
"Very important","1998","Employed","","","",""
"Important","1998","Not Employed","","","",""
"Important","1998","Employed","","","",""
"Less important","1998","Not Employed","","","",""
"Less important","1998","Employed","","","",""
"Quite unimportant","1998","Not Employed","","","",""
"Quite unimportant","1998","Employed","","","",""
"Very important","1999","Not Employed","","","",""
"Very important","1999","Employed","","","",""
"Important","1999","Not Employed","","","",""
"Important","1999","Employed","","","",""
"Less important","1999","Not Employed","","","",""
"Less important","1999","Employed","","","",""
"Quite unimportant","1999","Not Employed","","","",""
"Quite unimportant","1999","Employed","","","",""
"Very important","2000","Not Employed","","","",""
"Very important","2000","Employed","","","",""
"Important","2000","Not Employed","","","",""
"Important","2000","Employed","","","",""
"Less important","2000","Not Employed","","","",""
"Less important","2000","Employed","","","",""
"Quite unimportant","2000","Not Employed","","","",""
"Quite unimportant","2000","Employed","","","",""
"Very important","2001","Not Employed","","","",""
"Very important","2001","Employed","","","",""
"Important","2001","Not Employed","","","",""
"Important","2001","Employed","","","",""
"Less important","2001","Not Employed","","","",""
"Less important","2001","Employed","","","",""
"Quite unimportant","2001","Not Employed","","","",""
"Quite unimportant","2001","Employed","","","",""
"Very important","2002","Not Employed","","","",""
"Very important","2002","Employed","","","",""
"Important","2002","Not Employed","","","",""
"Important","2002","Employed","","","",""
"Less important","2002","Not Employed","","","",""
"Less important","2002","Employed","","","",""
"Quite unimportant","2002","Not Employed","","","",""
"Quite unimportant","2002","Employed","","","",""
"Very important","2003","Not Employed","","","",""
"Very important","2003","Employed","","","",""
"Important","2003","Not Employed","","","",""
"Important","2003","Employed","","","",""
"Less important","2003","Not Employed","","","",""
"Less important","2003","Employed","","","",""
"Quite unimportant","2003","Not Employed","","","",""
"Quite unimportant","2003","Employed","","","",""
"Very important","2004","Not Employed","5007","0.589018444412658","0.578251079151222","0.599785809674094"
"Very important","2004","Employed","9252","0.65626083767866","0.648226917342109","0.664294758015211"
"Important","2004","Not Employed","2236","0.28472808830111","0.274852008865461","0.29460416773676"
"Important","2004","Employed","3497","0.275995473179922","0.268434174563794","0.28355677179605"
"Less important","2004","Not Employed","417","0.060782336530685","0.05555349290446","0.0660111801569099"
"Less important","2004","Employed","524","0.0490669677083266","0.0454131712850807","0.0527207641315725"
"Quite unimportant","2004","Not Employed","361","0.0654711307555468","0.0600579177728797","0.0708843437382138"
"Quite unimportant","2004","Employed","153","0.0186767214330915","0.0163867443256502","0.0209666985405327"
"Very important","2005","Not Employed","","","",""
"Very important","2005","Employed","","","",""
"Important","2005","Not Employed","","","",""
"Important","2005","Employed","","","",""
"Less important","2005","Not Employed","","","",""
"Less important","2005","Employed","","","",""
"Quite unimportant","2005","Not Employed","","","",""
"Quite unimportant","2005","Employed","","","",""
"Very important","2006","Not Employed","","","",""
"Very important","2006","Employed","","","",""
"Important","2006","Not Employed","","","",""
"Important","2006","Employed","","","",""
"Less important","2006","Not Employed","","","",""
"Less important","2006","Employed","","","",""
"Quite unimportant","2006","Not Employed","","","",""
"Quite unimportant","2006","Employed","","","",""
"Very important","2007","Not Employed","","","",""
"Very important","2007","Employed","","","",""
"Important","2007","Not Employed","","","",""
"Important","2007","Employed","","","",""
"Less important","2007","Not Employed","","","",""
"Less important","2007","Employed","","","",""
"Quite unimportant","2007","Not Employed","","","",""
"Quite unimportant","2007","Employed","","","",""
"Very important","2008","Not Employed","4415","0.563028431058798","0.551688100322996","0.574368761794601"
"Very important","2008","Employed","8032","0.64555237077576","0.636945650325277","0.654159091226243"
"Important","2008","Not Employed","2193","0.30101306866197","0.290525829531705","0.311500307792236"
"Important","2008","Employed","3215","0.28325847678083","0.275151318363789","0.291365635197872"
"Less important","2008","Not Employed","376","0.0642365083060669","0.0586310906252257","0.069841925986908"
"Less important","2008","Employed","504","0.0569963048720554","0.0528249612541255","0.0611676484899853"
"Quite unimportant","2008","Not Employed","365","0.0717219919731649","0.0658227098016129","0.0776212741447169"
"Quite unimportant","2008","Employed","115","0.0141928475713545","0.0120645778290308","0.0163211173136782"
"Very important","2009","Not Employed","","","",""
"Very important","2009","Employed","","","",""
"Important","2009","Not Employed","","","",""
"Important","2009","Employed","","","",""
"Less important","2009","Not Employed","","","",""
"Less important","2009","Employed","","","",""
"Quite unimportant","2009","Not Employed","","","",""
"Quite unimportant","2009","Employed","","","",""
"Very important","2010","Not Employed","1604","0.74944887592073","0.730835424400947","0.768062327440512"
"Very important","2010","Employed","3985","0.744645402175084","0.732824015095026","0.756466789255142"
"Important","2010","Not Employed","416","0.215455147668468","0.197794970570921","0.233115324766015"
"Important","2010","Employed","1085","0.225117934012852","0.213795372390115","0.23644049563559"
"Less important","2010","Not Employed","43","0.0246369717955976","0.0179783471136605","0.0312955964775346"
