"plh0109","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","(0) in school","52","0.471841694720518","0.376357023784782","0.567326365656254"
"Very important","1990","(1a) inadequately completed","33","0.518085938657446","0.392694214123891","0.643477663191"
"Very important","1990","(1b) general elementary school","760","0.53076506106529","0.503893896654857","0.557636225475723"
"Very important","1990","(1c) basic vocational qualification","1953","0.669288185448341","0.651694768477363","0.686881602419319"
"Very important","1990","(2b) intermediate general qualification","181","0.585613601705183","0.529494519597037","0.641732683813329"
"Very important","1990","(2a) intermediate vocational","872","0.663378627630147","0.636883618777681","0.689873636482612"
"Very important","1990","(2c_gen) general maturity certificate","152","0.599381748189588","0.538638891938025","0.660124604441152"
"Very important","1990","(2c_voc) vocational maturity certificate","224","0.673947637575671","0.622263020500933","0.725632254650409"
"Very important","1990","(3a) lower tertiary education","168","0.709946171691132","0.651043813916273","0.768848529465991"
"Very important","1990","(3b) higher tertiary education","296","0.661755230368036","0.616828219190366","0.706682241545705"
"Important","1990","(0) in school","41","0.4145264161944","0.320297716154926","0.508755116233873"
"Important","1990","(1a) inadequately completed","15","","",""
"Important","1990","(1b) general elementary school","394","0.31063620261585","0.285719508410109","0.335552896821591"
"Important","1990","(1c) basic vocational qualification","634","0.246485329410515","0.230369221925596","0.262601436895435"
"Important","1990","(2b) intermediate general qualification","85","0.293897975520727","0.242001930572206","0.345794020469248"
"Important","1990","(2a) intermediate vocational","275","0.244514426566352","0.220416603027875","0.26861225010483"
"Important","1990","(2c_gen) general maturity certificate","78","0.306453319117044","0.249305705434841","0.363600932799247"
"Important","1990","(2c_voc) vocational maturity certificate","65","0.21254654452985","0.167439536543078","0.257653552516621"
"Important","1990","(3a) lower tertiary education","50","0.229116750015802","0.174565665099413","0.283667834932191"
"Important","1990","(3b) higher tertiary education","101","0.259139524740187","0.217531381738503","0.300747667741871"
"Less important","1990","(0) in school","8","","",""
"Less important","1990","(1a) inadequately completed","7","","",""
"Less important","1990","(1b) general elementary school","65","0.0550814763396625","0.0427974675284576","0.0673654851508673"
"Less important","1990","(1c) basic vocational qualification","89","0.0442358840031344","0.0365466783408505","0.0519250896654183"
"Less important","1990","(2b) intermediate general qualification","17","","",""
"Less important","1990","(2a) intermediate vocational","38","0.0423566785486127","0.0310645626042187","0.0536487944930066"
"Less important","1990","(2c_gen) general maturity certificate","16","","",""
"Less important","1990","(2c_voc) vocational maturity certificate","22","","",""
"Less important","1990","(3a) lower tertiary education","7","","",""
"Less important","1990","(3b) higher tertiary education","18","","",""
"Quite unimportant","1990","(0) in school","4","","",""
"Quite unimportant","1990","(1a) inadequately completed","6","","",""
"Quite unimportant","1990","(1b) general elementary school","106","0.103517259979198","0.0871144783876519","0.119920041570743"
"Quite unimportant","1990","(1c) basic vocational qualification","71","0.0399906011380088","0.0326634445983661","0.0473177576776515"
"Quite unimportant","1990","(2b) intermediate general qualification","13","","",""
"Quite unimportant","1990","(2a) intermediate vocational","37","0.049750267254888","0.0375595551483513","0.0619409793614247"
"Quite unimportant","1990","(2c_gen) general maturity certificate","4","","",""
"Quite unimportant","1990","(2c_voc) vocational maturity certificate","5","","",""
"Quite unimportant","1990","(3a) lower tertiary education","3","","",""
"Quite unimportant","1990","(3b) higher tertiary education","11","","",""
"Very important","1991","(0) in school","","","",""
"Very important","1991","(1a) inadequately completed","","","",""
"Very important","1991","(1b) general elementary school","","","",""
"Very important","1991","(1c) basic vocational qualification","","","",""
"Very important","1991","(2b) intermediate general qualification","","","",""
"Very important","1991","(2a) intermediate vocational","","","",""
"Very important","1991","(2c_gen) general maturity certificate","","","",""
"Very important","1991","(2c_voc) vocational maturity certificate","","","",""
"Very important","1991","(3a) lower tertiary education","","","",""
"Very important","1991","(3b) higher tertiary education","","","",""
"Important","1991","(0) in school","","","",""
"Important","1991","(1a) inadequately completed","","","",""
"Important","1991","(1b) general elementary school","","","",""
"Important","1991","(1c) basic vocational qualification","","","",""
"Important","1991","(2b) intermediate general qualification","","","",""
"Important","1991","(2a) intermediate vocational","","","",""
"Important","1991","(2c_gen) general maturity certificate","","","",""
"Important","1991","(2c_voc) vocational maturity certificate","","","",""
"Important","1991","(3a) lower tertiary education","","","",""
"Important","1991","(3b) higher tertiary education","","","",""
"Less important","1991","(0) in school","","","",""
"Less important","1991","(1a) inadequately completed","","","",""
"Less important","1991","(1b) general elementary school","","","",""
"Less important","1991","(1c) basic vocational qualification","","","",""
"Less important","1991","(2b) intermediate general qualification","","","",""
"Less important","1991","(2a) intermediate vocational","","","",""
"Less important","1991","(2c_gen) general maturity certificate","","","",""
"Less important","1991","(2c_voc) vocational maturity certificate","","","",""
"Less important","1991","(3a) lower tertiary education","","","",""
"Less important","1991","(3b) higher tertiary education","","","",""
"Quite unimportant","1991","(0) in school","","","",""
"Quite unimportant","1991","(1a) inadequately completed","","","",""
"Quite unimportant","1991","(1b) general elementary school","","","",""
"Quite unimportant","1991","(1c) basic vocational qualification","","","",""
"Quite unimportant","1991","(2b) intermediate general qualification","","","",""
"Quite unimportant","1991","(2a) intermediate vocational","","","",""
"Quite unimportant","1991","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1991","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1991","(3a) lower tertiary education","","","",""
"Quite unimportant","1991","(3b) higher tertiary education","","","",""
"Very important","1992","(0) in school","47","0.451850553102635","0.35281089712646","0.550890209078809"
"Very important","1992","(1a) inadequately completed","75","0.581913410272268","0.498086285141441","0.665740535403094"
"Very important","1992","(1b) general elementary school","883","0.549953702608885","0.524692930638026","0.575214474579744"
"Very important","1992","(1c) basic vocational qualification","2726","0.673495469380045","0.658583830093995","0.688407108666094"
"Very important","1992","(2b) intermediate general qualification","277","0.592512923677875","0.547707257726336","0.637318589629414"
"Very important","1992","(2a) intermediate vocational","1932","0.71910051432212","0.701493409980747","0.736707618663492"
"Very important","1992","(2c_gen) general maturity certificate","189","0.633107589273789","0.576655866603307","0.689559311944271"
"Very important","1992","(2c_voc) vocational maturity certificate","315","0.711124737770369","0.667726794356147","0.754522681184591"
"Very important","1992","(3a) lower tertiary education","688","0.758955093428142","0.730368929170891","0.787541257685393"
"Very important","1992","(3b) higher tertiary education","548","0.684518715932087","0.651216222179917","0.717821209684257"
"Important","1992","(0) in school","40","0.426848300420368","0.328416870441104","0.525279730399631"
"Important","1992","(1a) inadequately completed","35","0.269363954570583","0.193968952541794","0.344758956599371"
"Important","1992","(1b) general elementary school","396","0.277631507625077","0.2548926454116","0.300370369838554"
"Important","1992","(1c) basic vocational qualification","834","0.236686110379851","0.223170009855878","0.250202210903824"
"Important","1992","(2b) intermediate general qualification","135","0.293747800256067","0.252214702762796","0.335280897749339"
"Important","1992","(2a) intermediate vocational","448","0.20871685242818","0.192796144219033","0.224637560637328"
"Important","1992","(2c_gen) general maturity certificate","70","0.279941207999063","0.227353230276296","0.332529185721831"
"Important","1992","(2c_voc) vocational maturity certificate","77","0.203193071511","0.164665460714329","0.24172068230767"
"Important","1992","(3a) lower tertiary education","139","0.196024335624949","0.169492010386944","0.222556660862954"
"Important","1992","(3b) higher tertiary education","156","0.214573496809073","0.185153805777625","0.243993187840521"
"Less important","1992","(0) in school","6","","",""
"Less important","1992","(1a) inadequately completed","11","","",""
"Less important","1992","(1b) general elementary school","73","0.0586522190359699","0.0467213457757026","0.0705830922962372"
"Less important","1992","(1c) basic vocational qualification","95","0.0307977992678194","0.0253039026588835","0.0362916958767552"
"Less important","1992","(2b) intermediate general qualification","29","","",""
"Less important","1992","(2a) intermediate vocational","75","0.0344419701508558","0.0272978154679721","0.0415861248337394"
"Less important","1992","(2c_gen) general maturity certificate","14","","",""
"Less important","1992","(2c_voc) vocational maturity certificate","16","","",""
"Less important","1992","(3a) lower tertiary education","19","","",""
"Less important","1992","(3b) higher tertiary education","36","0.0813137944142584","0.0617270163030549","0.100900572525462"
"Quite unimportant","1992","(0) in school","4","","",""
"Quite unimportant","1992","(1a) inadequately completed","12","","",""
"Quite unimportant","1992","(1b) general elementary school","138","0.113762570730068","0.0976401704463223","0.129884971013814"
"Quite unimportant","1992","(1c) basic vocational qualification","144","0.0590206209722848","0.0515267642635111","0.0665144776810586"
"Quite unimportant","1992","(2b) intermediate general qualification","21","","",""
"Quite unimportant","1992","(2a) intermediate vocational","48","0.0377406630988441","0.0302749981334983","0.0452063280641899"
"Quite unimportant","1992","(2c_gen) general maturity certificate","7","","",""
"Quite unimportant","1992","(2c_voc) vocational maturity certificate","11","","",""
"Quite unimportant","1992","(3a) lower tertiary education","14","","",""
"Quite unimportant","1992","(3b) higher tertiary education","8","","",""
"Very important","1993","(0) in school","","","",""
"Very important","1993","(1a) inadequately completed","","","",""
"Very important","1993","(1b) general elementary school","","","",""
"Very important","1993","(1c) basic vocational qualification","","","",""
"Very important","1993","(2b) intermediate general qualification","","","",""
"Very important","1993","(2a) intermediate vocational","","","",""
"Very important","1993","(2c_gen) general maturity certificate","","","",""
"Very important","1993","(2c_voc) vocational maturity certificate","","","",""
"Very important","1993","(3a) lower tertiary education","","","",""
"Very important","1993","(3b) higher tertiary education","","","",""
"Important","1993","(0) in school","","","",""
"Important","1993","(1a) inadequately completed","","","",""
"Important","1993","(1b) general elementary school","","","",""
"Important","1993","(1c) basic vocational qualification","","","",""
"Important","1993","(2b) intermediate general qualification","","","",""
"Important","1993","(2a) intermediate vocational","","","",""
"Important","1993","(2c_gen) general maturity certificate","","","",""
"Important","1993","(2c_voc) vocational maturity certificate","","","",""
"Important","1993","(3a) lower tertiary education","","","",""
"Important","1993","(3b) higher tertiary education","","","",""
"Less important","1993","(0) in school","","","",""
"Less important","1993","(1a) inadequately completed","","","",""
"Less important","1993","(1b) general elementary school","","","",""
"Less important","1993","(1c) basic vocational qualification","","","",""
"Less important","1993","(2b) intermediate general qualification","","","",""
"Less important","1993","(2a) intermediate vocational","","","",""
"Less important","1993","(2c_gen) general maturity certificate","","","",""
"Less important","1993","(2c_voc) vocational maturity certificate","","","",""
"Less important","1993","(3a) lower tertiary education","","","",""
"Less important","1993","(3b) higher tertiary education","","","",""
"Quite unimportant","1993","(0) in school","","","",""
"Quite unimportant","1993","(1a) inadequately completed","","","",""
"Quite unimportant","1993","(1b) general elementary school","","","",""
"Quite unimportant","1993","(1c) basic vocational qualification","","","",""
"Quite unimportant","1993","(2b) intermediate general qualification","","","",""
"Quite unimportant","1993","(2a) intermediate vocational","","","",""
"Quite unimportant","1993","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1993","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1993","(3a) lower tertiary education","","","",""
"Quite unimportant","1993","(3b) higher tertiary education","","","",""
"Very important","1994","(0) in school","","","",""
"Very important","1994","(1a) inadequately completed","","","",""
"Very important","1994","(1b) general elementary school","","","",""
"Very important","1994","(1c) basic vocational qualification","","","",""
"Very important","1994","(2b) intermediate general qualification","","","",""
"Very important","1994","(2a) intermediate vocational","","","",""
"Very important","1994","(2c_gen) general maturity certificate","","","",""
"Very important","1994","(2c_voc) vocational maturity certificate","","","",""
"Very important","1994","(3a) lower tertiary education","","","",""
"Very important","1994","(3b) higher tertiary education","","","",""
"Important","1994","(0) in school","","","",""
"Important","1994","(1a) inadequately completed","","","",""
"Important","1994","(1b) general elementary school","","","",""
"Important","1994","(1c) basic vocational qualification","","","",""
"Important","1994","(2b) intermediate general qualification","","","",""
"Important","1994","(2a) intermediate vocational","","","",""
"Important","1994","(2c_gen) general maturity certificate","","","",""
"Important","1994","(2c_voc) vocational maturity certificate","","","",""
"Important","1994","(3a) lower tertiary education","","","",""
"Important","1994","(3b) higher tertiary education","","","",""
"Less important","1994","(0) in school","","","",""
"Less important","1994","(1a) inadequately completed","","","",""
"Less important","1994","(1b) general elementary school","","","",""
"Less important","1994","(1c) basic vocational qualification","","","",""
"Less important","1994","(2b) intermediate general qualification","","","",""
"Less important","1994","(2a) intermediate vocational","","","",""
"Less important","1994","(2c_gen) general maturity certificate","","","",""
"Less important","1994","(2c_voc) vocational maturity certificate","","","",""
"Less important","1994","(3a) lower tertiary education","","","",""
"Less important","1994","(3b) higher tertiary education","","","",""
"Quite unimportant","1994","(0) in school","","","",""
"Quite unimportant","1994","(1a) inadequately completed","","","",""
"Quite unimportant","1994","(1b) general elementary school","","","",""
"Quite unimportant","1994","(1c) basic vocational qualification","","","",""
"Quite unimportant","1994","(2b) intermediate general qualification","","","",""
"Quite unimportant","1994","(2a) intermediate vocational","","","",""
"Quite unimportant","1994","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1994","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1994","(3a) lower tertiary education","","","",""
"Quite unimportant","1994","(3b) higher tertiary education","","","",""
"Very important","1995","(0) in school","106","0.478391821132774","0.411307294653507","0.545476347612041"
"Very important","1995","(1a) inadequately completed","78","0.593258509310781","0.509458830996972","0.677058187624589"
"Very important","1995","(1b) general elementary school","857","0.551716439470525","0.525913423379729","0.577519455561321"
"Very important","1995","(1c) basic vocational qualification","2594","0.680662279610102","0.665524929381892","0.695799629838312"
"Very important","1995","(2b) intermediate general qualification","266","0.629988763707352","0.583255079370509","0.676722448044195"
"Very important","1995","(2a) intermediate vocational","2020","0.739632117202098","0.72266597448806","0.756598259916136"
"Very important","1995","(2c_gen) general maturity certificate","241","0.657541126152132","0.608725321635975","0.706356930668288"
"Very important","1995","(2c_voc) vocational maturity certificate","399","0.738520777175008","0.700859313160236","0.77618224118978"
"Very important","1995","(3a) lower tertiary education","615","0.679760658536755","0.6483395327829","0.711181784290609"
"Very important","1995","(3b) higher tertiary education","640","0.694639986822104","0.663858837044777","0.725421136599432"
"Important","1995","(0) in school","84","0.400720202041676","0.334909923803742","0.466530480279611"
"Important","1995","(1a) inadequately completed","36","0.270104564088272","0.194358963969445","0.3458501642071"
"Important","1995","(1b) general elementary school","365","0.256742198945615","0.234077264315905","0.279407133575325"
"Important","1995","(1c) basic vocational qualification","829","0.241188455670846","0.227298395406965","0.255078515934727"
"Important","1995","(2b) intermediate general qualification","106","0.225366970313862","0.184923417350533","0.265810523277191"
"Important","1995","(2a) intermediate vocational","435","0.195557207080456","0.18022283401109","0.210891580149822"
"Important","1995","(2c_gen) general maturity certificate","94","0.270488856858159","0.224792094329641","0.316185619386677"
"Important","1995","(2c_voc) vocational maturity certificate","96","0.187190828610685","0.153761024817699","0.220620632403671"
"Important","1995","(3a) lower tertiary education","188","0.237181840468522","0.208536260810126","0.265827420126918"
"Important","1995","(3b) higher tertiary education","177","0.224192074810562","0.196318921766468","0.252065227854657"
"Less important","1995","(0) in school","17","","",""
"Less important","1995","(1a) inadequately completed","11","","",""
"Less important","1995","(1b) general elementary school","75","0.0648242272900516","0.0520495069236852","0.077598947656418"
"Less important","1995","(1c) basic vocational qualification","107","0.0333551523544202","0.0275250813852861","0.0391852233235543"
"Less important","1995","(2b) intermediate general qualification","26","","",""
"Less important","1995","(2a) intermediate vocational","78","0.042610317124315","0.0348015353862988","0.0504190988623312"
"Less important","1995","(2c_gen) general maturity certificate","23","","",""
"Less important","1995","(2c_voc) vocational maturity certificate","16","","",""
"Less important","1995","(3a) lower tertiary education","26","","",""
"Less important","1995","(3b) higher tertiary education","30","0.0592102665214789","0.0434362003585224","0.0749843326844355"
"Quite unimportant","1995","(0) in school","6","","",""
"Quite unimportant","1995","(1a) inadequately completed","7","","",""
"Quite unimportant","1995","(1b) general elementary school","130","0.126717134293808","0.109457513670614","0.143976754917002"
"Quite unimportant","1995","(1c) basic vocational qualification","114","0.0447941123646321","0.0380780012958108","0.0515102234334533"
"Quite unimportant","1995","(2b) intermediate general qualification","12","","",""
"Quite unimportant","1995","(2a) intermediate vocational","37","0.0222003585931311","0.0165041424412928","0.0278965747449694"
"Quite unimportant","1995","(2c_gen) general maturity certificate","5","","",""
"Quite unimportant","1995","(2c_voc) vocational maturity certificate","12","","",""
"Quite unimportant","1995","(3a) lower tertiary education","18","","",""
"Quite unimportant","1995","(3b) higher tertiary education","13","","",""
"Very important","1996","(0) in school","","","",""
"Very important","1996","(1a) inadequately completed","","","",""
"Very important","1996","(1b) general elementary school","","","",""
"Very important","1996","(1c) basic vocational qualification","","","",""
"Very important","1996","(2b) intermediate general qualification","","","",""
"Very important","1996","(2a) intermediate vocational","","","",""
"Very important","1996","(2c_gen) general maturity certificate","","","",""
"Very important","1996","(2c_voc) vocational maturity certificate","","","",""
"Very important","1996","(3a) lower tertiary education","","","",""
"Very important","1996","(3b) higher tertiary education","","","",""
"Important","1996","(0) in school","","","",""
"Important","1996","(1a) inadequately completed","","","",""
"Important","1996","(1b) general elementary school","","","",""
"Important","1996","(1c) basic vocational qualification","","","",""
"Important","1996","(2b) intermediate general qualification","","","",""
"Important","1996","(2a) intermediate vocational","","","",""
"Important","1996","(2c_gen) general maturity certificate","","","",""
"Important","1996","(2c_voc) vocational maturity certificate","","","",""
"Important","1996","(3a) lower tertiary education","","","",""
"Important","1996","(3b) higher tertiary education","","","",""
"Less important","1996","(0) in school","","","",""
"Less important","1996","(1a) inadequately completed","","","",""
"Less important","1996","(1b) general elementary school","","","",""
"Less important","1996","(1c) basic vocational qualification","","","",""
"Less important","1996","(2b) intermediate general qualification","","","",""
"Less important","1996","(2a) intermediate vocational","","","",""
"Less important","1996","(2c_gen) general maturity certificate","","","",""
"Less important","1996","(2c_voc) vocational maturity certificate","","","",""
"Less important","1996","(3a) lower tertiary education","","","",""
"Less important","1996","(3b) higher tertiary education","","","",""
"Quite unimportant","1996","(0) in school","","","",""
"Quite unimportant","1996","(1a) inadequately completed","","","",""
"Quite unimportant","1996","(1b) general elementary school","","","",""
"Quite unimportant","1996","(1c) basic vocational qualification","","","",""
"Quite unimportant","1996","(2b) intermediate general qualification","","","",""
"Quite unimportant","1996","(2a) intermediate vocational","","","",""
"Quite unimportant","1996","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1996","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1996","(3a) lower tertiary education","","","",""
"Quite unimportant","1996","(3b) higher tertiary education","","","",""
"Very important","1997","(0) in school","","","",""
"Very important","1997","(1a) inadequately completed","","","",""
"Very important","1997","(1b) general elementary school","","","",""
"Very important","1997","(1c) basic vocational qualification","","","",""
"Very important","1997","(2b) intermediate general qualification","","","",""
"Very important","1997","(2a) intermediate vocational","","","",""
"Very important","1997","(2c_gen) general maturity certificate","","","",""
"Very important","1997","(2c_voc) vocational maturity certificate","","","",""
"Very important","1997","(3a) lower tertiary education","","","",""
"Very important","1997","(3b) higher tertiary education","","","",""
"Important","1997","(0) in school","","","",""
"Important","1997","(1a) inadequately completed","","","",""
"Important","1997","(1b) general elementary school","","","",""
"Important","1997","(1c) basic vocational qualification","","","",""
"Important","1997","(2b) intermediate general qualification","","","",""
"Important","1997","(2a) intermediate vocational","","","",""
"Important","1997","(2c_gen) general maturity certificate","","","",""
"Important","1997","(2c_voc) vocational maturity certificate","","","",""
"Important","1997","(3a) lower tertiary education","","","",""
"Important","1997","(3b) higher tertiary education","","","",""
"Less important","1997","(0) in school","","","",""
"Less important","1997","(1a) inadequately completed","","","",""
"Less important","1997","(1b) general elementary school","","","",""
"Less important","1997","(1c) basic vocational qualification","","","",""
"Less important","1997","(2b) intermediate general qualification","","","",""
"Less important","1997","(2a) intermediate vocational","","","",""
"Less important","1997","(2c_gen) general maturity certificate","","","",""
"Less important","1997","(2c_voc) vocational maturity certificate","","","",""
"Less important","1997","(3a) lower tertiary education","","","",""
"Less important","1997","(3b) higher tertiary education","","","",""
"Quite unimportant","1997","(0) in school","","","",""
"Quite unimportant","1997","(1a) inadequately completed","","","",""
"Quite unimportant","1997","(1b) general elementary school","","","",""
