"plh0109","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","Male","844","0.618164450014567","0.591865589115896","0.644463310913238"
"Very important","1990","16-34 y.","Female","1012","0.760384991599478","0.737136917386149","0.783633065812807"
"Very important","1990","35-65 y.","Male","1164","0.663751369838722","0.641227774519795","0.686274965157648"
"Very important","1990","35-65 y.","Female","1225","0.662122325346322","0.640112320033571","0.684132330659074"
"Very important","1990","66 and older","Male","264","0.621017396561874","0.573827764105936","0.668207029017812"
"Very important","1990","66 and older","Female","245","0.350789233702687","0.312636396487408","0.388942070917965"
"Important","1990","16-34 y.","Male","351","0.285137869737439","0.260698762277724","0.309576977197153"
"Important","1990","16-34 y.","Female","229","0.197969162679519","0.176266775194205","0.219671550164832"
"Important","1990","35-65 y.","Male","461","0.278861852452744","0.257481811748752","0.300241893156736"
"Important","1990","35-65 y.","Female","456","0.2720402445433","0.251332082878805","0.292748406207794"
"Important","1990","66 and older","Male","97","0.252004029135541","0.209772340627798","0.294235717643284"
"Important","1990","66 and older","Female","174","0.288457221265638","0.252236918976224","0.324677523555052"
"Less important","1990","16-34 y.","Male","89","0.0750580321331773","0.0607953049600256","0.089320759306329"
"Less important","1990","16-34 y.","Female","38","0.0296329256893297","0.0203972537319652","0.0388685976466941"
"Less important","1990","35-65 y.","Male","46","0.0401680361190269","0.0308065964579656","0.0495294757800881"
"Less important","1990","35-65 y.","Female","47","0.031351776980611","0.0232424388955983","0.0394611150656238"
"Less important","1990","66 and older","Male","20","","",""
"Less important","1990","66 and older","Female","54","0.106696892413072","0.0820145619446497","0.131379222881495"
"Quite unimportant","1990","16-34 y.","Male","27","","",""
"Quite unimportant","1990","16-34 y.","Female","16","","",""
"Quite unimportant","1990","35-65 y.","Male","19","","",""
"Quite unimportant","1990","35-65 y.","Female","46","0.0344856531297669","0.0259944373609851","0.0429768688985488"
"Quite unimportant","1990","66 and older","Male","25","","",""
"Quite unimportant","1990","66 and older","Female","128","0.254056652618603","0.219252660359689","0.288860644877517"
"Very important","1991","16-34 y.","Male","","","",""
"Very important","1991","16-34 y.","Female","","","",""
"Very important","1991","35-65 y.","Male","","","",""
"Very important","1991","35-65 y.","Female","","","",""
"Very important","1991","66 and older","Male","","","",""
"Very important","1991","66 and older","Female","","","",""
"Important","1991","16-34 y.","Male","","","",""
"Important","1991","16-34 y.","Female","","","",""
"Important","1991","35-65 y.","Male","","","",""
"Important","1991","35-65 y.","Female","","","",""
"Important","1991","66 and older","Male","","","",""
"Important","1991","66 and older","Female","","","",""
"Less important","1991","16-34 y.","Male","","","",""
"Less important","1991","16-34 y.","Female","","","",""
"Less important","1991","35-65 y.","Male","","","",""
"Less important","1991","35-65 y.","Female","","","",""
"Less important","1991","66 and older","Male","","","",""
"Less important","1991","66 and older","Female","","","",""
"Quite unimportant","1991","16-34 y.","Male","","","",""
"Quite unimportant","1991","16-34 y.","Female","","","",""
