"pli0092_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","Male","","","",""
"Daily","1985","1-pers.-HH","Female","","","",""
"Daily","1985","(Married) couple without C. ","Male","","","",""
"Daily","1985","(Married) couple without C. ","Female","","","",""
"Daily","1985","Single parent ","Male","","","",""
"Daily","1985","Single parent ","Female","","","",""
"Daily","1985","Couple + C. LE 16 ","Male","","","",""
"Daily","1985","Couple + C. LE 16 ","Female","","","",""
"Daily","1985","Couple + C. GT 16 ","Male","","","",""
"Daily","1985","Couple + C. GT 16 ","Female","","","",""
"Daily","1985","Couple + C. LE and GT 16","Male","","","",""
"Daily","1985","Couple + C. LE and GT 16","Female","","","",""
"Min 1x per week","1985","1-pers.-HH","Male","131","0.290646949154908","0.249376830324451","0.331917067985366"
"Min 1x per week","1985","1-pers.-HH","Female","146","0.182557863622577","0.153920153699247","0.211195573545907"
"Min 1x per week","1985","(Married) couple without C. ","Male","267","0.214019278493024","0.190775062846913","0.237263494139136"
"Min 1x per week","1985","(Married) couple without C. ","Female","194","0.165269739693628","0.144237310653549","0.186302168733707"
"Min 1x per week","1985","Single parent ","Male","60","0.332723820300666","0.264641564443745","0.400806076157588"
"Min 1x per week","1985","Single parent ","Female","67","0.203755467629437","0.161855683848874","0.24565525141"
"Min 1x per week","1985","Couple + C. LE 16 ","Male","336","0.287986752388763","0.263641409662826","0.3123320951147"
"Min 1x per week","1985","Couple + C. LE 16 ","Female","261","0.255978971628729","0.232463000460657","0.2794949427968"
"Min 1x per week","1985","Couple + C. GT 16 ","Male","335","0.304574564988329","0.277352628105687","0.33179650187097"
"Min 1x per week","1985","Couple + C. GT 16 ","Female","201","0.254540082138644","0.226238049114718","0.282842115162571"
"Min 1x per week","1985","Couple + C. LE and GT 16","Male","225","0.313346945181929","0.28130406383263","0.345389826531227"
"Min 1x per week","1985","Couple + C. LE and GT 16","Female","117","0.251558279784886","0.218824624327671","0.284291935242101"
"Min 1x per month","1985","1-pers.-HH","Male","25","","",""
"Min 1x per month","1985","1-pers.-HH","Female","22","","",""
"Min 1x per month","1985","(Married) couple without C. ","Male","52","0.0400286810311501","0.0289191105090169","0.0511382515532832"
"Min 1x per month","1985","(Married) couple without C. ","Female","46","0.0360960889937675","0.0255335912898121","0.0466585866977228"
"Min 1x per month","1985","Single parent ","Male","15","","",""
"Min 1x per month","1985","Single parent ","Female","15","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","Male","87","0.0649384646462011","0.0516902698610277","0.0781866594313745"
"Min 1x per month","1985","Couple + C. LE 16 ","Female","50","0.0429244855428216","0.0320026955620764","0.0538462755235668"
"Min 1x per month","1985","Couple + C. GT 16 ","Male","80","0.0763780502853835","0.0606679727828441","0.092088127787923"
"Min 1x per month","1985","Couple + C. GT 16 ","Female","43","0.0528395852073596","0.0383044570863254","0.0673747133283938"
"Min 1x per month","1985","Couple + C. LE and GT 16","Male","53","0.073848429614312","0.0557824374802756","0.0919144217483484"
"Min 1x per month","1985","Couple + C. LE and GT 16","Female","18","","",""
"Rarely","1985","1-pers.-HH","Male","59","0.122131605398927","0.0923704111596717","0.151892799638183"
"Rarely","1985","1-pers.-HH","Female","44","0.0514470958896287","0.0350706100347967","0.0678235817444607"
