"pli0092_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","in school","","","",""
"Daily","1985","inadequately","","","",""
"Daily","1985","general elemantary","","","",""
"Daily","1985","middle vocational","","","",""
"Daily","1985","vocational + Abi","","","",""
"Daily","1985","higher vocational","","","",""
"Daily","1985","higher education","","","",""
"Min 1x per week","1985","in school","109","0.605561082912712","0.535513017551437","0.675609148273987"
"Min 1x per week","1985","inadequately","49","0.107702730658285","0.0867261232688012","0.128679338047768"
"Min 1x per week","1985","general elemantary","527","0.169913593450765","0.156563416794054","0.183263770107476"
"Min 1x per week","1985","middle vocational","1202","0.234640165870462","0.223047148921643","0.24623318281928"
"Min 1x per week","1985","vocational + Abi","86","0.338569066703708","0.282434205058988","0.394703928348429"
"Min 1x per week","1985","higher vocational","176","0.286679251480477","0.25088128038821","0.322477222572745"
"Min 1x per week","1985","higher education","299","0.396897827754814","0.361882978040142","0.431912677469487"
"Min 1x per month","1985","in school","15","","",""
"Min 1x per month","1985","inadequately","15","","",""
"Min 1x per month","1985","general elemantary","123","0.0358421150604817","0.0292339300622156","0.0424503000587478"
"Min 1x per month","1985","middle vocational","273","0.0486973912705436","0.0428092984040831","0.0545854841370041"
"Min 1x per month","1985","vocational + Abi","14","","",""
"Min 1x per month","1985","higher vocational","42","0.0665146427212343","0.0467890419080361","0.0862402435344325"
"Min 1x per month","1985","higher education","56","0.0697778888889331","0.051544403161677","0.0880113746161892"
"Rarely","1985","in school","23","","",""
"Rarely","1985","inadequately","54","0.0735142425053076","0.0558549936122196","0.0911734913983956"
"Rarely","1985","general elemantary","296","0.0828409456673835","0.0730425233896846","0.0926393679450823"
"Rarely","1985","middle vocational","755","0.140670089674215","0.131158714663026","0.150181464685404"
"Rarely","1985","vocational + Abi","48","0.187585935309251","0.141277978376962","0.233893892241539"
"Rarely","1985","higher vocational","106","0.155812593971083","0.127102238670167","0.184522949271998"
"Rarely","1985","higher education","140","0.176320254241422","0.149046322174408","0.203594186308436"
"Never","1985","in school","40","0.183664065712505","0.128166511797529","0.239161619627481"
"Never","1985","inadequately","721","0.792862113666825","0.765440329154141","0.820283898179509"
