"pli0092_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1986","vocational + Abi","Urban Area","16","","",""
"Min 1x per month","1986","vocational + Abi","Rural Area","2","","",""
"Min 1x per month","1986","higher vocational","Urban Area","29","","",""
"Min 1x per month","1986","higher vocational","Rural Area","6","","",""
"Min 1x per month","1986","higher education","Urban Area","55","0.0889850530781358","0.066681081266005","0.111289024890267"
"Min 1x per month","1986","higher education","Rural Area","12","","",""
"Rarely","1986","in school","Urban Area","32","0.174329132354714","0.116086264150425","0.232572000559003"
"Rarely","1986","in school","Rural Area","1","","",""
"Rarely","1986","inadequately","Urban Area","44","0.0818870195690052","0.0612480105851288","0.102526028552882"
"Rarely","1986","inadequately","Rural Area","6","","",""
"Rarely","1986","general elemantary","Urban Area","193","0.0784394011138857","0.0672401658896801","0.0896386363380914"
"Rarely","1986","general elemantary","Rural Area","68","0.0851221467347159","0.0640386131489033","0.106205680320529"
"Rarely","1986","middle vocational","Urban Area","517","0.124988284540013","0.114621195146032","0.135355373933993"
"Rarely","1986","middle vocational","Rural Area","158","0.139089977467578","0.118248576394731","0.159931378540426"
"Rarely","1986","vocational + Abi","Urban Area","39","0.1951677402112","0.143947586474284","0.246387893948116"
"Rarely","1986","vocational + Abi","Rural Area","8","","",""
"Rarely","1986","higher vocational","Urban Area","74","0.165407884671619","0.131230769087164","0.199585000256074"
"Rarely","1986","higher vocational","Rural Area","18","","",""
"Rarely","1986","higher education","Urban Area","95","0.15237055344842","0.124218215662296","0.180522891234545"
"Rarely","1986","higher education","Rural Area","15","","",""
"Never","1986","in school","Urban Area","25","","",""
"Never","1986","in school","Rural Area","1","","",""
"Never","1986","inadequately","Urban Area","575","0.779326256548346","0.748110905061603","0.810541608035089"
"Never","1986","inadequately","Rural Area","84","0.773834107569174","0.693042366401507","0.854625848736841"
"Never","1986","general elemantary","Urban Area","1509","0.707090402252196","0.688133666549681","0.726047137954712"
"Never","1986","general elemantary","Rural Area","455","0.717356727630424","0.683337263136689","0.75137619212416"
"Never","1986","middle vocational","Urban Area","2178","0.572489670006022","0.556981077327873","0.587998262684172"
"Never","1986","middle vocational","Rural Area","572","0.558536966966082","0.528629939917249","0.588443994014916"
"Never","1986","vocational + Abi","Urban Area","102","0.378114275375961","0.315445529471176","0.440783021280747"
"Never","1986","vocational + Abi","Rural Area","21","","",""
"Never","1986","higher vocational","Urban Area","218","0.498322689580199","0.452330114577846","0.544315264582553"
"Never","1986","higher vocational","Rural Area","58","0.524832623138252","0.433955867149992","0.615709379126512"
"Never","1986","higher education","Urban Area","224","0.369593417111757","0.331781089864428","0.407405744359086"
"Never","1986","higher education","Rural Area","45","0.424307602438679","0.335878926605713","0.512736278271645"
"Daily","1987","in school","Urban Area","","","",""
"Daily","1987","in school","Rural Area","","","",""
"Daily","1987","inadequately","Urban Area","","","",""
"Daily","1987","inadequately","Rural Area","","","",""
"Daily","1987","general elemantary","Urban Area","","","",""
"Daily","1987","general elemantary","Rural Area","","","",""
"Daily","1987","middle vocational","Urban Area","","","",""
"Daily","1987","middle vocational","Rural Area","","","",""
"Daily","1987","vocational + Abi","Urban Area","","","",""
"Daily","1987","vocational + Abi","Rural Area","","","",""
"Daily","1987","higher vocational","Urban Area","","","",""
"Daily","1987","higher vocational","Rural Area","","","",""
"Daily","1987","higher education","Urban Area","","","",""
"Daily","1987","higher education","Rural Area","","","",""
"Min 1x per week","1987","in school","Urban Area","","","",""
"Min 1x per week","1987","in school","Rural Area","","","",""
"Min 1x per week","1987","inadequately","Urban Area","","","",""
"Min 1x per week","1987","inadequately","Rural Area","","","",""
"Min 1x per week","1987","general elemantary","Urban Area","","","",""
"Min 1x per week","1987","general elemantary","Rural Area","","","",""
"Min 1x per week","1987","middle vocational","Urban Area","","","",""
"Min 1x per week","1987","middle vocational","Rural Area","","","",""
"Min 1x per week","1987","vocational + Abi","Urban Area","","","",""
"Min 1x per week","1987","vocational + Abi","Rural Area","","","",""
"Min 1x per week","1987","higher vocational","Urban Area","","","",""
"Min 1x per week","1987","higher vocational","Rural Area","","","",""
"Min 1x per week","1987","higher education","Urban Area","","","",""
"Min 1x per week","1987","higher education","Rural Area","","","",""
"Min 1x per month","1987","in school","Urban Area","","","",""
"Min 1x per month","1987","in school","Rural Area","","","",""
"Min 1x per month","1987","inadequately","Urban Area","","","",""
"Min 1x per month","1987","inadequately","Rural Area","","","",""
"Min 1x per month","1987","general elemantary","Urban Area","","","",""
"Min 1x per month","1987","general elemantary","Rural Area","","","",""
"Min 1x per month","1987","middle vocational","Urban Area","","","",""
"Min 1x per month","1987","middle vocational","Rural Area","","","",""
"Min 1x per month","1987","vocational + Abi","Urban Area","","","",""
"Min 1x per month","1987","vocational + Abi","Rural Area","","","",""
"Min 1x per month","1987","higher vocational","Urban Area","","","",""
"Min 1x per month","1987","higher vocational","Rural Area","","","",""
"Min 1x per month","1987","higher education","Urban Area","","","",""
"Min 1x per month","1987","higher education","Rural Area","","","",""
"Rarely","1987","in school","Urban Area","","","",""
"Rarely","1987","in school","Rural Area","","","",""
"Rarely","1987","inadequately","Urban Area","","","",""
"Rarely","1987","inadequately","Rural Area","","","",""
"Rarely","1987","general elemantary","Urban Area","","","",""
"Rarely","1987","general elemantary","Rural Area","","","",""
"Rarely","1987","middle vocational","Urban Area","","","",""
"Rarely","1987","middle vocational","Rural Area","","","",""
"Rarely","1987","vocational + Abi","Urban Area","","","",""
"Rarely","1987","vocational + Abi","Rural Area","","","",""
"Rarely","1987","higher vocational","Urban Area","","","",""
"Rarely","1987","higher vocational","Rural Area","","","",""
"Rarely","1987","higher education","Urban Area","","","",""
"Rarely","1987","higher education","Rural Area","","","",""
"Never","1987","in school","Urban Area","","","",""
"Never","1987","in school","Rural Area","","","",""
"Never","1987","inadequately","Urban Area","","","",""
"Never","1987","inadequately","Rural Area","","","",""
"Never","1987","general elemantary","Urban Area","","","",""
"Never","1987","general elemantary","Rural Area","","","",""
"Never","1987","middle vocational","Urban Area","","","",""
"Never","1987","middle vocational","Rural Area","","","",""
"Never","1987","vocational + Abi","Urban Area","","","",""
"Never","1987","vocational + Abi","Rural Area","","","",""
"Never","1987","higher vocational","Urban Area","","","",""
"Never","1987","higher vocational","Rural Area","","","",""
"Never","1987","higher education","Urban Area","","","",""
"Never","1987","higher education","Rural Area","","","",""
"Daily","1988","in school","Urban Area","","","",""
"Daily","1988","in school","Rural Area","","","",""
"Daily","1988","inadequately","Urban Area","","","",""
"Daily","1988","inadequately","Rural Area","","","",""
"Daily","1988","general elemantary","Urban Area","","","",""
"Daily","1988","general elemantary","Rural Area","","","",""
"Daily","1988","middle vocational","Urban Area","","","",""
"Daily","1988","middle vocational","Rural Area","","","",""
"Daily","1988","vocational + Abi","Urban Area","","","",""
"Daily","1988","vocational + Abi","Rural Area","","","",""
"Daily","1988","higher vocational","Urban Area","","","",""
"Daily","1988","higher vocational","Rural Area","","","",""
"Daily","1988","higher education","Urban Area","","","",""
"Daily","1988","higher education","Rural Area","","","",""
"Min 1x per week","1988","in school","Urban Area","95","0.697018210374444","0.619209894120325","0.774826526628562"
"Min 1x per week","1988","in school","Rural Area","21","","",""
"Min 1x per week","1988","inadequately","Urban Area","33","0.091934894700219","0.0688924631120601","0.114977326288378"
"Min 1x per week","1988","inadequately","Rural Area","12","","",""
"Min 1x per week","1988","general elemantary","Urban Area","423","0.182614814113041","0.166141547534255","0.199088080691828"
"Min 1x per week","1988","general elemantary","Rural Area","100","0.155857777144639","0.126688415874747","0.185027138414531"
"Min 1x per week","1988","middle vocational","Urban Area","919","0.249627215744058","0.235655333106515","0.263599098381601"
"Min 1x per week","1988","middle vocational","Rural Area","251","0.237338796724798","0.211126321678702","0.263551271770894"
"Min 1x per week","1988","vocational + Abi","Urban Area","71","0.320455665063764","0.260665047768704","0.380246282358825"
"Min 1x per week","1988","vocational + Abi","Rural Area","10","","",""
"Min 1x per week","1988","higher vocational","Urban Area","126","0.29289627971177","0.249731190550233","0.336061368873307"
"Min 1x per week","1988","higher vocational","Rural Area","34","0.250565139827175","0.169584907521527","0.331545372132822"
"Min 1x per week","1988","higher education","Urban Area","237","0.388349737773495","0.348956423641922","0.427743051905067"
"Min 1x per week","1988","higher education","Rural Area","46","0.422411309606918","0.330522270355324","0.514300348858512"
"Min 1x per month","1988","in school","Urban Area","7","","",""
"Min 1x per month","1988","in school","Rural Area","2","","",""
"Min 1x per month","1988","inadequately","Urban Area","11","","",""
"Min 1x per month","1988","inadequately","Rural Area","2","","",""
